日期,温度,湿度,aqi,更新日期
2020-01-12,-6℃,73%,63,2020-01-12 03:00:00
2020-01-12,-6℃,77%,64,2020-01-12 04:00:00
2020-01-12,-5℃,79%,62,2020-01-12 05:00:00
2020-01-12,-8℃,86%,58,2020-01-12 06:05:00
2020-01-12,-8℃,90%,67,2020-01-12 07:07:00
2020-01-12,-7℃,88%,57,2020-01-12 07:36:00
2020-01-12,-4℃,77%,62,2020-01-12 09:00:00
2020-01-12,-3℃,66%,63,2020-01-12 10:10:00
2020-01-12,-2℃,66%,74,2020-01-12 10:58:00
2020-01-12,-2℃,63%,72,2020-01-12 11:46:00
2020-01-12,0℃,60%,80,2020-01-12 13:04:00
2020-01-12,1℃,42%,78,2020-01-12 14:07:00
2020-01-12,2℃,43%,69,2020-01-12 14:55:00
2020-01-12,1℃,44%,69,2020-01-12 15:51:00
2020-01-12,0℃,50%,67,2020-01-12 16:57:00
2020-01-12,-1℃,61%,62,2020-01-12 17:58:00
2020-01-12,-3℃,69%,74,2020-01-12 18:43:00
2020-01-12,-5℃,80%,72,2020-01-12 20:00:00
2020-01-12,-7℃,88%,77,2020-01-12 21:05:00
2020-01-12,-6℃,86%,67,2020-01-12 22:00:00
2020-01-12,-6℃,79%,64,2020-01-12 23:00:00
2020-01-13,-5℃,75%,58,2020-01-13 00:01:00
2020-01-13,-5℃,73%,52,2020-01-13 00:51:00
2020-01-13,-5℃,81%,42,2020-01-13 02:00:00
2020-01-13,-5℃,86%,42,2020-01-13 02:48:00
2020-01-13,-5℃,80%,41,2020-01-13 03:49:00
2020-01-13,-6℃,83%,43,2020-01-13 04:54:00
2020-01-13,-7℃,85%,41,2020-01-13 06:04:00
2020-01-13,-8℃,87%,44,2020-01-13 06:58:00
2020-01-13,-10℃,94%,54,2020-01-13 08:05:00
2020-01-13,-10℃,94%,48,2020-01-13 08:59:00
2020-01-13,-7℃,86%,54,2020-01-13 09:55:00
2020-01-13,-4℃,68%,63,2020-01-13 11:29:00
2020-01-13,-3℃,66%,63,2020-01-13 12:00:00
2020-01-13,-1℃,57%,61,2020-01-13 12:59:00
2020-01-13,1℃,46%,58,2020-01-13 14:00:00
2020-01-13,0℃,53%,62,2020-01-13 14:51:00
2020-01-13,1℃,48%,64,2020-01-13 15:55:00
2020-01-13,0℃,50%,63,2020-01-13 16:50:00
2020-01-13,0℃,55%,67,2020-01-13 17:45:00
2020-01-13,-5℃,79%,69,2020-01-13 18:52:00
2020-01-13,-6℃,84%,77,2020-01-13 20:06:00
2020-01-13,-5℃,79%,80,2020-01-13 20:41:00
2020-01-13,-7℃,85%,80,2020-01-13 21:56:00
2020-01-13,-7℃,88%,82,2020-01-13 22:58:00
2020-01-14,-7℃,88%,79,2020-01-14 00:05:00
2020-01-14,-8℃,88%,73,2020-01-14 00:53:00
2020-01-14,-7℃,86%,63,2020-01-14 01:59:00
2020-01-14,-9℃,89%,64,2020-01-14 03:03:00
2020-01-14,-10℃,92%,67,2020-01-14 04:04:00
2020-01-14,-10℃,88%,69,2020-01-14 04:56:00
