日期,温度,湿度,aqi,更新日期
2020-01-10,1℃,70%,229,2020-01-10 11:56:00
2020-01-10,3℃,67%,217,2020-01-10 12:59:00
2020-01-10,4℃,58%,226,2020-01-10 13:47:00
2020-01-10,3℃,61%,255,2020-01-10 14:57:00
2020-01-10,3℃,62%,279,2020-01-10 15:52:00
2020-01-10,2℃,72%,292,2020-01-10 16:55:00
2020-01-10,0℃,81%,303,2020-01-10 18:06:00
2020-01-10,0℃,84%,295,2020-01-10 18:57:00
2020-01-10,-1℃,87%,286,2020-01-10 19:52:00
2020-01-10,-1℃,89%,284,2020-01-10 21:05:00
2020-01-10,-2℃,91%,273,2020-01-10 22:01:00
2020-01-10,-2℃,90%,270,2020-01-10 22:57:00
2020-01-11,-2℃,92%,267,2020-01-11 01:06:00
2020-01-11,-2℃,91%,271,2020-01-11 01:52:00
2020-01-11,-3℃,91%,264,2020-01-11 02:58:00
2020-01-11,-2℃,85%,242,2020-01-11 04:07:00
2020-01-11,-2℃,80%,223,2020-01-11 04:57:00
2020-01-11,-2℃,80%,211,2020-01-11 05:28:00
2020-01-11,-2℃,72%,212,2020-01-11 06:53:00
2020-01-11,-3℃,78%,225,2020-01-11 08:01:00
2020-01-11,-2℃,78%,219,2020-01-11 09:01:00
2020-01-11,-2℃,87%,215,2020-01-11 10:00:00
2020-01-11,-1℃,84%,245,2020-01-11 10:57:00
2020-01-11,-1℃,75%,284,2020-01-11 11:57:00
2020-01-11,0℃,73%,215,2020-01-11 12:59:00
2020-01-11,0℃,51%,152,2020-01-11 14:03:00
2020-01-11,0℃,55%,110,2020-01-11 14:59:00
2020-01-11,0℃,53%,109,2020-01-11 15:55:00
2020-01-11,-1℃,56%,129,2020-01-11 16:44:00
2020-01-11,-2℃,63%,127,2020-01-11 17:57:00
2020-01-11,-2℃,67%,118,2020-01-11 19:00:00
2020-01-11,-3℃,68%,110,2020-01-11 20:05:00
2020-01-11,-3℃,73%,108,2020-01-11 20:41:00
2020-01-11,-4℃,81%,134,2020-01-11 22:03:00
2020-01-11,-4℃,79%,122,2020-01-11 22:55:00
2020-01-12,-6℃,86%,132,2020-01-12 01:00:00
2020-01-12,-7℃,87%,130,2020-01-12 02:00:00
2020-01-12,-7℃,88%,148,2020-01-12 03:00:00
2020-01-12,-7℃,87%,142,2020-01-12 04:00:00
2020-01-12,-5℃,88%,153,2020-01-12 05:00:00
2020-01-12,-5℃,85%,153,2020-01-12 06:05:00
2020-01-12,-5℃,84%,152,2020-01-12 07:07:00
2020-01-12,-7℃,86%,158,2020-01-12 07:55:00
2020-01-12,-5℃,84%,165,2020-01-12 09:00:00
2020-01-12,-2℃,80%,169,2020-01-12 10:00:00
2020-01-12,-2℃,72%,176,2020-01-12 10:58:00
2020-01-12,0℃,62%,186,2020-01-12 12:00:00
2020-01-12,0℃,61%,185,2020-01-12 13:04:00
2020-01-12,1℃,55%,178,2020-01-12 13:53:00
2020-01-12,1℃,58%,176,2020-01-12 14:55:00
2020-01-12,1℃,63%,185,2020-01-12 16:03:00
2020-01-12,0℃,66%,204,2020-01-12 16:57:00
2020-01-12,-1℃,73%,202,2020-01-12 18:03:00
2020-01-12,-1℃,75%,212,2020-01-12 18:43:00
2020-01-12,-2℃,77%,231,2020-01-12 20:00:00
2020-01-12,-2℃,79%,229,2020-01-12 21:05:00
2020-01-12,-3℃,82%,228,2020-01-12 22:04:00
2020-01-12,-2℃,80%,226,2020-01-12 23:00:00
2020-01-13,-2℃,80%,229,2020-01-13 00:01:00
2020-01-13,-3℃,83%,224,2020-01-13 00:51:00
2020-01-13,-2℃,81%,231,2020-01-13 02:00:00
2020-01-13,-2℃,80%,238,2020-01-13 03:02:00
2020-01-13,-2℃,80%,248,2020-01-13 03:49:00
2020-01-13,-2℃,78%,247,2020-01-13 04:54:00
2020-01-13,-3℃,83%,247,2020-01-13 05:47:00
2020-01-13,-2℃,81%,241,2020-01-13 06:58:00
2020-01-13,-2℃,80%,243,2020-01-13 08:02:00
2020-01-13,-2℃,78%,246,2020-01-13 08:52:00
2020-01-13,-1℃,72%,236,2020-01-13 09:55:00
2020-01-13,-1℃,69%,227,2020-01-13 10:53:00
2020-01-13,0℃,62%,225,2020-01-13 12:00:00
2020-01-13,0℃,56%,234,2020-01-13 12:59:00
2020-01-13,2℃,57%,233,2020-01-13 14:00:00
2020-01-13,1℃,48%,222,2020-01-13 14:50:00
2020-01-13,1℃,48%,230,2020-01-13 15:55:00
2020-01-13,0℃,54%,266,2020-01-13 16:50:00
2020-01-13,0℃,62%,271,2020-01-13 17:50:00
2020-01-13,-1℃,66%,286,2020-01-13 18:52:00
2020-01-13,-2℃,73%,282,2020-01-13 19:52:00
2020-01-13,-2℃,72%,277,2020-01-13 20:41:00
2020-01-13,-4℃,79%,286,2020-01-13 21:56:00
2020-01-13,-3℃,47%,292,2020-01-13 22:58:00
2020-01-14,-3℃,69%,241,2020-01-14 00:05:00
2020-01-14,-4℃,77%,189,2020-01-14 00:53:00
2020-01-14,-4℃,76%,178,2020-01-14 01:59:00
2020-01-14,-5℃,75%,200,2020-01-14 03:03:00
2020-01-14,-5℃,63%,193,2020-01-14 04:04:00
2020-01-14,-5℃,58%,172,2020-01-14 05:09:00
2020-01-14,-5℃,59%,115,2020-01-14 05:42:00
2020-01-14,-6℃,56%,110,2020-01-14 07:02:00
2020-01-14,-5℃,53%,98,2020-01-14 07:58:00
2020-01-14,-4℃,53%,93,2020-01-14 09:04:00
2020-01-14,-2℃,47%,88,2020-01-14 10:05:00
2020-01-14,-1℃,38%,99,2020-01-14 10:57:00
2020-01-14,0℃,31%,100,2020-01-14 12:02:00
2020-01-14,1℃,36%,93,2020-01-14 12:56:00
2020-01-14,1℃,36%,84,2020-01-14 13:58:00
2020-01-14,1℃,37%,84,2020-01-14 15:02:00
2020-01-14,0℃,38%,114,2020-01-14 15:51:00
2020-01-14,0℃,44%,130,2020-01-14 16:54:00
2020-01-14,-1℃,46%,188,2020-01-14 17:58:00
2020-01-14,-2℃,54%,220,2020-01-14 19:03:00
2020-01-14,-3℃,57%,202,2020-01-14 20:08:00
2020-01-14,-4℃,59%,183,2020-01-14 20:56:00
2020-01-14,-4℃,67%,213,2020-01-14 21:43:00
2020-01-14,-5℃,69%,251,2020-01-14 22:43:00
2020-01-15,-7℃,83%,267,2020-01-15 00:00:00
2020-01-15,-6℃,73%,286,2020-01-15 00:57:00
