,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Shaanxi,Inner Mongolia,Hunan,Anhui,Guangdong,Heilongjiang,Jiangsu,Shanghai,Gansu,Jilin,Sichuan,Guizhou,Hainan,Fujian,Zhejiang,Jiangxi,Chongqing,Guangxi,Yunnan,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.024609024719999997,0.005505910199999999,0.012304512359999995,0.021544866,0.016996505399999997,0.009383986079999998,0.01062880056,0.006798602159999998,0.0153207936,0.00330354612,0.10925640935999999,0.023364210239999995,0.009910638359999998,0.01991703168,0.006128317439999999,0.01575169092,0.0351899478,0.016326220679999996,,0.0030162812399999995,0.010820310479999998,0.008378558999999999,0.029540405159999995,0.015703813439999995,0.0026332614,0.00157995684,0.004787748,0.0007181621999999999,0.0026332614,0.00014363243999999996,0.034088765759999994
Chongqing,0.010155106079999998,0.0014507294399999998,0.006044706,0.008462588399999998,0.0033850353600000005,0.00229698828,0.00955063548,0.00108804708,0.050654636280000005,0.0078581178,0.27696842891999995,0.00096715296,0.02635491816,0.061414212959999985,0.004714870679999999,0.0012089412,0.3965327135999999,0.09877049604,0.00435218832,0.053072518679999986,0.01898037684,0.0078581178,,0.029377271160000006,0.030344424119999994,0.066491766,0.0035059294799999995,0.0006044706,0.0026596706400000003,0.00229698828,0.01849680036
Sichuan,0.022843438560000002,0.006718658400000001,0.017804444760000003,0.044343145439999995,0.016124780159999998,0.009406121760000002,0.07256151072000001,0.004031195039999999,0.06449912063999999,0.01982004228,0.7991844166800001,0.0016796646000000002,0.1058188698,0.15923220408000002,0.03325735908,0.0020155975199999997,,0.23884830612,0.013101383880000005,0.1058188698,0.0655069194,0.017132578920000002,0.96144001704,0.10481107104000002,0.29763656712000003,0.05811639516,0.018812243520000004,0.0020155975199999997,0.012093585120000002,0.02049190812,0.05710859640000001
Guizhou,0.0027678671999999994,0.0007117372799999999,0.0015816384,0.00640563552,0.0007908192,0.0007117372799999999,0.00284694912,0.00047449152,0.06184206143999999,0.00387501408,0.15966639648,0.00031632768,0.015183728639999996,0.01921690656,0.0008699011199999999,0.00031632768,0.11474786592,,0.001977048,0.015262810559999998,0.016923530880000003,0.00616838976,0.09031155264,0.07568139744,0.17176593023999998,0.00205612992,0.00023724576,0.00015816384,0.00023724576,0.00031632768,0.016053629759999997
Yunnan,0.0034079421600000004,0.0015300964800000006,0.004451189760000001,0.005911736400000001,0.00215604504,0.00215604504,0.005216238000000001,0.0006954983999999999,0.014605466400000003,0.00410344056,0.06593324832000001,0.0020864952000000003,0.013909968000000002,0.017109260640000002,0.0024342444,0.0009041479199999999,0.25900360415999996,0.18660222072,0.0010432476000000002,0.00785913192,0.01022382648,0.003547041840000001,0.01863935712,0.045902894400000005,,0.0022255948800000004,0.0009736977600000004,0.00020864952000000002,0.00132144696,0.0011127974400000002,0.008693730000000002
Tibet,9.679824000000001e-05,,0.00012759767999999998,0.00035639351999999997,,,0.00025739532,3.0799440000000005e-05,0.00012759767999999998,0.00016059708,0.00048399120000000004,,9.679824000000001e-05,0.00012759767999999998,0.00194256468,3.0799440000000005e-05,0.01030241268,6.379883999999999e-05,,3.0799440000000005e-05,3.0799440000000005e-05,,0.0007435864799999999,3.0799440000000005e-05,0.0008733841199999999,9.679824000000001e-05,6.379883999999999e-05,3.0799440000000005e-05,0.0057022963199999995,,0.00016059708
Shaanxi,0.014823965519999998,0.009115357679999998,0.017678269439999998,0.04180174128,0.12135395375999998,0.004235418719999999,,0.05561288928,0.017309972159999996,0.013074553439999996,0.12531314951999994,0.002301858,0.07347530736,0.07172589528,0.08010465839999999,0.0017494120799999998,0.057730598639999985,0.006629351039999999,0.0036829728,0.00948365496,0.0170337492,0.0032226011999999986,0.01740204648,0.0032226011999999986,0.007089722639999999,0.02237405976,0.008654986079999998,0.03277845792,0.009667803599999998,0.00073659456,0.06988440887999997
Gansu,0.00942544512,0.00792358848,0.008700410879999999,0.011652336,0.004350205439999999,0.0018125856,0.10476744768,0.01118624256,0.003884112,0.004505569919999999,0.03397303295999999,0.00082861056,0.031590777599999995,0.03557846592,,0.0007250342400000001,0.03402482112,0.0018125856,0.0009321868799999998,0.00403947648,0.011807700479999995,0.0021233145599999998,0.007871800319999999,0.0017090092799999998,0.0023304672,0.0020715264000000003,0.02687805504,0.05836525631999999,0.051684583679999986,0.00145006848,0.03899648448
Qinghai,0.00103060188,0.00054561276,0.00219977208,0.00171478296,0.0006755205600000001,0.0003810628800000001,0.005178990960000001,0.0007707862799999999,0.00032043924,0.00032043924,0.00158487516,0.00012124728000000005,0.00290993472,0.0016801408800000005,0.040929617519999996,0.0004849891200000001,0.006928416000000001,0.0003810628800000001,0.00028579716,0.00061489692,0.0007448047200000001,0.00019053144000000005,0.0010652439599999999,0.00035508132000000006,0.00022517352,0.00015588936,0.0023296798800000003,0.0021391484400000004,,0.006157629720000001,0.0040444628400000005
Ningxia,0.0025160544000000003,0.00099162144,0.00287126208,0.0013912300799999995,0.00226444896,0.00099162144,0.02792820384,0.02447972928,0.00106562304,0.0009620208,0.007311358080000002,0.0007104153599999999,0.0027824601599999994,0.00404048736,0.043601742719999996,0.00019240416,0.0035224761600000003,0.00025160544000000005,0.00011840256,0.0010360224,0.00171683712,0.00028120607999999994,0.00099162144,0.0005180111999999999,0.0012580272000000002,0.00035520768,0.0015096326400000002,,0.0025900560000000003,,0.00951660576
Xinjiang,0.001063125,0.0022283100000000003,0.00236439,0.00304479,0.00064638,0.00064638,0.003104325,0.001777545,0.001097145,0.000807975,0.013608000000000002,0.00032319,0.003529575,0.005791904999999999,0.01655073,0.0003827250000000001,0.00942354,0.00032319,0.00086751,0.0007399349999999999,0.0011906999999999998,0.0003827250000000001,0.00197316,0.0006123599999999999,0.00025515,0.00064638,,0.00090153,0.0015819300000000005,0.000127575,0.008904735
Taiwan,0.00022518647999999997,9.443304e-05,0.00019249812,6.174468e-05,2.9056320000000006e-05,6.174468e-05,2.9056320000000006e-05,,0.0005484380400000001,0.00041768459999999997,0.009003827159999998,6.174468e-05,0.008001384120000002,0.007322192640000002,,9.443304e-05,0.00093706632,2.9056320000000006e-05,0.00019249812,0.0033669010799999995,0.0011331964800000002,6.174468e-05,0.00071187984,0.00045037295999999995,2.9056320000000006e-05,,,,,,0.0008390012400000002
Hong Kong,0.00012888720000000002,5.94864e-05,0.0004858056000000001,0.0003866616000000001,5.94864e-05,0.0004858056000000001,0.00031726080000000004,2.97432e-05,0.0014871600000000002,0.00015863040000000002,0.07554772800000001,0.00015863040000000002,0.002032452,0.004015332000000001,,5.94864e-05,0.0013186152000000005,0.00015863040000000002,0.0004461480000000001,0.0023596272,0.0018143351999999999,0.0005155488000000001,0.0005155488000000001,0.0008328096000000001,0.00031726080000000004,2.97432e-05,2.97432e-05,,2.97432e-05,,0.0026471448
Macau,0.0007005398400000001,0.00028772172,0.00038779884,0.0005128952399999999,0.00055042416,0.0005128952399999999,0.0007755976799999999,0.0001250964,0.00203907132,0.0007005398400000001,0.10266661548,0.00015011567999999995,0.00228926412,0.00155119536,2.5019279999999998e-05,0.00022517352000000002,0.0008006169599999999,0.0007380687599999999,0.00028772172,0.0011884158,0.00132602184,0.0014135893199999998,0.00022517352000000002,0.00165127248,0.00022517352000000002,,2.5019279999999998e-05,,,,0.00047536632000000004
