,Hebei,Tianjin,Shanxi,Shandong,Henan,Liaoning,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Jilin,Sichuan,Gansu,Shanghai,Guizhou,Zhejiang,Yunnan,Chongqing,Fujian,Hubei,Xinjiang,Jiangxi,Hainan,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.01113018084,0.0025232148000000005,0.01998946836,0.004261429440000001,0.017382146400000003,0.00759768012,0.010625537880000004,0.00159803604,0.0052987510800000005,0.00319607208,0.06330465576000001,0.00510250104,0.0142982172,0.011382502320000001,0.021054825720000003,0.005018393879999999,0.005242679640000001,0.007289287200000001,0.0069528585600000005,0.0014858931599999999,0.011550716640000002,0.0022148218800000005,0.002859643440000001,0.0005326786800000001,0.004906251,,0.007962144479999999,0.0005046429600000001,0.002859643440000001,5.607144000000001e-05,0.021335182919999997
Chongqing,0.005489648639999999,0.0026562816,0.040552565759999985,0.00478130688,0.008057387519999999,0.0029219097599999994,0.039312967680000005,0.008411558399999998,0.0013281407999999998,0.005578191359999999,0.17743961087999996,0.015583518719999996,0.0004427136,0.0004427136,0.24845087231999996,0.0036302515199999994,0.028510755839999995,0.08544372479999998,0.034088947200000004,0.034088947200000004,,0.03621397248,0.05409960191999999,0.0008854271999999998,0.0101824128,0.0029219097599999994,0.017974172159999996,0.0004427136,0.0020364825599999995,0.00194793984,0.009828241920000001
Sichuan,0.01311987132,0.00498924684,0.10218716676,0.01459816668,0.02790282492,0.00997849368,0.02808761184,0.014413379760000001,0.00332616456,0.04046833548,0.34351888428000005,0.04693587768,0.0009239346,0.00147829536,,0.02180485656,0.06134925744,0.1348944516,0.08093667096,0.295659072,0.38195456364,0.0535882068,0.01275029748,0.0055436076,0.01182636288,0.0083154114,0.05118597684,0.0009239346,0.009239346,0.02623974264,0.03658781015999999
Guizhou,0.00164782836,0.00077544864,0.0479808846,0.00222941484,0.00620358912,0.00077544864,0.07822338156000001,0.0035864499600000007,0.00058158648,0.00252020808,0.20849875308,0.01240717824,0.00029079324,0.0004846554,0.1085628096,0.0009693108,0.01240717824,,0.03993560496,0.19754554104000002,0.08452390176,0.02840080644,0.00310179456,9.693108e-05,0.01560590388,0.0014539662,0.09576790704000003,0.00058158648,0.00029079324,9.693108e-05,0.0126010404
Yunnan,0.00339421104,0.00123425856,0.05654447028,0.004859893079999999,0.0060170104799999995,0.0013885408800000001,0.01589107896,0.00377991684,0.00084855276,0.00439704612,0.09226082735999999,0.00948836268,0.0007714115999999999,0.0005399881200000001,0.2414518308,0.00123425856,0.015813937799999997,0.18853299504,0.023836618439999995,,0.0131139972,0.01126260936,0.0026227994400000003,0.0006942704400000001,0.00493703424,0.00092569392,0.0536131062,0.0003857058,0.0005399881200000001,0.0015428232,0.00802268064
Tibet,6.445655999999999e-05,,0.0024938020800000004,0.00022670928,0.00022670928,,0.00022670928,9.557351999999998e-05,0.00016003008,0.00012891312,0.0003222828,3.1116960000000004e-05,,,0.008779428,0.0018447912,6.445655999999999e-05,0.00012891312,,0.00119800296,0.00090683712,6.445655999999999e-05,3.1116960000000004e-05,0.00016003008,0.00012891312,0.00012891312,3.1116960000000004e-05,,0.004469729039999999,,0.00029116583999999997
Shaanxi,0.01447767108,0.00619276104,0.17808372288,0.017825109479999997,0.036487078560000004,0.00326375244,0.01305500976,0.01707193584,0.08335121616,,0.08402070383999999,0.05473061784,0.0010042315199999998,0.0012552893999999998,0.04067137656000001,0.06385238748,0.031549606919999994,0.0075317364,0.03364175591999999,0.00719699256,0.01071180288,0.011381290559999998,0.01849459716,0.00225952092,0.00318006648,0.00092054556,0.004435355879999999,0.032135408639999995,0.00895439772,0.0012552893999999998,0.04636202184
Gansu,0.005948004959999999,0.005907265199999999,0.0313696152,0.007740554399999999,0.00912570624,0.00093701448,0.00313696152,0.00452211336,0.01544036904,0.06343180631999999,0.02069579808,0.020125441440000003,0.00057035664,0.00052961688,0.024932733119999998,,0.02419941744,0.0014258915999999994,0.01389225816,0.00281104344,0.005377648319999999,0.00456285312,0.0014666313599999998,0.0103886388,0.00175180968,0.0007333156799999999,0.002036988,0.05503941576,0.05015064456,0.00232216632,0.016132944959999996
Qinghai,0.0003194964,0.0004792446,0.008197605,0.0008744111999999999,0.0014209181999999998,0.000252234,0.0008071487999999999,0.000252234,0.000966897,0.0020346876,0.0032706341999999998,0.0019758329999999998,2.52234e-05,5.885460000000001e-05,0.0039516659999999995,0.0429134112,0.0007735175999999999,0.000252234,0.0005801382,0.00038675879999999996,0.0003194964,0.000126117,0.0004792446,0.0030099924,2.52234e-05,0.0003194964,0.0001597482,0.0015554430000000005,,0.0066085308,0.0015554430000000005
Ningxia,0.0014475736800000005,0.00092525328,0.012341684879999999,0.0020594347200000003,0.0022235925600000003,0.0004477032000000001,0.0004477032000000001,0.0009700236000000002,0.034338835440000014,0.024355054080000004,0.003909941280000001,0.0021638988000000003,5.969376000000001e-05,2.9846880000000013e-05,0.001119258,0.045352334160000014,0.005506749360000001,0.00031339224000000003,0.0012237220800000001,0.00064170792,0.0008954064000000002,0.00041785632000000016,0.00038800943999999995,0.0005372438400000001,0.00031339224000000003,2.9846880000000013e-05,0.00025369848000000004,,0.0016117315200000002,5.969376000000001e-05,0.0046262664000000005
Xinjiang,0.0010940443199999998,0.00197695728,0.022917349440000002,0.00216889488,0.0022360730399999997,0.0005470221599999999,0.0008349285599999999,0.0003838752,0.0026871263999999995,0.001679454,0.01322450064,0.00193856976,0.00025911576000000003,9.59688e-05,0.00955849248,0.015431783039999997,0.004213030319999999,0.00015355008,0.00119961,0.0004510533599999999,0.00096928488,0.000479844,0.0009021067199999998,,0.00015355008,0.00022072824,0.00073895976,0.00061420032,0.00271591704,9.59688e-05,0.00589248432
Taiwan,3.170664e-05,0.00012833640000000005,0.00022647599999999998,0.00035632224,3.170664e-05,0.00016155288000000004,,0.00035632224,3.170664e-05,6.341328e-05,0.00320690016,0.00320690016,,,,,0.0034665926399999997,,0.000679428,,3.170664e-05,0.0020397938400000004,,,6.341328e-05,3.170664e-05,3.170664e-05,,,,0.00019325952
Hong Kong,3.2341679999999994e-05,6.468335999999999e-05,0.00061449192,0.00042044184,6.468335999999999e-05,3.2341679999999994e-05,9.702504e-05,0.00012936671999999998,,0.00012936671999999998,0.037031223599999996,0.0006791752799999999,9.702504e-05,,6.468335999999999e-05,,0.0017141090399999997,9.702504e-05,0.00029107512,6.468335999999999e-05,0.00012936671999999998,0.001617084,3.2341679999999994e-05,,0.00012936671999999998,0.00022639176,0.00045278352,,,,0.0008408836799999999
Macau,3.1201199999999995e-05,,0.0001924074,,,,,6.240239999999999e-05,,,0.0504783414,3.1201199999999995e-05,,,3.1201199999999995e-05,,3.1201199999999995e-05,,,,0.00012480479999999998,0.00016120620000000002,,,,,3.1201199999999995e-05,,,,9.36036e-05
