,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Hubei,Anhui,Hainan,Hunan,Fujian,Heilongjiang,Yunnan,Chongqing,Jilin,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.025233119999999998,0.02166683904,0.010833419519999998,0.027722787839999995,0.1554360192,0.028664824319999994,0.0141305472,0.015745466879999996,0.006392390399999999,0.026915327999999995,0.02516583168,0.04548690431999999,0.01890801792,0.01857157632,0.012313762559999998,,0.02819380608,0.01924445952,0.00464289408,0.012246474240000001,0.0245602368,0.00484475904,0.013592240639999998,0.034855349759999994,0.0047774707199999995,0.014466988799999997,0.0034989926399999994,0.00228780288,0.0013457664000000001,0.00020186496,0.049120473599999985
Chongqing,0.0246495312,0.03850022016,0.0082165104,0.038969735039999995,0.14461058304000002,0.06174120672,0.014320203839999997,0.011268357120000001,0.005164663680000001,0.06197596416,0.042256339200000013,1.02448146816,0.056576543039999996,0.15916554432,0.022536714240000002,0.037091675520000006,0.07418335104000001,0.036622160640000005,0.00187805952,0.08380840608,,0.0025823318400000003,0.0199543824,0.036856918080000016,0.01338117408,0.25565085216000005,0.004929906239999999,0.0075122380800000015,0.0035213615999999995,0.006338450880000001,0.04530818592
Sichuan,0.0450670392,0.0595160136,0.014448974399999997,0.07327694159999999,0.2359999152,0.0952944264,0.028553925600000002,0.0244256472,0.0110087424,0.10320696,0.056763827999999995,,0.185772528,0.07258889519999999,0.032682204,0.0626122224,0.057107851200000004,0.05160348,0.004816324800000001,0.476472132,1.0891774512,0.0061924176,0.0264897864,0.0581399208,0.0743090112,0.273498444,0.0096326496,0.0247696704,0.02786587920000001,0.040250714399999984,0.11215156319999997
Guizhou,0.0104304996,0.0142070598,0.004495905,0.025716576600000002,0.17911685519999998,0.042261507000000004,0.0061144308,0.0055749222,0.0028773792,0.0972913842,0.0244577232,0.2681357742,0.0185231286,0.028054447200000002,0.013667551200000001,0.020321490599999995,0.1792966914,0.041362326,0.0007193448,0.32406483239999995,0.2666970846,0.0008991809999999998,0.0264359214,0.15735667499999995,0.0039563964,,0.0021580344,0.0010790171999999997,0.0008991809999999998,0.0007193448,0.027874611
Yunnan,0.01896676236,0.02297599668,0.00755586468,0.03068606268,0.13508035631999998,0.043176369599999986,0.007710066,0.01110249504,0.00524284488,0.05828809896000001,0.0354663036,0.404778465,0.024672211200000002,0.030994465319999994,0.015728534640000003,0.01326131352,0.05412466332,0.029144049480000003,0.0018504158399999997,,0.07740906263999997,0.0030840264000000003,0.02127978216,0.10763252136,0.00493444224,0.3230517654,0.00215881848,0.00277562376,0.00123361056,0.00493444224,0.03978394056
Tibet,0.00181222272,0.0033979176,0.00029125008,0.00410986224,0.00326847312,0.003236112,0.0008737502400000001,0.0004854168,0.00019416672,0.00158569488,0.0006472224,0.07295814503999999,0.006569307359999999,0.0017798616000000004,0.0011326391999999998,0.0008090279999999999,0.00093847248,0.00168277824,0.00019416672,0.0073136131200000004,0.009287641440000001,9.708336e-05,0.00035597232000000005,0.00119736144,0.0053395848,0.00158569488,0.00038833344,0.00200638944,0.02577563208,,0.00239472288
Shaanxi,0.07284936852000001,0.07688337264000003,0.01233930672,0.24037918668,0.0913583286,0.10061280864,0.32058468036000004,0.021356492400000003,0.20597150447999998,0.06027276744,0.032509327319999996,0.20834444808,,0.10037551428000002,0.03701792016,0.028000734480000004,0.037967097600000006,0.02420402472,0.00403400412,0.031085561160000007,0.05884900127999999,0.0054577702799999996,0.016373310840000002,0.013763072880000001,0.2776344012,0.022542964199999998,0.10535869584000003,0.02040731496,0.026339673960000004,0.004745887200000001,0.11105376048
Gansu,0.017979142320000002,0.020596359240000004,0.006030978120000001,0.035730700560000016,0.03004109856,0.030951434880000007,0.01467917316,0.00466547364,0.044265103560000005,0.025148040840000004,0.012858500520000002,0.09877149072,0.33944165532000004,0.013882628880000001,0.01035507564,0.009217155240000002,0.00864819504,0.01149299604,0.0011379203999999999,0.008875779120000002,0.016727429880000002,0.0013655044799999998,0.005234433839999999,0.0069413144400000005,,0.008420610960000002,0.13472977536000005,0.04472027172,0.13859870472000002,0.00273100896,0.0318617712
Qinghai,0.00532538388,0.00608075748,0.00090644832,0.01654268184,0.00914002056,0.0079314228,0.0033614125200000003,0.00124636644,0.0023794268399999997,0.006609519,0.00464554764,0.03773091132,0.030177175319999996,0.00400348008,0.00234165816,0.00181289664,0.0033991812000000003,0.002832651,0.00022661208,0.00313480044,0.006345138239999999,0.00033991812000000004,0.00200174004,0.0015485158799999998,0.15813746316,0.00219058344,0.0111417606,0.015674002200000002,,0.01820450376,0.0117082908
Ningxia,0.01177310376,0.0107028216,0.00191524176,0.017124514559999998,0.01284338592,0.01166044248,0.01081548288,0.00259120944,0.12482869824000001,0.009914192640000001,0.006816007440000001,0.014702297040000001,0.11057704632000001,0.00782995896,0.005351410799999999,0.0066470155200000006,0.0045064512,0.00433745928,0.00107028216,0.0030981852000000003,0.008562257279999999,0.00090129024,0.0016335885599999998,0.00259120944,0.13615115687999998,0.00180258048,,0.00473177376,0.00715399128,0.0005633064,0.01920874824
Xinjiang,0.01609386408,0.01741463712,0.0019567008000000003,0.0445149432,0.01604494656,0.014675256,0.0070930404,0.00479391696,0.008560566000000002,0.01164236976,0.006163607519999999,0.06295684824,0.046080303839999996,0.00841381344,0.007190875440000001,0.00670170024,0.00753329808,0.0056255148,0.00063592776,0.0056744323200000005,0.016974379440000003,0.0007337628000000001,0.0028372161600000003,0.0024947935200000004,0.10610210088,0.002739381120000001,0.00802247328,,0.024996852720000004,0.00092943288,0.02274664680000001
Taiwan,0.00025862004,0.00019411164,3.22542e-05,0.00022636584,0.00035596908,0.00025862004,0.00016185743999999998,0.00016185743999999998,6.45084e-05,0.00016185743999999998,0.0007447787999999999,0.00019411164,6.45084e-05,3.22542e-05,9.676260000000001e-05,6.45084e-05,6.45084e-05,0.0011986833600000002,0.0001290168,0.00025862004,6.45084e-05,0.00016185743999999998,3.22542e-05,0.00019411164,6.45084e-05,9.676260000000001e-05,3.22542e-05,6.45084e-05,,,6.45084e-05
Hong Kong,0.00012865068000000006,9.594288000000002e-05,,,0.019925591760000003,3.0527280000000014e-05,,3.0527280000000014e-05,,6.323508e-05,0.0002573013600000001,3.0527280000000014e-05,,,,6.323508e-05,6.323508e-05,0.00032271696000000014,,3.0527280000000014e-05,,,,6.323508e-05,,,3.0527280000000014e-05,3.0527280000000014e-05,,,0.00012865068000000006
Macau,0.00106580448,0.00022545863999999999,8.198495999999999e-05,0.00040992480000000004,0.1827239796,0.0018446616,0.00040992480000000004,0.0006353834400000001,2.0496239999999998e-05,0.0022955788800000003,0.00237756384,0.0007993533599999999,0.00022545863999999999,0.00213160896,0.0003074436,0.00045091727999999997,0.00157821048,0.00190615032,6.148871999999999e-05,0.00022545863999999999,0.00040992480000000004,0.00014347368000000002,0.0006353834400000001,0.0018036691199999999,2.0496239999999998e-05,0.0005329022399999999,2.0496239999999998e-05,2.0496239999999998e-05,2.0496239999999998e-05,,0.0012502706399999998
