,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Shaanxi,Jiangsu,Anhui,Hunan,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Shanghai,Hainan,Jiangxi,Guizhou,Yunnan,Fujian,Chongqing,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Hainan,0.01466722728,0.00386747784,0.006239044440000001,0.01973873124,0.009449780759999998,0.00908492436,0.005983644959999999,0.1278821682,0.0096686946,0.006056616240000001,0.003940449120000001,0.012003775559999999,0.01802390616,0.0060201306000000005,0.01262403144,0.013353744240000002,0.01010652228,0.005472846,,0.007297128000000002,0.01014300792,0.00518096088,0.004925561400000001,0.00963220896,0.01594422468,0.00149591124,0.0014594256,0.0014594256,0.0014594256,0.00014594256000000002,0.0103984074
Chongqing,0.015749290080000002,0.004004056800000001,0.019486409760000004,0.032833265760000015,0.01094442192,0.004537931040000001,0.002669371200000001,0.4265655177600001,0.06032778912000001,0.07527626784000001,0.021088032480000005,0.12973144032000006,0.6959050718400001,0.014681541600000004,0.3430141992000001,0.0005338742400000002,0.0013346856000000006,0.03683732256,0.012012170400000004,0.04991724144000001,0.28135172448,0.11531683584000005,0.16363245456000006,,0.06353103456,0.057925355040000015,0.0013346856000000006,0.0032032454400000004,0.0032032454400000004,0.0074742393600000035,0.010410547680000005
Sichuan,0.03574504403999999,0.013337703,0.06242045004,0.10723513212,0.03841258464,0.017072259840000003,0.00960314616,0.91816747452,0.26995510872,0.21927183732,0.03787907652,0.080026218,,0.08216025047999999,0.5095002546,0.0021340324800000004,0.00320104872,0.08109323423999999,0.03147697908,0.036278552160000005,0.5073662221199999,0.6028641756,0.21767131296000006,1.14224088492,0.15151630608,0.011203670520000002,0.0069356055599999996,0.02614189788,0.014938227360000004,0.055484844479999997,0.03361101156
Guizhou,0.00998210304,0.0013020134399999994,0.01475615232,0.01996420608,0.00477404928,0.00173601792,0.0013020134399999994,0.9083713766399998,0.01605816576,0.13367337984000002,0.024738255359999992,0.3693378124799999,0.25085458944,0.00477404928,1.128411648,0.00043400448,0.0008680089599999999,0.032550335999999985,0.010850112,0.13974944255999994,,0.4639507891199999,0.24434452223999995,0.24260850431999995,0.29208501503999995,0.006510067199999999,0.00173601792,0.00043400448,0.0008680089599999999,0.0008680089599999999,0.00607606272
Yunnan,0.01180854612,0.004399262279999999,0.01829166948,0.01991245032,0.0060200431200000005,0.004399262279999999,0.0027784814399999997,0.38042041715999997,0.017365508999999998,0.09284758812,0.01991245032,0.07710285996,0.4538186352,0.005093882640000001,0.33573317399999997,0.00185232096,0.0016207808400000006,0.02523787308,0.00717774372,0.03380485752,0.46354332023999995,,0.06436815336,0.054643468320000006,0.1898628984,0.00301002156,0.0011577006000000002,0.0011577006000000002,0.0013892407199999999,0.003704641920000001,0.009030064680000002
Tibet,0.00012734172,,0.00025854227999999997,0.0009685688400000001,0.00012734172,9.6471e-05,9.6471e-05,0.0005826848400000001,0.0010032984,0.00025854227999999997,6.174144000000001e-05,0.0005826848400000001,0.01603733904,0.0024272103600000003,0.00025854227999999997,6.174144000000001e-05,,,,0.00012734172,0.00042061356,0.00288255348,3.0870720000000004e-05,0.0015859832400000006,6.174144000000001e-05,3.0870720000000004e-05,6.174144000000001e-05,0.010009830959999999,0.00028941300000000003,,9.6471e-05
Shaanxi,0.048285810719999996,0.013604335559999998,0.05518378368,0.1542463398,0.27898468416,0.00881407656,0.19218519107999998,0.14830641864,,0.13374403127999998,0.0373640202,0.025484177880000004,0.12991182408,0.23050726308000002,0.12895377228,0.0026825450400000004,0.00306576576,0.033531813,0.005365090080000001,0.014753997719999998,0.02740028148,0.024909346800000003,0.02567578824,0.03391503372,0.01456238736,0.020885529240000002,0.05978243232000001,0.021460360320000003,0.007089583320000001,0.005365090080000001,0.02740028148
Gansu,0.014329710000000002,0.01077594192,0.01925913024,0.030952173600000008,0.0131833332,0.00298057968,0.060872608079999994,0.04298913,0.37738724255999995,0.07302420216000001,0.0097442028,0.006075797040000001,0.05743347768,,0.045855072,0.0008024637600000003,0.0006878260799999999,0.027513043200000004,0.00194884056,0.0091710144,0.007107536160000001,0.005846521680000001,0.01077594192,0.010088115840000002,0.00309521736,0.0022927536,0.11211565104,0.13836767976,0.0263666664,0.005044057920000001,0.018571304160000003
Qinghai,0.0016158754800000002,0.0006136236000000001,0.00186132492,0.00576806184,0.0025567650000000003,0.00047044475999999993,0.004847626440000001,0.00472490172,0.0123747426,0.00284312268,0.000511353,0.00128860956,0.0076089326400000015,0.12274517412000001,0.0030067556400000003,8.181648000000001e-05,8.181648000000001e-05,0.0008386189200000001,0.00022499532,0.00047044475999999993,0.00034772004000000004,0.0007772565600000001,0.0006136236000000001,0.0013090636800000002,0.00028635768000000004,8.181648000000001e-05,0.004295365200000001,,0.0043976358,0.015892851240000002,0.0017386002000000002
Ningxia,0.00374869296,0.00187434648,0.00458173584,0.0076709365199999985,0.00496354716,0.0009718833600000002,0.0900727614,0.0066296329200000005,0.07042683347999999,0.0063172418400000005,0.0022561578,0.0015619554000000002,0.00395695368,0.1070807202,0.0063172418400000005,0.00024297084000000004,0.00031239108,0.0036445626,0.00031239108,0.00232557804,0.00131898456,0.00135369468,0.00444289536,0.00135369468,0.00100659348,0.0008330428799999999,,0.0064907924399999995,0.0013884048,0.00031239108,0.0028809399600000004
Xinjiang,0.00323565192,0.0015436137599999995,0.00566981208,0.0076438565999999986,0.0020037294,0.0011873951999999998,0.00906873084,0.015258028319999997,0.009647586,0.00550654524,0.0011280254400000001,0.00216699624,0.011369309040000001,0.047035692360000006,0.00384419196,0.00041558832,0.00028200636000000004,0.004274622719999999,0.00132097716,0.0007421219999999999,0.00135066204,0.0011280254400000001,0.00187014744,0.00132097716,0.00093507372,0.00031169124,0.00213731136,0.00384419196,,0.00031169124,0.00164751084
Taiwan,9.6228e-05,0.00029043360000000003,0.00012947040000000002,0.0002256984,,6.473520000000001e-05,3.1492800000000004e-05,0.005572476000000001,,0.0027538704000000004,0.00016096319999999998,9.6228e-05,0.00025894080000000004,,0.0012947040000000007,9.6228e-05,,0.0026558928000000002,,6.473520000000001e-05,,,0.0026558928000000002,9.6228e-05,6.473520000000001e-05,3.1492800000000004e-05,,,,,0.0005826168
Hong Kong,0.00015752880000000002,9.2664e-05,9.2664e-05,0.00015752880000000002,,0.0001250964,2.77992e-05,0.0365466816,0.00028725839999999995,0.000416988,2.77992e-05,0.0003521232,9.2664e-05,,0.0003196908,,2.77992e-05,0.0009359064,0.000416988,,2.77992e-05,0.0002223936,0.0016818515999999998,2.77992e-05,0.000416988,,,,,,0.0005467175999999999
Macau,0.00038456208,6.10416e-05,3.05208e-05,0.00028689551999999994,3.05208e-05,,,0.05252019264,,0.00048222864,0.00025637472,0.0007752283199999999,0.00025637472,,0.00032352048,,6.10416e-05,0.00042118704,0.00018922896,0.00042118704,0.00022585392000000004,9.15624e-05,0.0006104159999999999,3.05208e-05,0.0006104159999999999,3.05208e-05,,,,,0.00028689551999999994
