,Hebei,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Heilongjiang,Tianjin,Hubei,Jiangsu,Shaanxi,Jilin,Sichuan,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Chongqing,Hainan,Shanghai,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.05516939484000001,0.09315800928,0.043524643679999996,0.027107453519999998,0.02806194132,0.013362829199999999,0.04753349244000001,0.02653476084,0.018707960880000003,0.08647659468,0.050587853400000014,0.040088487600000014,0.01889885844,0.13572816516,0.14355496512,0.46445376348000006,0.014317317,0.07559543376,0.04753349244000001,0.05784196068,0.06356888748000003,,0.03302527788,0.02787104376,0.15157266264000002,0.04333374612000001,0.012790136520000002,0.00362705364,0.0032452585200000005,0.00019089756,0.07502274108000001
Chongqing,0.08919832751999998,0.184124988,0.08428832783999997,0.05482832976,0.02782333152,0.015548332319999997,0.08837999424000001,0.01882166544,0.016366665599999997,0.5564666304,0.10883832624,0.16366665599999994,0.01391166576,4.3298013844800005,0.2888716478399999,0.25613831664000003,0.0695583288,0.10883832624,0.10474665984,0.09983666015999998,,0.10147332671999998,0.05073666335999999,0.27577831536,0.15711998975999994,0.7790532825599998,0.03027833136,0.00900166608,0.010638332639999998,0.008183332799999998,0.05973832944
Sichuan,0.1599755832,0.334832616,0.148814496,0.11161087199999999,0.0567355266,0.0353434428,0.13765340880000002,0.0353434428,0.0269726274,0.3971486861999999,0.18322784820000002,0.5143401018,0.0297628992,,0.23903328419999995,0.3943584144,0.2576350962,0.15346494900000002,0.16090567379999998,0.1274224122,3.2311347444000003,0.13114277459999998,0.08277806339999999,1.0863458208,0.1990393884,0.7329113928000001,0.06603643259999999,0.0223221744,0.045574439399999986,0.0474346206,0.1246321404
Guizhou,0.04305131855999999,0.13440411648,0.0498765276,0.01890057888,0.013125402,0.00682520904,0.06720205824,0.00945028944,0.00682520904,0.16748012952,0.07717736375999999,0.06247691351999999,0.006300192959999999,0.99070534296,0.7045715793599999,0.30030919776,0.01470045024,0.13965427728000002,0.13125402,0.13440411648,0.8389756958399999,0.07140218688,0.026250804,0.8221751812799999,0.36383614344000004,,0.00315009648,0.00210006432,0.0015750482399999998,0.00105003216,0.029925916559999995
Yunnan,0.06615860327999999,0.14219162495999998,0.06763976604000001,0.034560464400000004,0.021723720480000003,0.009380697480000002,0.06566488236000001,0.01530534852,0.01283674392,0.16095301992000002,0.08294511456,0.0715895334,0.012343023000000002,1.4860999691999999,0.29573883108000004,0.16983999648000006,0.02567348784,0.12491139276000003,0.11306209068000002,0.10368139320000004,0.4137381309600001,0.02320488324,0.033573022560000006,,0.28191464532000005,1.0195336998000002,0.007405813800000002,0.005924651039999999,0.003949767360000001,0.005924651039999999,0.049372092000000006
Tibet,0.0043990290000000005,0.01500444,0.005831271,0.0031713929999999998,0.0016368479999999998,0.0007843230000000001,0.005251553999999999,0.001091232,0.00044331300000000003,0.006615594,0.004535433,0.015584157,0.0006479190000000001,0.145645371,0.005285654999999999,0.0027621810000000003,0.018789651,0.002011959,0.003103191,0.001329939,0.018653247,0.0008866260000000001,0.002284767,0.014356521,0.0008525249999999999,0.002352969,0.001534545,0.001091232,0.05217453,,0.002489373
Shaanxi,0.23213319552,0.8958118795200001,0.26917572672,0.68590420272,0.05371167024,0.3049835068800001,0.18583003152,0.031486151520000005,0.027781898400000005,0.32041789488000005,0.20002966848000006,,0.025929771839999997,0.61367126688,0.11051021808,0.14631799824000002,0.94581929664,0.08025881760000002,0.11297972015999999,0.0956932056,0.15372650448000005,0.054329045760000014,0.052476919200000006,0.06297230304000001,0.04259891088000001,0.04445103744,0.052476919200000006,0.20126441952,0.041364159840000005,0.00370425312,0.10989284256
Gansu,0.0520310952,0.13266892800000002,0.0474706008,0.033789117599999995,0.0089136936,0.0750408624,0.033789117599999995,0.005596970400000001,0.0099501696,0.0422882208,0.0634323312,0.54933228,0.0037313136,0.2029420008,0.0254973096,0.0443611728,,0.0190711584,0.0387642024,0.0211441104,0.04166633519999999,0.02072952,0.0211441104,0.0159617304,0.0136814832,0.009328284,0.091209888,0.2162088936,0.1778592816,0.0047677896,0.0464341248
Qinghai,0.0203317776,0.06478600319999997,0.025414722,0.014818075200000001,0.0024983964,0.008442856799999999,0.017833381199999998,0.0013784256,0.0015507288,0.0131811948,0.0238639932,0.0906314832,0.0015507288,0.09717900480000001,0.0093905244,0.0155934396,0.3310805988,0.0049106412,0.0102520404,0.0055998540000000005,0.014904226799999996,0.0079259472,0.0052552476,0.007753644,0.0046521864,0.0027568512,0.0105966468,0.014042710799999998,,0.0225717192,0.009476676
Ningxia,0.045604053,0.066207537,0.040578813000000005,0.033794739000000004,0.00628155,0.166586706,0.020477853,0.004899609,0.004648347000000001,0.017211447,0.02638251,0.249880059,0.002763882,0.034422894,0.010929897,0.013191255,0.396742698,0.007663491,0.016206399,0.008668539,0.0125631,0.009924849,0.005402133000000001,0.007663491,0.005276502,0.002889513,0.008794169999999999,,0.008417276999999999,0.00025126200000000003,0.019724067000000005
Xinjiang,0.051897432239999985,0.22042045944,0.07889941728,0.033321598559999985,0.012830730479999998,0.02546995752,0.04557781871999999,0.008426151359999998,0.009575171999999998,0.043854287759999985,0.062047114560000005,0.13654195271999994,0.00651111696,0.21869692848,0.036385653599999984,0.04136474304,0.5829364713599999,0.01263922704,0.032747088239999986,0.02144838528,0.0660686868,0.01991635776,0.017809819919999997,0.014554261439999997,0.009192165119999998,0.00938366856,,0.027193488479999996,0.026618978159999997,0.0011490206399999998,0.03791768111999999
Taiwan,0.00025538976,0.00093931488,0.0005800377599999999,0.00016015968000000002,0.0007445260799999999,0.00022508928,0.0006795964800000001,0.00019046016000000005,0.00012553056,0.0013245638399999999,0.0041771376,0.0008094556800000003,0.00016015968000000002,0.00122933376,0.0007445260799999999,0.006800293440000002,9.523008e-05,0.00045017856,0.0023288083200000004,0.00903820032,0.00025538976,0.00022508928,0.00421176672,0.0004198780800000001,0.0008397561600000001,0.00032031936000000003,3.030048000000001e-05,,,,0.0016189113600000005
Hong Kong,0.0017744832000000004,0.0023290092,0.0035489664000000008,0.0007208838,0.0011645046,0.00033271559999999996,0.0022735566,0.00016635779999999998,0.0013863150000000002,0.0041034923999999995,0.005711617800000001,0.0015526728000000007,0.0005545260000000001,0.003881682,0.005877975600000001,0.4331957112000001,0.00038816820000000016,0.0033271560000000004,0.0077079114000000015,0.023511902400000003,0.0022735566,0.0036044190000000006,0.0103696362,0.0016635780000000002,0.004158945000000001,0.0016081254,0.00011090520000000002,0.00038816820000000016,,,0.010314183600000002
Macau,0.00400764672,0.00301874688,0.0033830784000000004,0.0022900838399999997,0.00161346816,0.0005725209599999999,0.00218598912,0.0009368524800000001,0.00192575232,0.00556906752,0.011190182399999998,0.0018216576,0.00067661568,0.00343512576,0.00681820416,0.40159742976,0.00020818943999999999,0.005829304320000001,0.00994104576,0.01072175616,0.00119708928,0.00281055744,0.01301184,0.00098889984,0.00619363584,0.0021339417599999994,0.00020818943999999999,0.00010409471999999999,0.00015614208000000002,,0.0054649728000000005
