,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.026182731600000002,0.022536111599999995,0.0101376036,0.029683486800000002,0.17759039399999998,0.014805277199999996,0.0151699392,0.0281519064,0.008678955600000001,0.0299752164,0.038216577599999996,0.0181601676,0.0269120556,0.016628587199999996,0.014221818,0.0130548996,,0.034278228,0.0092624148,0.0151699392,0.0317985264,0.013200764399999999,0.0134195616,0.0398210904,0.004157146799999999,0.015461668799999998,0.0040842144,0.0021879720000000003,0.0022609044,,0.0520008012
Chongqing,0.026046732599999997,0.0421709004,0.00917837244,0.04514766984,0.13569107364,0.01537997544,0.013395462479999998,0.06747344064000001,0.00570547476,0.06201603,1.07114087016,0.06375247883999999,0.04291509276,0.18083874348,0.00446515416,0.02505447612,0.04043445156,0.08855889083999999,0.00421709004,0.03671348976,,0.02083738608,0.08781469848000001,0.0384499386,0.014139654839999996,0.26195571071999996,0.00471321828,0.0069457953600000006,0.0049612824,0.00595353888,0.05060508048
Sichuan,0.046596222000000014,0.058071410999999996,0.016343451000000002,0.07928312400000001,0.21802859100000002,0.032686902000000004,0.023993577,0.094583376,0.012170655,0.09006284699999999,,0.22011498899999998,0.06606927,0.07997859,0.009388791,0.031295970000000006,0.044857557000000006,0.055985013,0.007302393000000001,0.049725819,1.1231775899999998,0.023993577,0.440577711,0.058071410999999996,0.07963085700000001,0.29418211800000005,0.008693325,0.024689042999999997,0.02747090700000001,0.039989295,0.11266549200000002
Guizhou,0.01266249348,0.02022219108,0.00396884124,0.02475800964,0.18181072728,0.007748690039999998,0.00604775808,0.04176732924,0.0028348866,0.10602475884,0.27838586412,0.02400203988,0.025891964280000002,0.02891584332,0.00226790928,0.01493040276,0.02475800964,0.19409523588,0.00151193952,0.03912143508,0.2815987356,0.02608095672,0.34283228615999994,0.1568637252,0.00396884124,,0.0009449622,0.0017009319600000002,0.0009449622,0.00075596976,0.02872685088
Yunnan,0.0233988588,0.02517394464,0.008391314879999999,0.030983316479999995,0.14345921016,0.00919817208,0.014039315279999996,0.04002011712,0.0046797717600000005,0.06438720456000001,0.41359500072,0.02436708744,0.03275840232,0.03082194504,0.0056480003999999995,0.01823497272,0.015491658239999997,0.05906194704,0.00451840032,0.028078630559999998,0.09020663496,0.01984868712,,0.1073120076,0.00597074328,0.33775042391999993,0.00209782872,0.00225920016,0.0016137144,0.0056480003999999995,0.04163383152
Tibet,0.0018359622,0.0022990878,0.0005127462,0.006401057399999999,0.003969648,0.0012239748,0.0008931708,0.0029772360000000003,0.0003473442,0.0018359622,0.06683894819999997,0.006698781,0.0007773893999999999,0.0014555376,0.0002150226,0.0011247336,0.00028118340000000004,0.0015547787999999998,0.0004796658,0.001323216,0.010172223,0.0007443090000000001,0.0091301904,0.0007112285999999999,0.0048131982,0.001736721,0.0007443090000000001,0.0016374797999999995,0.0294084756,,0.0030433968
Shaanxi,0.07886482380000001,0.09313560144000002,0.014020413120000005,0.25887691368,0.08988086267999999,0.35326433772000004,0.022783171320000004,0.09964507896,0.22557843251999996,0.05658238152000001,0.20354635476000005,,0.035301397320000004,0.10064653704,0.009513851759999999,0.038305771560000014,0.028291190760000005,0.041560510320000014,0.00826202916,0.02453572296,0.06108894288,0.016273693800000003,0.028791919800000006,0.013519684080000002,0.30394252728000004,0.021030619680000005,0.11041075332,0.019027703519999998,0.025787545560000003,0.003755467800000001,0.11166257592
Gansu,0.019540764,0.02263869,0.0063150030000000005,0.038724075,0.032528222999999995,0.014536422,0.004646889,0.031098411,0.050520024,0.023115293999999998,0.0953208,0.35280611100000003,0.016204536000000002,0.015847083,0.0020255670000000003,0.009055476,0.008936325,0.010961891999999999,0.000953208,0.013583214,0.020732274,0.005123493000000001,0.009412929000000002,0.007029909,,0.007863966,0.14250459599999998,0.047779551,0.14417271,0.0032170770000000005,0.032289921
Qinghai,0.006199578000000001,0.007407288000000001,0.0013284809999999998,0.01570023,0.011432987999999998,0.003904929,0.0016505369999999994,0.007206002999999998,0.002898504,0.0075683159999999985,0.034017164999999995,0.036352070999999986,0.004106214,0.004226985,0.000483084,0.0031803029999999998,0.002777733,0.003945186,0.00080514,0.003582873,0.008131913999999999,0.001046682,0.002093364,0.0015700229999999998,0.176849001,0.001972593,0.011432987999999998,0.01408995,,0.018075393000000002,0.008011143
Ningxia,0.014569278840000002,0.011994787799999998,0.00210640176,0.01708525872,0.012053298959999998,0.010473497640000001,0.00245746872,0.01070754228,0.14142147372000002,0.0067287834,0.012228832439999998,0.11052758124,0.005968138320000001,0.005500049039999999,0.0015798013199999998,0.005500049039999999,0.00444684816,0.00450535932,0.0008191562400000002,0.0027500245199999994,0.00860114052,0.00187235712,0.0032181138,0.00251597988,0.147740679,0.0028085356799999995,,0.004914937439999999,0.00865965168,0.0004095781200000001,0.01995230556
Xinjiang,0.0149356548,0.0178775262,0.00312290964,0.04295132244,0.01407572316,0.006245819279999999,0.0031681691999999994,0.0153882504,0.00864457596,0.00945924804,0.0484277292,0.03702232008,0.0052953685200000005,0.00823723992,0.0018103823999999998,0.00660789576,0.006200559720000001,0.00941398848,0.0014935654800000001,0.0046164751200000005,0.02018576376,0.0024440162399999997,0.00561218544,0.00194616108,0.09608604588,0.00221771844,0.0076941252,,0.02797040808,0.0015840845999999995,0.0210456954
Taiwan,0.00038853108,0.0005823770400000001,3.188808e-05,0.00035580384,0.00035580384,0.00012923064,0.0004531464,0.00042041916,0.0002265732,0.0002265732,0.00038853108,0.00019384596,0.00106908984,9.650339999999998e-05,0.0002265732,9.650339999999998e-05,3.188808e-05,0.00019384596,6.461532e-05,0.00136027836,3.188808e-05,9.650339999999998e-05,0.00029118852000000004,0.00019384596,6.461532e-05,0.00019384596,6.461532e-05,6.461532e-05,,3.188808e-05,0.00016195787999999996
Hong Kong,0.00022639824,9.642888000000001e-05,6.28884e-05,9.642888000000001e-05,0.01901745216,,3.14442e-05,3.14442e-05,6.28884e-05,,0.00012787307999999998,,0.000419256,3.14442e-05,,3.14442e-05,,3.14442e-05,,0.00012787307999999998,3.14442e-05,,6.28884e-05,6.28884e-05,3.14442e-05,,,3.14442e-05,,,0.00012787307999999998
Macau,0.00088710552,0.00103495644,0.00019009403999999998,0.00109832112,0.18787627620000005,0.0003168234,0.00080261928,0.00238673628,8.448624000000001e-05,0.00183757572,0.00092934864,0.0003168234,0.0020065482,0.0011616858,6.336467999999999e-05,0.00038018807999999995,0.00054916056,0.00141514452,8.448624000000001e-05,0.00194318352,0.00033794496000000003,0.0008659839599999999,0.00025345872,0.00183757572,,0.00057028212,6.336467999999999e-05,2.112156e-05,,,0.0015207523199999998
