,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Yunnan,0.022387764959999997,0.02985035328,0.0067841712,0.033920856,0.16044564888,0.04986365832,0.01085467392,0.01238111244,0.00491852412,0.06987696336,0.4184137587600001,0.04341869568,0.024762224880000003,0.016960428,0.031546396080000004,0.00780179688,0.01679082372,0.057665455200000014,0.005936149799999999,0.03273362604,,0.07954440732000001,0.02001330504,0.00746258832,0.11719655748,0.34819758684,0.0028832727600000005,0.00356168988,0.00186564708,0.0050881284,0.050033262599999996
Tibet,0.001126062,0.0024934230000000003,0.00012869280000000002,0.0049868460000000005,0.004262949,0.0023325570000000003,0.00080433,0.0006112908000000001,0.00025738560000000005,0.0021234312,0.06917238,0.0012225816,0.008413291800000002,0.0006756371999999999,0.0021556044000000003,9.651959999999999e-05,0.0009330228,0.0014799672,0.00025738560000000005,0.0006112908000000001,0.006531159599999999,0.0116949582,0.0007721567999999999,0.006305947199999999,0.0009008496000000002,0.0015764867999999998,0.00019303919999999998,0.0016730064000000002,0.0232612236,,0.003619485
Shaanxi,0.07852981428000001,0.08290608876000001,0.0109406862,0.26111771064,0.10308557664,0.11329688376000002,0.30585296088,0.021638246040000003,0.19814798340000006,0.06102471636,0.19887736248,0.043033365720000015,,0.025528267800000004,0.08533735236000001,0.01045443348,0.04181773392,0.035982701280000015,0.006321285360000001,0.030390795000000005,0.029661415919999996,0.05373092556,0.02115199332,0.27862280856000005,0.01410132888,0.02042261424,0.10235619756,0.023097004200000004,0.03184955316,0.005348779920000001,0.1325038662
Gansu,0.01797562368,0.01968758784,0.006740858880000001,0.032313323520000006,0.026000455680000003,0.030066370560000007,0.013909708800000002,0.005135892479999999,0.0460090368,0.022897520640000002,0.08870114304,0.015407677440000003,0.28846596096000005,0.00823882752,0.013267722240000002,0.0023539507199999998,0.007596840959999999,0.00984379392,0.00224695296,0.010806773759999999,0.009415802879999999,0.016905646080000003,0.006312867840000001,,0.00652686336,0.0057778790399999995,0.11545058304000001,0.047721000959999996,0.14647993344000002,0.00449390592,0.0417291264
Qinghai,0.004648133160000001,0.0073865682,0.00093683304,0.01340391888,0.007782920640000001,0.009908811000000002,0.00407162052,0.0016935058800000003,0.00353113992,0.00976468284,0.030158817480000006,0.00417971664,0.030050721360000008,0.0018376340400000004,0.00443194092,0.00075667284,0.003350979720000001,0.0037113001200000007,0.00043238448,0.0028825632000000004,0.0037113001200000007,0.0070262478000000005,0.00190969812,0.14679453096000006,0.0010088971200000003,0.00190969812,0.01001690712,0.013656143160000002,,0.01466504028,0.014196623759999999
Ningxia,0.014696795520000003,0.014808134880000002,0.0018927691200000005,0.014696795520000003,0.010410230160000002,0.01486380456,0.010243221120000002,0.00228245688,0.13444227720000002,0.007404067440000001,0.014251438080000003,0.004286565360000001,0.10415797128000004,0.004787592480000001,0.0056226376800000005,0.003785538240000001,0.004008216960000001,0.00456491376,0.0008350452000000001,0.0045092440800000005,0.003451520160000001,0.0069587100000000025,0.0012804026400000002,0.13037839056000006,0.00261647496,0.0015587510400000006,,0.004397904720000001,0.008072103600000002,0.0002783484000000001,0.02043077256
Xinjiang,0.014432314320000004,0.016644566880000003,0.0015801804000000002,0.055148295959999996,0.015485767919999999,0.016644566880000003,0.009007028280000001,0.004371832440000001,0.010850572079999999,0.01243075248,0.06699964896,0.004898559240000001,0.03929381928,0.007532193240000001,0.009007028280000001,0.0021069072000000004,0.00784822932,0.008743664880000002,0.0023702706000000005,0.0056359767600000004,0.006794775720000001,0.0215957988,0.002896997400000001,0.11714404031999999,0.0023175979200000005,0.0036870876,0.009059700959999998,,0.02307063384,0.0008427628800000001,0.02749513896
Taiwan,,0.00012920472000000006,9.710928e-05,6.460236000000001e-05,0.00038843712,6.460236000000001e-05,3.209544e-05,9.710928e-05,,9.710928e-05,6.460236000000001e-05,0.00116613432,,3.209544e-05,3.209544e-05,,6.460236000000001e-05,3.209544e-05,3.209544e-05,0.00145787364,,,,,6.460236000000001e-05,,,,,,
Hong Kong,,9.6876e-05,,3.1000320000000003e-05,0.01836962712,,,3.1000320000000003e-05,3.1000320000000003e-05,3.1000320000000003e-05,,0.00012787632000000002,,3.1000320000000003e-05,3.1000320000000003e-05,,,,3.1000320000000003e-05,9.6876e-05,,3.1000320000000003e-05,,,6.393816000000001e-05,3.1000320000000003e-05,,,,,0.00016081416000000002
Macau,0.000602154,0.0013247388,0.00032114880000000005,0.0013448105999999999,0.16643536560000002,0.0034322778000000003,0.0007627284,0.000903231,0.0004817232,0.003813642,0.000903231,0.0031914162000000004,0.000501795,0.0006422976000000001,0.0026494776,0.00040143599999999997,0.000602154,0.0022881852,0.00034122060000000003,0.0020272517999999997,0.0004415796,0.00032114880000000005,0.00100359,,0.0023283288,0.0005419386,,2.0071800000000007e-05,2.0071800000000007e-05,,0.0027498365999999996
