,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Heilongjiang,Inner Mongolia,Guangdong,Jiangsu,Anhui,Jilin,Shaanxi,Hunan,Gansu,Shanghai,Sichuan,Zhejiang,Fujian,Guizhou,Hainan,Chongqing,Jiangxi,Hubei,Yunnan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.02749241088,0.0054075146400000005,0.012381692400000002,0.02238812136,0.018749419920000003,0.014908568400000002,0.029210686560000008,0.010107504000000002,0.09895246416,0.010107504000000002,0.004043001599999999,0.016828994160000003,0.009096753600000002,0.01470641832,0.0054075146400000005,0.015060180959999999,0.037599914880000015,0.012482767440000002,0.00384085152,0.019911782880000003,,0.030120361919999998,0.007580628000000001,0.00186988824,0.00166773816,0.0194569452,0.00475052688,0.00096021288,0.0031838637600000003,5.053752e-05,0.04457409263999999
Chongqing,0.011941502759999998,0.0025506122399999998,0.00776777364,0.009390890520000002,0.0057968460000000005,0.00313029684,0.00197092764,0.0017390538,0.18097753212,0.02712923928,0.0064924675200000006,0.0015071799599999998,0.01008651204,0.036867940560000007,0.005217161400000001,0.04451977728,0.47267482283999995,0.02898423,0.0457950834,0.1008651204,0.0041737291200000005,,0.008231521319999999,0.05657721696,0.028752356160000003,0.01692679032,0.00776777364,0.0017390538,0.00197092764,0.00243467532,0.0226076994
Sichuan,0.023043806639999997,0.00884239092,0.01956044052,0.03322595376,0.014201415719999999,0.0107180496,0.003751317360000001,0.00509107356,0.54072560232,0.10905615468,0.017416830600000002,0.0048231223200000005,0.06886346868,0.03590546616,0.031618246319999994,0.1125395208,,0.08547644556,0.09592654392000001,0.17122084236,0.015809123159999997,0.6993527364000001,0.013933464480000001,0.030546441360000003,0.29796177888000003,0.05975312652000001,0.036441368640000006,0.00428721984,0.01688092812,0.02920668516,0.07716995712000001
Guizhou,0.0033868497600000004,0.00109843776,0.0032037768,0.007048308960000002,0.00109843776,0.0016476566400000002,0.0009153648,0.00054921888,0.17538389568,0.020412635039999998,0.006956772480000001,0.0006407553600000003,0.0034783862400000003,0.06773699520000001,0.00118997424,0.019222660800000003,0.12595419648,0.02901706416,0.022060291680000003,,0.00283763088,0.1034362224,0.0077806008000000015,0.002288412,0.19863416160000005,0.08183361312000001,0.00036614592000000013,0.00054921888,0.00018307296000000004,0.0004576824,0.024348703680000004
Yunnan,0.0039986297999999995,0.0010178330400000002,0.004943760479999999,0.007270235999999999,0.00283539204,0.00196296372,0.0022537731600000004,0.00196296372,0.0479835576,0.013449936600000002,0.00552537936,0.0014540472,0.006834021839999999,0.012795615359999998,0.00261728496,0.014395067279999996,0.27212493348,0.01861180416,0.008651580839999999,0.19586015784,0.0017448566399999998,0.021810708,0.004580248679999999,0.0020356660800000003,,0.04623870096,0.00167215428,0.0008724283199999999,0.00116323776,0.00167215428,0.017012352239999997
Tibet,0.00022489488,3.020976e-05,0.00019132847999999995,0.00106741152,3.020976e-05,0.00019132847999999995,6.377615999999999e-05,0.00016111871999999994,0.0006478315199999997,0.00016111871999999994,0.00019132847999999995,3.020976e-05,0.00048335616,0.00019132847999999995,0.00262153584,3.020976e-05,0.01386627984,0.00032223743999999993,9.398591999999999e-05,0.00028867103999999995,6.377615999999999e-05,0.0013594392000000001,6.377615999999999e-05,9.398591999999999e-05,0.00145678176,6.377615999999999e-05,9.398591999999999e-05,9.398591999999999e-05,0.009136774079999998,,0.00019132847999999995
Shaanxi,0.0185509926,0.009595341,0.0184596084,0.0446868738,0.12336867,0.006853815,0.002558757600000001,0.05620128300000001,0.08526145859999999,0.0569323566,0.0131593248,0.0017362998,,0.0104177988,0.0954051048,0.0527286834,0.0640603242,0.0217494396,0.0110574882,0.005939973000000001,0.003107062800000001,0.0138903984,0.0042036732,0.019190682,0.0044778258,0.003655368,0.0134334774,0.037467522,0.015169777200000003,0.000913842,0.09732417300000001
Gansu,0.0090290538,0.008271778320000001,0.01060185672,0.0110678724,0.00530092836,0.0029125979999999997,0.00099028332,0.01374746256,0.02627163396,0.02895122412,0.0040776372,0.00075727548,0.12331939932000002,0.004019385239999999,,0.02959199568,0.03565019952,0.012990187079999998,0.005067920520000001,0.0016310548800000002,0.0016310548800000002,0.006407715600000001,0.0016310548800000002,0.0018640627200000005,0.0015728029199999999,0.0018640627200000005,0.0477666072,0.0704848716,0.06291211680000001,0.0014562989999999999,0.049630669919999995
Qinghai,0.0013874133600000002,0.00032171904,0.0021615498000000003,0.0028150416,0.0009048347999999999,0.0004825785599999999,9.048348e-05,0.0006132769200000001,0.00213138864,0.00300606228,0.00067359924,0.00032171904,0.004624711199999999,0.0006132769200000001,0.04677995916,0.0029759011199999995,0.009520872840000002,0.0014879505599999998,0.00045241739999999996,0.00022118184,0.0003518802,0.00032171904,0.000251343,0.00103553316,0.0005127397200000001,0.00103553316,0.00287536392,0.00141757452,,0.006313736160000001,0.00469508724
Ningxia,0.00297693468,0.0015809709599999998,0.00213599268,0.00190052892,0.00290965932,0.0018332535600000003,0.0013791448799999994,0.02315954268,0.006122057760000001,0.0026741955600000002,0.0009250361999999999,0.0005382028800000001,0.0303580062,0.0006727536,0.054980787959999985,0.0043056230400000004,0.004456992599999999,0.0017491593599999998,0.000420471,0.00018500724,0.00043728984,0.0018332535600000003,0.0002522826,0.00035319563999999993,0.0008073043199999999,0.0013455072,0.002522826,,0.0030105723600000003,0.00011773188,0.012008651759999996
Xinjiang,0.0013913856,0.00054351,0.0030762665999999996,0.005217696,0.0009022266,0.000706563,0.0001847934,0.0011631114,0.0180771426,0.0037176084000000004,0.0013913856,0.0001847934,0.0044676522,0.0015544385999999998,0.020055519,0.0066090816,0.014772601799999997,0.0016522704,0.0007391736,0.0004456781999999999,0.0009674478,0.0032067090000000003,0.0002500146,0.0006413418,0.000706563,0.0003478464,,0.0013913856,0.002228391,0.0001847934,0.011728945800000001
Taiwan,0.00070966368,0.00051824124,0.0007423455600000001,0.00035483184,,9.33768e-05,,,0.01143398916,0.009361024200000002,0.00054625428,6.0694919999999995e-05,2.801304e-05,0.0006116180400000001,,0.006993922320000003,0.00119522304,0.0015547237200000006,0.0044027161200000005,0.00019142244,0.00019142244,0.00012605868,0.00042019560000000015,2.801304e-05,0.00080770932,0.00103648248,2.801304e-05,0.00012605868,,2.801304e-05,0.00129326868
Hong Kong,0.00028982448000000003,0.00035569367999999996,0.0010275595199999998,0.00025030296,0.00025030296,0.0005401274399999999,2.6347680000000007e-05,9.221688000000002e-05,0.09842175864,0.0024239865600000003,0.00028982448000000003,0.00015808608,0.00015808608,0.0014227747199999999,0.00018443376000000004,0.0060863140799999995,0.00180481608,0.0017784684000000004,0.003912630479999999,0.00022395527999999999,0.00080360424,0.00113295024,0.00011856456,5.2695360000000014e-05,0.00022395527999999999,0.00096169032,,,,,0.0034910676
Macau,0.0006712502400000001,0.00025707456,0.0002142288,0.0002142288,0.00048558528,0.00044273952,0.0003856118400000001,0.00012853728,0.12635214624000002,0.00097117056,0.00048558528,0.0003856118400000001,5.712768e-05,0.00097117056,5.712768e-05,0.00194234112,0.00028563840000000003,0.0006712502400000001,0.0008997609600000002,0.00015710112000000002,0.00018566496,0.00025707456,0.0007997875200000001,2.856384e-05,0.00012853728,0.0012853728000000002,,,8.569152e-05,,0.0009997344
