,Hebei,Tianjin,Shandong,Henan,Shanghai,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.019102894199999998,0.013904401680000004,0.017850245400000003,0.02674405188,0.029687776560000007,0.15031785600000006,0.02586719772,0.0119001636,0.012651752880000002,0.0067016710800000025,0.03770472888,0.02461454892000001,0.015908639760000003,0.0181634076,0.010396985040000004,0.013528607040000005,0.027746170920000004,0.006764303520000002,,0.021670824240000004,0.013340709720000002,0.011837531160000005,0.011587001400000005,0.034698371760000006,0.006451141320000001,0.012213325800000004,0.0021295029600000006,0.0022547678400000005,0.0018163407600000005,0.00018789732,0.03726630180000001
Chongqing,0.03223435824,0.01571086368,0.040902420960000005,0.048486975839999995,0.07638730272000001,0.15521249808,0.0785543184,0.017336125440000003,0.015169109760000004,0.008397185759999998,1.10301098112,0.08370098063999999,0.07232414832,0.19069737984,0.030338219520000008,0.00650104704,0.0934525512,0.006771924,0.03440137392,,0.03819365136,0.026545942080000003,0.09697395167999999,0.03954803616,0.016794371519999997,0.284420808,0.0051466622400000005,0.008668062720000001,0.004604908320000001,0.006230170079999999,0.06717748607999999
Sichuan,0.053239077360000005,0.01912107708,0.06073753896000001,0.08323292376000001,0.10647815472000001,0.26469569448,0.10197907776,0.034492923360000004,0.027369384839999997,0.01574676936,,0.11622615480000001,0.24407492507999995,0.08248307760000001,0.034492923360000004,0.01237246164,0.06448676975999999,0.009373076999999999,0.059987692800000006,1.1045233936799999,0.06036261588,0.034867846439999996,0.46527954228,0.058488000479999996,0.08735707764,0.2961892332,0.00974800008,0.02324523096,0.03336815412,0.0487400004,0.12859861644
Guizhou,0.01328355936,0.0039652416,0.01942968384,0.02418797376,0.041040250560000005,0.22681181952,0.049168995839999986,0.007137434879999998,0.006542648639999999,0.00218088288,0.27677386368,0.12926687616,0.019826208,0.03747153312,0.01843837344,0.00218088288,0.18795245184,0.00158609664,0.01705053888,0.27003295296,0.0505568304,0.02894626368,0.33466639104,0.17050538879999996,0.005154814079999999,,0.00138783456,0.0009913104,0.00079304832,0.0009913104,0.030532360319999997
Yunnan,0.02067336432,0.00633538584,0.024341219280000003,0.03434446008,0.05785207596,0.15771776328,0.049682762639999996,0.011003564879999999,0.01016996148,0.00450145836,0.4119668002800001,0.06618810996,0.024341219280000003,0.03301069464,0.018172554119999997,0.00533506176,0.05735191392000001,0.00316769292,0.015505023240000004,0.08319361932,0.030009722400000008,0.02100680568,,0.12320658251999997,0.0061686651600000005,0.33560872884000004,0.00233408952,0.0030009722399999997,0.0016672068,0.00516834108,0.040513125239999996
Tibet,0.0019032278399999999,0.00060300288,0.00275120064,0.006218467199999999,0.00145097568,0.006595344,0.00218588544,0.0010552550400000002,0.0010364112000000002,0.00045225216,0.0782961552,0.0013567564800000002,0.008611634880000002,0.00212935392,0.00173363328,0.0004145644800000001,0.00137560032,0.0003203452800000001,0.0005653152,0.012210808320000002,0.0012625372800000002,0.00086681664,0.010910583359999998,0.0015451948800000001,0.00691568928,0.0016017264,0.00045225216,0.0015075072,0.02862379296,,0.00316576512
Shaanxi,0.08620527060000001,0.0198299664,0.08895943260000001,0.2605437252,0.0878577678,0.1043827398,0.1140223068,0.3742906158,0.0231349608,0.2343791862,0.23162502420000006,0.0735361254,,0.1024548264,0.045443673,0.0101903994,0.0369057708,0.0063345726,0.0264399552,0.0638965584,0.026990787599999996,0.022033296,0.0291941172,0.0181774692,0.3338044344,0.0236857932,0.12283562519999999,0.024512041800000002,0.0300203658,0.005508324,0.1222847928
Gansu,0.019990333440000004,0.00947593728,0.020379755520000004,0.04257681408,0.028687426560000003,0.036216253440000006,0.03517779456,0.013629772800000002,0.006490368000000001,0.0564662016,0.10241800704,0.026740316160000003,0.3741048115200001,0.015966305280000002,0.011682662400000005,0.00155768832,0.009735552,0.0012980736000000005,0.010514396160000005,0.019471104000000003,0.014278809600000003,0.008826900480000002,0.008956707840000001,0.00636056064,,0.007139404800000001,0.15537940992000002,0.05166332928000001,0.15460056576,0.004802872320000001,0.04114893312
Qinghai,0.0056748276000000005,0.00214382376,0.00689386464,0.015258980880000002,0.007314222239999999,0.007818651360000001,0.00865936656,0.00529650576,0.00067257216,0.00353100384,0.03732775488,0.00638943552,0.03543614568,0.00475004088,0.00605314944,0.00079867944,0.00369914688,0.0008407152000000001,0.0023540025600000004,0.00626332824,0.00197568072,0.00109292976,0.0037411826399999996,0.0025221456,0.17890419456,0.00151328736,0.011097440640000001,0.019210342319999997,,0.020639558159999998,0.011727977040000002
Ningxia,0.014601383999999999,0.00427518,0.012233592,0.01775844,0.012365135999999995,0.012299363999999998,0.014535611999999996,0.011970504,0.003551688,0.15107828399999998,0.013088628,0.010063116,0.13029433199999998,0.007629551999999999,0.004604039999999999,0.003485916,0.005459075999999999,0.000920808,0.004340952,0.007103376,0.004801356,0.004143636,0.003222828,0.003551688,0.16074676799999998,0.003485916,,0.004998672,0.009602712,0.0005919479999999999,0.019665828
Xinjiang,0.01398344796,0.0044289212400000005,0.016173027,0.050111502120000005,0.0131872374,0.01522752696,0.015376816439999996,0.006668263440000001,0.0038317633200000006,0.00965405304,0.0602134236,0.011097184679999999,0.04025839644,0.00836021088,0.006767789759999999,0.0022393422,0.010002395159999998,0.00134360532,0.005473947600000001,0.01826307972,0.005523710760000001,0.0029857896,0.005523710760000001,0.00204028956,0.10509979392,0.00353318436,0.008061631920000001,,0.030703869720000002,0.00129384216,0.01935786924
Taiwan,6.429456e-05,,6.429456e-05,3.1881599999999996e-05,0.0014899334400000001,0.0003560112,0.00029118528,3.1881599999999996e-05,3.1881599999999996e-05,6.429456e-05,,0.00012912048000000002,,,,,,3.1881599999999996e-05,,3.1881599999999996e-05,0.00194371488,3.1881599999999996e-05,,3.1881599999999996e-05,,9.670752e-05,,,3.1881599999999996e-05,,0.0001939464
Hong Kong,3.188808000000001e-05,,3.188808000000001e-05,6.377616000000002e-05,0.00064687248,0.020800139040000002,3.188808000000001e-05,,6.377616000000002e-05,,6.377616000000002e-05,6.377616000000002e-05,,6.377616000000002e-05,6.377616000000002e-05,,,,6.377616000000002e-05,,0.00025738236,,,6.377616000000002e-05,3.188808000000001e-05,3.188808000000001e-05,,,,,0.00016171812
Macau,0.00090154296,0.00041157396,0.0005683640399999999,0.00125432064,0.00290061648,0.17170473635999994,0.0021558636000000003,0.00037237644,0.00045077148,0.00015679008,0.0009211417199999998,0.00203827104,0.0005095677599999999,0.00139151196,0.00021558636000000003,0.0005487652800000001,0.0017050921199999998,7.839504e-05,0.0005683640399999999,0.0004703702399999999,0.0009211417199999998,0.0011563268400000002,0.00017638883999999998,0.0016462958399999998,5.879627999999999e-05,0.0007643516400000001,5.879627999999999e-05,,,,0.00145030824
