,Hebei,Tianjin,Shandong,Henan,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Heilongjiang,Liaoning,Sichuan,Anhui,Shanghai,Shaanxi,Hainan,Zhejiang,Jilin,Hubei,Gansu,Hunan,Yunnan,Jiangxi,Chongqing,Guangxi,Fujian,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0292532796,0.011345378400000002,0.0259720182,0.023191288199999997,0.0179079012,0.0096769404,0.1069468758,0.016128233999999998,0.021411621,0.008787106800000001,0.030031884000000005,0.0079528878,0.022190225400000003,0.016517536200000002,,0.013903650000000002,0.011400993,0.011400993,0.0062844498,0.0235805904,0.0104555448,0.008286575400000001,0.0167399946,0.0298650402,0.0114566076,0.0140148792,0.004226709600000001,0.003614949000000001,0.0017240526,5.5614600000000015e-05,0.040487428799999996
Chongqing,0.01640620332,0.0071141943599999985,0.02337521004,0.023520397680000003,0.01335726288,0.00493637976,0.09364602779999999,0.02526264936,0.004210441559999999,0.0029037528,0.6068843352000001,0.01480913928,0.02061664488,0.03513540888,0.02308483476,0.03324796956,0.0036296909999999996,0.07578794807999999,0.014518763999999998,0.04616966952,0.06780262788,0.01335726288,,0.02642415048,0.02047145724,0.19556775108,0.007840132560000001,0.00392006628,0.00348450336,0.004210441559999999,0.0174225168
Sichuan,0.0319665042,0.0117001584,0.043875594,0.0463827708,0.0284146704,0.0100287072,0.1606682466,0.041368417199999986,0.0091929816,0.006267942,,0.0179681004,0.029250395999999994,0.1234784574,0.0373987206,0.04784529059999999,0.006059010599999999,0.041159485799999986,0.0789760692,0.035100475199999995,0.3021148044,0.015669855,0.5789489094,0.0367719264,0.027996807599999996,0.1865757402,0.0227735226,0.011491227,0.0284146704,0.0248628366,0.0430398684
Guizhou,0.00990170568,0.00311514336,0.013239359279999998,0.016020737280000003,0.005228990639999999,0.00211384728,0.12404945880000001,0.01958090112,0.00311514336,0.00155757168,0.16354502640000002,0.00812162376,0.01190429784,0.012571828559999998,0.013350614399999999,0.052734926880000005,0.0013350614399999998,0.0161319924,0.00367141896,0.10224345528,0.2163912084,0.01457442072,0.15775976015999998,0.1023547104,0.024031105919999997,,0.00122380632,0.0011125512,0.00077878584,0.00033376535999999994,0.00867789936
Yunnan,0.019930587840000003,0.006252733440000001,0.0214937712,0.02032138368,0.010551487679999999,0.00478724904,0.08656127856000001,0.02159147016,0.0064481313600000005,0.004884948,0.2452243896,0.009965293920000002,0.019539792,0.015436435680000003,0.01084458456,0.029211989040000007,0.00361486152,0.014654843999999998,0.006838927199999999,0.03263145264,,0.01016069184,0.048654082080000015,0.07610748984,0.01680422112,0.20311613784,0.00351716256,0.00224707608,0.00234477504,0.0040056573600000004,0.017585812800000003
Tibet,0.0015793250400000002,0.0003227817600000001,0.0017061321600000002,0.0035851831200000004,0.0009683452800000001,0.0003227817600000001,0.00180988344,0.00106056864,0.000288198,0.00034583760000000003,0.0425956644,0.0012911270400000007,0.0006801472799999999,0.005118396480000001,0.00044958888,0.0008415381599999999,0.00044958888,0.00232863984,0.00964886904,0.00152168544,0.006317300160000001,0.00038042136,0.006317300160000001,0.00050722848,0.00038042136,0.0012911270400000007,0.00118737576,0.00034583760000000003,0.02108456568,,0.00038042136
Shaanxi,0.07377627744000001,0.016203201119999996,0.06757079616,0.15048292104,0.241324272,0.14875917624,0.06929454095999997,0.05205709296,0.0112043412,0.0103424688,0.12635049384000002,0.03033790848,0.0241324272,,0.016203201119999996,0.03223402776,0.007067353679999998,0.05102284608,0.26218158408000003,0.023270554800000003,0.02378767824,0.0112043412,0.032406402239999986,0.013789958400000002,0.01568607768,0.01516895424,0.02551142304,0.08997947855999999,0.029303661600000006,0.004309362,0.04498973928
Gansu,0.017675858880000003,0.007692271919999999,0.01644836868,0.023240481119999996,0.01399338828,0.042143830199999996,0.01906701444,0.022094823600000004,0.0025368130800000003,0.0027823111200000004,0.05040893088000001,0.006955777800000001,0.00990175428,0.21914791704000006,0.006546614399999999,0.012520400039999999,0.0027004784399999996,0.0098199216,,0.007446773879999999,0.00679211244,0.00384613596,0.00924709284,0.006055618320000001,0.0066284470800000005,0.005810120279999999,0.04631729688,0.10736447616,0.11112877944,0.004991793479999999,0.01571187456
Qinghai,0.005728219559999999,0.001357398,0.006977025719999999,0.01183651056,0.00456085728,0.00377356644,0.0060811430400000005,0.00412648992,0.0002714796,0.00059725512,0.019003572,0.00276909192,0.00114021432,0.0202252302,0.0035835307200000003,0.0025790562,0.000678699,0.00404504604,0.12167715671999997,0.0029862756,0.00219898476,0.00073299492,0.0032577552000000003,0.00119451024,0.00219898476,0.00111306636,0.009610377840000002,0.00727565328,,0.01525715352,0.00423508176
Ningxia,0.01428667632,0.0024381453600000004,0.011549109600000005,0.012105177840000002,0.010265875200000002,0.09940789152000001,0.006630044400000001,0.006287848560000001,0.00132600888,0.0008982640800000001,0.007613857440000002,0.00440577144,0.0025664688000000004,0.07772123016000003,0.00248091984,0.005646231360000001,0.00124045992,0.0036358308000000008,0.11835698616,0.0023953708800000004,0.0027375667200000005,0.0011976854400000002,0.0037213797600000004,0.00153988128,0.0019248516000000004,0.00162543024,0.0066728188800000005,,0.00829824912,0.00081271512,0.0073572105600000015
Xinjiang,0.013536266399999998,0.004159188,0.014557158,0.027904370400000003,0.007675592399999999,0.0131203476,0.0113810508,0.007940268,0.0026845668,0.0031761072,0.028055613599999998,0.005331322800000001,0.0049532147999999995,0.0283581,0.0063144036,0.0066925116,0.0015880535999999998,0.004726350000000001,0.11721348,0.004726350000000001,0.0038188908,0.0016636752000000002,0.008847727199999999,0.0023442696,0.0035164044000000005,0.0021930264,,0.0095283216,0.0203422104,0.0007940267999999999,0.0103223484
Taiwan,0.00038807748,3.2014440000000006e-05,0.0006153019200000001,0.00025845804,0.00022644360000000002,0.00016163388,0.00048568248,0.00019364832,0.00025845804,0.00048568248,0.00022644360000000002,0.00016163388,0.00048568248,3.2014440000000006e-05,3.2014440000000006e-05,0.00035606303999999994,0.00042087276,0.00029125332,0.0001288386,9.682416e-05,9.682416e-05,0.0001288386,9.682416e-05,0.00025845804,0.0011985894,0.00019364832,0.0001288386,6.402888000000001e-05,3.2014440000000006e-05,3.2014440000000006e-05,3.2014440000000006e-05
Hong Kong,0.00022556232000000006,3.1175280000000005e-05,0.00016137792000000002,6.41844e-05,9.719352e-05,0.0001283688,0.015648156719999997,3.1175280000000005e-05,3.1175280000000005e-05,6.41844e-05,3.1175280000000005e-05,0.0001283688,0.00022556232000000006,,,3.1175280000000005e-05,3.1175280000000005e-05,6.41844e-05,,6.41844e-05,6.41844e-05,,,0.0001283688,0.0005831611200000001,3.1175280000000005e-05,6.41844e-05,,3.1175280000000005e-05,,3.1175280000000005e-05
Macau,0.0009962028,0.0004173282,0.0009962028,0.0007000343999999999,0.0006461856,5.38488e-05,0.1148460282,0.0013866066,0.00012115979999999997,0.0004173282,0.0006057990000000001,0.00035001719999999995,0.0023962716,0.0002153952,0.000740421,0.0012519846,0.0002557818,0.0008615808,2.69244e-05,0.0012519846,0.0002557818,0.0005788745999999999,0.0002153952,0.0016423883999999998,0.0012250602,0.0002557818,2.69244e-05,,2.69244e-05,,0.0016154639999999998
