,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Guangdong,Inner Mongolia,Anhui,Sichuan,Heilongjiang,Shanghai,Hubei,Zhejiang,Shaanxi,Liaoning,Hunan,Jilin,Jiangxi,Gansu,Hainan,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0186810624,0.0486486,0.025297272000000003,0.01074161088,0.02086051968,0.02965618656,0.14835877056,0.009651882240000001,0.01525620096,0.05129508384,0.025764298560000003,0.038451853439999996,0.0260756496,0.02233943712,0.022806463680000003,0.00980755776,0.04195455264,0.01299890592,0.01969295328,0.0089513424,,0.029500511040000007,0.02086051968,0.01260971712,0.023195652480000002,0.04031995968,0.00677188512,0.0024129705600000003,0.0028021593599999997,0.0005448643200000001,0.03082375296
Chongqing,0.014578030080000004,0.055123176240000016,0.029839405320000005,0.005694543000000001,0.0159447204,0.047150816040000015,0.10523515464,0.008655705360000002,0.023461517160000004,1.02889002924,0.006150106440000002,0.035761730040000016,0.15466378788,0.047606379479999995,0.051478668719999995,0.004327852680000001,0.08063472888000002,0.003872289240000001,0.022778172000000003,0.0182225376,0.025511552640000008,,0.08063472888000002,0.02824493328,0.2972551446000001,0.031206095640000008,0.01640028384,0.007516796760000001,0.005011197840000001,0.005011197840000001,0.017766974160000004
Sichuan,0.02192581224,0.08325882756,0.042962740199999995,0.01096290612,0.02637023364,0.06785150004,0.15822140184,0.01214808516,0.02785170744,,0.0118517904,0.05451823584,0.066666321,0.06637002624000002,0.17599908744000003,0.008296253280000002,0.05066640396000001,0.008296253280000002,0.02577764412,0.08533289088,0.04414791924,0.9931800355200002,0.42933110724,0.03437019216,0.28385038008,0.03792572928,0.02192581224,0.01007402184,0.02755541268000001,0.028740591720000007,0.04118497164
Guizhou,0.00533791296,0.02832059376,0.014382709920000004,0.0020758550400000004,0.00459653616,0.024020608320000005,0.12573750528000002,0.0025206811200000003,0.013344782400000005,0.24183711215999998,0.0020758550400000004,0.016013738880000003,0.025948188000000004,0.047744665920000005,0.01527236208,0.00192757968,0.16562357712,0.00163102896,0.020906825759999997,0.004003434720000001,0.009341347679999999,0.23768540208,0.28795074911999996,0.026986115520000003,,0.14367882384000005,0.00118620288,0.00118620288,0.00044482608,0.00088965216,0.007858594080000001
Yunnan,0.011165999040000001,0.036766094400000005,0.02451072960000001,0.00626385312,0.01307238912,0.032272460640000014,0.08469818784000001,0.004085121600000001,0.017157510719999998,0.38767803984,0.00789790176,0.028323509760000004,0.0292767048,0.041123557440000014,0.02137880304,0.00367660944,0.04371080112,0.00367660944,0.021242632320000003,0.0059915116800000005,0.012663876960000002,0.06917472576,,0.02219582736,0.29984792544000005,0.09994930848,0.00422129232,0.0020425608000000004,0.003404268,0.004493633760000001,0.017429852160000002
Tibet,0.00110113992,0.006801978239999999,0.0016168636800000002,0.0004739083200000001,0.0011290168800000002,0.0020628950399999998,0.00142172496,0.00022301567999999999,0.00110113992,0.05656235184,0.00044603135999999997,0.0005714776799999999,0.0025786188,0.0009060012,0.007220132640000001,0.00034846199999999996,0.0017144330399999996,0.00034846199999999996,0.0005714776799999999,0.00702499392,0.00012544632,0.009060012,0.006997116959999999,0.0005714776799999999,0.00110113992,0.00034846199999999996,0.0010314475199999999,0.0005714776799999999,0.024364463040000003,,0.0008084318400000001
Shaanxi,0.04434372864,0.2900818915200001,0.08037300816000001,0.012933587520000005,0.29377720224000003,0.07898726664000001,0.069287076,0.20070156348,0.05750827308000001,0.19816103736000004,0.013626458280000002,0.032564925720000006,0.09977338944,0.04711521168000001,,0.012240716760000004,0.035798322599999995,0.008314449120000001,0.02355760584000001,0.32772786948000004,0.01639794132,0.04896286704000001,0.025405261200000005,0.024019519680000004,0.024250476600000005,0.01940038128,0.034412581080000004,0.11016645084000001,0.035105451839999996,0.00485009532,0.03626023644000001
Gansu,0.015835629599999998,0.05560065504000001,0.02428129872,0.007976465280000001,0.01794704688,0.04269754944,0.0258062112,0.048679898400000005,0.01513182384,0.08199337104000001,0.0041055336,0.015014522880000002,0.02310828912,0.018416250720000003,0.32363334864,0.00422283456,0.013724212319999998,0.0037536307200000006,0.007741863359999999,,0.0076245624000000015,0.0164221344,0.0134896104,0.00903217392,0.008680271040000001,0.006920756640000001,0.053606538720000006,0.13618641456,0.15096633552000002,0.0056304460800000004,0.012785804640000002
Qinghai,0.0033733713600000003,0.02280692376,0.008250093,0.0016133515200000002,0.0038500434000000006,0.007663419720000001,0.00597673404,0.0027500309999999996,0.004436716679999999,0.028783657799999997,0.00047667204000000004,0.00282336516,0.0055367290799999995,0.0038867104799999996,0.02940699816,0.0007333416000000001,0.002970033480000001,0.00044000496,0.0012466807200000002,0.1701352512,0.00216335772,0.004986722880000001,0.00282336516,0.00245669436,0.0010266782400000002,0.0011733465600000002,0.015913512720000002,0.00902010168,,0.016280183519999998,0.0032267030400000003
Ningxia,0.005382527760000001,0.02015809416,0.01097613504,0.0023218747200000004,0.008337641040000001,0.00997350732,0.0059102265600000006,0.13889032416,0.00638515548,0.008812569959999999,0.00242741448,0.00332450244,0.00511867836,0.005382527760000001,0.10232079732000003,0.00121370724,0.00374666148,0.0013192470000000002,0.00221633496,0.14733350496,0.0021635650800000002,0.00385220124,0.0036938916,0.00253295424,0.00200525544,0.00205802532,0.0041160506400000005,,0.0087070302,0.00036938916000000014,0.005699147040000001
Xinjiang,0.007549737840000001,0.06195068568,0.02050744392,0.0048189816,0.01156555584,0.01777668768,0.012475807920000002,0.010601759519999998,0.00867416688,0.03940856064,0.00315911016,0.008513534159999999,0.01167264432,0.00958441896,0.04133615328,0.0020882253600000003,0.01119074616,0.00182050416,0.00203468112,0.14708602728,0.006157587599999999,0.01750896648,0.00706783968,0.0055150567200000005,0.004765437359999999,0.00123151752,,0.01028049408,0.02934224352,0.00096379632,0.01804440888
Taiwan,6.48e-05,,3.24e-05,3.24e-05,,0.0001296,9.719999999999999e-05,3.24e-05,,9.719999999999999e-05,,0.000162,,9.719999999999999e-05,,3.24e-05,,,,,,3.24e-05,,0.00029160000000000004,,,,,,,
Hong Kong,,,,,,3.1201199999999995e-05,0.016037416799999996,,3.1201199999999995e-05,,,0.0004853519999999999,,,,,,,,,,,,0.0004194828,,,,,,,6.41358e-05
Macau,0.00074311344,0.00035540208,0.0008400412800000001,0.00035540208,0.0005492577599999999,0.0026816702400000005,0.09269532432,9.692783999999999e-05,0.00025847424,0.00038771135999999997,0.00019385567999999999,0.0020354846399999998,0.00074311344,0.0012600619199999998,0.00025847424,0.00016154640000000002,0.00071080416,6.461856e-05,0.00019385567999999999,,0.00019385567999999999,0.00022616496,,0.00106620624,0.00022616496,0.00051694848,,6.461856e-05,,,0.0006784948799999999
