,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Guangdong,Jiangsu,Sichuan,Gansu,Zhejiang,Heilongjiang,Jilin,Guizhou,Shanghai,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.017371195199999998,0.0019665504,0.0087675372,0.0244999404,0.011266694999999998,0.0123728796,0.014708158199999996,0.007989110999999998,0.010365359399999998,0.005039285399999999,0.13155402779999995,0.0098737218,0.0196245342,0.005080255199999999,0.014872037399999996,0.013069366199999998,0.009750812399999998,0.012209000399999998,0.008112020399999998,0.009832751999999998,0.005080255199999999,0.0041789196,,0.0132742152,0.0021713994,0.0167156784,0.0015978222000000001,0.0017617013999999996,0.0015978222000000001,,0.013561003799999995
Chongqing,0.016209963,0.0055998054,0.0173888694,0.035661918599999995,0.0114943374,0.006778711800000001,0.1659310758,0.0032419926,0.0568822338,0.0218097684,0.473036193,0.08252344799999999,0.6828815322,0.014146876799999998,0.44916333840000006,0.0008841797999999999,0.0017683595999999997,0.2885373414,0.045093169800000006,0.0562927806,0.1420582212,0.193045923,0.015031056599999999,,0.004420899,0.0642503988,0.06041895299999999,0.0020630862,0.007073438399999999,0.0064839852,0.0126732438
Sichuan,0.040631045039999994,0.016595778959999998,0.06466631112,0.12532674455999998,0.044636922720000013,0.0171680472,0.0972856008,0.01087309656,0.27239968224,0.04406465448,1.14453648,0.2546593668,,0.08126209007999999,0.60145392024,0.00171680472,0.00343360944,0.44694149544,0.0972856008,0.045209190960000006,0.61118248032,0.22661822304,0.038914240319999994,1.0844483148000001,0.014306706,0.18369810504,0.01258990128,0.008011755360000001,0.02689660728,0.05493775104,0.04177558152
Guizhou,0.008813843279999999,0.00293794776,0.0146897388,0.021544950240000003,0.00440692164,0.00293794776,0.4382438742,0.00097931592,0.01909666044,0.02546221392,1.05913016748,0.13171799124000003,0.25070487552,0.00587589552,1.32893170344,,0.00048965796,,0.034276057199999994,0.16060781087999998,0.49112693388000006,0.27322914168,0.010772475120000001,0.25217384940000004,0.00048965796,0.3280708332,0.00832418532,0.00146897388,0.00048965796,0.00048965796,0.01175179104
Yunnan,0.011353539959999995,0.0014493880799999995,0.02004986844,0.019566739080000003,0.0072469404000000005,0.0036234702000000002,0.08962049627999999,0.00217408212,0.01642639824,0.02004986844,0.3877113114,0.09227770775999998,0.45124282224,0.005797552319999999,0.36041450256,0.00265721148,0.00169095276,0.4983479348399999,0.02246551524,0.034302184560000004,,0.06981219252,0.0067638110400000005,0.053868923640000003,0.0019325174399999997,0.2089534482,0.00410659956,0.0009662587199999998,0.0024156468,0.0036234702000000002,0.01062884592
Tibet,9.57906e-05,6.386039999999999e-05,0.0003867102,0.0010359576,0.0002589894,0.0001915812,0.0005818391999999999,6.386039999999999e-05,0.0007769681999999999,0.0002235114,0.0007450380000000001,0.000159651,0.013510022399999995,0.002394765,0.0002235114,3.1930199999999995e-05,,0.0002235114,3.1930199999999995e-05,6.386039999999999e-05,0.002785023,9.57906e-05,3.1930199999999995e-05,0.0005179787999999999,0.000159651,6.386039999999999e-05,9.57906e-05,0.00012772079999999998,0.0103666716,,0.00012772079999999998
Shaanxi,0.050242971600000005,0.0142160346,0.0558904374,0.14975521380000004,0.269715177,0.0089580492,0.0239530446,0.19240331760000004,,0.0375848586,0.16630813079999998,0.1446919686,0.1359286596,0.21947220539999998,0.13514969880000002,0.0023368824,0.0037000638,0.0313531722,0.034469015400000004,0.015384475800000004,0.024342525000000004,0.023368824,0.005257985400000001,0.0383638194,0.0070106472,0.012658113000000002,0.020447721,0.061537903200000015,0.018500318999999998,0.0044790246,0.0368058978
Gansu,0.01385710416,0.011845589040000002,0.020338652880000002,0.0296139726,0.012739595759999998,0.00346427604,0.006816801239999999,0.061909965359999986,0.36028470816,0.01039282812,0.039112794,0.06883851744,0.056657675879999994,,0.046488349439999986,0.00044700335999999993,0.0006705050399999999,0.0061462962,0.026037945719999997,0.0089400672,0.0075990571200000015,0.00871656552,0.00257026932,0.01218084156,0.02715545412,0.003911279399999999,0.0022350168,0.11219784335999998,0.13220124372,0.00692855208,0.01542161592
Qinghai,0.00267482088,0.00077590224,0.0038795112,0.00410411448,0.00310360896,0.0003062772,0.00167431536,0.0033690492000000003,0.012884060879999996,0.0006329728799999999,0.0024502176,0.0032057013600000003,0.01002547368,0.12195958104,0.0030423535200000003,0.00012251088,2.041848e-05,0.0006329728799999999,0.0006738098399999999,0.00046962504,0.00155180448,0.0005104619999999999,0.00022460328,0.00106176096,0.00420620688,0.00053088048,8.167392e-05,0.004920853679999999,,0.013210756559999998,0.00157222296
Ningxia,0.003669261120000001,0.002921819040000001,0.004348753920000001,0.006421206960000001,0.005096196000000001,0.0004756449600000002,0.00122308704,0.09489116952,0.06407617103999999,0.00285386976,0.007916091120000001,0.0069308265600000005,0.004382728560000001,0.10260341280000003,0.00557184096,6.794928000000003e-05,0.00016987320000000006,0.00122308704,0.0022083516000000005,0.0017666812800000004,0.0016987320000000005,0.002276300880000001,0.00081539136,0.0017666812800000004,0.0013250109600000002,0.0016987320000000005,0.0006455181600000001,,0.006625054800000001,0.0002717971200000001,0.003295540080000001
Xinjiang,0.002229768,0.0014529455999999993,0.0047184767999999995,0.00935064,0.0013810175999999998,0.001294704,0.0024887087999999995,0.0070489440000000006,0.009005385599999999,0.0014241743999999998,0.01402596,0.005236358399999999,0.009739051199999998,0.04214980799999999,0.0050493456,0.00025894080000000004,0.0005178816000000001,0.0007048943999999999,0.0053082864,0.0004747248,0.0013234751999999998,0.0031072896000000003,0.0007336656,0.0027476495999999998,,0.0013234751999999998,0.0004747248,0.0018413568,0.0040423536,8.631359999999999e-05,0.0040711248
Taiwan,6.312168e-05,0.00025805627999999996,0.00038801268,0.00016151723999999998,,3.156084e-05,0.00012809988000000002,,6.312168e-05,0.00035459532,0.004858512840000001,0.00346612284,0.00103593816,3.156084e-05,0.00142395084,0.00012809988000000002,,6.312168e-05,0.0031746492000000004,0.00016151723999999998,,0.00181382004,6.312168e-05,6.312168e-05,,3.156084e-05,6.312168e-05,,,,0.00045299088
Hong Kong,0.00015889607999999998,6.150815999999999e-05,0.000128142,6.150815999999999e-05,3.075408e-05,,0.00022552992,3.075408e-05,9.226224e-05,9.226224e-05,0.04191781104,0.00035367192,0.00042030576,3.075408e-05,0.0006150816000000001,,3.075408e-05,3.075408e-05,0.0006765897599999999,0.000128142,0.000128142,0.00103538736,0.00022552992,3.075408e-05,9.226224e-05,0.00045105984,3.075408e-05,6.150815999999999e-05,,,0.00096875352
Macau,0.00038787660000000004,2.8106999999999997e-05,0.0001292922,9.55638e-05,6.183540000000001e-05,6.183540000000001e-05,0.00038787660000000004,2.8106999999999997e-05,2.8106999999999997e-05,6.183540000000001e-05,0.0489511512,0.0004834404,0.0002585844,,0.0005790042,2.8106999999999997e-05,2.8106999999999997e-05,0.00015739920000000006,0.0001292922,0.0004834404,2.8106999999999997e-05,0.0003204198,6.183540000000001e-05,9.55638e-05,,0.0004159836,,,,,0.0005790042
