,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Inner Mongolia,Anhui,Heilongjiang,Jiangsu,Jilin,Shaanxi,Sichuan,Gansu,Hunan,Guangdong,Zhejiang,Hubei,Jiangxi,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Sichuan,0.09735510528,0.09583393176,0.2053584252,0.095073345,0.040311098279999985,0.017493495479999996,0.02433877632,0.08290395683999999,0.02585994984,0.12093329484000001,0.019775255759999995,0.36660281832,,0.2053584252,0.20307666492,0.27457182035999994,0.10496097288,0.17721671507999998,0.09279158472,0.08670689063999998,0.13538444328,2.9967118343999988,0.06236811431999997,1.0503703155600002,0.18406199592,0.5864123919600001,0.01825408224,0.055522833479999985,0.03346581744,0.04107168504,0.08062219655999997
Guizhou,0.026275959360000004,0.030863825280000007,0.07340585472000001,0.01334651904,0.008341574400000001,0.00375370848,0.0029195510400000005,0.040456635840000005,0.0070903382400000015,0.05088360384,0.004587865920000001,0.038371242240000006,1.03101859584,0.012095282879999999,0.5960054908800001,0.21354430464,0.08716945247999999,0.09050608224,0.09175731840000002,0.08091327168000001,0.0813303504,0.7073655091200001,0.020853936000000003,0.5618050358400001,0.24983015328,,0.00125123616,0.0020853936000000003,0.00125123616,0.0008341574400000001,0.030863825280000007
Yunnan,0.03791936268,0.038944210319999985,0.07583872536,0.02698765452,0.017080794,0.00922362876,0.00649070172,0.038944210319999985,0.00785716524,0.05090076612,0.0071739334799999985,0.04645975968,1.17618347484,0.01776402576,0.16670854944,0.119565558,0.07208095067999999,0.05329207728,0.06559024895999999,0.05773308372,0.014006251079999995,0.31804438428000004,0.02835411804,,0.13801281552,0.7594121012399999,0.0051242382,0.004099390559999999,0.00273292704,0.0051242382,0.04065228972
Tibet,0.0029758752000000003,0.00403704,0.010842336,0.0023760864,0.0014071968,0.0002076192,0.00032296320000000007,0.0023530176000000004,0.00048444480000000005,0.0026990496,0.0003691008,0.010496304,0.0924828192,0.0159405408,0.0033219072,0.0028836,0.0014764032,0.0022607423999999997,0.0016378848,0.0011765088000000002,0.0005767200000000001,0.012941596800000002,0.0025144992,0.0093890016,0.0006459264000000001,0.0024914304000000003,0.0008535456,0.0005997888,0.0393553728,,0.0012226464
Shaanxi,0.15693610679999995,0.17976317688000001,0.8379436975200001,0.5559342692399999,0.034716169080000005,0.015693610679999997,0.19212783984,0.15170490323999994,0.022351506119999996,0.14694926363999994,0.016169174640000002,,0.45796809348000006,0.7770715106399999,0.07846805339999999,0.09368610011999998,0.07276128588,0.17025189767999996,0.048983087879999984,0.06848121023999999,0.048983087879999984,0.13981580423999998,0.03899624471999999,0.0546898554,0.03661842492,0.033289477199999994,0.14552257176,0.03899624471999999,0.043751884320000003,0.0066578954400000005,0.07894361736000001
Gansu,0.02922184512,0.032874575760000004,0.08822749392000001,0.02163540456,0.008148399119999998,0.006041054519999999,0.060410545199999985,0.022759321680000003,0.00252881352,0.03484143072,0.0021073446,0.32425008912,0.13444858548,,0.01910659104,0.031048210439999994,0.027816948719999998,0.02585009376,0.011801129760000001,0.01938757032,0.02135442528,0.03132918972,0.016296798239999997,0.01292504688,0.00969378516,0.007024481999999999,0.15439811435999998,0.06869943396,0.14358041208000002,0.00365273064,0.030486251880000002
Qinghai,0.01341903024,0.015404498999999999,0.04326952608000001,0.010748917080000002,0.00198546876,0.0016431465599999998,0.00499790412,0.00903730608,0.00116389548,0.016363001159999998,0.0008215732799999999,0.06086488716000001,0.06702668676,0.31445717291999997,0.00814726836,0.011502025919999999,0.007804946159999999,0.007257230640000002,0.00301243536,0.005819477400000001,0.0056825485200000005,0.014925247919999999,0.0023962554,0.0060248707200000005,0.0030808998000000005,0.00253318428,0.01136509704,0.0074626239599999995,,0.01903311432,0.0060248707200000005
Ningxia,0.029676413879999995,0.02477931588,0.04857921216,0.027325806839999998,0.0043094462400000005,0.00264443292,0.14730470783999994,0.01361393244,0.0039176784,0.015768655559999997,0.00186089724,0.20724518735999997,0.02370195432,0.32526524916,0.00411356232,0.0076394728799999995,0.01038184776,0.0063662274000000005,0.00450533016,0.005974459559999999,0.006953879159999999,0.00901066032,0.006953879159999999,0.0058765176,0.0038197364399999998,0.0014691294,,0.00822712464,0.009696254039999998,0.00039176784,0.01047978972
Xinjiang,0.0363200922,0.05224995719999999,0.13725171683999998,0.02217437208,0.0077737741199999984,0.005352434639999999,0.0101951136,0.0267621732,0.005224995719999999,0.04154508792,0.00433292328,0.10182369707999997,0.15190719264,0.40219723152,0.021664616400000003,0.03198716892,0.02115486072,0.01694937636,0.00930304116,0.014655475799999996,0.01631218176,0.037594481400000004,0.013635964440000002,0.009048163319999998,0.006117068159999999,0.005479873559999999,0.02077254396,,0.01886096016,0.0011469502799999998,0.022301811
Taiwan,0.0010037358,0.00116574228,0.0005811102000000001,0.00019370340000000004,0.00048249755999999996,0.00038740680000000013,3.169692e-05,0.00035570987999999996,0.00041910372000000004,0.0038846336400000002,6.339384e-05,0.0004508006400000001,0.0005811102000000001,9.509076e-05,0.0007748136000000003,0.007808007960000002,0.0022328719199999998,0.00032049107999999996,0.00051771636,0.00472988484,9.509076e-05,0.00061280712,0.00314151696,0.00025709724000000004,0.00051771636,0.00025709724000000004,,3.169692e-05,,,0.00103543272
Hong Kong,0.00237897,0.00454167,0.00346032,0.00122553,0.00194643,0.00173016,0.00043254,0.00317196,0.00079299,0.007713630000000002,0.00093717,0.00281151,0.0057672,0.00043254,0.01376919,0.5399541000000001,0.01110186,0.00201852,0.00547884,0.04512834,0.00483003,0.00317196,0.01052514,0.00259524,0.01110186,0.00309987,0.00028836,0.00014418,0.00014418,,0.011822759999999998
Macau,0.00141210216,0.00141210216,0.00240580368,0.00167360256,0.0010983016799999998,0.0013598020799999995,0.0005230008,0.00271960416,0.00031380047999999985,0.008054212319999999,0.00057530088,0.00141210216,0.00308570472,5.230008e-05,0.006380609759999999,0.41259533112,0.01066921632,0.00230120352,0.005857608960000001,0.008681813279999999,0.00381790584,0.002615004,0.013650320879999995,0.00057530088,0.007060510799999999,0.0015167023199999998,5.230008e-05,0.00010460016,,,0.007374311279999999
