,Hebei,Henan,Tianjin,Shandong,Shanxi,Heilongjiang,Liaoning,Inner Mongolia,Jilin,Anhui,Hunan,Shaanxi,Guangdong,Gansu,Jiangsu,Sichuan,Shanghai,Zhejiang,Guizhou,Fujian,Chongqing,Jiangxi,Hainan,Guangxi,Yunnan,Xinjiang,Ningxia,Hubei,Qinghai,Tibet,Beijing
Hainan,0.041648508720000005,0.04444150536,0.007639667280000002,0.0156079224,0.029080023839999997,0.0386090712,0.018975947759999997,0.013554248400000002,0.026040586319999996,0.006243168960000001,0.03187302048,0.020454593040000003,0.15123255336000002,0.011089839600000002,0.01790803728,0.06670333151999999,0.022343973120000003,0.02193323832,0.046413032400000005,0.007064638559999999,0.042141390480000006,0.014540011919999998,,0.03663754416,0.00386090712,0.0064896098400000005,0.00468237672,0.0029572905600000004,0.005585993280000001,8.214696000000001e-05,0.06177451392
Chongqing,0.015151681800000004,0.018182018160000004,0.0051693973200000005,0.01051704972,0.007486713359999999,0.0030303363600000005,0.00588241764,0.0026738262000000003,0.0026738262000000003,0.01301262084,0.05918068656,0.02352967056,0.24171388848,0.008912754,0.038146587120000006,0.7451062344,0.0454550454,0.06078498228,0.16773803027999998,0.06363706356000001,,0.01479517164,0.00855624384,0.03975088284,0.05597209512000001,0.011230070040000002,0.0028520812800000004,0.06256753307999999,0.0016042957199999999,0.002495571120000001,0.03992913792000001
Sichuan,0.035697464639999996,0.051606117360000016,0.015132620880000003,0.02948920992,0.02250492336,0.0058202388,0.019012780080000003,0.0069842865600000005,0.0069842865600000005,0.026385082560000002,0.06169453128000001,0.10903247352000002,0.6662233346400002,0.05471024472,0.13735763568000006,,0.12144898296000002,0.14705803368000006,0.29877225840000005,0.13852168344000002,1.12873831128,0.024833018880000002,0.02095285968,0.09234778896,0.3903440155200001,0.043069767120000005,0.0069842865600000005,0.030653257680000007,0.026385082560000002,0.03647349648,0.11446469640000002
Guizhou,0.00469857024,0.013214728800000002,0.00264294576,0.00572638248,0.00264294576,0.00132147288,0.0020556244800000005,0.0010278122400000005,0.00058732128,0.01218691656,0.10821394584,0.00704785536,0.23155141464,0.0019087941600000003,0.03949735608,0.20101070808,0.028338251760000006,0.0895664952,,0.04874766624,0.15549330888000001,0.02011575384,0.0044049096000000005,0.14962009608,0.29968068312,0.00044049096,0.0007341516,0.00234928512,0.00058732128,0.00044049096,0.02877874272
Yunnan,0.007848310320000001,0.01452523104,0.00386558568,0.01007395056,0.006208364880000001,0.0046855584,0.004568419440000001,0.0029284740000000004,0.0014056675199999999,0.008434005120000001,0.02905046208,0.012299590800000005,0.09394544592,0.004334141520000001,0.02612198808,0.3750789499200001,0.02014790112,0.046621306080000015,0.29249598311999997,0.01979648424,0.048261251520000006,0.008551144080000002,0.003748446720000001,0.08586285768000003,,0.00304561296,0.0016399454400000005,0.0046855584,0.0028113350399999997,0.00152280648,0.02424776472
Tibet,0.0004190292,0.0025917732,6.20784e-05,0.0002871126,0.000581985,0.0001241568,0.00038799,0.00025607340000000003,3.10392e-05,0.0002871126,0.000581985,0.002133945,0.002133945,0.0052145856,0.00155196,0.0222395868,0.00038799,0.0010010142,0.00048110760000000003,3.10392e-05,0.0026848908000000004,6.20784e-05,,0.00025607340000000003,0.0019089107999999998,0.000155196,0.0001241568,9.31176e-05,0.0307365678,,0.0006751025999999999
Shaanxi,0.034145815680000004,0.07631844624000003,0.016690678559999998,0.0267560496,0.13671067248000002,0.003949702560000001,0.00917350272,0.07262356320000002,0.0024207854400000004,0.019111463999999998,0.024590083680000003,,0.12358746720000001,0.12447933552,0.07109464608000003,0.10396636416000002,0.05121872352,0.0401340744,0.011212058880000002,0.01554399072,0.02713827888,0.007007536800000002,0.00522380016,0.010320190560000005,0.0089186832,0.017455137120000002,0.05351209920000001,0.02089520064,0.021659659200000004,0.0017837366400000004,0.13276096992000005
Gansu,0.016262765279999997,0.017557313760000002,0.015453672480000001,0.01634367456,0.00857638368,0.0021845505600000003,0.004530919680000001,0.022088233440000004,0.0017800041600000004,0.0067963795200000005,0.00461182896,0.19442499984000006,0.033496441919999995,,0.027428245919999997,0.053804671200000015,0.02532460464,0.01804276944,0.0037218268799999996,0.005501831040000001,0.010841843520000002,0.002993643360000001,0.0024272784000000003,0.004126373280000001,0.0031554619200000003,0.07459835616,0.08762475024000001,0.00210364128,0.07896745727999999,0.00145636704,0.06141014352000001
Qinghai,0.0017758569600000004,0.0034568208,0.00079981344,0.0037143878399999997,0.00252144576,0.00014911776,0.0007320326400000001,0.0009624873599999999,0.00031179168,0.0014233968000000002,0.0007049203200000001,0.01065514176,0.0037143878399999997,0.05587849152,0.003551713920000001,0.01324436832,0.0035923824,0.0017487446399999998,0.00042024095999999996,0.00058291488,0.00233165952,0.00012200544,0.0006371395200000001,0.00089470656,0.0010980489600000002,0.00436508352,0.0032399222400000005,0.00028467936,,0.006439176,0.005883373440000001
Ningxia,0.0029412396,0.00323536356,0.0031674888000000003,0.00472860828,0.0033258632399999996,0.0008371220400000001,0.00095024664,0.03712749372,0.0010181214000000002,0.0014706198,0.0007692472800000001,0.04653946044,0.007805597400000002,0.05891529168,0.005859854279999999,0.0069684753599999994,0.0052037316,0.0027149903999999997,0.0003167488800000001,0.0008597469600000001,0.00187786836,0.00061087284,0.00095024664,0.0007918722000000001,0.00187786836,0.00303173928,,0.0002262492,0.0033258632399999996,0.00015837444000000006,0.0182130606
Xinjiang,0.00249471576,0.00547183512,0.00154369152,0.00527887368,0.0011577686399999998,0.0008958924,0.0014885596799999999,0.00184691664,0.0004824036,0.00139207896,0.0019985292000000003,0.00887622624,0.01917209736,0.02516768496,0.005182392959999999,0.01437562728,0.00540292032,0.00300468528,0.001033722,0.00173665296,0.0039419265600000005,0.00044105472,0.0008958924,0.0008958924,0.00180556776,,0.00232932024,0.0004824036,0.00374896512,0.00015161256,0.014802899040000001
Taiwan,2.7766800000000007e-05,0.0001943676,0.0004498221600000001,0.00145498032,9.440712e-05,0.0001943676,0.0007441502400000001,6.108696e-05,,0.00064418976,0.00122729256,0.00064418976,0.014705297280000001,9.440712e-05,0.008357806800000001,0.00122729256,0.00579770784,0.0021047234399999997,0.0001943676,0.0061531228799999995,0.0009996048,0.0007108300800000001,0.00041650199999999996,0.0011662056000000002,0.00032209488,,,,2.7766800000000007e-05,,0.0021380436000000003
Hong Kong,0.0004519670400000001,0.0011299175999999998,0.00038740032,0.0011622009599999998,0.00022598352000000006,0.00038740032,0.0007102339200000001,0.00022598352000000006,0.00025826688,0.0006456672,0.00184015152,0.0006779505599999999,0.11278191816000002,0.00019370016,0.00303463584,0.00297006912,0.00708619752,0.00351888624,0.00074251728,0.0058917132,0.0008070839999999999,0.0008070839999999999,0.00103306752,0.0013559011199999998,0.0006779505599999999,,,3.228336e-05,6.456672e-05,,0.005020062479999999
Macau,0.0007110277200000001,0.00129443508,0.00067456476,0.0013126665599999998,0.00043755552,0.00043755552,0.0010027314,0.00012762036000000005,0.00038286108,0.0007657221599999999,0.0017684535600000003,0.00060163884,0.14913350639999998,0.00012762036000000005,0.0026071016399999997,0.00129443508,0.0035551386,0.00268002756,0.00083864808,0.0014220554400000002,0.0007657221599999999,0.0016408332000000002,0.00021877776,0.0014767498800000002,9.11574e-05,,1.823148e-05,1.823148e-05,1.823148e-05,1.823148e-05,0.0021877776
