,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Shanghai,Anhui,Sichuan,Hubei,Heilongjiang,Shaanxi,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0373793616,0.02282811012,0.0654138828,0.03657837528,0.02162663064,0.02256111468,0.010946813039999998,0.040316311439999995,0.29262700224,0.03884783652,0.030036987,0.09184643136,0.05526805608,0.02189362608,0.036711873,0.036311379840000005,0.01788869448,0.0780961662,,0.0420517818,0.03017048472,0.050061645,0.012815781119999998,0.02429658504,0.08570553623999999,0.04779218376,0.00881084952,0.0040049316,0.0020024658,0.00026699544,0.0627439284
Chongqing,0.0476544384,0.01826753472,0.08935207199999999,0.05678820576,0.02660706144,0.01906177536,0.0119136096,0.08180678592,0.14216907456,0.05678820576,0.04328611488,1.80928017792,0.27282165983999995,0.010325128319999998,0.0972944784,0.07029029664,0.008339526719999999,0.11873897568,0.03812355072,0.03812355072,0.047257318079999985,,0.03931491168,0.13978635264,0.05917092767999999,0.48607527168000003,0.029386903680000003,0.0119136096,0.0119136096,0.00754528608,0.0714816576
Sichuan,0.08906809896000001,0.030082602960000007,0.16987822848,0.09850577832,0.0619347708,0.0383405724,0.026543473200000004,0.12563910647999998,0.280181106,0.09791592336,0.06370433568,,0.18226518264,0.02713332816,0.32913906768,0.10794345768,0.02241448848,0.10853331264,0.07019274024,0.06134491584,0.07491157992,1.99253005488,0.16162025904000002,0.7379085549600001,0.09319708368,0.4960680213600001,0.0619347708,0.02300434344,0.04187970216,0.0471883968,0.16044054912
Guizhou,0.0264277728,0.00561590172,0.0644176962,0.02840985576,0.01255319208,0.00891937332,0.00429451308,0.05021276832,0.27253640700000004,0.03072228588,0.03336506316,0.54441211968,0.09513998208,0.007928331839999999,0.04228443648,0.08390817864,0.0049552074,0.3485162538,0.035347146120000006,0.05781075300000001,0.055828670039999986,0.56092947768,0.008258679,0.6220437022799999,0.24577828704,,0.0023124301200000003,0.00132138864,0.00132138864,0.00033034716,0.03898096488
Yunnan,0.047792332800000004,0.015831210239999997,0.07557162624,0.04659752448,0.02300006016,0.02180525184,0.010753274879999998,0.05944171392000001,0.1388964672,0.0388312704,0.037039057919999986,0.7805085350399998,0.07587032831999999,0.01374029568,0.049285843200000005,0.07855864704,0.012246785279999998,0.11828602367999998,0.01971433728,0.04600012032,0.0582469056,0.23239021824,0.018220826880000002,,0.18011735424000003,0.6935862297600001,0.009259764479999998,0.0059740416000000005,0.0029870208000000002,0.006272743679999999,0.0627274368
Tibet,0.00395711568,0.0008959507199999998,0.014297880239999996,0.003658465439999999,0.0022398768,0.000933282,0.00033598151999999994,0.00332248392,0.0029491711199999995,0.0014185886399999998,0.00403177824,0.16679615903999995,0.006271655039999999,0.0007092943199999999,0.02142815472,0.0022398768,0.00022398767999999995,0.005487698159999999,0.0007466255999999999,0.0016799076,0.0016799076,0.024116006880000002,0.0197855784,0.01862830872,0.00059730048,0.00339714648,0.00235187064,0.00119460096,0.05383170575999999,,0.00339714648
Shaanxi,0.17181644184,0.036033115679999984,0.48468934872,0.16346730528,0.45348994368,0.03998796984,0.27376379351999997,0.16478558999999998,0.12611590488,0.0747028008,0.11908505304,0.43679167056,0.21180441167999997,0.024168553199999998,,0.08700679151999999,0.02285026848,0.08393079383999999,0.04438225224,0.05141310408,0.05404967352000001,0.12260047896,0.49611448296,0.05668624296,0.03910911336,0.05009481936,0.065914236,0.16434616176,0.05492853,0.01362227544,0.19642442328
Gansu,0.0389314188,0.011774380320000001,0.09989232336,0.038171781360000004,0.0294359508,0.01082483352,0.06323981688000001,0.08337020903999999,0.034373594160000014,0.029625860160000007,0.027726766560000005,0.16901933040000006,0.042539696640000006,0.0066468276,0.49585333896000006,0.03152495376,0.00512755272,0.025068035519999997,0.01975057344,0.014433111359999999,0.0180413892,0.04405897152,,0.019370754719999998,0.015382658160000003,0.0180413892,0.08792803367999999,0.17072851464000002,0.17775516096000002,0.0075963744,0.05906181096
Qinghai,0.013863849840000001,0.00212762052,0.04996476576,0.016403267880000003,0.007275089520000001,0.0017844559200000001,0.0058337981999999995,0.01599147036,0.01207939392,0.0035002789200000006,0.01077536844,0.06149509632000001,0.01599147036,0.00199035468,0.06911335044,0.00933407712,0.0008922279600000001,0.008304583320000001,0.0058337981999999995,0.0028825826399999995,0.00569653236,0.01276572312,0.26938421100000004,0.0063828615600000005,0.0020589876,0.0032257472399999988,0.015442406999999997,0.014344280279999996,,0.02511964872,0.015030609479999997
Ningxia,0.025476330600000003,0.0043243956,0.037979474400000005,0.022280038200000005,0.015981462000000002,0.005170473000000001,0.18331677,0.027450511200000003,0.016545513600000002,0.0157934448,0.0129731868,0.021621977999999997,0.015041376000000004,0.0033843096,0.18848724300000005,0.017579608200000003,0.0029142665999999998,0.0097768944,0.0067686192,0.0059225418,0.008460774000000003,0.0109049976,0.2036226276,0.0111870234,0.008460774000000003,0.0036663354000000007,0.012597152400000002,,0.0110930148,0.0005640516000000001,0.028860640200000006
Xinjiang,0.04126819428,0.00913897728,0.15964650936,0.04983598548,0.0185635476,0.010709739,0.03084404832,0.042981752520000006,0.0364131126,0.01913473368,0.02684574576,0.15607659636,0.03369997872,0.006711436439999999,0.10952493084,0.02698854228,0.005426267760000001,0.02127668148,0.017849565,0.00771101208,0.0128516868,0.04840802028,0.38026713276,0.013137279840000002,0.008996180759999998,0.0072826225199999995,,0.02813091444,0.038697856919999996,0.00171355824,0.05454827063999999
Taiwan,0.00067758768,0.00022439592,0.00197556408,0.0014871729599999998,3.0799440000000005e-05,0.00048399120000000004,6.159888000000001e-05,0.0035331357599999993,0.0086238432,0.0046683151200000005,0.0005147906399999999,0.0007435864799999999,0.0009723823199999998,0.00032119416,0.00022439592,0.00379273104,3.0799440000000005e-05,0.00045319176,0.00015839712,0.00035639351999999997,0.0097238232,0.00029039472,0.00012759767999999998,6.159888000000001e-05,0.00022439592,6.159888000000001e-05,,,,,0.00109998
Hong Kong,0.0013307263199999998,0.00127023876,0.0013307263199999998,0.00320584068,0.00018146268,0.00114926364,6.048756e-05,0.007560944999999999,0.4991433451199999,0.014275064159999996,0.001512189,0.00235901484,0.0024195024,0.00048390048,0.0005443880400000001,0.01342823832,0.0003024378,0.00296389044,0.00187511436,0.00145170144,0.015605790480000001,0.0016331641199999998,6.048756e-05,0.00114926364,0.004294616760000001,0.0007863382799999999,,,0.00018146268,,0.009375571800000001
Macau,0.0034046827200000006,0.0018293817600000001,0.0026424403200000003,0.0017785655999999995,0.0036587635200000003,0.00213427872,0.00060979392,0.007165078559999999,0.40160011248000005,0.01300893696,0.00299815344,0.00259162416,0.0048275352,0.0007622424,0.0015753009599999998,0.00853711488,0.0013212201600000001,0.0062503876799999995,0.00213427872,0.004776719039999999,0.0058438584,0.00238835952,0.00030489696,0.0008638747200000001,0.004979983679999999,0.00111795552,0.00015244848,0.00015244848,,,0.00807976944
