,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Sichuan,Anhui,Heilongjiang,Zhejiang,Shaanxi,Hubei,Jilin,Hainan,Hunan,Gansu,Jiangxi,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.038971358280000014,0.018098153999999998,0.03233536848,0.06515335440000003,0.020390586840000002,0.22586496191999997,0.03426583824,0.02401021764,0.013633942680000002,0.035834344920000004,0.08228627352000001,0.028112465880000003,0.02388956328,0.02919835512,0.03149078796,0.0494682876,0.018098153999999998,,0.06587728056,0.0084458052,0.0416257542,0.02606134176,0.045969311160000005,0.02750919408,0.07408177704,0.04428015012,0.00868711392,0.006032718,0.0018098154,0.00012065436,0.07637420988
Chongqing,0.038455965,0.01488618,0.050861115,0.070709355,0.022742775,0.15630489,0.08146048499999999,0.015299685,0.011991645,0.06285276,2.00798028,0.038455965,0.008683604999999999,0.078152445,0.094692645,0.26216217,0.004962059999999999,0.04838008499999999,0.1075113,0.02977236,0.028945349999999995,0.045899055,,0.14017819499999998,0.055823175,0.52267032,0.024396795,0.009510614999999998,0.0074430899999999986,0.004962059999999999,0.07691193
Sichuan,0.07657734816,0.025525782719999997,0.09322459776,0.14705070480000001,0.05382610704,0.29021705136000003,0.12374455536,0.03440431584,0.02053160784,0.09932858927999999,,0.06048500688,0.02330614944,0.11486602224000002,0.30408975936,0.13928198832,0.01775706624,0.07824207312,0.09045005616,0.1553743296,0.05493592368,0.07491262320000001,1.84285053072,0.6991844831999999,0.07935188976,0.4883193216000001,0.052161382079999985,0.021641424480000004,0.04827702384,0.05049665712,0.16980194592
Guizhou,0.021118838400000003,0.0067462956,0.024931962000000002,0.0563169024,0.0111460536,0.2199879,0.05191714440000001,0.0093861504,0.0041064408000000005,0.036664650000000014,0.511838514,0.0246386448,0.0070396128,0.08388871920000003,0.031971574800000006,0.07098276240000001,0.0038131236,0.0372512844,0.30446325360000004,0.007919564399999999,0.0492772896,0.051623827200000014,0.4701874716000001,0.5467432608000001,0.2284940988,,0.0026398548000000003,0.0011732688000000002,0.0014665860000000002,0.0008799516,0.044877531600000006
Yunnan,0.03249241128,0.012783899520000001,0.051135598080000004,0.06764813496000001,0.01757786184,0.15340679424,0.06738180372000001,0.01757786184,0.0093215934,0.04607530452,0.725752629,0.036221048639999996,0.01384922448,0.07244209727999999,0.0452763108,0.06578381628000002,0.0079899372,0.018110524319999998,0.09348226524,0.0159798744,0.040748679720000014,0.049004948160000006,0.16086406896000002,,0.1624620564,0.5939186652,0.007457274720000001,0.0053266248000000006,0.004261299840000001,0.00692461224,0.05513056667999999
Tibet,0.0040570988399999995,0.0005848070400000001,0.0046784563200000006,0.01739800944,0.00226612728,0.00226612728,0.0034357413599999994,0.00113306364,0.00029240352000000004,0.00186407244,0.16451353044000003,0.00416675016,0.00105996276,0.0025219803600000004,0.01966413672,0.0069445836,0.0003655044,0.00138891672,0.00635977656,0.02061444816,0.00186407244,0.0010234123200000005,0.01816556868,0.01929863232,0.0005482566,0.00307023696,0.00113306364,0.0005848070400000001,0.04850243388,,0.00515361204
Shaanxi,0.12206181600000003,0.03417730848,0.13223363400000002,0.4597661736000001,0.38815657488000005,0.13304737944000006,0.15542537904,0.03824603568,0.19041643296,0.08544327120000003,0.44186377392,0.10090443456,0.0244123632,0.09642883464000003,,0.19204392384,0.017495526960000004,0.045162871920000014,0.06591338064000002,0.49923282743999997,0.042314762879999995,0.054520944480000014,0.0976494528,0.0589965444,0.031329199440000004,0.043535381040000015,0.060624035280000016,0.13792985208000005,0.05736905352000001,0.02075050872,0.22744185048
Gansu,0.028128746880000003,0.014424998400000002,0.03191530896,0.0775343664,0.01965406032,0.034619996160000006,0.06491249280000001,0.00937624896,0.07645249152000001,0.029030309280000003,0.1433484216,0.02037531024,0.004327499520000001,0.02686655952,0.49964588208000005,0.03678374592,0.0030653121600000004,0.018031248,0.01785093552,,0.01208093616,0.01839187296,0.025784684640000003,0.014424998400000002,0.008474686559999998,0.00919593648,0.08546811552000001,0.18103372992,0.22611184992,0.00486843696,0.057159056160000006
Qinghai,0.01056609684,0.00117401076,0.01458244944,0.03973099572,0.006487954200000001,0.011307577320000001,0.016683310800000004,0.0021626514,0.00568468368,0.006673324320000001,0.056476096560000015,0.00914492592,0.0024716016,0.00821807532,0.051780053520000015,0.01217263788,0.0014829609599999998,0.00871239564,0.006179004,0.2465422596,0.00358382232,0.00519036336,0.007723755,0.005808263760000001,0.00234802152,0.00284234184,0.015509300039999997,0.013902758999999999,,0.02391274548,0.017795531519999998
Ningxia,0.01943211708,0.00547865856,0.01943211708,0.028848561480000007,0.011470941359999999,0.01806245244,0.02277067464,0.00539305452,0.17865563148,0.015151915080000003,0.02191463424,0.010700505,0.00445141008,0.013696646400000002,0.15494331240000006,0.009587652480000002,0.00282493332,0.012669397920000002,0.00659151108,0.19706050008,0.00453701412,0.00564986664,0.009930068640000001,0.0073619474400000015,0.004280202,0.00273932928,0.011470941359999999,,0.01215577368,0.0005992282800000001,0.036381717
Xinjiang,0.038016216,0.0120603168,0.048634538399999996,0.1629453672,0.015730848000000002,0.0332969616,0.045488368800000005,0.0115359552,0.018745927199999998,0.02123664480000001,0.14682124800000002,0.030150792000000006,0.007865424000000001,0.031854967200000014,0.1025126928,0.0398514816,0.005112525600000001,0.0154686672,0.025562627999999997,0.2861703432,0.007603243199999999,0.019008108,0.046930363200000005,0.01310904,0.007341062400000002,0.007865424000000001,,0.0218920968,0.030150792000000006,0.0009176328000000002,0.054402516000000005
Taiwan,0.00016111872000000002,0.00074229696,0.00060994944,0.0006444748800000001,0.00025894080000000004,0.013833192959999999,0.006122511360000001,0.00038553407999999994,,0.00945997056,0.0010357632000000002,0.001294704,0.000287712,0.0031705862400000003,0.000287712,0.0005178816000000001,0.00025894080000000004,0.00016111872000000002,0.00060994944,,0.000287712,0.00780274944,0.0008401190400000001,0.00018988991999999998,0.0005178816000000001,0.00016111872000000002,,,,,0.00239376384
Hong Kong,0.0007955366400000003,0.0008949787200000002,0.00114358392,0.0009944208,0.00039776832000000013,0.4103974641600001,0.004723498800000001,0.0009944208,0.00014916312,0.01208221272,0.0022374468000000004,0.00059665248,0.0006463735200000001,0.004972104000000001,0.00109386288,0.0009944208,0.00014916312,0.00218772576,0.0033313096800000005,,0.0022374468000000004,0.013524122880000005,0.0022374468000000004,0.0009944208,0.0028340992800000003,0.0006463735200000001,,4.972104000000001e-05,,,0.009944208
Macau,0.00416728476,0.00164633472,0.00375570108,0.00380714904,0.0015948867599999998,0.3845220530399999,0.012244614479999995,0.0018006785999999996,0.0006173755199999999,0.01579452372,0.00375570108,0.00318977352,0.0006688234799999997,0.0138909492,0.0033441174,0.006739682759999999,0.00056592756,0.00303542964,0.009826560359999998,0.00030868775999999987,0.003652805159999999,0.007151266439999998,0.0016977826799999998,0.0008746153199999999,0.005556379679999999,0.00216081432,0.00010289592,0.00010289592,0.00020579184,,0.006894026639999999
