,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.01777320468,0.007155446040000002,0.014541712920000003,0.028160142480000008,0.23897650968000003,0.027544620239999998,0.01254126564,0.037239095519999994,0.0119257434,0.00530887932,0.02715991884,0.034392305160000004,0.021081636719999998,0.017003801880000002,0.012079623960000004,0.01177186284,0.040162826160000005,0.006616864080000001,0.017696264399999998,0.01854260748,0.01323372816,0.014080071240000004,,0.0050780584800000006,0.01946589084,0.049703420880000015,0.0043086556800000005,0.00223126812,0.00200044728,0.00023082084,0.04993424172
Chongqing,0.02885995008,0.013429877759999995,0.032288855039999995,0.05771990016,0.17515989504,0.07343571455999999,0.02171639808,0.06372048384,0.01457284608,0.01057245696,0.08886578687999999,1.1432540620799998,0.07657887744,0.20630578176,0.032288855039999995,0.00628632576,0.10058121216,0.00628632576,0.04971912191999999,,0.02657401344,0.100009728,0.028574207999999997,0.021430656,0.3271746816,0.04400428032,0.01514433024,0.005143357439999999,0.007715036159999999,0.0100009728,0.06514919423999999
Sichuan,0.06025185,0.02784051,0.058174199999999995,0.09058554,0.28713123,0.11094651,0.04321512,0.11343969000000002,0.029918160000000006,0.01911438,0.12715218000000006,,0.27424980000000004,0.0914166,0.04196853,0.015374610000000004,0.07978176000000001,0.00872613,0.07105563000000001,1.1871692100000002,0.03158028,0.4944807000000001,0.040306410000000015,0.11842605000000002,0.3403190700000001,0.07479540000000001,0.04529277,0.015374610000000004,0.03905982,0.06606927000000001,0.14335785000000004
Guizhou,0.0179669664,0.00516550284,0.015721095600000002,0.033688062000000005,0.27691586964000003,0.059964750360000006,0.00943265736,0.040201087319999995,0.00763596072,0.00404256744,0.16866489708,0.28455183036000004,0.024704578799999998,0.03683228112,0.02066201136,0.0029196320399999995,0.21245937768,0.0017966966400000004,0.0640073178,0.28028467584000005,0.036383106960000015,0.36899657244,0.022458707999999997,0.00651302532,,0.18820397304000006,0.00516550284,0.00247045788,0.0015721095600000005,0.0015721095600000005,0.040650261480000005
Yunnan,0.0221294592,0.0107189568,0.0204005952,0.0309466656,0.17634412800000002,0.0503099424,0.0126207072,0.0485810784,0.0096816384,0.005186592,0.0750326976,0.4176935424,0.035268825600000005,0.0297364608,0.0174615264,0.0046679328,0.059818694400000004,0.0034577279999999998,0.031983984000000014,0.0835041312,0.020746368,,0.0169428672,0.008125660799999998,0.3402404352,0.12274934399999997,0.00864432,0.0029390688,0.0032848416,0.00864432,0.0480624192
Tibet,0.0021931236,0.0008249363999999999,0.0030381804,0.0072232236,0.0060763608,0.0063781668000000005,0.0014889095999999998,0.0022333644,0.0017705951999999999,0.00034204680000000004,0.0023540867999999994,0.0678661092,0.0109052568,0.0023943276,0.0023540867999999994,0.0005432508000000001,0.0020724012,0.0008651772,0.0014486688,0.0114283872,0.0007645751999999999,0.013822714799999998,0.00034204680000000004,0.0063178056,0.0016498727999999998,0.0006438527999999999,0.004788655199999999,0.0003822876,0.03319866,,0.0052111836
Shaanxi,0.1020121128,0.0273466206,0.08203986179999999,0.2943602532,0.11860444439999998,0.1210625676,0.4295570292,0.07343643059999999,0.0288829476,0.2556448128,0.0805035348,0.247348647,,0.1084646862,0.0565368336,0.012597881399999998,0.045475279199999996,0.0101397582,0.0334919286,0.06667659179999999,0.024888497400000004,0.0347209902,0.021508578,0.364109499,0.032262867,0.0236594358,0.0457825446,0.1327386528,0.0396372366,0.006145308,0.1471801266
Gansu,0.020555415360000003,0.012544849080000002,0.021311129159999997,0.046551970080000005,0.04368025764000001,0.042168830040000015,0.01874170224,0.032646836160000005,0.006045710400000001,0.06468910128000002,0.032949121680000006,0.109578501,0.4046091685200001,0.022822556760000005,0.0143585622,0.00181371312,0.014056276680000005,0.004987711079999999,0.016625703600000003,0.022369128480000004,0.0064991386800000005,0.010428850440000002,0.005592282120000001,,0.00861513732,0.00710370972,0.08176823316000001,0.16655932152,0.215378433,0.005592282120000001,0.04897025424000002
Qinghai,0.0060606921600000006,0.00206950464,0.006799800959999999,0.0182313504,0.012367753919999998,0.0125648496,0.004237557120000001,0.00709544448,0.0018231350399999999,0.0036955440000000003,0.010840262400000002,0.041045175360000005,0.03478738752,0.0044346528,0.0037448179200000003,0.0009362044800000001,0.006109966079999999,0.0002463696,0.00202023072,0.008080922879999999,0.00177386112,0.0035969961600000005,0.00113330016,0.2190225744,0.0029564352000000004,0.0021680524800000004,0.02468623392,0.01187501472,,0.024981877439999998,0.012663397439999998
Ningxia,0.015993203759999998,0.0038148926399999995,0.01019750148,0.02208235932,0.01606656708,0.016726836959999998,0.01261849104,0.01078440804,0.00374152932,0.17306407188,0.013498850880000001,0.016139930400000002,0.13850994816,0.00997741152,0.00638260884,0.00359480268,0.00711624204,0.00154062972,0.00454852584,0.00652933548,0.0019808096399999997,0.00506206908,0.004108345920000001,0.17783268768,0.00418170924,0.0027878061600000005,0.009170415,,0.01159140456,0.00080699652,0.022008996
Xinjiang,0.01742160312,0.010061982000000002,0.01615666824,0.04191534216000002,0.024378744960000004,0.020296455119999997,0.008509561920000002,0.027081105840000008,0.006784650720000001,0.0146617452,0.01862904096000001,0.04869999288000002,0.05243730048,0.00942951456,0.00925702344,0.00270236088,0.012246869520000002,0.0031623372000000012,0.0065546625600000005,0.015524200800000004,0.003622313520000001,0.0057497040000000004,0.0058072010399999995,0.10464461280000002,0.0031623372000000012,0.004599763200000001,,0.008854544160000002,0.035993147040000006,0.0021848875200000005,0.033578271360000016
Taiwan,0.00016150751999999998,3.191076e-05,9.703476e-05,9.703476e-05,0.00019406952,0.00012959676000000002,6.447275999999999e-05,0.00106868484,9.703476e-05,9.703476e-05,0.00016150751999999998,0.0005502977999999999,6.447275999999999e-05,6.447275999999999e-05,,9.703476e-05,,3.191076e-05,0.0023001796799999997,3.191076e-05,3.191076e-05,6.447275999999999e-05,,3.191076e-05,9.703476e-05,,,3.191076e-05,3.191076e-05,,0.00045326304000000003
Hong Kong,,3.020976e-05,,3.020976e-05,0.02374738884,3.020976e-05,,0.0004531464000000001,3.020976e-05,,3.020976e-05,,3.020976e-05,3.020976e-05,,3.020976e-05,,,0.00022657320000000006,3.020976e-05,,,9.566424000000001e-05,,,3.020976e-05,,,,,3.020976e-05
Macau,0.0011222582399999998,0.0006385262400000001,0.0006772247999999999,0.0005804784,0.16847418095999994,0.0019349279999999998,0.00034828704,0.00288304272,0.0010255118400000001,0.00025154064,0.0025154064,0.0007352726400000001,0.0003869856,0.0015479424,0.00040633488,0.0001934928,0.0017801337600000001,0.00034828704,0.00148989456,9.67464e-05,0.0008707176000000001,0.00025154064,0.0008320190400000001,,0.0006385262400000001,0.0015866409599999995,,5.8047839999999986e-05,,,0.00148989456
