,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Hainan,Jilin,Hunan,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.022874707799999998,0.00711657576,0.02846630304,0.03659953248,0.16622287668,0.045749415599999996,0.01169151732,0.01067486364,0.00389717244,0.03744674388,0.0703185462,0.41886131616,0.03185514863999999,0.00864155628,0.017621997119999996,0.03422734056000001,0.016944228000000002,0.005083268399999999,0.06015200939999999,0.033549571439999995,,0.08217950579999997,0.01982474676,0.00711657576,0.12301509528,0.00372773016,0.32990411915999995,0.00271107648,0.00220274964,0.00576103752,0.047104953839999984
Tibet,0.0020037747600000003,0.00024825528000000003,0.0029435983200000004,0.004787780400000001,0.0038124917999999997,0.00290813328,0.0016845894,0.00063837072,0.00037238292,0.0008688934800000001,0.0016845894,0.07415739864000001,0.00996567624,0.00054970812,0.0009043585200000002,0.00260668044,0.0005142430800000001,0.000443313,0.0016845894,0.0007624983600000001,0.007890971400000002,0.01097642988,0.00067383576,0.007447658400000001,0.00102848616,0.0022342975199999998,0.00228749508,0.00037238292,0.0269534304,,0.00368836416
Shaanxi,0.08687794320000003,0.0156710214,0.09430105860000003,0.28317810600000004,0.11547068400000003,0.1110718008,0.3554847486,0.024743718000000005,0.2290168566,0.042064320599999996,0.0734063634,0.2449628082,,0.0134715798,0.04453869240000001,0.0945759888,0.0332665542,0.0085228362,0.0382152978,0.030792182400000007,0.035465995800000004,0.06048464400000001,0.0214445556,0.3186441018,0.0225442764,0.030242322000000006,0.026118369,0.11959463699999999,0.034366275,0.006048464400000001,0.13114170539999995
Gansu,0.0201803238,0.0068063814,0.0257926032,0.0438235434,0.0288972684,0.0331960356,0.0138515832,0.005015228399999999,0.0472864392,0.0130157118,0.021493836,0.09552816,0.3372144048,0.0021493835999999997,0.0105080976,0.0156427362,0.0097916364,0.0019105632,0.0100304568,0.013373942400000002,0.011224558799999998,0.01791153,0.00597051,,0.0069257916,0.056719845,0.005612279399999999,0.1308735792,0.15786028440000002,0.0058510998,0.0377336232
Qinghai,0.004794564960000001,0.0011703268800000001,0.00928711008,0.01562952672,0.008985090239999998,0.00819228816,0.0045302976,0.00120807936,0.0026426736,0.0030201984,0.00615365424,0.03609137088,0.031976350560000005,0.00101931696,0.0033977232,0.0050588323200000005,0.00313345584,0.00064179216,0.0036619905600000003,0.00203863392,0.00354873312,0.0064179216,0.00101931696,0.15361484111999998,0.0013590892800000001,0.021707676,0.00139684176,0.00781476336,,0.016158061440000003,0.01121248656
Ningxia,0.01226269044,0.00227999772,0.01090701612,0.02045835792,0.01226269044,0.013803229440000002,0.0117080964,0.0017870252399999995,0.15614903304000002,0.005052967919999999,0.008627018399999999,0.01552863312,0.11991555576,0.003574050479999999,0.00597729132,0.006963236279999999,0.00529945416,0.00110918808,0.00443675232,0.0035124289199999995,0.0029578348799999994,0.00603891288,0.0021567546,0.140189049,0.0028345917600000005,0.00757945188,0.00221837616,,0.00942809868,0.00049297248,0.01965727764
Xinjiang,0.015593757119999998,0.0006779894399999997,0.02163916296,0.06226203023999999,0.022599648,0.01994418936,0.008757363599999998,0.004858924319999999,0.012316808159999998,0.00468942696,0.01389878352,0.06983291231999998,0.05096220624,0.0036724428,0.008531367120000001,0.008192372399999998,0.010056843359999998,0.00248596128,0.008418368879999999,0.0068363935199999976,0.007344885599999998,0.01994418936,0.00333344808,0.10943879544,0.0036159436799999994,,0.0033899472,0.007740379439999999,0.02327763744,0.00096048504,0.028871050319999998
Taiwan,3.22218e-05,,6.4719e-05,,0.00038858940000000003,3.22218e-05,,9.69408e-05,,0.0005507999999999999,3.22218e-05,3.22218e-05,,,,3.22218e-05,,,,0.001231038,,,3.22218e-05,,,,,,,,
Hong Kong,3.1764959999999995e-05,,3.1764959999999995e-05,3.1764959999999995e-05,0.025012258919999995,,3.1764959999999995e-05,3.1764959999999995e-05,6.352991999999999e-05,0.00045265068,3.1764959999999995e-05,,,,3.1764959999999995e-05,,3.1764959999999995e-05,3.1764959999999995e-05,3.1764959999999995e-05,0.00019323684,3.1764959999999995e-05,,6.352991999999999e-05,,9.529487999999998e-05,,,,,,6.352991999999999e-05
Macau,0.0012257308800000001,0.0005014353599999999,0.0016714511999999999,0.00096572736,0.15304921487999998,0.0029343254399999998,0.00048286367999999993,0.00126287424,9.28584e-05,0.0029343254399999998,0.0032871873600000003,0.00128144592,0.00040857696,0.0001857168,0.0002785752,0.0020057414399999997,0.0008357255999999999,0.00044572032,0.00248860512,0.0021357432,0.0006128654400000001,0.00040857696,0.0005014353599999999,,0.00228431664,,0.0003714336,,,,0.0027857520000000003
