,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Hunan,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Gansu,Heilongjiang,Zhejiang,Shanghai,Guizhou,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Guangxi,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.01582040808,0.0035736454799999997,0.0050994716399999996,0.02096003304,0.00927541692,0.008030664000000002,0.006183611280000001,0.003613798800000001,0.013250595600000002,0.008954190360000001,0.14627854476000002,0.00530023824,0.023088159000000004,0.0092352636,0.003613798800000001,0.01333090224,0.00947618352,0.00919511028,0.01357182216,0.01240737588,0.005059318320000001,0.004858551720000001,,0.01341120888,0.01574010144,0.0018068994000000004,0.0017667460800000004,0.0002810732400000001,0.00132505956,0.00012045996,0.016221941280000002
Chongqing,0.0161167968,0.0055788912,0.0195261192,0.039982053600000005,0.0120875976,0.0040291992,0.0027894456,0.024175195200000003,0.1834835328,0.0458708832,0.5712164712,0.1028995488,0.7060396752,0.0012397536,0.0136372896,0.0009298152,0.3948615216,0.048660328800000006,0.30095018640000004,0.0678765096,0.2033195904,0.141021972,0.013017412800000001,,0.09081195120000002,0.0027894456,0.0598181112,0.0012397536,0.0040291992,0.006818644800000001,0.0102279672
Sichuan,0.03727535760000001,0.013763208959999999,0.05964057216,0.13476475440000002,0.036701890560000006,0.013763208959999999,0.009748939680000002,0.045877363200000014,0.10379753424000003,0.22881334896000005,1.1188341950400005,0.2769845803200001,,0.0034408022399999997,0.07971191856000001,0.0028673352000000004,0.61188933168,0.08487312192000003,0.52070807232,0.048744698400000015,0.21447667296000006,0.6296668099200001,0.02809988496,1.0505916172799998,0.20530120032,0.009748939680000002,0.016057077120000002,0.006308137440000001,0.02695295088,0.05906710512000001,0.04530389616000001
Guizhou,0.0061702430400000004,0.0023731704,0.009967315679999998,0.016612192799999998,0.004746340799999999,0.0018985363199999997,0.0009492681599999999,0.02515560624,0.4414096944,0.013289754240000002,1.16807447088,0.12625266527999998,0.2705414256,0.00047463407999999993,0.0037970726399999995,0.00047463407999999993,1.0513144871999998,0.03512292192,,0.15615461231999994,0.30091800672,0.4969418817600001,0.011865852,0.22402728576,0.34505897616,,0.0094926816,0.00047463407999999993,,0.0009492681599999999,0.0142390224
Yunnan,0.009619534079999999,0.00172658304,0.014305973759999997,0.017265830399999998,0.00517974912,0.00345316608,0.00221989248,0.015539247360000001,0.09570203136,0.01405931904,0.45211810176,0.09175555583999999,0.45285806592,0.00172658304,0.005919713279999999,0.00098661888,0.3613491648,0.022938888959999997,0.4970092608,0.032311768319999996,0.07374976127999999,,0.005673058559999999,0.047357706239999985,0.21952270080000005,0.0007399641599999999,0.00345316608,0.00098661888,0.00049330944,0.00320651136,0.00887956992
Tibet,6.445332000000001e-05,,0.00015943716,0.0006140026800000001,0.00012890664000000002,0.00012890664000000002,6.445332000000001e-05,0.00012890664000000002,0.00012890664000000002,0.0005800798800000001,0.0003561894000000001,3.053052e-05,0.01243949076,6.445332000000001e-05,0.0040164595200000005,0.00012890664000000002,0.00038671992,6.445332000000001e-05,0.0003561894000000001,6.445332000000001e-05,,0.0022355125200000004,,0.00119747484,6.445332000000001e-05,0.0004850960400000001,3.053052e-05,3.053052e-05,0.00974941272,,0.00019335996
Shaanxi,0.04403731536,0.01390652064,0.04674136103999999,0.14138295984000002,0.25862265468,0.007532698680000002,0.1999062342,0.03998124684,0.025108995600000003,,0.17247948515999995,0.16011813347999998,0.12786273144000002,0.00251089956,0.2057006178,0.0019314612,0.14543902836,0.03940180848,0.02646101844,0.013133936160000002,0.02452955724,0.02279124216,0.00366977628,0.030323940840000008,0.01332708228,0.004635506879999999,0.02298438828,0.06605597304000001,0.01776944304,0.005214945239999999,0.04519619208
Gansu,0.01679535,0.015973200000000003,0.01656045,0.034765199999999996,0.01703025,0.0023490000000000004,0.06412770000000001,0.0112752,0.00716445,0.3276855,0.0497988,0.08667810000000001,0.056376,0.00035235,,0.00035235,0.05872500000000001,0.031241700000000008,0.0035235,0.0089262,0.02947995,0.005167800000000001,0.0009396,0.01280205,0.00364095,0.02219805,0.0019966500000000004,0.12132585,0.13894335000000002,0.00575505,0.02078865
Qinghai,0.0020568492,0.0005093150399999999,0.00238986288,0.00542616408,0.0027032875199999996,7.835616e-05,0.0024486300000000003,0.00101863008,0.00060726024,0.00997082136,0.0034280820000000003,0.00354561624,0.00903054744,0.00031342464,0.12055095216,7.835616e-05,0.0024878080800000003,0.0024878080800000003,0.00021547944,0.00099904104,0.0005093150399999999,0.00060726024,0.00025465752,0.00125369856,0.00025465752,0.00348684912,0.00015671232,0.00442712304,,0.01259575272,0.0016846574399999998
Ningxia,0.00435388932,0.00243007776,0.00280133964,0.0063114519600000005,0.006277700880000001,0.0001687554,0.08420894460000002,0.00192381156,0.0015863007599999995,0.07182229824,0.00415138284,0.006682713839999999,0.00361136556,0.00023625756000000004,0.107159679,6.750215999999999e-05,0.006648962759999999,0.00239632668,0.00124878996,0.00243007776,0.00445514256,0.0021938202,6.750215999999999e-05,0.00145129644,0.0005737683600000001,0.0014850475199999998,0.00060751944,,0.005906439,0.00013500431999999998,0.00361136556
Xinjiang,0.00193451004,0.0008625203999999999,0.00427563684,0.005569417439999999,0.00157718016,0.00103502448,0.00715891932,0.00161414532,0.00125681544,0.0057912084,0.013085666639999998,0.0035240119200000003,0.01048578372,0.00022179096000000002,0.03786464556,0.00028339956000000003,0.0038197332,0.00304346484,0.00038197332000000005,0.0003450081600000001,0.0015155715599999998,0.00103502448,0.00064072944,0.00294489108,0.0007393032,,0.00038197332000000005,0.00181129284,0.00384437664,0.00016018236,0.00582817356
Taiwan,,3.10392e-05,0.00016140384,9.622152e-05,6.363036e-05,0.00022658616,3.10392e-05,0.00012881268,0.00025917732000000005,6.363036e-05,0.00327153168,0.00450223596,3.10392e-05,,,,0.00161869428,0.00200823624,0.000193995,3.10392e-05,0.0015224727599999998,6.363036e-05,,0.000193995,,,3.10392e-05,,,,0.00042058116
Hong Kong,6.120036e-05,2.824632e-05,9.41544e-05,0.00012710844,2.824632e-05,,,6.120036e-05,0.00016006248000000002,2.824632e-05,0.03774179124,0.00067791168,0.00022597056,,2.824632e-05,,0.00054609552,0.00090388224,0.00012710844,0.00025892460000000005,0.00122871492,6.120036e-05,0.00022597056,2.824632e-05,0.00019301652,,2.824632e-05,,2.824632e-05,,0.00032012496000000004
Macau,6.351048000000001e-05,0.00016166304000000004,0.00016166304000000004,9.237888e-05,0.00025404192000000005,0.00019053144000000005,,9.237888e-05,0.00051385752,0.00025404192000000005,0.049082053680000015,0.00022517352000000004,0.00019053144000000005,6.351048000000001e-05,,9.237888e-05,0.00019053144000000005,0.0006120100800000001,2.8868400000000006e-05,0.00028868400000000004,0.0006120100800000001,2.8868400000000006e-05,6.351048000000001e-05,6.351048000000001e-05,0.00032332608000000014,,6.351048000000001e-05,,,,6.351048000000001e-05
