,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Anhui,Gansu,Guangdong,Jiangsu,Sichuan,Heilongjiang,Shanghai,Jilin,Guizhou,Fujian,Jiangxi,Zhejiang,Chongqing,Yunnan,Hainan,Hubei,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.0064745568000000005,0.0013758433199999999,0.00469405368,0.007607604239999999,0.002023299,0.00194236704,0.03989945628,0.00048559176,0.005827101120000001,0.006150828960000001,0.00258982272,0.16979525208,0.01068301872,0.25793015652,0.00016186392,0.030349485,0.0010521154800000002,0.08271246312000001,0.02735500248,0.0064745568000000005,0.01877621472,,0.035367266519999996,0.00388473408,0.05438627712,0.00194236704,0.01327284144,0.00024279588,0.00186143508,0.002266094880000001,0.01035929088
Sichuan,0.014631049440000002,0.0036577623600000005,0.016895378520000004,0.029262098880000004,0.0095798538,0.006444628920000002,0.028739561400000006,0.0022643290800000004,0.0357067278,0.013411795320000005,0.022817469960000003,0.3734401190400001,0.036055086119999996,,0.0017417916000000006,0.07123927644000001,0.0012192541200000005,0.13307287824,0.050511956399999995,0.009231495479999999,0.037100161080000006,0.38702609352,0.2903566597200001,0.00818642052,0.024559261560000004,0.006792987240000001,0.04842180648,0.0012192541200000005,0.01010239128,0.024559261560000004,0.040583744280000014
Guizhou,0.00228172464,0.00078982776,0.00272051784,0.0052655183999999996,0.00078982776,0.0006143104800000001,0.0728396712,0.00052655184,0.00193069008,0.0025450005600000003,0.00070206912,0.20790021816,0.01070655408,0.09969381504000001,0.0004387932,0.01676190024,0.00035103456,,0.0232560396,0.00930241584,0.02334379824,0.08521363944,0.19552624991999998,0.0025450005600000003,0.00947793312,8.775864e-05,0.08424829439999999,8.775864e-05,0.00035103456,8.775864e-05,0.01570879656
Yunnan,0.00443798352,0.00119229408,0.00476917632,0.005166607680000001,0.00185467968,0.00225211104,0.016493401440000003,0.0006623856,0.0028482580800000003,0.00344440512,0.00139100976,0.07802902367999999,0.00788238864,0.2354780808,0.00079486272,0.01265156496,0.0007286241600000001,0.17751934079999998,0.009207159840000001,0.00238458816,0.008743489920000002,0.013711381919999998,,0.00112605552,0.00457046064,0.00079486272,0.05186479248,0.00019871568,0.0004636699200000001,0.00092733984,0.00973706832
Tibet,3.216672e-05,0.00012866688,0.00012866688,0.00032355936000000004,,6.433344e-05,0.0003878927999999999,3.216672e-05,9.650016e-05,0.00016083359999999994,0.00148912992,0.00048439296,,0.008130611519999997,,,,3.216672e-05,,3.216672e-05,3.216672e-05,0.0008420112,0.0017483558399999995,,0.00012866688,,6.433344e-05,,0.004471174079999999,,9.650016e-05
Shaanxi,0.01437870852,0.00444559104,0.01521225684,0.035981502480000004,0.12051719460000003,0.00284795676,0.01055827872,0.07550558532000001,,0.012155913,0.060223866120000004,0.06848988696000001,0.030007739520000007,0.03674558844,0.0009030106800000001,0.0322999974,0.0006251612400000001,0.00437612868,0.008057633759999999,0.0034731180000000003,0.01521225684,0.00993311748,0.010002579840000001,0.0018060213600000002,0.01937999844,0.00229225788,0.005209677,0.029590965360000002,0.01028042928,0.00055569888,0.052305157080000005
Gansu,0.0050350377600000005,0.00365557536,0.00796639536,0.00813882816,0.00282789792,0.00096562368,0.00406941408,0.01313937936,0.05655795839999999,0.00427633344,,0.01817441712,0.015381005759999998,0.0205195032,0.00089665056,0.02507172912,0.00020691936000000001,0.00106908336,0.00282789792,0.0010345967999999999,0.007518070079999999,0.005172983999999999,0.0035176291200000004,0.0005862715200000001,0.0016208683199999995,0.01124261856,0.00117254304,0.04938475392,0.05404043952,0.0013104892800000002,0.01696738752
Qinghai,0.0008678664,0.00028683720000000003,0.0014856696,0.0020078604000000003,0.00032361120000000003,0.00032361120000000003,0.0006766416000000001,0.0005810292000000001,0.0019710864,0.0004192236,0.0404955288,0.002169666,0.0016842492,0.0038833344,9.56124e-05,0.0017430876,2.94192e-05,0.0001912248,0.00012503160000000002,0.000257418,0.0007060608000000001,0.001029672,0.0005810292000000001,9.56124e-05,0.0001912248,0.00239031,0.0004192236,0.0012282516,,0.00514836,0.0020372796
Ningxia,0.0014860648799999998,0.00128979216,0.0019627272,0.0017384155199999998,0.0023552726399999994,0.0007991103599999997,0.00047666232,0.034852427279999994,0.021337648560000002,0.0008411687999999999,0.042268732199999985,0.00501897384,0.00232723368,0.0014440064399999998,0.00012617532,0.006855525719999999,2.803896e-05,0.00032244804,0.00064489608,0.00015421427999999998,0.00093930516,0.0006729350399999999,0.0006028376399999999,0.0011916558,0.0007991103599999997,0.00064489608,0.0017804739599999997,,0.0014860648799999998,0.00012617532,0.0053974998
Xinjiang,0.0008376825599999999,0.0013853980799999998,0.00216669816,0.00271441368,0.0004832784,0.0006765897599999999,0.0009665568,0.00184451256,0.00274663224,0.0006443712,0.01531992528,0.012887423999999998,0.0015545455199999995,0.009552803039999998,0.00019331136,0.004373669519999999,0.00012887424,0.00012887424,0.0009665568,0.0005799340799999999,0.00236000952,0.00268219512,0.0011276495999999994,0.00025774848,0.00041884128,,0.0005799340799999999,0.0009987753599999998,0.00359236944,9.665567999999998e-05,0.008062694639999998
Taiwan,3.1298400000000005e-05,,0.0002912112000000001,6.39576e-05,3.1298400000000005e-05,6.39576e-05,9.66168e-05,,,0.00012927600000000005,,0.0024997896000000003,0.003214209600000001,0.00019459440000000006,,0.0028903391999999997,,3.1298400000000005e-05,0.0015907751999999999,6.39576e-05,0.0009416736,6.39576e-05,3.1298400000000005e-05,6.39576e-05,,,6.39576e-05,,,,0.0004858056
Hong Kong,9.32148e-05,0.000288522,0.0002574504,0.00015979679999999995,3.1071599999999996e-05,6.214319999999999e-05,0.0004838292,,,6.214319999999999e-05,,0.0345383028,0.0005504112000000001,0.0005149007999999999,,0.0017488871999999998,,,0.0017133767999999994,3.1071599999999996e-05,0.0004527576,6.214319999999999e-05,0.0001908684,0.0002574504,,3.1071599999999996e-05,0.00031959359999999995,,,,0.0013272012
Macau,9.60984e-05,,,,2.8829519999999994e-05,9.60984e-05,6.246395999999999e-05,,,2.8829519999999994e-05,,0.046232940239999985,0.0001921968,,2.8829519999999994e-05,,0.00015856235999999998,,0.00012492791999999995,6.246395999999999e-05,6.246395999999999e-05,2.8829519999999994e-05,,2.8829519999999994e-05,,,0.00015856235999999998,,,,0.00012492791999999995
