,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Heilongjiang,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Shanghai,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.04183863192,0.0145948716,0.05773082544,0.07881230664,0.24454518192,0.0275680908,0.02237880312,0.07978529808,0.01200022776,,0.011675897279999998,0.08951521248,0.16508421431999998,0.06421743503999999,0.06583908743999999,0.028541082239999998,0.04410894528,0.008432592479999999,0.051568546320000005,0.45925195968000004,0.052541537760000014,1.0216410120000001,0.02724376032,0.07297435799999999,0.05805515591999999,0.02464911648,0.25589674872,0.008108262,0.02497344696,0.039243988079999986,0.08465025527999999
Guizhou,0.010875309479999998,0.0022441114800000003,0.0181255158,0.02554834608,0.20818449575999998,0.00673233444,0.004315599,0.0414297504,0.00189886356,0.24685226280000006,0.0027619833600000003,0.11617592508,0.017780267880000002,0.02313161064,0.02813770548,0.01311942096,0.017780267880000002,0.00189886356,0.16105815467999998,0.30191930603999995,0.04125712644,0.23580432936,0.02554834608,0.00327985524,0.13999803156,0.0022441114800000003,,0.00138099168,0.0008631197999999999,0.0008631197999999999,0.021405371040000003
Yunnan,0.0219588894,0.0053776872,0.024199592400000004,0.0316686024,0.14280747119999998,0.0103072338,0.010157853599999999,0.038091951,0.004481405999999999,0.3925711656000001,0.007469010000000002,0.056465715599999994,0.0227057904,0.014489879399999999,0.029726659800000006,0.015236780400000004,0.033162404400000005,0.0043320258,0.0498929868,,0.0271871964,0.0779764644,0.019419426000000004,0.005825827800000001,0.1012797756,0.0046307862,0.2924864316,0.0019419426,0.0020913228000000003,0.0049295466,0.0385400916
Tibet,0.0020074521600000005,0.00048393936,0.00374604912,0.005717653919999999,0.0035847360000000007,0.00102164976,0.0013263523199999998,0.00270647568,0.00012546576000000006,0.07732275552000001,0.00048393936,0.0020612232,0.00955332144,0.00034054992,0.0024555441600000003,0.0014159707199999998,0.0008603366399999999,0.00032262624,0.0023300784000000003,0.008388282240000001,0.00138012336,0.00951747408,0.0008065656000000001,0.00790434288,0.0015414364800000002,0.00249139152,0.00105749712,0.0006094051200000001,0.0238384944,,0.0035847360000000007
Shaanxi,0.07251610859999999,0.0113098518,0.0813865806,0.21777008760000002,0.09469228859999998,0.279419868,0.0208456092,0.0922529088,0.1931545278,0.2113389954,0.0117533754,0.05787982979999999,,0.0323772228,0.08338243679999999,0.0370342206,0.0268331778,0.008870471999999999,0.0352601262,0.035703649799999994,0.0268331778,0.05056169039999999,0.015523325999999997,0.25125611940000003,0.0192932766,0.0246155598,0.0204020856,0.089813529,0.0246155598,0.004656997800000001,0.0829389132
Gansu,0.01714934592,0.00581852808,0.02102836464,0.039198504960000005,0.02694897216,0.011943294479999998,0.00367485984,0.030113434799999998,0.0418525704,0.09728170632000001,0.00224574768,0.01929301416,0.29235551616,0.00683932248,0.01469943936,0.008064275760000001,0.011126658959999999,0.0019395093600000001,0.009595467359999998,0.00857467296,0.01082042064,0.012453691679999998,0.0043894159200000005,,0.0056143692,0.043077523679999986,0.0066351636000000005,0.11044995408,0.12402651960000001,0.0043894159200000005,0.027969766560000005
Qinghai,0.0040858992,0.00115767144,0.0076270118400000005,0.014368745519999997,0.008205847559999998,0.0026558344800000004,0.00108957312,0.00687793032,0.0030984735599999995,0.03493443815999999,0.0005788357199999999,0.006026701319999999,0.029997309960000003,0.00367730928,0.004664734919999999,0.00258773616,0.00282608028,0.00040858991999999985,0.00435829248,0.00367730928,0.0019408021199999997,0.004460439960000001,0.0008171798399999997,0.13793314715999996,0.0014981630400000001,0.01603715436,0.0016003105199999994,0.007899405119999998,,0.01556046612,0.009227322359999998
Ningxia,0.01220136048,0.0018612244800000001,0.011425850279999998,0.017474829839999997,0.010391836679999995,0.007599999959999998,0.0023265306,0.01168435368,0.11829115584000001,0.01411428564,0.0027918367200000004,0.00822040812,0.10526258447999999,0.00485986392,0.00610068024,0.0049115646,0.003980952360000001,0.0010340136,0.00325714284,0.003877551,0.00315374148,0.0061523809200000005,0.0014993197199999998,0.11622312864,0.0034639455600000003,0.0061523809200000005,0.0023265306,,0.00816870744,0.00041360544,0.01700952372
Xinjiang,0.0177181992,0.0014506128,0.0231061896,0.052377483600000004,0.016319393999999997,0.0070458336,0.0058542588000000005,0.018391698,0.009843444,0.06662457359999999,0.0022277268,0.013159130399999998,0.049372642800000005,0.0093771756,0.0094807908,0.0081856008,0.0054916056,0.0017096508,0.0092735604,0.0067867956,0.0055952208,0.017096508,0.0021241115999999995,0.09656936640000001,0.003108456,,0.0030048408,0.0088590996,0.0227435364,0.0014506128,0.022795344
Taiwan,6.459264000000001e-05,,3.229632000000001e-05,9.717732e-05,3.229632000000001e-05,,3.229632000000001e-05,6.459264000000001e-05,,9.717732e-05,3.229632000000001e-05,,,,,,0.00100435788,,,3.229632000000001e-05,0.0011015352,,,,3.229632000000001e-05,,,,,,
Hong Kong,,,6.309576e-05,,0.022258242719999998,,,,6.309576e-05,6.309576e-05,,9.70704e-05,,3.154788e-05,3.154788e-05,,0.0006479449199999999,,,3.154788e-05,0.0001941408,,,,0.00022568868000000006,,,,,,0.0002912112
Macau,0.0011806397999999999,0.0001388988,0.0007407936000000001,0.0007639433999999999,0.2062415682,0.0002777976,0.0008333928,0.0020371824000000004,0.00011574899999999999,0.0010648908,0.00018519840000000005,0.0024075792,0.0003009474,0.0006018948,0.0011111904,0.00034724699999999996,0.0031715226,0.0002777976,0.0015741864,0.0003009474,0.0012269394000000002,0.0002777976,0.0007639433999999999,0.0002777976,0.0018751338000000005,,0.00046299599999999997,4.629960000000001e-05,,,0.0024075792
