,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Shanghai,Liaoning,Anhui,Heilongjiang,Zhejiang,Shaanxi,Sichuan,Hubei,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.036914227200000004,0.0151663104,0.0357696,0.0450220032,0.0217479168,0.1992605184,0.0366280704,0.00953856,0.0392034816,0.0222248448,0.014784767999999997,0.0246094848,0.0345295872,0.026994124799999998,0.0501728256,0.0272802816,,0.035960371199999994,0.0146893824,0.0178371072,0.034815744,0.0182186496,0.022701772799999995,0.0080123904,0.04540354559999999,0.021652531200000002,0.006295449599999999,0.0041015808,0.0037200384000000003,0.0003815424,0.07764387839999999
Chongqing,0.02546013708,0.00708684228,0.039371346,0.05354503056,0.017323392240000002,0.1561730058,0.06115682412,0.00629941536,0.04540828572,0.006824366639999999,0.02546013708,0.005511988440000001,0.06850614204,0.06115682412,1.1506932057600001,0.1758586788,0.039108870360000006,0.08609200991999999,0.0052495128,0.03622163832,,0.08714191248,0.020210624280000002,0.01758586788,0.04147115112,0.30735897444000004,0.012336355079999998,0.00629941536,0.00577446408,0.00813674484,0.040946199839999996
Sichuan,0.035980277760000005,0.012528846720000002,0.04690286208,0.07003304063999999,0.02345143104,0.19660651776,0.06746302080000001,0.01188634176,0.060074213760000016,0.0128500992,0.028912723200000007,0.01092258432,0.07517308032,0.17154882432,,0.06425049599999999,0.05268540672,0.045939104640000006,0.007067554560000001,0.03630153024,1.14237381888,0.4683861158400001,0.02441518848,0.07613683776,0.044332842239999996,0.28045341504000004,0.01317135168,0.00835256448,0.026663955840000003,0.028591470719999998,0.0626442336
Guizhou,0.0139638492,0.0037901876399999996,0.019948356,0.028326665519999995,0.00618399036,0.23678698572,0.0458812188,0.0033912205200000004,0.02433699432,0.004388638320000001,0.016557135480000002,0.0033912205200000004,0.10373145119999999,0.018551971080000004,0.26052552936,0.033114270960000004,0.02054680668,0.19389802032000006,0.0021943191600000004,0.04149258048,0.29164496472,0.38221050096000003,0.030321501119999997,0.00458812188,0.17853778620000002,,0.0009974178,0.00119690136,0.0009974178,0.0007979342399999999,0.018551971080000004
Yunnan,0.028010205,0.009758394,0.036503621999999986,0.04788841499999999,0.014456879999999997,0.16336274399999998,0.056381832,0.005782752,0.040479264,0.011204082,0.022769586,0.008674127999999998,0.061803162,0.034154379,0.4295500469999999,0.037407176999999986,0.014456879999999997,0.06632093699999997,0.0061441740000000005,0.031624425,0.09125905499999998,,0.023131008,0.008312706,0.12975049800000002,0.368831151,0.0037949309999999992,0.002529954,0.002710665,0.005059908,0.04156353
Tibet,0.0023309596799999995,0.0005023619999999999,0.003918423599999999,0.011654798399999998,0.0015070859999999995,0.00365719536,0.00307445544,0.0004018896,0.00217020384,0.00092434608,0.00219029832,0.00034160616,0.00213001488,0.010388846159999998,0.07187795495999999,0.003918423599999999,0.00054255096,0.0029136995999999994,0.0006028343999999999,0.0008037792,0.014307269759999996,0.01143375912,0.0005023619999999999,0.01127300328,0.00054255096,0.0017482197599999994,0.0012860467199999998,0.00038179512,0.0297398304,,0.0036170064
Shaanxi,0.0968372496,0.019082634480000003,0.09569798783999997,0.313296984,0.38763381384,0.10224874296,0.10481208192,0.2392449696,0.049842702,0.017658557279999997,0.04927307112,0.013386325679999995,0.05924161152,,0.22899161375999996,0.11734396128,0.028481544,0.0412982388,0.008829278639999999,0.02791191312,0.05810234976,0.031899329280000006,0.023354866079999998,0.37937416608,0.01879781904,0.023639681519999997,0.0327537756,0.13813548839999998,0.03503229912,0.0085444632,0.09284983344
Gansu,0.0210071394,0.0084525768,0.0226230732,0.043754515199999996,0.016035035399999998,0.027843782400000003,0.0338103072,0.051212671200000004,0.0157864302,0.0045991962,0.011062931399999998,0.0024860520000000003,0.0208828368,0.3844679418,0.083904255,0.0171537588,0.008079669000000001,0.0094469976,0.0019888416,0.0125545626,0.0162836406,0.0091983924,0.0063394326,,0.004972104000000001,0.0073338534,0.05133697379999999,0.1461798576,0.1697973516,0.004350590999999999,0.0275951772
Qinghai,0.007448163839999998,0.0015517008,0.007680918959999998,0.0176505966,0.0046551024,0.010590357959999998,0.00826280676,0.004383554759999999,0.00244392876,0.0012801531599999998,0.0042671772,0.000969813,0.00616801068,0.031460733719999995,0.02979265536,0.006672313439999999,0.0017068708800000003,0.00236634372,0.00054309528,0.0017068708800000003,0.003879252,0.00240513624,0.0018232484399999995,0.17503185023999998,0.00151290828,0.00108619056,0.017223878879999998,0.0104739804,,0.01695233124,0.005353367759999999
Ningxia,0.015628710239999996,0.00313909992,0.01315750392,0.01916854632,0.011487769920000002,0.0113541912,0.013424661359999998,0.17004571055999998,0.00587746368,0.0028719424800000004,0.0056770956,0.00180331272,0.00848224872,0.13765287095999998,0.01182171672,0.006812514720000001,0.00427451904,0.005009202,0.00146936592,0.00253799568,0.00647856792,0.00394057224,0.0023376276,0.16383430008,0.00220404888,0.0026715744,0.006278199839999999,,0.012022084799999999,0.0008014723199999999,0.01449329112
Xinjiang,0.021371334840000002,0.004716834120000001,0.026204634,0.06795735084,0.01036538856,0.01764445356,0.02131310232,0.012287061719999996,0.008443715400000001,0.0046003690800000005,0.01129710888,0.0036104162400000003,0.013218782040000002,0.05869838016,0.043441459919999995,0.013102317,0.009258970679999999,0.01211236416,0.00197990568,0.007977855240000001,0.01997375436,0.00564855444,0.0032610211199999998,0.11436866928000003,0.0032610211199999998,0.00395981136,,0.01112241132,0.02550584376,0.0012228829199999998,0.02317654296
Taiwan,3.24e-05,,0.000162,3.24e-05,6.48e-05,6.48e-05,0.0001296,6.48e-05,0.0005507999999999999,6.48e-05,,,0.0002268,,9.72e-05,,,,,0.0013931999999999998,,6.48e-05,,,3.24e-05,6.48e-05,,,,,3.24e-05
Hong Kong,3.1149359999999994e-05,6.229871999999999e-05,,3.1149359999999994e-05,6.229871999999999e-05,0.02637218088,6.229871999999999e-05,6.229871999999999e-05,0.00051821208,9.627984000000001e-05,3.1149359999999994e-05,,3.1149359999999994e-05,,6.229871999999999e-05,3.1149359999999994e-05,6.229871999999999e-05,,,0.00025769016,,,3.1149359999999994e-05,,0.00012742920000000002,3.1149359999999994e-05,,,,3.1149359999999994e-05,9.627984000000001e-05
Macau,0.0016515446400000005,0.0015036451199999998,0.0014789952000000002,0.00113389632,0.00105994656,0.18965648448000005,0.00611318016,0.00041904864000000014,0.008824671360000001,0.0018240940800000004,0.00093669696,0.00032044896000000005,0.00562018176,0.00032044896000000005,0.0014789952000000002,0.00426443616,0.00076414752,0.003648188160000001,0.0003697488,0.0034509888,0.00096134688,0.0006901977600000001,0.00113389632,4.9299840000000015e-05,0.0035742384,0.00093669696,2.4649920000000007e-05,0.00027114912000000005,,,0.0035742384
