,Hebei,Shandong,Henan,Guangdong,Tianjin,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Jilin,Hunan,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.028928090519999998,0.0246505032,0.0246505032,0.15276061836,0.008482673159999999,0.027260556479999996,0.01428279156,0.021605441040000003,0.00877267908,0.02950810236,0.04872099456,0.01783536408,0.023780485439999995,0.017980367039999997,,0.01210774716,0.0177628626,0.017255352239999997,0.010657717559999998,0.02675304612,0.023780485439999995,0.013775281200000001,0.01566031968,0.04110833916,0.00536510952,0.014065287119999999,0.0032625666000000004,0.0017400355199999995,0.00232004736,0.00014500296,0.06880390452
Chongqing,0.022903965,0.034028748000000004,0.043190334000000004,0.14244084899999998,0.005017059,0.056278314,0.013306113,0.011779182,0.006107724000000001,0.06805749600000001,0.8923821029999999,0.052133787,0.033156216,0.145930977,0.036864477,0.023340231000000003,0.005017059,0.03708261,0.004580793,0.07416522,,0.090307062,0.01963197,0.038173275000000007,0.013524246,0.23340231,0.009815985,0.003926394000000001,0.003708261000000001,0.006325857,0.051261255
Sichuan,0.0464148306,0.05793851268000001,0.0752240358,0.2352751758,0.00992317068,0.09539047944,0.02912930748,0.02208705732,0.014084500319999999,0.09827139996,,0.17733666312,0.050576160240000015,0.072023013,0.06209984232000001,0.03169012572,0.01056337524,0.056338001279999994,0.009282966120000001,0.056017899,0.91773323676,0.42285511188,0.029769512040000005,0.059859126360000015,0.0736235244,0.26440448328,0.0224071596,0.008002556999999999,0.027208693800000003,0.0432138078,0.11619712764000001
Guizhou,0.0144794304,0.01864226664,0.02606297472,0.21972535631999998,0.00235290744,0.042352333919999985,0.00524879352,0.00524879352,0.0027148932,0.12198920112,0.24705528120000006,0.018099288,0.01882325952,0.0280538964,0.01864226664,0.01574638056,0.00235290744,0.05031602063999999,0.00199092168,0.15945472728,0.23927258735999998,0.33013101312,0.02642496048,0.15529189104,0.00434382912,,0.0012669501600000002,0.00144794304,0.00072397152,0.00072397152,0.02732992488
Yunnan,0.02235708864,0.02437543692000001,0.036175011480000005,0.15137612100000006,0.0048129843600000005,0.041143253399999996,0.008694423360000002,0.01148905944,0.004036696560000001,0.05822158500000001,0.4059985194,0.02654904276,0.03074099688,0.02639378520000001,0.017233589160000003,0.0186309072,0.0076076204400000015,0.030585739320000006,0.0034156663200000004,0.05806632744000001,0.08042341607999999,,0.021580800840000004,0.11069864028,0.005278757040000001,0.28908957671999996,0.0031051512000000005,0.00186309072,0.0021736058400000004,0.004347211680000001,0.043316859240000005
Tibet,0.00141159024,0.00223228224,0.0058269132,0.0027082836,0.00021337992000000001,0.00193683312,0.00109972728,0.00034469064,0.000410346,0.0010668996,0.07302517416,0.00802636776,0.0007386228,0.0017398670399999998,0.0002462076,0.00113255496,0.00027903528,0.00064013976,0.00011489688,0.00206814384,0.0096841656,0.00802636776,0.0006729674399999999,0.00119821032,0.00669684672,0.0008699335199999999,0.0011653826399999998,0.00044317367999999993,0.027493182,,0.00239642064
Shaanxi,0.06878862143999999,0.08576243711999998,0.22557307679999994,0.09871613855999996,0.008710247519999999,0.09514270367999997,0.2722510699199999,0.01831385376,0.19140210576,0.058068316799999985,0.19363550255999995,,0.027917459999999998,0.08107230383999997,0.02814079968,0.03662770751999999,0.008933587199999999,0.023227326719999997,0.0069235300799999995,0.03037419648,0.059408354879999986,0.026800761599999997,0.0189838728,0.016303796639999996,0.26153076528,0.02032391088,0.02479070448,0.09938615759999997,0.027694120319999998,0.004690133279999999,0.11077648127999998
Gansu,0.018228272399999995,0.0235133928,0.037319421599999986,0.029769249599999995,0.006147997199999999,0.034946510400000005,0.0133745904,0.0060401376,0.041957384400000006,0.0222190776,0.0930828348,0.29995754760000004,0.010893819599999998,0.013806028799999998,0.009168066,0.009923083199999998,0.0019414728,0.010678100399999998,0.001617894,0.009707364,0.021679779599999997,0.0094916448,0.005608699199999999,0.006903014399999999,,0.0060401376,0.045085312799999985,0.12015559439999997,0.1287843624,0.0040986648,0.0348386508
Qinghai,0.00534452256,0.0065778739199999995,0.013943722319999996,0.007023250799999998,0.0011990915999999998,0.0075371471999999985,0.004145430959999999,0.0014046501599999995,0.0039056126399999993,0.004556548079999999,0.031964356079999985,0.031964356079999985,0.00181576728,0.0038713528799999993,0.00260374176,0.0027750405600000002,0.0007879744799999999,0.0020898453599999998,0.00034259760000000003,0.00335745648,0.006988991040000001,0.0029463393599999995,0.0007537147199999999,0.0016444684799999994,0.14135576975999994,0.0014731696799999998,0.015416891999999996,0.008873277839999999,,0.016581723839999996,0.008873277839999999
Ningxia,0.01180000224,0.011690742960000002,0.019666670400000003,0.00879537204,0.0019120374,0.0139305582,0.010598150159999998,0.00256759308,0.12324446784000002,0.006719445720000001,0.014968521359999999,0.10521668664000003,0.0033870376799999997,0.0051898158,0.00475277868,0.0050805565200000005,0.00196666704,0.00371481552,0.0007648149600000001,0.00420648228,0.00912314988,0.00322314876,0.0015842595600000001,0.00371481552,0.13351484015999998,0.00223981524,0.006118519680000001,,0.007484260679999999,0.00027314820000000004,0.0180277812
Xinjiang,0.01420859232,0.01862681184,0.0499560048,0.01571480352,0.0014057971200000007,0.018225155519999998,0.00808333344,0.0042675984,0.008836439040000001,0.0123007248,0.0682815744,0.040667702400000005,0.00341407872,0.00918788832,0.008284161600000001,0.006376294079999999,0.0019078675199999998,0.00717960672,0.00115476192,0.0080331264,0.01937991744,0.007028985600000001,0.00261076608,0.0025605590400000003,0.10799534304,0.0030626294399999994,,0.00908747424,0.02018323008,0.00105434784,0.022291925759999998
Taiwan,0.00012924035999999995,0.00012924035999999995,3.2218559999999994e-05,0.00022662828,3.2218559999999994e-05,9.702179999999998e-05,3.2218559999999994e-05,3.2218559999999994e-05,6.443711999999999e-05,9.702179999999998e-05,3.2218559999999994e-05,,0.0009716824799999998,6.443711999999999e-05,,6.443711999999999e-05,3.2218559999999994e-05,0.0012956986799999993,,,,,,,,,3.2218559999999994e-05,,,,3.2218559999999994e-05
Hong Kong,,,3.1346999999999997e-05,0.019374535800000002,,,,3.1346999999999997e-05,,9.61308e-05,3.1346999999999997e-05,,0.0007126217999999999,,,,6.47838e-05,9.61308e-05,,3.1346999999999997e-05,3.1346999999999997e-05,,,3.1346999999999997e-05,,,,,,,0.0002256984
Macau,0.0007757855999999999,0.0008893151999999999,0.0007379424,0.1652990976,0.0003216672,0.0017975520000000002,0.000378432,0.0008703936,5.67648e-05,0.0022327488,0.0014191199999999998,0.000283824,0.0022516704,0.0015704928,0.0006622560000000001,0.0004162752,0.0001135296,0.0017786303999999997,0.0002081376,0.0011920608,0.0003216672,0.0003405888,0.0006622560000000001,0.0014191199999999998,,0.000567648,,0.00015137280000000002,,,0.0021949056
