,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Inner Mongolia,Guangdong,Anhui,Sichuan,Shanghai,Heilongjiang,Hubei,Zhejiang,Shaanxi,Liaoning,Hainan,Hunan,Jilin,Chongqing,Jiangxi,Yunnan,Gansu,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.01783886976,0.043982040959999996,0.0070740345599999985,0.027527221440000003,0.0130715856,0.0438282576,0.006458901120000001,0.11518373664000002,0.01876156992,0.42336559008,0.0361390896,0.00753538464,0.0322945056,0.05274769248000001,0.02675830464,0.006458901120000001,0.017531303039999998,0.050287158719999996,0.00476728416,0.08089004736000001,0.02137588704,,0.00799673472,0.025528037760000004,0.10180458432,0.31248778751999995,0.004152150720000001,0.0024605337600000004,0.0026143171200000005,0.00738160128,0.017069952960000002
Tibet,0.0017725392000000001,0.008862695999999998,0.000274104,0.0019918224,0.0014253407999999998,0.0025217568,0.00021928319999999995,0.0033623424,0.0023207472,0.0757806192,0.0007674911999999999,0.0003471984,0.0034902575999999994,0.001644624,0.0079672896,0.0004202928,0.000730944,0.0024486624,0.00021928319999999995,0.0134676432,0.001096416,0.009776375999999998,0.008862695999999998,0.0008588591999999998,0.0010233216,0.0017725392000000001,0.0013887936,0.0006761232000000001,0.025948512,,0.0010233216
Shaanxi,0.08333521703999999,0.29916554256000005,0.016824775680000004,0.09411358896,0.3357068522400001,0.10752083207999999,0.21425300280000004,0.09411358896,0.060201150480000014,0.20294885664,0.044427923279999997,0.016561888559999998,0.10725794496000003,0.062304247440000016,,0.012355694640000001,0.028128921840000005,0.04311348768,0.009989710560000002,0.05520629520000001,0.02339695368,0.03627842256,0.3425419173600001,0.028391808960000008,0.020242308240000003,0.02786603472,0.040484616480000006,0.12592293048,0.04127327784000001,0.0055206295200000005,0.04547947176
Gansu,0.022157582400000004,0.060086149920000005,0.009514726559999999,0.02724079248,0.02124521136,0.04613990688,0.053699552639999995,0.02945655072,0.01811708208,0.09592929792,0.01863843696,0.00417083904,0.022287921119999998,0.02593740528,0.35530335071999997,0.005865242400000001,0.01146980736,0.014597936640000003,0.00338880672,0.02398232448,0.0078203232,0.01290353328,,0.011078791200000002,0.009514726559999999,0.011209129920000001,0.06099852095999999,0.13985344655999998,0.15627612527999998,0.005343887519999999,0.01720471104
Qinghai,0.007836328799999999,0.0253430208,0.0018757170000000005,0.009670363199999999,0.0057521988,0.0094619502,0.0042099426,0.0072527723999999995,0.0057521988,0.029928106800000007,0.003376290600000001,0.0009170172,0.0094619502,0.005668833600000001,0.0378894834,0.0010003824,0.00416826,0.00416826,0.0006669216000000001,0.0076695984000000016,0.0021674952000000003,0.0033346079999999998,0.17181567720000002,0.0028760994,0.0012087953999999998,0.0027093690000000005,0.016881453,0.0094202676,,0.0188405352,0.0047934990000000005
Ningxia,0.02057690628,0.023996029680000003,0.0032947916400000005,0.015106308840000002,0.013925157120000005,0.01467114768,0.13558378427999998,0.01038170196,0.007459905600000001,0.012060180719999999,0.00727340796,0.0024244693200000003,0.006713915040000001,0.00833022792,0.1190476602,0.00230013756,0.00515976804,0.005781426840000001,0.0017406446400000007,0.007397739720000001,0.0021758057999999997,0.005532763320000001,0.15162258132000006,0.00298396224,0.00366778692,0.003108294000000001,0.009760043160000002,,0.01031953608,0.0005594929200000001,0.0077085691200000014
Xinjiang,0.01572617268,0.06940989467999999,0.005305214879999999,0.02381030964,0.01124200296,0.02349452304,0.01143147492,0.01724194836,0.011999890800000001,0.051031114559999986,0.0097893846,0.004673641679999999,0.01288409328,0.01698931908,0.0539995086,0.003157866,0.0097893846,0.01092621636,0.0028420794,0.02185243272,0.0044210124,0.00903149676,0.15353544492,0.008336766240000001,0.0029683940399999995,0.0034736526,,0.011810418840000001,0.03271549176000001,0.0018947196,0.01471565556
Taiwan,,3.2076e-05,3.2076e-05,9.72e-05,,9.72e-05,9.72e-05,0.000129276,3.2076e-05,3.2076e-05,0.0016198379999999993,3.2076e-05,3.2076e-05,0.00029160000000000004,,,,,,3.2076e-05,,6.4638e-05,3.2076e-05,0.0018468,9.72e-05,,,,,3.2076e-05,
Hong Kong,6.308279999999999e-05,9.46242e-05,,3.1541399999999996e-05,,9.46242e-05,,0.0255944124,,3.1541399999999996e-05,0.0009060984000000002,6.308279999999999e-05,,3.1541399999999996e-05,3.1541399999999996e-05,6.308279999999999e-05,3.1541399999999996e-05,6.308279999999999e-05,,,3.1541399999999996e-05,,3.1541399999999996e-05,0.0009691812,6.308279999999999e-05,,,,,,0.0002896074
Macau,0.0013104503999999998,0.0014196546,0.0008299519199999999,0.00115756452,0.0005460209999999999,0.00224960652,4.368168e-05,0.18732888467999995,0.0005460209999999999,0.00093915612,0.004564735559999999,0.00034945344,0.00216224316,0.00255537828,0.00021840840000000001,0.00017472672,0.0007644293999999999,0.00194383476,0.00024024924,0.00041497596,0.0015725404799999995,0.0005678618399999999,0.00017472672,0.0019656756,0.00181278972,0.0005678618399999999,2.184084e-05,4.368168e-05,2.184084e-05,,0.00148517712
