,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.032798675519999994,0.0293382648,0.0120362112,0.030391433279999994,0.15015173472,0.032121638639999985,0.01888180632,0.02497513824,0.009252837359999998,0.03099324384,0.026705343599999997,0.01880658,,0.022567896,0.01218666384,0.02316970656,0.014443453439999997,0.029940075360000002,0.017302053600000002,0.016324111439999997,0.030842791199999994,0.02061201168,0.013089379679999995,0.04047176016,0.00541629504,0.0165497904,0.004664031839999999,0.0021063369600000004,0.003610863359999999,0.00030090528,0.05995537703999999
Chongqing,0.0209278242,0.02766112416,0.0067332999599999995,0.03694215924,0.12247326684,0.047497061880000004,0.012920656679999998,0.00946301616,0.005277451319999999,0.0373061214,0.055686210480000005,0.04767904296,0.03202867008,0.13484798028,0.01856207016,0.00564141348,0.004731508079999999,0.06314743476,0.031846689000000004,0.08771488056,0.6618651879599999,,0.018198108,0.03039084036,0.01237471344,0.21764937168,0.00800716752,0.00400358376,0.00382160268,0.008553110759999998,0.0427655538
Sichuan,0.031478103359999995,0.03720139488,0.006915643919999999,0.05890220856000001,0.17098333415999994,0.054848210399999986,0.02337010704,0.010015760159999998,0.00810799632,0.039586099679999986,0.06510244104,0.1347358212,0.042686215919999985,0.04507092072,0.0250394004,0.006677173440000001,0.005007880079999999,0.041493863519999986,0.035293631039999995,0.38751453,,0.7039648569600001,0.01979304984,0.033147396719999986,0.053655858,0.2110463748,0.01025423064,0.0071541144,0.02313163656,0.02575481184,0.06295620671999999
Guizhou,0.0113718168,0.016443032399999998,0.0026124444000000004,0.023204653199999998,0.1807196832,0.034115450400000004,0.0046101959999999996,0.0043028496,0.0021514248,0.0189018036,0.08482760639999999,0.0187481304,0.0165967056,0.025356077999999997,0.0109107972,0.0016904052,0.0021514248,0.1435307688,0.0388793196,0.3101125176,0.1937819052,0.2053073952,0.021667921200000002,0.1281634488,0.0039955032,,0.0012293856,0.0009220392,0.0006146928000000001,0.0013830588,0.0255097512
Yunnan,0.022144509000000003,0.0281449566,0.0064290510000000025,0.0325738584,0.13658161680000006,0.0417173976,0.011286556200000002,0.0130009698,0.0040002984,0.032716726200000004,0.052146747,0.027144882,0.0174298716,0.027859221000000003,0.015286854600000004,0.008143464599999999,0.0047146374,0.050146597800000005,0.032716726200000004,,0.32802446879999997,0.068576544,0.0174298716,0.104293494,0.005857579799999999,0.28144956600000004,0.0037145628,0.0020001492000000006,0.0031430916000000004,0.004286034,0.043146075600000014
Tibet,0.00206713944,0.0022563846000000004,0.00037849032,0.0059539438800000006,0.0027804481199999996,0.0017759930399999996,0.0008297672399999999,0.0005386208400000001,0.00029114639999999997,0.00090255384,0.0013247161200000007,0.009098325,0.00048039156,0.0024165151199999997,0.0012228148800000002,0.0006405220800000001,0.00029114639999999997,0.0023874004800000003,0.0011645855999999999,0.00802108332,0.050048066160000015,0.00949137264,0.0007424233200000001,0.0005822927999999999,0.007249545360000002,0.0011937002400000001,0.0012519295199999998,0.00045127692,0.026523437040000004,,0.0029988079200000003
Shaanxi,0.07209518399999999,0.07960509900000001,0.013303278,0.207917361,0.101491137,0.08990441100000003,0.262203318,0.019740348,0.18195451199999998,0.04076811,0.059435613,,0.027035694,0.08110708200000001,0.038407851,0.008153622000000001,0.007080777,0.032399919,0.026177418,0.033258195000000004,0.132603642,0.043342938,0.015663536999999998,0.020384055,0.2639198700000001,0.019740348,0.02574828,0.098487171,0.024246297000000003,0.004935087,0.110503035
Gansu,0.017233355880000002,0.02019055896,0.006424268760000001,0.035486436960000006,0.031407536160000006,0.031815426240000014,0.012848537520000002,0.00469073592,0.038239695,0.014174180280000002,0.021822119280000003,0.30928265316,0.00907555428,0.015703768080000003,0.00958541688,0.0021414229200000003,0.0020394504,0.008055829080000002,0.008565691680000001,0.00978936192,0.05741052876,0.013868262720000005,0.005098626000000001,0.00581243364,,0.005098626000000001,0.0463974966,0.11584078272,0.12675184236,0.003772983240000001,0.0295720308
Qinghai,0.005343803280000001,0.007059098160000002,0.0013524440399999998,0.014514033600000004,0.00794973204,0.00732298968,0.004024345679999999,0.0011545254,0.0026389152,0.00240801012,0.00442018296,0.029094040079999998,0.0033976033200000004,0.00498095244,0.0028038474,0.00062674236,0.00079167456,0.0032986440000000003,0.0021441185999999997,0.004057332120000001,0.02295856224,0.00442018296,0.00112153896,0.00145140336,0.13567322772,0.00105556608,0.014151182759999999,0.01032475572,,0.01883525724,0.0100608642
Ningxia,0.012063342959999999,0.009937643760000002,0.0022851266399999998,0.017218163520000003,0.010575353519999999,0.01371075984,0.010841065920000002,0.0023382691200000004,0.12461911560000001,0.0053673904799999995,0.007865087040000001,0.10293698376000003,0.004676538240000001,0.0053673904799999995,0.00526110552,0.0028696939199999998,0.0014348469599999999,0.004729680720000001,0.00403882848,0.0037731160799999997,0.008130799440000001,0.0061113852000000005,0.0017005593600000002,0.0022319841600000005,0.12297169872,0.002391411600000001,0.006802237440000001,,0.009193649040000001,0.00047828232,0.018599868
Xinjiang,0.014552784,0.01911265632,0.002425464,0.053748282239999993,0.01809396144,0.01586253456,0.007907012639999999,0.00494794656,0.009604837440000001,0.007518938399999999,0.012175829279999998,0.046714436639999996,0.00834359616,0.01072055088,0.00805254048,0.0026680104000000003,0.00203738976,0.009847383840000001,0.006791299199999999,0.00708235488,0.03604239504,0.01678421088,0.00378372384,0.0031531032,0.09730961568,0.00276502896,,0.010041420959999998,0.02396358432,0.0008731670399999999,0.0213440832
Taiwan,6.479352e-05,,,6.479352e-05,0.00029157084,6.479352e-05,3.239676e-05,3.239676e-05,,0.0009071092800000001,9.719028e-05,,3.239676e-05,3.239676e-05,,,,,0.0010042995599999999,,6.479352e-05,,,3.239676e-05,,,3.239676e-05,,,,6.479352e-05
Hong Kong,3.028752e-05,3.028752e-05,,,0.023553594719999998,,3.028752e-05,,3.028752e-05,0.0005174117999999999,6.3099e-05,,,3.028752e-05,,,,3.028752e-05,6.3099e-05,,6.3099e-05,,,6.3099e-05,,,,,,,0.00022463244
Macau,0.001414098,0.001717119,0.00034342380000000004,0.0009696672,0.16886350260000002,0.003939273,0.0007676532,0.001212084,0.0002828196000000001,0.0030908142000000004,0.0022625568000000005,0.0002424168,0.0006666462,0.0021009456,0.0009696672,0.0003838266,0.0005656392000000001,0.0024443694,0.0025453764,0.0006464448,0.0005454378,0.0004848335999999999,0.0008888616,0.0014747022,6.0604199999999985e-05,0.0003838266,,2.02014e-05,2.02014e-05,2.02014e-05,0.0022827582000000003
