,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Anhui,Sichuan,Jiangsu,Shaanxi,Jilin,Guangdong,Gansu,Zhejiang,Hunan,Hainan,Jiangxi,Fujian,Hubei,Chongqing,Yunnan,Shanghai,Guangxi,Xinjiang,Ningxia,Guizhou,Qinghai,Tibet,Beijing
Hainan,0.04295022732,0.03133176228,0.06113979144,0.02323693008,0.02457019656,0.016761064319999998,0.02514159648,0.00961856532,0.022570296840000004,0.0685679904,0.03209362884,0.03209362884,0.014951631240000002,0.15294471192,0.01133276508,0.03123652896,0.043712093880000004,,0.032665028760000006,0.02085609708,0.0114279984,0.041902660800000005,0.01199939832,0.028760462639999998,0.03685529484,0.014189764680000001,0.00599969916,0.01971329724,0.004380732720000001,0.0004761666,0.0742819896
Chongqing,0.029903171760000007,0.030852478800000006,0.05885703647999999,0.02515663656,0.011866338,0.007594456320000002,0.008069109840000002,0.007594456320000002,0.02515663656,2.9001330072000004,0.03892158864,0.06835010688,0.00569584224,0.10347446736,0.025631290080000004,0.047465352,0.10442377440000003,0.071198028,0.02800455768,0.0332257464,0.19887982488000008,,0.18701348688000002,0.02230871544,0.08591228712000001,0.018036833760000003,0.0052211887200000005,0.5520220437600001,0.004746535200000001,0.00427188168,0.021834061919999998
Sichuan,0.05112144576,0.06041625407999999,0.1084394304,0.044924906880000004,0.03046631616,0.00981118656,0.01962237312,0.012909456000000001,0.0438921504,,0.06867830592,0.23082107328,0.0154913472,0.14871693311999998,0.10327564800000001,0.06764554944000001,0.08726792255999999,0.08726792255999999,0.0438921504,0.04544128512,0.07332571008,2.13160937472,0.8799085209599999,0.03304820736,0.10430840448,0.03821198976,0.01187669952,0.49520673216,0.02272064256,0.0361464768,0.03924474624
Guizhou,0.011204749439999998,0.012371910839999998,0.03478140972,0.0046686456,0.00373491648,0.0016340259600000002,0.0046686456,0.00280118736,0.01704055644,0.636102963,0.02591098308,0.01493966592,0.0016340259600000002,0.11811673368,0.00396834876,0.034314545159999994,0.2427695712,0.04295153952,0.032447086919999986,0.02941246728,0.027545009039999995,0.4498240035599999,0.385163262,0.008870426640000002,0.16200200232,0.0016340259600000002,0.00093372912,,0.00046686456,0.00023343228,0.016340259599999997
Yunnan,0.02422685376,0.0277171632,0.0503015184,0.019094045759999997,0.012934676159999998,0.007185931199999999,0.010265616,0.00492749568,0.02340560448,0.7500059049600001,0.032234034239999994,0.028333100160000003,0.006364681919999999,0.07042212576000001,0.010265616,0.04948026912,0.07268056128,0.01170280224,0.031002160319999996,0.0266906016,0.02012060736,0.12770426304000002,,0.02176310592,0.07699212,0.00492749568,0.0034903094399999996,0.48494769983999997,0.00328499712,0.00451687104,0.030386223360000002
Tibet,0.0010267884,0.002222154,0.0074786976000000005,0.001379268,0.0006130080000000001,0.0002452032,0.0002145528,0.00038313,0.0020995524,0.0611168976,0.0016397964,0.0097468272,0.0002452032,0.0020382516,0.0118923552,0.0013486176,0.0017777231999999996,0.0003218292,0.0006743088,0.000536382,0.0010880891999999998,0.009685526400000002,0.0046282104,0.001379268,0.0004137804,0.0006436584,0.0005057316,0.00076626,0.026206092,,0.0006436584
Shaanxi,0.0718378794,0.082601046,0.39122859060000004,0.3133833624,0.021276027000000003,0.009261329399999999,0.014017147200000002,0.14743035179999994,0.062075937599999985,0.2763380448,0.0720881856,,0.0085104108,0.050812158600000004,0.3784629744,0.0458060346,0.0310379688,0.0347925618,0.0207754146,0.0292858254,0.0693348174,0.08360227079999999,0.0317888874,0.018522658799999998,0.0182723526,0.0305373564,0.09411513119999998,0.0160195968,0.022777864199999998,0.0035042868000000004,0.046306647000000006
Gansu,0.013446900720000002,0.01467733608,0.051502508640000014,0.00931615344,0.00386708256,0.0037791943200000005,0.0026366472000000003,0.037352502,0.011777024160000002,0.07048636847999999,0.018104977440000003,0.19976996952,0.0013183236,0.01643510088,,0.015116777280000002,0.00914037696,0.014062118400000002,0.0055369591200000005,0.007382612159999999,0.009667706400000002,0.01898385984,0.007558388640000001,0.00905248872,0.0052732944000000006,0.0448230024,0.11750657688,0.002460870720000001,0.13903919568,0.00202142952,0.0149410008
Qinghai,0.004686468839999999,0.00979514208,0.03044093724,0.0048553506,0.0013510540799999999,0.00080218836,0.0006755270399999999,0.00303987168,0.0054042163199999995,0.04268486484,0.00700859304,0.034240776839999994,0.00016888175999999998,0.00595308204,0.20426248872000002,0.004264264439999999,0.003166533,0.00460202796,0.00185769936,0.0018999198,0.0034198556400000003,0.00966848076,0.0040109418,0.00287098992,0.00244878552,0.00557309808,0.0073041361200000005,0.00156215628,,0.0097107012,0.0037998396
Ningxia,0.01173721104,0.011855172959999995,0.0274261464,0.010557591839999998,0.00300802896,0.00165146688,0.00200535264,0.1082300616,0.007313639039999998,0.015629954399999996,0.00660586752,0.11843376767999995,0.00188739072,0.005780134079999999,0.20059424495999995,0.005898095999999999,0.0031259908799999995,0.005662172159999999,0.00106165728,0.0027721051199999995,0.00224127648,0.005544210239999999,0.00365681952,0.0028310860799999997,0.00218229552,0.0076675248,,0.00123860016,0.006251981759999999,0.00011796192,0.005780134079999999
Xinjiang,0.021612361680000004,0.02738107476,0.08839943424000002,0.012187422,0.005849962560000001,0.004062474000000001,0.0025999833600000005,0.0067437068400000005,0.015356151719999997,0.09449314524000002,0.023887347120000003,0.06581207879999999,0.00251873388,0.02608108308,0.24651092232,0.01194367356,0.011131178759999999,0.01600614756,0.00430622244,0.00861244488,0.006581207880000002,0.029006064360000004,0.0068249563200000005,0.0117811746,0.00381872556,,0.021612361680000004,0.00251873388,0.01194367356,0.0003249979200000001,0.021449862719999997
Taiwan,0.00022542623999999994,0.00038799323999999985,0.0005830736399999999,,0.00038799323999999985,0.00016039943999999998,0.00025793963999999993,,0.00022542623999999994,0.0006155870399999999,0.0017167075199999995,0.0008410132799999999,,0.00456704892,0.00012788603999999996,0.0009385534799999998,0.0007109596799999997,0.00051804684,3.0345840000000003e-05,0.003530955239999999,0.00019291284,0.0004530200399999999,0.00019291284,0.00210470076,0.00029045304,6.285923999999998e-05,,3.0345840000000003e-05,,,0.00038799323999999985
Hong Kong,0.00174677148,0.00358796304,0.0036351730799999995,0.0012746710800000001,0.0016995614399999998,0.0016995614399999998,0.0007081505999999999,0.00037768032,0.00174677148,0.00486263412,0.0050986843200000005,0.0018411915600000002,0.00037768032,0.35308388916,0.0004721004,0.006467775479999999,0.0067510357200000004,0.00453216384,0.00316307268,0.020961257759999997,0.0013218811200000002,0.00316307268,0.0018411915600000002,0.0057596248800000005,0.006514985520000001,0.00018884016,0.00014163012,0.00174677148,9.442008e-05,,0.006373355400000001
Macau,0.0008630582399999999,0.00111478356,0.00240937092,0.0015103519199999998,0.0007551759599999999,0.00100690128,0.00032364684,0.00021576456,0.00129458736,0.0029847430800000003,0.007731563399999999,0.0014384304,0.00025172532000000003,0.27930722292,0.00010788228,0.0063290937600000005,0.0029487823199999988,0.0017261164799999998,0.00248129244,0.00373991904,0.0011867050799999998,0.0019778418,0.00043152912,0.0115074432,0.005322192480000001,3.5960759999999993e-05,3.5960759999999993e-05,0.00061133292,,,0.00363203676
