,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Shaanxi,Sichuan,Heilongjiang,Zhejiang,Hunan,Jilin,Shanghai,Jiangxi,Gansu,Hainan,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Chongqing,0.025222340519999997,0.006667975079999999,0.03218022756,0.06378063120000001,0.021743397,0.005508327239999999,0.00347894352,0.07160825412,0.022323220919999998,0.38384343504,0.07769640528,0.8436438036000001,0.0014495598,0.23105983211999997,0.14524589195999998,0.00086973588,0.0405876744,0.06320080728000001,0.030440755800000007,0.01710480564,0.14901474743999998,0.14640553979999998,,0.33861716928,0.06986878236,0.06494027904,0.01188639036,0.00260920764,0.0057982392,0.0115964784,0.00695788704
Sichuan,0.04678462152,0.01388115144,0.10076687712000001,0.14189621472,0.07043399064,0.012852918,0.01131056784,0.16348911695999999,0.03495993696000001,0.6760634868000001,0.39946869144,,0.00308470032,0.28019361239999996,0.08997042599999999,0.00308470032,0.07660339128,0.04575638808,0.15166443240000002,0.034445820239999994,0.6015165624000001,0.15526324944,1.18349668944,0.48892500071999995,0.13007153015999998,0.01953643536,0.03804463728,0.00976821768,0.04061522088,0.03650228712,0.07300457424
Guizhou,0.010954508040000002,0.0020286126,0.0182575134,0.029212021440000006,0.005274392760000001,0.0024343351199999997,0.0016228900800000002,0.10832791284000001,0.02474907372,0.8796064233600001,0.02312618364,0.27426842351999997,0.0004057225200000001,0.7493694944399999,0.39720234708,0.0008114450400000001,0.0344864142,0.17689501872000002,0.0060858378000000005,0.0121716756,0.4686095106000001,0.23694195168000004,0.26087958036000003,,0.30956628276,0.007708727880000002,0.0004057225200000001,0.0020286126,0.0004057225200000001,0.006491560320000001,0.0008114450400000001
Yunnan,0.012011642279999998,0.0022663476,0.02470318884,0.02085039792,0.00747894708,0.00521259948,0.0013598085599999998,0.07660254888,0.0158644332,0.43332566112,0.02221020648,0.47072039652,0.00249298236,0.20759744015999998,0.07229648844,0.00181307808,0.02175693696,0.025609727880000002,0.0063457732800000005,0.007252312320000002,,0.055978785720000014,0.056432055240000015,0.4806923259600001,0.21031705728,0.0043060604399999996,0.00249298236,0.0015864433200000006,0.0011331738,0.0067990428,0.00498596472
Tibet,0.000256122,,0.000194157,0.000937737,0.00022307400000000003,0.000128061,9.5013e-05,0.000516375,0.000256122,0.000256122,0.0008096760000000001,0.016003494,2.8917000000000005e-05,0.00032221800000000004,0.000355266,,9.5013e-05,6.196500000000001e-05,0.0016193520000000001,,0.002883438,,0.00103275,0.00028916999999999994,6.196500000000001e-05,0.000128061,0.000194157,6.196500000000001e-05,0.014284998,0.00016110900000000002,
Shaanxi,0.06671178143999999,0.012220476479999996,0.07272185183999999,0.17088633503999995,0.33395957856,0.007612755839999998,0.20935078559999995,0.12300610751999998,0.03545941536,0.10577723903999997,,0.15626183039999994,0.00280469952,0.08634467807999999,0.0220369248,0.0040067136,0.029850016319999995,0.01482484032,0.2624397408,0.00380637792,0.0190318896,0.022838267519999997,0.03686176512,0.02123558208,0.01382316192,0.02484162432,0.020834910719999995,0.06611077439999999,0.02464128864,0.02464128864,0.004808056319999999
Gansu,0.01972886544,0.01070651844,0.02008975932,0.033442832879999995,0.01527784092,0.0028871510399999995,0.059667788159999985,0.06327672696,0.009744134759999998,0.02754823284,0.351871533,0.060750469799999984,0.0008420857200000001,0.039096837,0.004932216359999999,0.0007217877599999999,0.02008975932,0.00818026128,,0.00204506532,0.00589460004,0.00769906944,0.010105028640000001,0.00348864084,0.0028871510399999995,0.00228566124,0.10092998844,0.13220745803999998,0.16480820519999995,0.014916947039999996,0.0048119184
Qinghai,0.00325550016,0.0005425833600000001,0.00399538656,0.0071522352,0.0031568486400000003,0.00064123488,0.004094038079999999,0.004587295680000001,0.00162775008,0.00362544336,0.01484705376,0.011714868,0.00014797728,0.0034528032,0.0011098296,0.00017264016000000004,0.0006905606400000003,0.00150443568,0.14297071535999997,0.00014797728,0.00093718944,0.00076454928,0.00140578416,0.0004192689600000001,0.00027129168000000005,0.0004192689600000001,0.007719481440000001,0.006313697280000001,,0.00120848112,0.017288678879999998
Ningxia,0.004864636439999999,0.0015084144,0.004600663919999999,0.0073158098400000005,0.00663702336,0.0006033657599999999,0.09650081124,0.00505318824,0.00252659412,0.008258568840000001,0.07353520200000001,0.0039595878,,0.0059582368799999995,0.00199864908,0.00033939324,0.0020740698000000003,0.00335622204,0.12681994068000002,0.00041481396,0.0015461247599999994,0.00252659412,0.00090504864,0.0006787864799999999,0.0011313108,0.0006787864799999999,0.0045252432,,0.0060336576,0.0020363594399999997,0.00015084143999999998
Xinjiang,0.004302305280000001,0.0015125292000000002,0.0062181756000000005,0.011663280719999999,0.00322672896,0.00183184092,0.008486969399999999,0.0066383226000000005,0.0017141997600000002,0.012789274679999999,0.0112599396,0.01023478092,0.00025208820000000004,0.004470364080000001,0.0019662879600000002,0.0004201470000000001,0.003982993560000001,0.00089071164,0.053325057240000015,0.00105877044,0.0012268292400000002,0.0016805880000000002,0.004470364080000001,0.00043695288,0.00174781152,0.00043695288,,0.00332756424,0.004890511080000001,0.0031426995600000005,0.00018486468
Taiwan,,3.1755240000000013e-05,0.00012937320000000002,3.1755240000000013e-05,,0.00016112844000000002,9.644184000000001e-05,0.00246161916,6.468660000000001e-05,0.00294735672,3.1755240000000013e-05,6.468660000000001e-05,,0.0006151107600000001,9.644184000000001e-05,,0.00220287276,9.644184000000001e-05,,3.1755240000000013e-05,,0.0019429502399999998,6.468660000000001e-05,3.1755240000000013e-05,6.468660000000001e-05,6.468660000000001e-05,,,,0.00012937320000000002,
Hong Kong,,,0.00032295672000000005,0.00016147836000000005,0.00022257828,9.601416000000003e-05,3.0549960000000015e-05,0.00028804248,3.0549960000000015e-05,0.03528083952,3.0549960000000015e-05,0.00016147836000000005,,0.00025749252,0.00019202832000000006,9.601416000000003e-05,0.00054989928,0.00016147836000000005,3.0549960000000015e-05,0.00016147836000000005,6.109992000000003e-05,0.0010037844,0.00019202832000000006,,0.00028804248,9.601416000000003e-05,,,,0.0006764634,
Macau,0.000220644,0.0001912248,0.0001912248,0.00035303040000000003,0.000257418,0.000220644,,0.0007722540000000001,0.0003824496,0.06217012440000001,0.000220644,0.0003824496,2.94192e-05,0.0007428348,0.001029672,2.94192e-05,0.0008678664,0.0008678664,0.00012503160000000002,5.88384e-05,9.56124e-05,0.0006104484,0.0001618056,0.00012503160000000002,0.0006104484,,,,,2.94192e-05,
