,Hebei,Shandong,Henan,Tianjin,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Sichuan,Shanghai,Heilongjiang,Anhui,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.047534824079999996,0.04024334664,0.07473764376,0.022575535919999997,0.025239729600000003,0.01318074768,0.04122489168,0.23515014744000004,0.027483261119999998,0.10011759408,0.04543151328000001,0.029726792640000006,0.03617694576,0.03533562144,0.0645015312,0.04388908536,0.02117332872,0.08539441848,,0.04641305831999999,0.03197032416,0.01836891432,0.052863211439999995,0.028324585439999998,0.0511805628,0.07824316176000001,0.0119187612,0.00518816664,0.0037859594400000006,0.00014022072,0.07628007167999999
Chongqing,0.046672329599999986,0.059836319999999985,0.09015338879999997,0.015956352,0.0311148864,0.011568355199999998,0.08456866560000001,0.15397879679999998,0.0175519872,1.7364500064,0.0546505056,0.0155574432,0.041087606400000004,0.091749024,0.2568972672,0.08576539199999997,0.0095738112,0.1192737312,0.0530548704,0.0374974272,0.0490657824,0.0374974272,,0.153579888,0.5149912607999999,0.059038502400000005,0.033907248,0.0155574432,0.0107705376,0.0075792672,0.08257412160000001
Sichuan,0.09602559719999998,0.1170489528,0.16705044719999998,0.0272735424,0.06591106079999999,0.028978138799999997,0.1357995132,0.29830437,0.0471605004,,0.1045485792,0.030682735200000002,0.0732976452,0.3045545568,0.1653458508,0.1170489528,0.0232961508,0.10682137439999996,0.07784323559999999,0.06761565719999997,0.07841143440000001,0.1551182724,1.7028918035999996,0.7159304879999999,0.49319655840000004,0.088070814,0.061365470400000004,0.025568946,0.0505696932,0.0517060908,0.1852328088
Guizhou,0.0256208508,0.0365565798,0.0643645764,0.0074987855999999985,0.010935728999999998,0.0037493928,0.05280394859999999,0.2105908956,0.0099983808,0.5302266318,0.0309324906,0.0084361338,0.03124494,0.0368690292,0.08842318019999999,0.09373482,0.006561437399999999,0.3165112422,0.040618422,0.0549910944,0.060927633,0.0115606278,0.4977318942,0.6042771396,,0.2271507138,0.0037493928,0.0015622470000000001,0.0018746964,0.0012497976,0.0428055678
Yunnan,0.05241856032,0.0512790264,0.07948249092,0.01680812532,0.02620928016,0.01111045572,0.06324413256,0.14500569132000002,0.021651144480000002,0.7649121437999999,0.041308104599999985,0.013674407039999998,0.04016857068,0.05355809423999999,0.08090690831999997,0.08347085963999999,0.01253487312,0.11081967372000001,0.01880230968,0.05013949248,0.05754646295999999,0.014529057480000001,0.19144169856,,0.5845809009599999,0.16437776795999998,0.00883138788,0.00484301916,0.0042732522,0.006837203519999999,0.06723250128
Tibet,0.004777088400000001,0.005181926400000001,0.018582064199999998,0.0007691922000000001,0.0026314470000000003,0.0008096760000000001,0.003764993400000001,0.0029958012000000003,0.0012549978000000002,0.18926176500000005,0.0017812872000000004,0.0009311274,0.0053438616,0.0177723882,0.0079753086,0.0025909632000000004,0.0005262894,0.0063559566000000005,0.0012145139999999999,0.0022670928000000003,0.0009716112,0.0219422196,0.0210110922,0.0189059346,0.0038054772,0.0008096760000000001,0.0012954816000000002,0.0012954816000000002,0.052628940000000006,,0.0048175722
Shaanxi,0.1685986488,0.15512813820000002,0.4419196542,0.043018727400000005,0.40237718759999996,0.249856245,0.16772958359999998,0.14687201879999998,0.046060455599999994,0.4371397956000001,0.0821266614,0.027810086400000003,0.1099367478,,0.20205765900000006,0.09255544380000001,0.0208575648,0.07951946580000001,0.0560547054,0.048233118600000006,0.0617036292,0.5144865984,0.1077640848,0.0551856402,0.049971249,0.04345326,0.0690906834,0.1690331814,0.0617036292,0.0134705106,0.2103137784
Gansu,0.045019735199999994,0.04338265392,0.1012944042,0.01350592056,0.029467463039999996,0.07162230600000001,0.08574213204000003,0.040927032,0.011868839279999998,0.16248031704000002,0.02885355756,0.00675296028,0.0276257466,0.5484222288,0.04890780324,0.033560166239999994,0.004911243839999999,0.02721647628,0.02128205664,0.01718935344,0.02128205664,,0.03622042332,0.018417164399999998,0.018417164399999998,0.01616617764,0.08246796948,0.19788219972,0.20852322804,0.00798077124,0.06486934572000001
Qinghai,0.01530454176,0.02078047872,0.05307446592,0.00189551664,0.00905635728,0.006107775839999999,0.01670862816,0.013830251039999998,0.0024571511999999995,0.06753655584,0.00505471104,0.0021061295999999998,0.011934734399999999,0.0607267368,0.016287402240000002,0.01095187392,0.0016849036799999998,0.00856492704,0.00877554,0.00547593696,0.005686549920000001,0.26130047904,0.012145347360000001,0.007020431999999999,0.00442287216,0.00336980736,0.01425147696,0.011864530079999998,,0.02520335088,0.01698944544
Ningxia,0.02622858084,0.02187442908,0.04571859348,0.005598195120000001,0.016794585360000003,0.20609651664,0.02861299728,0.01855698012,0.00611654652,0.025191878040000004,0.015550541999999999,0.00373213008,0.0145138392,0.18722852568,0.01233676332,0.01803862872,0.0031101084000000005,0.00901931436,0.009433995479999999,0.007049579040000002,0.00953766576,0.2456985636,0.012958785,0.00715324932,0.00342111924,0.006220216800000001,0.01441016892,,0.0165872448,0.0010367028,0.03607725744
Xinjiang,0.049322435760000005,0.05585726952,0.20024597736,0.008713111680000002,0.02193837048,0.026450517599999997,0.0567908172,0.036097176960000005,0.013069667520000001,0.18001911096,0.02473901352,0.01058020704,0.03796427232,0.11653786872,0.0412316892,0.032362986239999995,0.0062236512,0.02598374376,0.02116041408,0.01151375472,0.01882654488,0.34556823288000005,0.05274544392,0.014625580319999996,0.00949106808,0.008868702959999999,,0.028006430400000004,0.0381198636,0.0007779564,0.058813503839999996
Taiwan,0.00022482360000000001,0.0007743924000000001,0.0005162615999999999,0.00022482360000000001,0.00044964720000000003,2.9143800000000007e-05,0.003497256,0.009555003000000001,0.00029143799999999993,0.00022482360000000001,0.0053749494,0.0001915164,0.0008076995999999999,0.0003205818,0.0007119414,0.0023648112,0.00029143799999999993,0.0005828759999999999,0.0001915164,9.57582e-05,0.0077730678,,0.0007410851999999999,0.0001915164,9.57582e-05,0.0004205034,,9.57582e-05,,,0.00145719
Hong Kong,0.0011850526800000001,0.00299084724,0.00135434592,0.00135434592,0.00016929323999999998,0.00022572432,0.0060381255600000005,0.45974400876000004,0.00135434592,0.00355515804,0.011681233559999999,0.00016929323999999998,0.0009593283599999999,0.0012414837599999998,0.0022008121200000003,0.00750533364,5.643108e-05,0.00468377964,0.0022008121200000003,0.00208794996,0.019412291519999996,0.00011286216,0.00163650132,0.0014672080800000001,0.0007900351200000001,0.005304521519999999,5.643108e-05,,,,0.00976257684
Macau,0.0031125384000000003,0.0021326652,0.0034007364000000003,0.0029972592,0.0044382492,0.0006340356,0.008242462800000001,0.458811216,0.0023632236,0.0021326652,0.0144675396,0.0016139088000000005,0.0031125384000000003,0.0017868276000000002,0.005360482800000001,0.010375128,0.0014986296,0.0067438332,0.0031701780000000005,0.006225076800000001,0.006686193599999999,0.00028819800000000003,0.0020750256,0.0006916752000000001,0.0015562692000000002,0.0048417264,0.00017291880000000002,0.0001152792,,,0.006628554
