,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Guangdong,Inner Mongolia,Anhui,Shaanxi,Shanghai,Jiangsu,Heilongjiang,Gansu,Sichuan,Jilin,Guizhou,Fujian,Yunnan,Jiangxi,Chongqing,Zhejiang,Hainan,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.023645115,0.0100885824,0.0264825288,0.0334184292,0.0145023372,0.0122954598,0.044137548,1.0176857496,0.003152682,0.0201771648,0.0513887166,0.1847471652,0.0980484102,0.0028374138,0.025536724200000003,,0.001576341,0.149752395,0.0964720692,0.313691859,0.012610728,0.7188114959999999,0.0485513028,0.014187069000000004,0.0286894062,0.0617925672,0.014187069000000004,0.0018916092000000001,0.0145023372,0.03152682,0.0715658814
Guizhou,0.00197084664,0.0009384984,0.002627795520000001,0.00459864216,0.00150159744,0.0009384984,0.07780151735999999,0.25123602168000003,0.00075079872,0.00384784344,0.0018769968,0.02749800312000001,0.0145467252,0.00056309904,0.0006569488800000001,0.11308905720000002,0.00056309904,,0.01886381784,0.18826277904,0.006287939280000001,0.10051317864000002,0.01229432904,0.0028154952000000004,0.0025339456800000004,0.07686301896,9.384984e-05,9.384984e-05,0.00037539936,0.00028154952,0.02261781144
Yunnan,0.006167602440000001,0.00144672156,0.00769046724,0.007538180759999999,0.0018274377600000001,0.00281729988,0.01393421292,0.12685463784,0.0008375756400000001,0.00479702412,0.00434016468,0.029924293320000007,0.016294653359999998,0.00121829184,0.00167515128,0.25530828372,0.00137057832,0.16241353092,0.013477353480000002,,0.0025127269199999996,0.02215768284,0.01058391036,0.001903581,0.00205586748,0.04279250088000001,0.0008375756400000001,0.00045685944000000003,0.0008375756400000001,0.00129443508,0.014619502080000001
Tibet,6.41844e-05,3.1175280000000005e-05,6.41844e-05,0.00032275584000000004,,9.719352e-05,0.0001283688,0.00032275584000000004,0.0001283688,0.00016137792000000002,0.00035576496,3.1175280000000005e-05,3.1175280000000005e-05,,0.0011003039999999999,0.0079038504,3.1175280000000005e-05,0.00016137792000000002,3.1175280000000005e-05,0.00139188456,3.1175280000000005e-05,0.0007775481600000001,3.1175280000000005e-05,,6.41844e-05,3.1175280000000005e-05,9.719352e-05,,0.00476248248,,0.00016137792000000002
Shaanxi,0.016182205919999998,0.00793844064,0.020456750880000003,0.03806380512000001,0.12355470432000006,0.005902943040000001,0.013637833920000002,0.1872657792,0.07195484015999999,0.015571556640000003,,0.07572051072000002,0.0931240152,0.00122129856,0.06452527392000001,0.06025072896000001,0.0019337227200000003,0.006513592320000001,0.013128959520000002,0.00997393824,0.004681644479999999,0.01669108032,0.015775106400000002,0.0022390473600000004,0.02025320112,0.005902943040000001,0.0035621208,0.030023589600000008,0.01109346192,0.00122129856,0.0773489088
Gansu,0.0098323632,0.007348397759999998,0.014438049119999997,0.010919098079999998,0.004502187360000001,0.0029497089599999997,0.00429519024,0.045539366399999996,0.01169533728,0.00455393664,0.07876240416000001,0.04750583903999999,0.034982513279999995,0.00031049568,,0.037621726560000006,0.00056924208,0.00196647264,0.0054336744000000005,0.00377769744,0.00175947552,0.010349856,0.0069861528,0.00093148704,0.0019147233600000002,0.0020699712,0.0147485448,0.05697595728,0.05319825983999999,0.0014489798399999999,0.03917420496
Qinghai,0.0004180572,0.0005816448,0.002681019,0.0020357568000000004,0.0005816448,0.0008088498,0.0010633194,0.006179976000000001,0.0004453218,0.0010633194,0.0031717818,0.0020993742000000003,0.0030718115999999996,9.0882e-05,0.041560338599999996,0.0060527412000000004,2.72646e-05,0.0005816448,0.0006089094000000001,0.0013904946,0.00019085220000000002,0.0024265494,0.0006089094000000001,0.00038170440000000004,0.00012723480000000002,0.00025446960000000005,0.0018721692,0.0017085815999999998,,0.0057346542000000006,0.002908224
Ningxia,0.002382534,0.0015470999999999998,0.001841049,0.001871991,0.003032316,0.0004486589999999999,0.001067499,0.008184159,0.031189536,0.0007735499999999999,0.020700198,0.008091333000000001,0.005430320999999999,0.000386775,0.044510067,0.003032316,0.0004486589999999999,0.000278478,0.001810107,0.000990144,6.188399999999999e-05,0.0013459769999999995,0.00170181,3.0942e-05,0.00030942,0.000185652,0.0007426079999999999,,0.0021968820000000003,,0.009839556
Xinjiang,0.001061424,0.0007103375999999999,0.0025555824,0.0025555824,0.0004817232,0.0004817232,0.0007429968000000001,0.0147048048,0.0014859936,0.0007756560000000001,0.004204872,0.0055683936,0.00265356,0.0003184272,0.014541508799999997,0.0096181344,0.0002531088,0.0004817232,0.0006776783999999999,0.0003837456,0.0003184272,0.0013553568,0.0007429968000000001,0.0006123599999999999,0.0006776783999999999,0.0007429968000000001,,0.0007756560000000001,0.0023596272,0.00012247200000000002,0.0095201568
Taiwan,0.00019351548,9.450756e-05,0.00087306984,0.00019351548,3.150252e-05,0.00031952556,0.0004185334800000001,0.01457666604,,0.0018451476,9.450756e-05,0.006768541439999999,0.00741659328,0.00012601008,,0.0005175414,9.450756e-05,,0.00696205692,,9.450756e-05,0.0006435514799999999,0.00061204896,0.000225018,3.150252e-05,0.00061204896,3.150252e-05,,3.150252e-05,,0.00061204896
Hong Kong,0.00028973376,0.00025351704,0.00064586484,0.00038631167999999996,3.01806e-05,0.00015693912,0.00038631167999999996,0.04315222188,,0.00025351704,9.657791999999999e-05,0.0035613108,0.0018410166,6.03612e-05,,0.00045270900000000003,0.00019315583999999998,9.657791999999999e-05,0.00190741392,0.00038631167999999996,0.00019315583999999998,0.00041649227999999993,0.0004828896,0.0005130702,6.03612e-05,0.00045270900000000003,3.01806e-05,,6.03612e-05,,0.0024929175600000002
Macau,6.10092e-05,,,9.151379999999999e-05,3.05046e-05,0.00012811932,0.00045146807999999996,0.0568605744,,0.00015862392,0.00018912851999999998,0.00035385336,0.00012811932,0.00012811932,,0.00022573403999999998,6.10092e-05,,0.00018912851999999998,,0.00012811932,3.05046e-05,3.05046e-05,6.10092e-05,,0.00042096348,6.10092e-05,,,,0.00012811932
