,Hebei,Shandong,Henan,Tianjin,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Guangdong,Sichuan,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Hainan,Fujian,Jiangxi,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.046871032320000006,0.05565935087999999,0.10462284,0.01632116304,0.03933818783999999,0.09583452144,0.02176155072,0.014647197599999997,0.1590267168,1.8183449591999998,0.06319219536000001,0.05147443728,0.01088077536,0.09792697824,0.27160089264000004,0.08118732383999999,0.010043792639999998,0.12680288207999998,0.049800471839999985,0.05398538544,0.04519706688,,0.0460340496,0.15442331184,0.06361068671999999,0.51181493328,0.041849136,0.013810214880000001,0.012136249439999998,0.007532844479999998,0.08579072879999998
Sichuan,0.11117950488,0.12117316824,0.187381188,0.03310400988,0.08619534647999999,0.1467819306,0.049343712840000005,0.031854801960000005,0.33353851463999995,,0.11742554447999998,0.07745089104,0.03622702968,0.34165836611999995,0.18613198008,0.13054222763999998,0.02873178216,0.12929301972,0.08994297023999999,0.08994297023999999,0.07745089104,1.85882138496,0.17926133651999998,0.75951841536,0.0968136138,0.5171720788799999,0.06933103956,0.029356386119999994,0.04871910888,0.05121752471999999,0.20986693056
Guizhou,0.028902679200000007,0.03638337264,0.07446690287999999,0.00986091408,0.015981481439999997,0.05712529536,0.011561071680000002,0.006120567360000001,0.23530181184,0.57907367856,0.03264302592,0.03672340416,0.009520882559999999,0.044544129120000005,0.10847005488,0.10472970815999999,0.0071406619199999985,0.34615208736,0.044544129120000005,0.06868636704,0.06256579967999999,0.5338494864,0.01292119776,0.6280382174399999,0.24074231616,,0.0030602836800000003,0.00204018912,0.0017001576,0.00068006304,0.046244286720000014
Yunnan,0.058292816399999996,0.057652235999999996,0.09288415800000001,0.0188971218,0.0285058278,0.0759087774,0.0227406042,0.0118507374,0.1643088726,0.8285907473999999,0.046442079000000004,0.047723239800000004,0.017615961000000003,0.056371075199999995,0.09512618939999999,0.0861580638,0.0131318982,0.13388130359999995,0.0307478592,0.0701435538,0.060855138,0.2200393674,0.0182565414,,0.17263641780000002,0.6636412944,0.0092884158,0.007046384399999999,0.004804353,0.006726094199999999,0.07366674599999999
Tibet,0.004902068159999999,0.004942581119999999,0.016650826560000002,0.0007697462400000001,0.00271436832,0.004658990399999999,0.00158000544,0.0008102592,0.00226872576,0.18161959968,0.00158000544,0.004213347839999999,0.00056718144,0.02094520032,0.0074948976000000014,0.00251180352,0.00056718144,0.005671814399999999,0.0008507721599999999,0.00129641472,0.00214718688,0.02621188512,0.02264674464,0.016934417280000003,0.00056718144,0.004658990399999999,0.00109384992,0.0007697462400000001,0.057325838399999995,,0.00555027552
Shaanxi,0.19783401120000002,0.17411411699999998,0.5147721719999999,0.042393002400000004,0.5218376724,0.1988433684,0.0474397884,0.28413405179999995,0.1524129372,0.48348209880000004,0.09538425539999999,0.13727257920000002,0.0307853946,,0.23215215600000003,0.10295443439999999,0.027757323000000004,0.0913468266,0.054505288799999996,0.0671222538,0.0570286818,0.13020707880000001,0.6051096414,0.061066110599999994,0.0434023596,0.0600567534,0.080748576,0.2149930836,0.0721690398,0.017663751000000002,0.23215215600000003
Gansu,0.045346204080000015,0.05002107048000001,0.11289802356000005,0.01893320892000001,0.03365903808,0.10354829076000002,0.01659577572,0.08204390532000001,0.04090508100000001,0.18231978960000006,0.031789091520000014,0.03669770124000001,0.008882246160000001,0.6177835947600001,0.05937080328000001,0.036230214600000005,0.007246042920000002,0.032256578160000014,0.022673102040000004,0.022205615400000003,0.01916695224,0.04674866400000001,,0.019634438880000004,0.01893320892000001,0.02197187208,0.10261331748,0.22743225036000006,0.23210711676000004,0.011453422680000002,0.07129171260000003
Qinghai,0.017648260560000004,0.022888792080000005,0.05880184632,0.0028514656800000004,0.009941596560000002,0.020499726240000002,0.0026202657600000005,0.0065506644000000004,0.012099462480000005,0.07683544008000001,0.005934131280000001,0.016106927759999997,0.0020807992800000005,0.07013064240000001,0.019806126480000002,0.010481063040000002,0.0018495993600000002,0.01094346288,0.008246130480000002,0.007090130880000002,0.00362213208,0.014565594960000003,0.2800601697600001,0.006242397840000002,0.00315973224,0.00223493256,0.01379492856,0.015336261360000002,,0.026819190719999997,0.019806126480000002
Ningxia,0.03255432768,0.02691771264,0.05095960128,0.00736210944,0.020705932800000004,0.029908569600000007,0.0069019776,0.20142271296000006,0.02093599872,0.03013863552,0.01460918592,0.018750372480000003,0.005291516160000001,0.21304104192,0.017830108799999998,0.021166064640000003,0.003911120640000001,0.011848394880000002,0.010698065280000002,0.010352966400000002,0.00667191168,0.01598958144,0.27596407104000004,0.01046799936,0.007592175360000002,0.0067869446400000005,0.01403402112,,0.01575951552,0.0008052307200000001,0.038190942719999996
Xinjiang,0.053747345880000005,0.064393785,0.20743384607999998,0.01081815588,0.02438377992,0.05443421292,0.014080774319999996,0.02850498216,0.03829283748,0.19300963824,0.02541408048,0.04086858888,0.01013128884,0.1296461538,0.04996957716,0.03537365256,0.0068686704000000005,0.03142416708,0.022323178800000003,0.02009086092,0.012020173200000001,0.05477764644,0.41538284244,0.01665652572,0.009444421800000002,0.00961613856,,0.03382820172,0.03829283748,0.00034343352,0.0626766174
Taiwan,0.00022480416,0.00064688544,0.00064688544,0.00022480416,0.00019268928,0.0034638192,0.0008074598400000001,3.2114880000000005e-05,0.00971704512,0.00064688544,0.00563386752,0.0005505408,9.634464e-05,0.00019268928,0.0007432300800000001,0.00300962304,9.634464e-05,0.0007111152000000001,0.00044960832,0.01075389696,0.00022480416,0.00058265568,9.634464e-05,0.0005505408,0.00035326368000000003,0.00019268928,,6.422976000000001e-05,,,0.0016516223999999999
Hong Kong,0.00160910712,0.0023838623999999997,0.00125152776,0.00125152776,0.0004171759200000001,0.00822432528,0.0013707208800000001,0.00017878968000000002,0.4780240077599999,0.00303942456,0.015375912480000002,0.00113233464,0.0004171759200000001,0.0010727380799999998,0.00280103832,0.011442539520000001,0.0007151587200000001,0.004827321360000001,0.00226466928,0.017283002399999997,0.00160910712,0.0020262830399999997,0.00017878968000000002,0.00125152776,0.004886917919999999,0.0011919311999999999,,5.959656e-05,0.00017878968000000002,,0.011084960159999999
Macau,0.00357571584,0.0067603377599999995,0.004804868159999999,0.00201134016,0.004246162559999999,0.009609736319999998,0.00312875136,0.0005587055999999999,0.42388993872,0.00357571584,0.01849315536,0.00273765744,0.0009497995199999999,0.0025141752,0.007430784479999998,0.011956299840000002,0.00122915232,0.007933619519999999,0.0022906929599999988,0.0067603377599999995,0.0053635737599999995,0.0019554696,0.00022348224,0.0010615406399999998,0.005140091519999999,0.00089392896,5.587056e-05,0.00022348224,,,0.008492325119999998
