,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Shanghai,Inner Mongolia,Guangdong,Zhejiang,Sichuan,Shaanxi,Hubei,Hunan,Anhui,Heilongjiang,Jilin,Chongqing,Yunnan,Fujian,Hainan,Jiangxi,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0206484714,0.01020735756,0.01589542704,0.030466235160000004,0.03062207268,0.015116239440000002,0.012544920359999998,0.03607638588,0.006623094600000001,0.19331644356,0.02984288508,0.04028399892,0.02321979048,0.023375628,0.0393489738,0.016440858359999998,0.013557864239999998,0.008259388559999999,0.02750532228,0.01768755852,0.01784339604,,0.01386953928,0.004363450560000001,0.02314187172,0.0494784126,0.0031167504,0.00257131908,0.00171421272,0.00031167504000000003,0.050023843919999984
Chongqing,0.032498988480000005,0.01514515968,0.04133366496,0.06121168704,0.08897781312000001,0.026819553600000004,0.017669352960000002,0.07257055679999999,0.01356753888,0.19120764096,0.10159877952,1.2769262755200002,0.09528829632,0.22118243616,0.11421974592000002,0.03565423008,0.0063104832000000005,0.00347076576,,0.10664716608,0.055216728000000014,0.030921367680000002,0.031552416,0.033761085120000006,0.31457758752000003,0.04827519648,0.01609173216,0.00694153152,0.00725705568,0.010727821440000002,0.07193950848
Sichuan,0.06481496232,0.03381650208,0.06669365688,0.09957081168,0.1455988284,0.04978540584,0.03193780752,0.12352416732,0.027710744760000003,0.32736252708,0.16062838488,,0.29401569864,0.10473722172000001,0.09205603344,0.04602801672,0.015029556480000001,0.009863146440000001,1.39164299532,0.5326099077600001,0.08078386607999999,0.048376384919999994,0.03475584936,0.13808405016,0.3531945772799999,0.07420843512,0.046967364000000004,0.01549923012,0.04555834308,0.08266256064000001,0.15123491207999998
Guizhou,0.019459692719999998,0.006985530720000001,0.02195452512,0.0324328212,0.06561409212000001,0.0087319134,0.00573811452,0.044408016720000006,0.00573811452,0.30287265335999997,0.18910829592,0.32357976228,0.03168437148,0.04465749996,0.22977406404000006,0.01921020948,0.004490698320000001,0.00199586592,0.34503532092,0.40615871472,0.07085324016,0.024948323999999997,0.04016680164,0.012474161999999999,,0.1846175976,0.0034927653600000004,0.0027443156400000003,0.0017463826800000002,0.0012474162,0.03916886868
Yunnan,0.0221421276,0.00943447176,0.025607851919999997,0.0356199444,0.056029209840000004,0.01232257536,0.01039717296,0.056029209840000004,0.00616128768,0.1694354112,0.08741326896,0.49117015224,0.03484978344,0.03831550776,0.06873686567999998,0.018676403280000003,0.005583666959999999,0.00365826456,0.09973584432,,0.03966328944,0.01886894352,0.02387498976,0.01290019608,0.37891919232,0.12303321336,0.00519858648,0.004428425519999999,0.00250302312,0.012707655839999998,0.04832760023999999
Tibet,0.0029257945200000003,0.0006770433600000003,0.00575486856,0.008317961280000001,0.007157315520000001,0.00183768912,0.00137826684,0.0033610366800000003,0.00050778252,0.007979439599999999,0.0027807138,0.08269601040000002,0.011969159400000002,0.00251473248,0.0045942228000000005,0.001813509,0.0007254036000000001,0.00033852168000000015,0.015112575,0.01470151296,0.0015717078000000006,0.0008946644400000002,0.00070122348,0.0075683775600000015,0.002538912600000001,0.0016442481600000005,0.004497502320000001,0.0006770433600000003,0.03854311128,,0.005633967960000001
Shaanxi,0.11104459776,0.027426677759999997,0.09465548544,0.30169345536,0.14248493567999998,0.45287465472,0.03445058304,0.07793190143999999,0.29032141824,0.13278525696,0.09398654208,0.26724287232,,0.1237545216,0.059870430719999986,0.05217758208000001,0.013713338879999995,0.00903073536,0.07492165632,0.0384642432,0.0384642432,0.026088791040000003,0.02575431936,0.39166633728,0.03645741312,0.02575431936,0.04615709183999999,0.15218461439999995,0.040471073279999985,0.006020490239999999,0.15185014272
Gansu,0.029319913439999994,0.01483873668,0.022347495,0.050952288600000006,0.05738836715999999,0.02109603528,0.008402658119999998,0.034504532279999986,0.0920716794,0.04415865012,0.040225491,0.14552688743999995,0.4675095954,0.02198993508,0.016805316239999996,0.015553856519999998,0.0032180392799999995,0.0055421787600000005,0.0286047936,0.013229717040000002,0.01662653628,0.009296557919999998,0.008938998,,0.0116206974,0.009296557919999998,0.09117777959999998,0.19165211712000002,0.25243730351999993,0.00768753828,0.05238252828
Qinghai,0.0076633128000000005,0.0047158848,0.00901912968,0.02110358448,0.013145528879999998,0.00636644448,0.00271163376,0.00937282104,0.0067790844,0.01190760912,0.0100212552,0.05287685832,0.044977751279999985,0.00784015848,0.007486467119999999,0.00542326752,0.00153266256,0.00047158848,0.00919597536,0.0056001132,0.00300637656,0.00212214816,0.0024168909599999997,0.25265352816,0.00306532512,0.0027705823199999998,0.02805951456,0.017212979519999998,,0.02440470384,0.01473714
Ningxia,0.01669402872,0.005850711,0.013027583159999998,0.022466730240000003,0.01934635104,0.01435374432,0.0046805688,0.011233365120000002,0.17427317831999994,0.01739611404,0.014275734840000002,0.017474123520000003,0.14884208783999994,0.008737061760000001,0.00842502384,0.007020853200000001,0.0027303318,0.0015601896,0.0066308057999999994,0.0062407584,0.0046025593200000004,0.0017942180399999996,0.00304236972,0.19065516912,0.00514862568,0.0026523223200000004,0.01076530824,,0.013105592639999998,0.0003900474,0.025353081
Xinjiang,0.02015462088,0.009594372240000001,0.019188744480000002,0.046362067199999996,0.02524156992,0.008950454640000001,0.00701870184,0.022343940719999997,0.01313591904,0.02665818864,0.017385775200000002,0.04983922224,0.06065703792,0.00952998048,0.013457877839999998,0.00888606288,0.00270445392,0.00373472208,0.01873800216,0.00669674304,0.00907923816,0.0074050524,0.00334837152,0.1252419732,0.00669674304,0.007920186479999999,,0.01204125912,0.033805674,0.00276884568,0.0441083556
Taiwan,,6.459264000000001e-05,0.00012918528000000002,9.688896000000001e-05,0.00022665096,3.229632000000001e-05,6.459264000000001e-05,0.00200871576,,0.00032353992000000003,0.00061536024,3.229632000000001e-05,,3.229632000000001e-05,,3.229632000000001e-05,,3.229632000000001e-05,3.229632000000001e-05,,0.00161942976,,,,,3.229632000000001e-05,,,,,0.00012918528000000002
Hong Kong,,3.078e-05,6.4638e-05,3.078e-05,6.4638e-05,,3.078e-05,0.000711018,,0.028770066,3.078e-05,,,,6.4638e-05,,,,6.4638e-05,,0.00032319000000000005,3.078e-05,,,,3.078e-05,,,,,0.000160056
Macau,0.0007120742400000001,0.00044504639999999997,0.0006675696000000001,0.00028928016,0.00224748432,0.0003782894400000001,0.0008010835199999999,0.00202496112,4.450464e-05,0.20225133648,0.00195820416,0.0009345974400000001,0.00024477552,0.00102360672,0.0012238776000000002,0.00028928016,8.900928000000001e-05,4.450464e-05,0.00028928016,0.00017801856,0.00117937296,0.00051180336,0.00057856032,0.00015576624000000002,0.00040054176,0.00164667168,4.450464e-05,,,,0.00142414848
