,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Guangdong,Hunan,Jiangsu,Jilin,Zhejiang,Sichuan,Heilongjiang,Gansu,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Hainan,Chongqing,Xinjiang,Guangxi,Hubei,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0131886144,0.00246418848,0.02006057664,0.00447718752,0.0070107897599999995,0.0079825824,0.0055531007999999995,0.0029500848,0.00655960032,0.12379944095999999,0.01207799424,0.00440777376,0.00826023744,0.009995581440000002,0.02144885184,0.00891966816,0.0040607049600000006,0.012563890559999999,0.00631665216,0.010793839679999999,0.0046854288,0.00229065408,,0.01235564928,0.00097179264,0.014785130880000002,0.00135356832,0.0006247238400000001,0.00093708576,0.00017353439999999998,0.014785130880000002
Chongqing,0.014204322,0.00397721016,0.03522671856,0.015624754200000004,0.01079528472,0.00482946948,0.00198860508,0.0198860508,0.040624360920000005,0.49828761576,0.17102003688,0.10312337771999999,0.0014204322,0.33493791276,0.65595558996,0.00113634576,0.012499803359999999,0.32613123312000003,0.0482946948,0.05369233716,0.18124714872,0.11675952684000003,0.01022711184,,0.0014204322,0.08977131504000001,0.063919449,0.0008522593199999999,0.0028408644,0.00596581524,0.01022711184
Sichuan,0.02582222976,0.01183518864,0.10597873464,0.034429639680000006,0.02797408224,0.0107592624,0.00484166808,0.034967602800000004,0.19043894447999998,0.94089749688,0.10167502968,0.22809636288,0.00161388936,0.5180584845600001,,0.00161388936,0.06670742687999999,0.5933733213600001,0.06616946376,0.041961123360000005,0.19151487072,0.59122146888,0.01936667232,1.2104170200000002,0.00645555744,0.22702043664000002,0.0188287092,0.0021518524800000004,0.02098056168,0.03980927088,0.035505565919999996
Guizhou,0.00421083036,0.0019140138,0.01301529384,0.007273252440000001,0.0019140138,0.0011484082799999998,0.0007656055199999999,0.0229681656,0.00803885796,0.86781385692,0.392372829,0.09646629552000001,0.00038280275999999996,0.7545042399599999,0.23427528911999998,,0.0030624220799999997,,0.0325382346,0.12479369976,0.23236127531999998,0.47237860584,0.00803885796,0.22700203668000002,0.00038280275999999996,0.29131290035999996,0.00650764692,0.0007656055199999999,,0.00038280275999999996,0.015694913159999997
Yunnan,0.007396288199999998,0.0029585152800000003,0.01436993136,0.010988771040000001,0.0033811603200000003,0.0023245477200000003,0.0008452900800000001,0.01141141608,0.010777448520000002,0.36432002448,0.08664223319999999,0.05769104796000001,0.00147925764,0.27112679316,0.39348253224,0.00063396756,0.0033811603200000003,0.50421553272,0.0200756394,0.026415315,0.05283063,,0.0029585152800000003,0.04163053644,0.0010566126,0.2018130066,0.0042264504,0.00042264504,0.00063396756,0.00253587024,0.00824157828
Tibet,6.215616e-05,,0.00048594816,0.0002260224,0.00012713760000000005,0.00019211903999999998,,0.00016104096,0.0004520448,0.00032208192,0.00025710048000000005,0.00012713760000000005,,0.00042096672,0.01065695616,6.215616e-05,0.0031727894400000005,0.00029100383999999997,6.215616e-05,6.215616e-05,6.215616e-05,0.0021698150399999997,,0.00174884832,0.00019211903999999998,3.107808e-05,6.215616e-05,6.215616e-05,0.006639408,,6.215616e-05
Shaanxi,0.04415689728,0.008624394,0.12608864028,0.037257382080000005,0.27235836251999995,0.005692100039999999,0.15799889808,0.033117672960000004,,0.13385059488,0.023975815319999996,0.15368670108000002,0.002414830320000001,0.12608864028,0.10159536132000001,0.00137990304,0.19801608624000006,0.02363083956,0.03242772144,0.012936591,0.018456203160000004,0.01880117892,0.0029322939600000004,0.027770548680000003,0.005347124280000001,0.01535142132,0.020698545600000003,0.049848997320000005,0.016558836480000002,0.00310478184,0.0482966064
Gansu,0.01327300992,0.01193616,0.03112950528,0.01690160256,0.010599310079999999,0.00248272128,0.05385595392000001,0.009739906559999999,0.25333305984000004,0.038768647680000004,0.00697071744,0.07295380992,0.00076391424,0.049081489919999985,0.05328301824,9.548928e-05,,0.004774464,0.025495637760000002,0.0052519104,0.007448163840000001,0.00467897472,0.0013368499200000002,0.01126773504,0.016997091840000002,0.0032466355199999995,0.0022917427199999995,0.09711259776,0.12299019264000001,0.00353310336,0.02167606656
Qinghai,0.0009599472,0.0004799736,0.0039197844,0.00238386888,0.0017119058400000002,0.0004479753600000001,0.0024798636,0.00041597712,0.007695576720000001,0.0033598152,0.0007359595200000001,0.00313582752,,0.00241586712,0.00569568672,6.399648000000001e-05,0.10393028352,0.00041597712,0.00083195424,0.0004479753600000001,0.0007679577599999999,0.00060796656,0.00012799296000000002,0.0013599252000000002,0.00241586712,0.00031998240000000004,0.00015999120000000002,0.00291183984,,0.008319542400000001,0.0012479313600000002
Ningxia,0.002174364,0.0014785675199999997,0.00527645664,0.0030441096000000003,0.0046386432,0.00066680496,0.07682752799999999,0.0018844488,0.05522884559999999,0.0037399060799999996,0.00104369472,0.005827295519999999,0.00031890672000000004,0.006899981759999999,0.0030731011199999995,0.0001449576,0.09860015951999998,0.0006378134400000001,0.00252226224,0.0006088219200000001,0.0014495760000000002,0.0008697456,0.00020294064,0.0010147032000000001,0.0014785675199999997,0.0006957964799999999,0.0004058812800000001,,0.00446469408,8.697455999999997e-05,0.00417477888
Xinjiang,0.0010993320000000002,0.0005130216,0.0045927648,0.0029071224,0.0009038952,0.0006718140000000001,0.0066082068,0.0007451027999999999,0.006241762800000001,0.013924872,0.0015146352,0.0030659148,0.0002565108,0.0039453804,0.010040565600000002,0.0002809404,0.0395270928,0.0007695324000000001,0.0040430988000000005,0.0006718140000000001,0.0014535612,0.0008306064000000001,0.0004519476000000001,0.003725514,,0.0005496660000000001,0.0004763772000000001,0.0013191983999999999,0.0037499435999999997,6.107399999999999e-05,0.0069868656
Taiwan,3.1862160000000005e-05,3.1862160000000005e-05,3.1862160000000005e-05,0.00019406952,3.1862160000000005e-05,6.372432000000001e-05,,0.0005822085599999999,3.1862160000000005e-05,0.00304428456,3.1862160000000005e-05,0.0031427676,3.1862160000000005e-05,0.00139179708,0.00080958852,,,3.1862160000000005e-05,0.0018784191600000003,6.372432000000001e-05,0.0021057991199999997,3.1862160000000005e-05,,0.00032296644000000003,,0.00012889692,3.1862160000000005e-05,,,,0.00016075908000000002
Hong Kong,,9.323424000000001e-05,0.00016104096,6.35688e-05,6.35688e-05,6.35688e-05,,9.323424000000001e-05,2.9665440000000005e-05,0.03408135264,0.00035598528,0.00035598528,2.9665440000000005e-05,0.00041955408,9.323424000000001e-05,2.9665440000000005e-05,2.9665440000000005e-05,6.35688e-05,0.0006144983999999999,0.00022460976000000002,0.0009069148800000002,2.9665440000000005e-05,0.00016104096,0.0001907064,,0.00025851312,6.35688e-05,,2.9665440000000005e-05,,0.0004534574400000001
Macau,9.679824000000001e-05,,0.00012759767999999998,0.00015839712,3.0799440000000005e-05,3.0799440000000005e-05,,0.00029039472,6.159888000000001e-05,0.039590480160000004,0.00032119416,0.00032119416,0.00012759767999999998,0.00015839712,,,,,0.00029039472,0.00015839712,0.00015839712,,3.0799440000000005e-05,,,0.00029039472,,,,,0.00032119416
