,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Anhui,Shaanxi,Hainan,Hubei,Heilongjiang,Jilin,Hunan,Sichuan,Yunnan,Fujian,Jiangxi,Guangxi,Chongqing,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.03738798648,0.0148438656,0.035903599919999994,0.04323275856000001,0.18499167504,0.03692411568,0.021987475919999996,0.02523457152,0.01233896328,0.04230501695999999,0.033491471759999995,0.01688489712,0.02662618392,,0.02467792656,0.02384295912,0.017441542079999997,0.037666308959999985,0.0385012764,0.01920425112,0.020781411840000003,0.01660657464,0.04137727536,0.02838889296,0.0083496744,0.0204103152,0.005659223759999999,0.0055664496,0.0032470955999999995,0.00018554831999999997,0.08191958328
Chongqing,0.02206623384,0.007712470079999999,0.031492586159999995,0.03513458592,0.12511340352,0.05548693752,0.0117829404,0.008783646479999999,0.00492741144,0.03663423288,0.056558113919999986,0.0224947044,0.046274820480000006,0.033420703680000004,0.16131916584,0.004498940879999999,0.00492741144,0.07648199495999998,0.9184266453599998,0.07412540688,0.03277799784,0.02078082216,0.032135292,,0.0139252932,0.2399435136,0.00814094064,0.0042847056,0.0036419997600000004,0.00492741144,0.04006199736
Sichuan,0.0332724348,0.0079743852,0.0393219684,0.0709445304,0.1680120468,0.05829550560000001,0.0200734524,0.0126490248,0.0093492792,0.0376720956,0.061045293600000015,0.021173367600000003,0.14601374279999998,0.0470213748,0.051696014400000004,0.0093492792,0.006874470000000001,0.040971841200000005,,0.4460156136,0.035747244000000004,0.0195234948,0.0404218836,0.9423523476,0.06571993320000001,0.23538185280000004,0.012374046,0.0057745548,0.017598643200000003,0.028047837600000004,0.053620865999999996
Guizhou,0.012037141080000001,0.00314012376,0.0165728754,0.030528981,0.18962858484,0.03994935228,0.005582442239999999,0.0052335396,0.00296567244,0.022329768959999996,0.09664603128,0.014305008239999997,0.016921778040000002,0.0209341584,0.02948227308,0.00296567244,0.00209341584,0.18439504524,0.22382104356,0.30546426132,0.04221721944,0.027388857239999998,0.16520540004,0.25033764420000004,0.004535734319999999,,0.0008722566000000001,0.00122115924,0.0010467079199999998,0.0005233539599999999,0.02320202556
Yunnan,0.026480720880000003,0.008990368200000001,0.032201864280000006,0.03906723636000001,0.15152856948,0.0474037596,0.012423054240000002,0.014548050359999998,0.005884604640000001,0.04282684488,0.06064412004,0.018144197639999998,0.03138455808,0.01749035268,0.036288395279999996,0.00882690696,0.005884604640000001,0.05492297664,0.38871082872,,0.03073071312,0.0228845736,0.12586515480000002,0.07829793396000001,0.009317290679999998,0.29880714671999997,0.0052307596800000005,0.00228845736,0.00179807364,0.0049038371999999995,0.04773068208
Tibet,0.0024859872,0.000536544,0.0023250239999999998,0.0072791136,0.0039167712,0.003326572800000001,0.0010552032,0.0008048160000000001,0.00037558080000000003,0.0017705952,0.0018957888,0.0014486688000000002,0.011178,0.0005007744000000001,0.0030046464000000003,0.00089424,0.00037558080000000003,0.0024144480000000005,0.06252526080000001,0.0098724096,0.0012519360000000002,0.00033981120000000004,0.0008584704,0.0110706912,0.0097829856,0.0015202079999999999,0.0011267424000000002,0.00037558080000000003,0.0303862752,,0.003845232
Shaanxi,0.08112831048000001,0.01778488488,0.08064105335999999,0.25483547376000004,0.09696416688,0.10987648056000003,0.34132361256000004,0.021926570400000005,0.21244410432,0.044340397919999996,0.057739968720000014,0.047263940639999995,,0.031184455680000008,0.09891319536,0.013399570800000002,0.010963285200000002,0.036300655439999996,0.16323113520000002,0.032889855600000004,0.026555513040000003,0.018759399120000003,0.019246656240000003,0.045558540720000006,0.29235427199999997,0.019733913360000004,0.025580998800000004,0.10378576655999999,0.026555513040000003,0.006821599680000003,0.09452788127999999
Gansu,0.019185465600000003,0.005755639680000002,0.021329723520000003,0.043223725440000006,0.02685965184,0.03712951872,0.01309125888,0.00473993856,0.0445779936,0.013994104319999997,0.02042687808000001,0.01026986688,0.3363099264,0.010382722560000002,0.018169764480000003,0.0028213920000000003,0.0021442579200000003,0.00947987712,0.07358190336,0.008915598720000003,0.010495578240000004,0.006207062400000001,0.005755639680000002,0.013316970240000002,,0.005868495360000001,0.047173674240000005,0.13790964096000002,0.14118245568,0.00473993856,0.031373879040000004
Qinghai,0.00682728912,0.00110609712,0.007437549599999999,0.01823153184,0.008925059519999999,0.00888691824,0.00373784544,0.00122052096,0.00320386752,0.0029368785600000003,0.00469137744,0.00270803088,0.03371689152,0.00373784544,0.00549234432,0.0006484017600000001,0.00022884768,0.0036234216,0.0234568872,0.00369970416,0.004081116960000001,0.00125866224,0.00144936864,0.00488208384,0.17091107568,0.00125866224,0.016972869600000003,0.008696211839999999,,0.01666773936,0.010183721759999998
Ningxia,0.01522105344,0.00368634888,0.0136751652,0.02009654712,0.01165361904,0.01450756656,0.01212927696,0.002972862,0.1385353692,0.0047565791999999996,0.0086212998,0.00618355296,0.11487138767999999,0.0056484378,0.00582680952,0.00160534548,0.00124860204,0.004459293,0.009513158399999999,0.00362689164,0.00368634888,0.0016648027200000005,0.00273503304,0.0047565791999999996,0.14733504072,0.00219991788,0.006005181239999999,,0.00975098736,0.00029728619999999997,0.01641019824
Xinjiang,0.01945345248,0.0035835307200000007,0.022752576000000004,0.05847412032,0.0187708752,0.02144430288,0.008987267520000002,0.006086314080000001,0.01302584976,0.007053298560000002,0.013594664160000002,0.00989737056,0.05756401728,0.00989737056,0.012343272480000002,0.0039817008,0.0025027833600000005,0.01097811792,0.039532600800000005,0.0063707212800000025,0.008077164480000001,0.0025027833600000005,0.0040385822400000005,0.01814517936,0.11211331824,0.0035835307200000007,,0.01211574672,0.027416854080000004,0.00147891744,0.032194895040000004
Taiwan,6.475788000000001e-05,,,0.00016176671999999998,0.00016176671999999998,,,,0.00012951576000000002,0.00048581208,0.00012951576000000002,,,,,,,3.225096e-05,6.475788000000001e-05,3.225096e-05,0.001036638,,3.225096e-05,3.225096e-05,,3.225096e-05,,,,,6.475788000000001e-05
Hong Kong,,,9.620855999999997e-05,,0.02063673612,9.620855999999997e-05,3.206952e-05,,3.206952e-05,0.0007765405199999999,3.206952e-05,3.206952e-05,,,6.413904e-05,,,3.206952e-05,,,0.00032298588,,6.413904e-05,,6.413904e-05,3.206952e-05,,,,,0.00019241712
Macau,0.00121430016,0.00030357504,0.0015558220799999998,0.0017455564800000001,0.32964454656000003,0.00311164416,0.0006450969599999999,0.00110045952,0.0001897344,0.004060316160000001,0.0032254847999999997,0.0006450969599999999,0.0006450969599999999,0.00106251264,0.00337727232,0.00091072512,0.00072099072,0.00337727232,0.00041741567999999997,0.00216297216,0.005578191360000001,0.00136608768,0.0055402444799999995,0.00106251264,,0.00072099072,0.00011384063999999997,,,3.794688e-05,0.00413620992
