,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Hunan,Jilin,Heilongjiang,Zhejiang,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guizhou,Guangxi,Ningxia,Xinjiang,Hubei,Qinghai,Tibet,Beijing
Hainan,0.01346334696,0.0026356816800000003,0.008191983600000001,0.02008816848,0.00840568752,0.0076577238,0.00413160912,0.007728958440000002,0.12067148016000002,0.0030274722000000003,0.010685196,0.0188771796,0.01164686364,0.008191983600000001,0.01207427148,0.011682480959999998,0.00523574604,0.00666043884,0.0065892042000000005,0.00737278524,,0.00377543592,0.01146877704,0.01146877704,0.017310017520000002,0.00117537156,0.00245759508,0.00131784084,0.00103290228,0.00014246928,0.01025778816
Chongqing,0.02213996976,0.004677458400000001,0.031183056000000008,0.05114021183999999,0.01590335856,0.0053011195200000005,0.0043656278400000005,0.08481791232000001,0.47585343456,0.024322783680000005,0.07826947056,0.7830065361599999,0.18460369152000006,0.0009354916800000001,0.0009354916800000001,0.35392768560000004,0.020268986400000005,0.048021906239999995,0.18304453872,0.06517258704,0.014967866880000001,0.1512378216,,0.33178771584000005,0.08762438736,0.00124732224,0.0062366112000000005,0.058312314720000015,0.0053011195200000005,0.008731255680000003,0.009354916800000002
Sichuan,0.04150307808,0.01383435936,0.08127686124,0.12623852916,0.054184574159999985,0.01844581248,0.01037576952,0.21731472828,0.9194084658,0.04150307808,0.3735277027200001,,0.10606342176000001,0.0028821582,0.0028821582,0.49400191548,0.10318126356,0.08185329288,0.20982111696000005,0.042079509720000005,0.03631519332,0.6288869192400001,1.2831368306400002,0.51475345452,0.1815759666,0.0057643164,0.01844581248,0.014987222639999999,0.029974445279999998,0.0662896386,0.03400946676
Guizhou,0.0093137688,0.0023284422,0.016299095399999998,0.02235304512,0.0046568844,0.0023284422,0.00093137688,0.12666725568,0.9951761962799999,0.023750110440000003,0.02002460292,0.26590809924000003,0.49688956548,0.0004656884400000001,0.0004656884400000001,1.07201478888,0.0046568844,0.030269748600000007,0.28919252124,0.16857921528000006,0.01303927632,0.48804148511999995,0.24076092348,,0.34041824964,0.0004656884400000001,0.0004656884400000001,0.00884808036,0.0004656884400000001,0.0004656884400000001,0.0041911959600000005
Yunnan,0.01218496284,0.0031059709200000002,0.01935258804,0.02054719224,0.0062119418400000005,0.00453949596,0.0016724458800000002,0.08099416475999999,0.42695154108,0.01815798384,0.0191136672,0.4391365039199999,0.089595315,0.00095568336,0.0016724458800000002,0.30868572528,0.005734100159999999,0.02054719224,0.06116373504,0.028431579959999995,0.008123308559999999,,0.05280150563999999,0.4993445556,0.23796515664,0.00095568336,0.0016724458800000002,0.00453949596,0.00095568336,0.0033448917600000004,0.006689783520000001
Tibet,0.00038740032,2.923776e-05,0.00022659263999999995,0.0009063705599999998,0.00022659263999999995,0.00016080768,6.213023999999999e-05,0.00038740032,0.0006468854399999999,0.00025583039999999994,0.0007748006399999999,0.012440666879999998,0.00028872287999999994,2.923776e-05,,0.00016080768,0.0022659264000000003,6.213023999999999e-05,2.923776e-05,0.00012791519999999994,0.00012791519999999994,0.002558304,0.0012937708799999998,0.00022659263999999995,2.923776e-05,9.502271999999998e-05,0.0005153155199999999,9.502271999999998e-05,0.011823019199999998,,0.00025583039999999994
Shaanxi,0.05483998728,0.013223826720000002,0.06417445320000001,0.16665911028,0.3004531218,0.0077787216,0.20185782552,0.14585103,0.13321060740000001,0.0359765874,,0.13690550016,0.02391956892,0.00233361648,0.00213914844,0.11337486732,0.22519399031999998,0.030531482280000008,0.02683658952,0.015168507119999999,0.005445105120000001,0.02255829264,0.035393183280000004,0.02664212148,0.0126404226,0.05814594396000001,0.007973189640000001,0.021002548319999998,0.018863399880000003,0.00563957316,0.026447653440000003
Gansu,0.0181600704,0.01271204928,0.0192950748,0.033142128480000005,0.014301055439999997,0.0019295074800000003,0.05731772219999999,0.07343478467999999,0.03836314871999999,0.01055554092,0.37330294715999995,0.05504771339999999,0.00612902376,0.00045400176,0.0005675022,0.04188166236,,0.026559102959999997,0.011236543559999998,0.00783153036,0.0029510114399999995,0.0060155233200000005,0.01055554092,0.0060155233200000005,0.00261051012,0.10918742328,0.03030461748,0.0019295074800000003,0.13869753767999998,0.00612902376,0.016571064240000002
Qinghai,0.0017394069599999998,0.0005303069999999999,0.0032879034,0.00549398052,0.00216365256,0.00027575964,0.00252426132,0.00320305428,0.00400912092,0.00112425084,0.01308797676,0.00916370496,0.0010181894399999998,0.00025454736,0.00014848596000000005,0.0033515402400000004,0.1289706624,0.0008272789200000001,0.0009969771599999998,0.0008060666400000001,0.00040303332000000004,0.00129394908,0.0015060718799999998,0.0006363683999999999,0.00027575964,0.00388184724,0.004624277039999999,0.00027575964,,0.014445562680000001,0.0014212227599999998
Ningxia,0.00365008032,0.0018939096,0.00488973024,0.00781668144,0.00416660112,0.00082643328,0.09046000944,0.006026076000000001,0.00402886224,0.00247929984,0.07434456047999999,0.00392555808,0.00106747632,0.0002410430400000001,0.0003443472,0.006370423200000001,0.10698867504000001,0.00237599568,0.00237599568,0.0035123414400000004,0.0003443472,0.00130851936,0.0009641721600000002,0.0009641721600000002,0.0006886944,,0.0016184318400000001,0.00089530272,0.0062671190400000005,0.00037878192,0.00261703872
Xinjiang,0.002550683520000001,0.0020289528000000004,0.0050144119200000005,0.008681019480000001,0.0018115650000000004,0.0007681035600000003,0.008840437200000002,0.0048549942000000006,0.014956280640000003,0.0016086697200000007,0.009912883680000005,0.011101270320000002,0.0018985201200000003,0.00018840276000000006,0.00031883544000000015,0.00372457764,0.04447754388000001,0.004463696160000001,0.0025216984800000004,0.0003768055200000001,0.0005072382000000001,0.0011014315200000002,0.0017680874400000004,0.0006376708800000003,0.0009709988400000004,0.0023622807600000005,,0.0003768055200000001,0.004463696160000001,0.00018840276000000006,0.0022028630400000005
Taiwan,0.00019430928,3.1006799999999996e-05,0.00051678,9.715464e-05,,6.408071999999999e-05,6.408071999999999e-05,0.0038861856,0.0055398816,0.00019430928,9.715464e-05,0.00025839,3.1006799999999996e-05,9.715464e-05,,0.0022986374399999996,9.715464e-05,0.00281748456,0.0033694056000000004,0.00022531608,,3.1006799999999996e-05,0.00019430928,,6.408071999999999e-05,,,,,,0.00022531608
Hong Kong,0.0001267488,2.9574720000000005e-05,0.00022392287999999997,0.0001267488,6.33744e-05,2.9574720000000005e-05,6.33744e-05,0.00035489664,0.033596881919999995,6.33744e-05,,2.9574720000000005e-05,0.00016054848,,,0.00029152224,,0.00074359296,0.0014576112,9.717408000000001e-05,0.00038869632000000003,6.33744e-05,0.00022392287999999997,9.717408000000001e-05,0.00019434816000000001,,2.9574720000000005e-05,,,,0.00016054848
Macau,,9.496440000000001e-05,0.0002215836,0.00032287896,9.496440000000001e-05,0.0001266192,9.496440000000001e-05,0.0006141031199999999,0.05390812440000001,0.00038618855999999986,0.0001266192,0.000158274,0.0008420176800000001,0.000158274,,0.0005507935199999999,,0.0005507935199999999,0.00035453376000000003,0.0006141031199999999,0.00035453376000000003,3.16548e-05,9.496440000000001e-05,0.0001266192,0.0002215836,,,3.16548e-05,,,0.00018992880000000002
