,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Inner Mongolia,Jiangsu,Heilongjiang,Sichuan,Hubei,Shaanxi,Guangdong,Shanghai,Jilin,Hunan,Zhejiang,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.05853698927999999,0.12315574368000005,0.05625632736,0.02774805336,0.01292375088,0.018625405680000002,0.05397566544,0.008742537359999998,0.07070051952,0.01292375088,1.0574669102399998,0.13874026679999998,0.06157787184000001,0.13721982552,0.034970149439999994,0.010643088960000002,0.23528828808,0.09236680776,0.09920879352,0.01634474376,0.09350713872,0.3002871528,0.02014584696,,0.7617410812800001,0.21286177920000002,0.0076022064,0.0038011032,0.00418121352,0.006461875440000001,0.05549610672
Tibet,0.0038935306799999995,0.014376113280000003,0.0033610820400000003,0.0027620773200000004,0.00059900472,0.00189684828,0.00419303304,0.00043261452,0.0031614138000000003,0.0010981753199999999,0.14259640140000002,0.00562398876,0.018668980440000003,0.0023294628,0.0008985070800000002,0.0004991705999999999,0.004891871880000001,0.00279535536,0.00156406788,0.015640678800000002,0.0014309557200000002,0.021896950319999997,0.0004658925600000001,0.018269643959999998,0.0025291310400000003,0.00069883884,0.0011647314,0.00079867296,0.0497506698,,0.00396008676
Shaanxi,0.16794619379999998,0.5766879693600001,0.16750996992,0.46108864116,0.028354552200000008,0.043622388000000005,0.13566562667999998,0.250828731,0.1657650744,0.02530098504,0.4549815068400001,0.24123180564,,0.11385443268,0.06063511932,0.021811194,0.08462743271999999,0.0850636566,0.06412491036000001,0.48115493963999995,0.07197694019999999,0.11996156699999999,0.038823925319999994,0.049293298439999994,0.0392601492,0.035770358159999995,0.047548402919999996,0.12824982072000002,0.035770358159999995,0.0069795820799999995,0.14700744756
Gansu,0.0428396688,0.09466184880000003,0.03696648840000001,0.024701905800000003,0.011573620200000002,0.0098462142,0.024356424600000003,0.06270483780000001,0.0635685408,0.006045921,0.15736668660000006,0.035757304200000006,0.4536168156000001,0.034029898200000006,0.0196924284,0.004318515000000001,0.0212470938,0.0300568644,0.015719394600000002,,0.01934694720000001,0.030747826800000006,0.0167558382,0.0133010262,0.008982511200000001,0.0110553984,0.07790601059999999,0.16254890460000002,0.1841414796,0.004836736800000002,0.04543077780000001
Qinghai,0.0171597852,0.050652378,0.018262422,0.0086832648,0.0031011660000000003,0.0024809328,0.0109574532,0.005444269200000001,0.018606996,0.00172287,0.06726084480000001,0.010130475600000001,0.05857758,0.01033722,0.005857758,0.0011715516,0.0081319464,0.0099237312,0.003790314,0.2792427696,0.006615820799999999,0.0117844308,0.0062023320000000005,0.0043416324,0.002067444,0.0036524844,0.010888538400000002,0.014127533999999997,,0.022879713599999997,0.0139207896
Ningxia,0.03260059488,0.0406353024,0.02622824064,0.02567412288,0.00443294208,0.00757294272,0.014961179520000003,0.16660473984000002,0.0212411808,0.004155883200000001,0.0244735344,0.014407061760000003,0.17842591872000002,0.01311412032,0.0076652956800000015,0.0031400006400000005,0.010343531520000004,0.01422235584,0.006002942400000001,0.20816357184,0.00821941344,0.01126706112,0.00821941344,0.007757648640000001,0.00526411872,0.00655706016,0.01080529632,,0.00997411968,0.0003694118400000001,0.029183535360000006
Xinjiang,0.0526569336,0.1863817452,0.0605405988,0.023948492400000004,0.0108586332,0.010263639599999999,0.0358483644,0.0211222728,0.0473019912,0.008181161999999999,0.1691269308,0.036592106400000005,0.11617250039999999,0.029005938,0.0182960532,0.005949935999999999,0.0296009316,0.0266259636,0.01115613,0.3586323924,0.017849808,0.0508719528,0.017849808,0.01487484,0.008181161999999999,0.0072886716,,0.0254359764,0.0376333452,0.0004462452,0.046558249200000006
Taiwan,0.00018999683999999998,0.0006102928800000001,0.00090392436,0.00048362832,0.00012666456,0.00126088812,0.0005181732000000001,9.211968e-05,0.00634474296,0.00022454172000000005,0.0015833070000000002,0.0008060471999999999,0.0005181732000000001,0.0121770702,0.00738684684,0.00016120944000000005,0.00096725664,0.0029132848800000003,0.00048362832,9.211968e-05,0.00942499476,0.0015545196000000005,0.0008405920800000001,0.0006102928800000001,0.00035120628,0.00090392436,9.211968e-05,6.333228e-05,,,0.0023605668
Hong Kong,0.0017909035200000005,0.00221506488,0.0026392262400000005,0.0003299032800000001,0.0017909035200000005,0.0016495164,0.0013667421599999998,4.712904000000001e-05,0.005278452480000001,0.00028277424000000003,0.0045243878400000005,0.0017437744800000005,0.0013667421599999998,0.36496728576,0.01258345368,0.00018851616,0.00461864592,0.007540646400000002,0.0017909035200000005,0.00018851616,0.01682506728,0.0032519037600000004,0.0031105166400000003,0.00108396792,0.0014610002400000002,0.0037231941600000006,9.425808e-05,0.00023564520000000005,,,0.009425808
Macau,0.00285068808,0.00335645532,0.00464386284,0.0025288362,0.0017931747600000002,0.0020690478000000003,0.00262079388,0.00032185187999999996,0.007494550919999998,0.0007356614400000001,0.00239089968,0.0049197358800000006,0.0027587303999999997,0.35297955468000003,0.01342582128,0.00050576724,0.00629910108,0.00960957756,0.00487375704,0.00027587303999999994,0.006345079920000001,0.00174719592,0.00174719592,0.00059772492,0.0018391535999999998,0.004138095600000001,4.597884e-05,9.195768e-05,4.597884e-05,,0.0071267202000000005
