,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Shaanxi,Shanghai,Anhui,Zhejiang,Sichuan,Hubei,Jilin,Hunan,Gansu,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.08209691819999998,0.0364875192,0.10282846319999997,0.16834014539999995,0.030682686600000002,0.0364875192,0.087072489,0.6584338691999999,0.17082793079999994,0.015755974199999998,0.6045318521999999,0.16336457459999998,0.05804832599999999,0.17994981059999998,,0.2048276646,0.0107804034,0.13931598239999998,0.3615581448,0.053902017,2.8410509267999995,0.09702363059999998,0.051414231599999985,0.8599444865999998,0.132681888,0.6534582983999999,0.047267922599999984,0.0199022832,0.1127796048,0.0937065834,0.20316914100000003
Guizhou,0.019650995280000003,0.012833303040000002,0.033286379760000005,0.04331239776000001,0.009223936560000002,0.005614570080000002,0.010026018,0.6384568262400001,0.08502063264000001,0.00521352936,0.0340884612,0.07298941104000001,0.027270768960000004,0.29195764416000003,0.50450922576,0.07980710328000001,0.004010407200000001,0.3460981413600001,0.01523954736,0.07459357392000003,0.5835142476000001,0.11790597168,0.0240624432,0.5774986368000001,0.33527004192,,0.00360936648,0.0020052036000000003,0.0020052036000000003,0.00240624432,0.042510316320000005
Yunnan,0.018224757,0.00899088012,0.02624365008,0.0352345302,0.008504886599999999,0.0070469060399999985,0.00899088012,0.26510946516,0.05200130664,0.00558892548,0.0388794816,0.047870361720000004,0.021383714879999998,0.08334788868000001,0.64612838484,0.039122478360000004,0.00388794816,0.07387101504,0.01117785096,0.027215637120000004,0.18540652788,0.03839348808,0.01652377968,,0.1931824242,0.4908534552,0.0036449514,0.0036449514,0.0026729643599999998,0.011663844479999998,0.051272316359999986
Tibet,0.00296618436,0.0013263426,0.0025803392400000004,0.00504010188,0.0019533409200000003,0.00106107408,0.0017363030399999996,0.01106893188,0.00504010188,0.00057876768,0.012081775320000002,0.0066075976800000005,0.0024838779600000003,0.005618869560000001,0.071140194,0.0025803392400000004,0.0008681515199999998,0.0035449520399999995,0.007837479000000001,0.0013263426,0.014927383080000004,0.00226684008,0.00038584512,0.014348615400000004,0.00151926516,0.00284560776,0.00383433588,0.00091638216,0.04212946404,,0.010200780360000002
Shaanxi,0.2093272632,0.07128441935999999,0.18443429136,0.5736698510399999,0.035642209679999995,0.4344955084799999,0.64891451592,0.21272175936,0.24044347800000002,0.015275232719999999,,0.14256883871999998,0.11145262391999998,0.12842510472000002,0.48880744703999995,0.22799699208000002,0.01018348848,0.07920491039999998,0.7343426692799999,0.03790520712,0.1810397952,0.03847095648,0.01866972888,0.04129970328,0.027155969279999997,0.04356270072,0.050351693039999985,0.21668200488000003,0.09278289503999998,0.009051989759999999,0.34340986152
Gansu,0.048091968000000006,0.0393752988,0.049895416799999995,0.08776784160000001,0.010520117999999998,0.13375578600000002,0.042080472,0.058612085999999994,0.0787505976,0.0054103464,0.9477123444,0.06191840880000001,0.0189362124,0.0429821964,0.24496846200000005,0.0378724248,0.0048091968,0.0204390864,,0.0114218424,0.06973335359999999,0.016231039200000002,0.004508622,0.0123235668,0.00751437,0.012022992,0.138264408,0.29516445360000004,0.35708286240000003,0.00751437,0.1355592348
Qinghai,0.008973892800000001,0.00366433956,0.01263823236,0.024528640319999996,0.003290427360000001,0.011067801120000002,0.008525198159999999,0.009347805,0.012189537720000001,0.0016452136800000005,0.07605374147999999,0.006580854720000001,0.0032156449200000004,0.0062069425200000005,0.06408855107999999,0.00650607228,0.0017199961199999998,0.004561728839999999,0.3631435286400001,0.00216869076,0.02108864808,0.0022434732,0.00142086636,0.0033652098000000012,0.00157043124,0.003739122000000001,0.022135602240000003,0.018097350480000003,,0.02662254864,0.01622778948
Ningxia,0.02616872832,0.010995264,0.02023128576,0.0269383968,0.0032985792,0.22804177536,0.02792797056,0.017152611840000002,0.01638294336,0.00373838976,0.25673941440000003,0.01308436416,0.006377253120000001,0.010995264,0.023529864960000004,0.010995264,0.00230900544,0.00692701632,0.26630529408000003,0.00252891072,0.01286445888,0.0029687212800000003,0.0031886265600000003,0.006157347840000001,0.0027488160000000003,0.0038483424,0.01220474304,,0.020121333119999998,0.0008796211200000002,0.05200759871999999
Xinjiang,0.016638559919999997,0.0080341956,0.019230235919999998,0.0393934752,0.00523518552,0.01150704144,0.007412193359999999,0.019541237040000003,0.018556400159999997,0.0032655117600000005,0.046805668559999986,0.01803806496,0.007101192240000001,0.01285471296,0.04348832328,0.00860436432,0.0027990100800000003,0.009330033599999999,0.11413741104,0.0019178402399999998,0.01549822248,0.005287019039999999,0.00274717656,0.00430218216,0.00248800896,0.0022288413600000004,,0.00870803136,0.02923410528,0.00248800896,0.0305817768
Taiwan,0.0001296,,9.72e-05,,9.72e-05,,6.48e-05,0.00029160000000000004,0.0001944,3.24e-05,,0.0023652,6.48e-05,9.72e-05,9.72e-05,,,3.24e-05,,,3.24e-05,0.0037259999999999997,,,,,3.24e-05,,,3.24e-05,0.00035639999999999994
Hong Kong,,0.00012947688,,,,,,0.022646239199999998,6.351695999999999e-05,,,0.0004837060799999999,,3.175848e-05,6.351695999999999e-05,,3.175848e-05,3.175848e-05,3.175848e-05,,3.175848e-05,0.00022475232000000004,9.527544e-05,3.175848e-05,3.175848e-05,9.527544e-05,,,,,0.00032247072
Macau,0.0013747968,0.0005040921599999999,0.00187888896,0.00098527104,0.0012602304,4.5826559999999996e-05,0.0005040921599999999,0.19549610496,0.0021309350400000003,0.00054991872,0.0007103116799999999,0.0034599052800000003,0.0008019647999999999,0.0023600678399999997,0.00109983744,0.00329951232,0.00041243904,0.00192471552,9.165311999999999e-05,0.0016039295999999998,0.00020621952,0.0020851084800000003,0.0007332249599999999,0.00032078592000000004,0.0015122764800000001,0.00121440384,4.5826559999999996e-05,4.5826559999999996e-05,4.5826559999999996e-05,,0.00199345536
