,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Shaanxi,Anhui,Sichuan,Hunan,Gansu,Jilin,Zhejiang,Heilongjiang,Shanghai,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Xinjiang,Tibet,Beijing
Hainan,0.011882019600000002,0.00298850796,0.00687716892,0.020235439440000003,0.0113419278,0.00975765852,0.0057609792,0.11874818375999999,0.005616954720000001,0.010189731960000002,0.0038526548400000006,0.018939219120000003,0.01418641128,0.00424872216,0.01090985436,0.01058579928,0.01274616648,0.0071652178800000015,0.00604902816,0.0104417748,0.005472930240000001,,0.00514887516,0.01731894372,0.01177400124,0.00212436108,0.0013682325600000002,0.0010441774800000001,0.002700459,3.600612e-05,0.009577627920000002
Chongqing,0.022050063,0.0064680184800000005,0.02469607056,0.04380612516,0.014112040319999996,0.00529201512,0.0032340092400000003,0.43688524824,0.066150189,0.055566158760000005,0.022638064680000004,0.8440764116399999,0.14729442084,0.01734604956,0.0014700042,0.3701470575600001,0.00117600336,0.035868102480000004,0.05674216212,,0.17404849728,0.015582044519999998,0.12906636876,0.06673819068,0.28135880388,0.0017640050399999995,0.05762416464,0.007938022679999998,0.007644021839999998,0.008526024359999999,0.0102900294
Sichuan,0.047522376000000005,0.014580728999999999,0.09018450900000001,0.137166858,0.06048302400000001,0.013500675,0.01080054,0.9677283840000002,0.207370368,0.337516875,0.052922646,,0.09774488699999999,0.100985049,0.0037801890000000006,0.458482923,0.002160108,0.08478423900000001,0.041582079,1.068713433,0.22519125899999998,0.038881944,0.574048701,0.174428721,0.41042052,0.006480323999999999,0.014040702,0.03240162,0.018900945,0.06696334799999999,0.03240162
Guizhou,0.0090764064,0.00272292192,0.01724517216,0.02405247696,0.0045382032,0.00136146096,0.00136146096,0.9307854763200002,0.12888497087999998,0.01951427376,0.02359865664,0.2859068016,0.4107073896,0.0049920235200000005,0.00045382032,1.18265575392,0.00090764064,0.03312888336,0.14794542432,0.23961712896,0.25595466048,0.01089168768,0.4697040312,0.30950545824000003,,0.00181528128,0.00726112512,,,0.00045382032,0.0045382032
Yunnan,0.009922273199999998,0.0025986906,0.0203170356,0.0214982586,0.007323582599999999,0.004488647399999999,0.0016537122000000002,0.4183891866,0.08126814239999999,0.0181908342,0.0167733666,0.45311714280000004,0.07961443019999999,0.006851093399999999,0.0021262014,0.34680707279999995,0.0009449784,0.022443237,0.027168129,0.051973812,0.069692157,0.005669870399999999,,0.1986817086,0.4720167108,0.0014174675999999995,0.0030711798,0.0011812230000000001,0.0014174675999999995,0.0047248920000000005,0.007087338
Tibet,0.00029113344000000004,9.704448e-05,0.00022394880000000005,0.00116453376,0.00016049664000000006,0.00025754112000000003,6.345216000000001e-05,0.00038817792,0.00022394880000000005,0.0009368524800000001,6.345216000000001e-05,0.013735526400000002,0.00016049664000000006,0.0022021632000000005,2.9859840000000004e-05,0.00016049664000000006,2.9859840000000004e-05,,0.00019408896,0.0014220748800000006,2.9859840000000004e-05,2.9859840000000004e-05,0.00294492672,2.9859840000000004e-05,0.00025754112000000003,6.345216000000001e-05,2.9859840000000004e-05,0.01182449664,0.00016049664000000006,,9.704448e-05
Shaanxi,0.05729734584,0.01257746616,0.059892696,0.16670133719999994,0.30924595368,0.00838497744,0.20503266264000003,0.13855177008,0.14833424375999998,,0.04511916432,0.14114712024,0.021761012880000003,0.23697543384,0.00239570784,0.1117996992,0.0017967808800000002,0.04611737592,0.014374247040000001,0.03314062512,0.02515493232,0.005390342639999999,0.02056315896,0.013575677759999998,0.02655242856,0.0608909076,0.02076280128,0.021162085919999997,0.01038140064,0.0039928464000000006,0.024156720719999997
Gansu,0.018072843120000005,0.01352621592,0.02171014488,0.03137172768,0.014549207040000003,0.0021596479200000004,0.055355186160000014,0.04057864776,0.06831307368,0.36077486831999994,0.01000257984,0.054900523440000015,0.0063652780800000025,,0.0005683283999999999,0.045466272000000016,0.0005683283999999999,0.02136914784,0.009661582800000002,0.009093254399999999,0.009093254399999999,0.0019323165600000005,0.005114955600000001,0.00375096744,0.00420563016,0.11821230720000002,0.0026143106400000004,0.15083435736,0.03773700576,0.004319295840000001,0.012503224800000002
Qinghai,0.002193804,0.00116271612,0.00214992792,0.005199315479999999,0.0033345820799999997,0.00024131844000000005,0.004080475440000001,0.0024570604800000003,0.00326876796,0.01318476204,0.0008555835600000001,0.01298731968,0.00116271612,0.13303227456000002,4.387608e-05,0.0026545028399999997,,0.00096527376,0.00105302592,0.0005045749199999999,0.0004387608,0.00017550432,0.0008555835600000001,0.0002193804,0.00024131844000000005,0.00517737744,0.00030713256000000004,,0.005243191560000001,0.01483011504,0.00105302592
Ningxia,0.0043366752,0.00057822336,0.00556539984,0.00701095824,0.004987176479999999,0.0006505012799999999,0.09482863104,0.007408486799999998,0.006252040079999999,0.0708323616,0.00249358824,0.00451737,0.0013371415200000001,0.11477733696,0.00010841687999999998,0.006215901120000001,0.00028911168,0.00227675448,0.0048787596,0.00112030776,0.00466192584,0.00028911168,0.00101189088,0.00122872464,0.00122872464,,0.00046980648,0.00552926088,0.00249358824,0.00010841687999999998,0.00328864536
Xinjiang,0.0025786382399999998,0.00194138856,0.005527770479999999,0.009425367359999999,0.0025489987200000004,0.0008002670400000001,0.007765554240000002,0.016390654560000002,0.00530547408,0.0089659548,0.00154125504,0.0102256344,0.00205994664,0.04687490088000001,0.00019265688,0.0034233645600000003,0.00014819760000000002,0.0029787717600000003,0.00102256344,0.00284539392,0.00123004008,0.00109666224,0.0017042723999999999,0.001481976,0.0009632844000000002,0.0017042723999999999,0.00041495328000000015,0.00446074776,,0.00019265688,0.0021340454399999998
Taiwan,6.36174e-05,3.08448e-05,0.00019278,0.0001291626,,,3.08448e-05,0.0053766342,0.0038864448,3.08448e-05,6.36174e-05,0.0006785856000000001,0.0002255526,6.36174e-05,,0.0015865794,3.08448e-05,0.002785671,9.639e-05,0.00029109780000000004,0.0025254179999999998,,6.36174e-05,9.639e-05,0.0001291626,,6.36174e-05,,,,0.00029109780000000004
Hong Kong,9.430344000000001e-05,6.42978e-05,0.00015860123999999998,9.430344000000001e-05,3.000564e-05,9.430344000000001e-05,,0.03249610812,0.0003857868000000001,9.430344000000001e-05,0.0001285956,9.430344000000001e-05,0.00015860123999999998,,3.000564e-05,0.00029148336,,0.00090445572,6.42978e-05,3.000564e-05,0.00113164128,0.00022289904,3.000564e-05,0.00064726452,9.430344000000001e-05,,6.42978e-05,,,,0.00071156232
Macau,0.0003825791999999999,0.0004463424,0.000159408,0.0001912896,0.0001912896,6.376319999999999e-05,0.00012752639999999999,0.0665448696,0.0006137208000000001,0.0002869344,0.0003506976,0.00012752639999999999,0.0007093656,,,0.000836892,3.1881599999999996e-05,0.000478224,0.0012593232,0.0001912896,0.0004463424,0.0003825791999999999,6.376319999999999e-05,0.0003506976,9.564479999999997e-05,,,,,,0.0002231712
