,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Sichuan,Heilongjiang,Guangdong,Hubei,Shaanxi,Shanghai,Zhejiang,Jilin,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.04859682480000001,0.0739104912,0.033435698400000005,0.0177331032,0.0231477912,0.0262612368,0.014484290400000004,0.039662589600000006,0.033977167200000005,0.1124901432,0.021929486400000003,0.2534073984,0.06091524,0.0364137768,0.0373613472,0.037902816,0.016244064,0.08704110960000001,0.0502212312,0.0112354776,0.0323527608,0.0492736608,,0.0258551352,0.0817617888,0.041016261599999985,0.010694008800000002,0.0041963832,0.0035195472,0.0002707344,0.061998177599999996
Chongqing,0.046475149680000015,0.09380305440000003,0.0490334148,0.013217703119999999,0.034536579120000015,0.015775968240000004,0.012791325600000002,0.043490507040000015,0.07376331096000001,2.0871179604000005,0.01236494808,0.12919238855999998,0.2878048260000001,0.09508218696,0.043490507040000015,0.058840097760000015,0.010659438000000002,0.14198371416000002,0.052870812479999994,0.03240469152,0.0490334148,,0.036242089200000015,0.14667386688,0.058413720240000015,0.5125057790399999,0.026435406239999997,0.00810117288,0.00895392792,0.00810117288,0.05926647528
Sichuan,0.09468293796,0.17716746060000002,0.08771241492000001,0.020911569119999997,0.05983032276000001,0.039499630560000006,0.025558584480000004,0.06970523040000001,0.11675626092000001,,0.02672033832,0.2724312754800001,0.1858806144,0.3241293213600001,0.08016101496,0.09991083024,0.022654199880000003,0.12895467624,0.0813227688,0.15160887611999999,0.07899926112000001,1.9163129590800003,0.07319049192,0.7539782421600001,0.09119767644,0.50013502812,0.05983032276000001,0.0203306922,0.041823138239999995,0.0406613844,0.14521923
Guizhou,0.02831829984,0.07873868736,0.030390370560000005,0.005525521920000001,0.011396388960000002,0.009669663360000002,0.0031081060800000004,0.04109606928,0.051456422880000005,0.6133329331200001,0.008288282880000001,0.15195185280000004,0.12052544688,0.04282279488,0.028663644960000005,0.08875369584,0.006216212160000001,0.40301775504,0.07701196176000001,0.011741734080000002,0.08253748368000001,0.5798344564800001,0.03418916688,0.6516662414400001,0.24484969008000004,,0.0041441414400000005,0.00103603536,0.00103603536,0.0003453451200000001,0.032807786400000004
Yunnan,0.05446227456,0.10195072128,0.05645479680000001,0.01195513344,0.0215856576,0.01892896128,0.00797008896,0.04516383744,0.056786883839999996,0.9139035340799999,0.01295139456,0.12851768447999998,0.11589837696,0.05545853568,0.03619748736,0.07571584511999999,0.01195513344,0.17733447936000002,0.07704419327999999,0.016604352,0.07372332288,0.2623487616,0.017932700160000002,,0.17899491456,0.70701330816,0.00797008896,0.00564547968,0.00398504448,0.006309653760000001,0.05180557824
Tibet,0.00362248848,0.01368495648,0.00390114144,0.00049538304,0.00176480208,0.0008359588800000001,0.00049538304,0.00365344992,0.0028484524800000003,0.13375342080000002,0.0005882673599999999,0.0024149923200000004,0.005077676160000001,0.01328245776,0.0008049974400000001,0.0024149923200000004,0.0004334601600000001,0.0054492134400000005,0.0014861491199999997,0.016099948800000003,0.0016099948800000002,0.02021782032,0.0005882673599999999,0.018143403840000003,0.0005882673599999999,0.0029413368,0.0016719177600000002,0.0007121131200000001,0.0453585096,,0.00427267872
Shaanxi,0.17990658576,0.5628895448400001,0.15582817908000002,0.028621502280000002,0.4951974204,0.04179647952,0.30529602432,0.12766098636,0.15264801216,0.45112939308,0.02453271624,0.1158489378,0.238512519,,0.061786100159999996,0.07995848256,0.02316978756,0.07223522003999999,0.060877481039999994,0.55970937792,0.061786100159999996,0.11448600912000001,0.04043355084,0.04906543248,0.03543614568,0.0408878604,0.054517147200000005,0.1839953718,0.043613717760000004,0.00499740516,0.16536867984
Gansu,0.05362971768,0.12096928799999998,0.04052471147999999,0.01129046688,0.03246009228,0.01088723592,0.07318641924,0.0282261672,0.08104942295999998,0.1673408484,0.00625007988,0.03568593996,0.04354894368,0.5574668021999999,0.0211696254,0.03205686132,0.00544361796,0.02399224212,0.01834700868,,0.02338739568,0.0332665542,0.01572600744,0.01471793004,0.01229854428,0.008669465639999999,0.07943649911999999,0.20524455864,0.196575093,0.00544361796,0.05383133315999999
Qinghai,0.018255093120000003,0.060297125760000014,0.02060612784,0.0022127385600000005,0.011201988960000004,0.0025584789600000004,0.0061541791200000005,0.013068987120000002,0.021366756719999998,0.06776511840000002,0.0015212577600000007,0.010648804320000002,0.011340285120000002,0.059882237280000014,0.006085031040000001,0.007952029200000002,0.0010372212,0.008297769600000001,0.004563773280000001,0.25902870768,0.0067073637600000005,0.010856248560000005,0.00815947344,0.005186106000000001,0.0025584789600000004,0.0018669981600000004,0.011824321680000005,0.011063692800000002,,0.024547568399999997,0.013483875600000002
Ningxia,0.03758595372,0.05983070183999999,0.027175849919999998,0.00427362156,0.02553214932,0.0047119417200000005,0.19045010952,0.01950524712,0.026956689839999996,0.02586088944,0.00482152176,0.017642386439999998,0.01632742596,0.21444813827999998,0.009204723359999998,0.013478344919999998,0.0036161413200000003,0.0077801828399999984,0.005479001999999999,0.2832644034,0.007561022759999998,0.011067584039999998,0.008108922959999999,0.0077801828399999984,0.00536942196,0.00394488144,0.010848423959999996,,0.01051968384,0.0007670602799999999,0.02980577088
Xinjiang,0.048652031160000005,0.18900025812,0.06032245607999999,0.00939696552,0.02167364628,0.01076104116,0.03076748388,0.03652691436,0.0447113682,0.16641722808000006,0.00894227364,0.027736204680000005,0.033950327040000006,0.11109638268,0.016823599560000003,0.027584640720000005,0.005153174640000001,0.028948716360000005,0.01076104116,0.4092226920000001,0.01849080312,0.049258287000000005,0.01879393104,0.01455014016,0.006820378200000001,0.007426634040000001,,0.02334084984,0.032737815360000005,0.0006062558400000001,0.04228634484
Taiwan,0.0003880224,0.0009053856,0.0015520895999999998,0.0003880224,0.000323352,0.0008730503999999999,9.700559999999997e-05,0.0013904135999999998,0.0111394764,0.0021341232,0.0002263464,0.018754416,0.001778436,0.0010993968,0.010977800400000001,0.005052375,0.000161676,0.0010347264,0.0007760447999999999,3.23352e-05,0.0115921692,0.0004526928,0.0003880224,0.000323352,0.0009700560000000001,0.0006143688,,6.46704e-05,,,0.0024898104
Hong Kong,0.0012077553600000005,0.0018116330399999998,0.0023292424800000003,0.0010783530000000002,0.00051760944,0.0009058165199999999,0.00030193884000000013,0.0009920847599999998,0.0036232660799999997,0.0028037178000000005,0.00051760944,0.3480060801600001,0.0021998401199999997,0.0006901459200000001,0.009662042880000004,0.0049604238000000005,0.0009058165199999999,0.0034938637200000013,0.00207043776,0.00034507296000000005,0.01298337012,0.0013802918400000002,0.00202730364,0.00103521888,0.00224297424,0.0012940236,,8.626824000000001e-05,,,0.00914443344
Macau,0.00290409624,0.00364095648,0.00359761176,0.0015604099199999998,0.00290409624,0.0017337888,0.0007802049599999999,0.0023839596,0.01087952472,0.0025139937599999995,0.0007802049599999999,0.32794615151999995,0.00481126392,0.00190716768,0.01265665824,0.00979590672,0.00073686024,0.00641501856,0.0034675776,0.00047679192,0.004724574479999999,0.0013436863199999998,0.0019505123999999999,0.0008668944,0.00381433536,0.00099692856,0.0002167236,0.0002167236,,,0.008148807359999998
