,Hebei,Tianjin,Shandong,Henan,Jiangsu,Guangdong,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.017728372799999996,0.0097811712,0.015221947680000002,0.02653142688,0.02708161776,0.12764428415999998,0.010514759040000002,0.03123861552,0.0128377872,0.00513511488,0.029160116639999994,0.03154427712,0.01442722752,0.01870648992,0.012104199359999998,0.01308231648,0.034111834560000005,0.0069079521599999996,0.017544975839999997,0.02157970896,,0.01302118416,0.013877036640000001,0.0039736008,0.03777977376,0.013938168959999995,0.00220076352,0.00311774832,0.00165057264,0.00018339696,0.0372907152
Chongqing,0.03286318392,0.01131355512,0.04256051688,0.05198847948,0.07434621936000001,0.16593214175999998,0.0228964806,0.06222455316000001,0.01292977728,0.008889221880000001,0.08404355232,1.07586521784,0.0686894418,0.19556288136,0.0309775914,0.00565677756,0.09724269996,0.006734259,0.04660107228,,0.02451270276,0.02666766564,0.09050844096,0.017778443760000002,0.03825059112,0.30411913644,0.0048486664799999996,0.008889221880000001,0.00592614792,0.008081110800000001,0.06303266424
Sichuan,0.05818175244,0.021866967360000003,0.06091512336,0.09137268503999997,0.117144468,0.25927975584,0.03748622976,0.09449653752,0.0331909326,0.01835263332,0.1190968758,,0.26865131328,0.09215364815999999,0.03826719288,0.014447817719999999,0.07106764392,0.00937155744,0.05896271556,1.1152153353599998,0.04841971344,0.0331909326,0.47521605852,0.10425857652000001,0.06794379144,0.3182424714,0.0117144468,0.03045756168,0.03592430352,0.058572234,0.13393517508000002
Guizhou,0.01423553616,0.00502430688,0.017166381839999998,0.032657994720000014,0.051499145520000005,0.23928261516,0.0073271142,0.034542109800000005,0.006280383600000001,0.0031401918000000003,0.14109928488,0.28031445468000005,0.02281872708,0.03223930248,0.01611965124,0.00272149956,0.20599658208,0.0014654228400000006,0.04856829984,0.28450137708,0.015910305120000003,0.031401918,0.37179870912,0.0048149607600000005,0.1800376632,,0.00188411508,0.0033495379200000003,0.00125607672,0.00125607672,0.030773879639999998
Yunnan,0.020729115000000003,0.007296648480000002,0.02122661376,0.033498249839999994,0.0464332176,0.1467621342,0.00845747892,0.03847323744,0.01111080564,0.0051408205200000005,0.06832316304000001,0.4319947566,0.025869935519999998,0.02852326224,0.016251626159999998,0.0053066534400000006,0.05671485864,0.0034824913200000003,0.027859930560000003,0.07644897612000001,0.01210580316,0.021889945440000003,,0.00713081556,0.11823887195999999,0.36201326436,0.00149249628,0.0033166584,0.0024874938,0.006964982640000001,0.03946823496
Tibet,0.00180527616,0.00069578352,0.0020685456000000004,0.005603878079999999,0.00436275072,0.006506516160000001,0.0015043968,0.00238822992,0.000470124,0.0003196843200000001,0.00233181504,0.07100752896000001,0.007804058400000002,0.0022189852800000003,0.0016172265600000002,0.0010342728000000002,0.00220018032,0.00050773392,0.00189930096,0.01224202896,0.00067697856,0.00092144304,0.01098209664,0.0051337540800000005,0.0006393686400000001,0.0012599323199999999,0.00045131904,0.0017488612800000006,0.03268302048,,0.00472004496
Shaanxi,0.08684196947999999,0.022355358480000004,0.08512232652000001,0.28345448124,0.12782679336,0.1103437566,0.4055491314,0.06162053940000001,0.0272276802,0.2568000153600001,0.07136518284000001,0.23759733564,,0.10690447068,0.046716967080000005,0.012897322200000002,0.048150002879999994,0.00945803628,0.02751428736,0.06362678952,0.022068751320000003,0.02063571552,0.032959823400000005,0.32759198388,0.018629465400000003,0.022355358480000004,0.12410090028,0.026941073039999996,0.03267321624,0.0057321431999999995,0.13642500816
Gansu,0.020231830080000002,0.013006176479999998,0.02062595664,0.04282841952,0.03862440288,0.031267373759999995,0.01642194,0.02338484256,0.00420401664,0.0578052288,0.026012352959999995,0.09761201136,0.374420232,0.0137944296,0.0105100416,0.0019706328,0.01169242128,0.00210200832,0.0144513072,0.01891807488,0.011298294720000001,0.00670015152,0.0085394088,,0.008145282240000001,0.0085394088,0.15883300367999995,0.05714835119999999,0.16540177968,0.00486089424,0.0420401664
Qinghai,0.005636077200000002,0.0011272154400000002,0.006719938200000001,0.015564243960000003,0.007673735880000002,0.010101584520000002,0.0032949374400000004,0.006546520440000001,0.0014306965200000005,0.003425000760000001,0.00966804012,0.04023292032,0.032862665520000015,0.0038151907200000006,0.0025579119600000005,0.0005636077200000001,0.005115823920000001,0.00047689884000000007,0.00208101312,0.00602626716,0.00177753204,0.0013873420800000005,0.0022110764400000006,0.18785478852,0.0013006332,0.0018642409200000003,0.010535128920000005,0.026619626160000003,,0.024321840840000004,0.0099715212
Ningxia,0.01482286392,0.00287315424,0.011427318,0.02004678072,0.01658593584,0.012798596159999998,0.0127332972,0.01031723568,0.00280785528,0.15645630816,0.00953364816,0.0143657712,0.12707177615999998,0.00574630848,0.0068563908,0.0013059792,0.006333999119999999,0.0011753812799999998,0.004701525119999999,0.007248184559999999,0.0050280199200000006,0.00280785528,0.00319964904,0.15312606119999994,0.0039179376,0.00339554592,,0.0060728032800000005,0.00829296792,0.00071828856,0.02004678072
Xinjiang,0.017443615680000003,0.008581133519999999,0.017162267039999998,0.05394860172,0.02609508636,0.027431492400000004,0.00956585376,0.017443615680000003,0.006963378839999999,0.01470046644,0.01807665012,0.07448705243999999,0.05676208812000001,0.008721807840000002,0.008088773399999999,0.00323550936,0.011605631399999998,0.00225078912,0.0061193329200000006,0.019342718999999998,0.009143830799999999,0.00274314924,0.0065413558799999995,0.17183368187999998,0.007033716,0.004079555279999999,0.01252001448,,0.0372786948,0.00225078912,0.04065487848
Taiwan,6.462828e-05,6.462828e-05,0.00029112372,3.201768e-05,0.00035634492,0.0004209732,6.462828e-05,0.0007773181200000001,0.00016186716,3.201768e-05,0.00019388484,3.201768e-05,,3.201768e-05,6.462828e-05,6.462828e-05,6.462828e-05,3.201768e-05,0.00194359176,3.201768e-05,,6.462828e-05,3.201768e-05,3.201768e-05,0.00012925656,9.664596e-05,,9.664596e-05,6.462828e-05,6.462828e-05,0.00051821208
Hong Kong,,3.229632000000001e-05,,6.459264000000001e-05,3.229632000000001e-05,0.02125328544,3.229632000000001e-05,0.00038755584000000004,9.688896000000001e-05,,6.459264000000001e-05,3.229632000000001e-05,3.229632000000001e-05,6.459264000000001e-05,6.459264000000001e-05,,6.459264000000001e-05,,6.459264000000001e-05,6.459264000000001e-05,9.688896000000001e-05,,,3.229632000000001e-05,0.00025837056000000005,,,,,,6.459264000000001e-05
Macau,0.0010275660000000002,0.00028771848000000005,0.0004110264,0.00076039884,0.00250726104,0.17957743415999997,0.00047268036,0.0026716716,0.0008220528,8.220528000000001e-05,0.0023634018,0.0009248094,0.00036992376,0.00170575956,0.00053433432,0.00053433432,0.0016646569200000005,0.00022606452000000006,0.0011303226000000002,0.00063709092,0.00063709092,0.00137693844,0.0003082698,,0.00108921996,0.0005137830000000001,,6.165396e-05,2.055132e-05,2.055132e-05,0.00228119652
