,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Sichuan,Heilongjiang,Shanghai,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Jiangxi,Fujian,Hainan,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.038508326639999986,0.02085334632,0.02891322864,0.06550253568,0.020213673119999997,0.0230282352,0.01164205224,0.037996588080000004,0.03236746392,0.28414283544,0.09326435256000001,0.0185505228,0.03364681032,0.03159985608,0.04618440504,0.0332630064,0.015863895359999998,0.07522556831999999,0.044009516160000005,0.025714862639999992,,0.05130179063999999,0.011130313679999998,0.02213269272,0.083157516,0.04503299328,0.00921129408,0.00562912416,0.0038380392,0.00012793464,0.06000134616
Chongqing,0.045447522119999986,0.01560823992,0.049579115039999996,0.09319037364,0.029380216319999996,0.01560823992,0.012394778759999999,0.08079559488,0.045906588,0.14047415927999998,2.29349313648,0.00964038348,0.0527925762,0.10191262536,0.28967057027999993,0.07161427727999999,0.008263185840000001,0.1331291052,0.04866098328,0.042693126840000005,0.04039779744,,0.04452939036,0.1744450344,0.06197389380000001,0.5540925171600001,0.0298392822,0.008263185840000001,0.011476647,0.006426922320000001,0.0665645526
Sichuan,0.0927318618,0.021213171,0.08061004980000001,0.1721297304,0.0709126002,0.042426342,0.024243624,0.11212676100000002,0.06363951300000001,0.27274077,,0.0224253522,0.09091359,0.3624421788000001,0.196979445,0.103035402,0.0200009898,0.1175815764,0.06666996600000001,0.0654577848,0.06666996600000001,2.1570764454000004,0.1654627338,0.7630680654,0.0963684054,0.49396383899999996,0.047881157400000006,0.0230314428,0.0430324326,0.042426342,0.1460678346
Guizhou,0.023011763040000004,0.006429757320000001,0.027072662400000003,0.0693736974,0.01049065668,0.00812179872,0.0037224910800000006,0.045685117800000015,0.034179236280000004,0.23756261256,0.5915376734400001,0.006429757320000001,0.029441520360000004,0.03790172736000001,0.09746158464,0.09373909356,0.0037224910800000006,0.3712338831600001,0.06328234836,0.06971210568000001,0.03011833692,0.56581864416,0.009137023559999999,0.64263732372,0.25651347624000004,,0.00135363312,0.00135363312,0.0016920414000000002,,0.03587127768
Yunnan,0.0415060848,0.012818055600000001,0.0433372356,0.08484332039999999,0.0222790014,0.015259590000000003,0.0073246032,0.051272222400000005,0.0387593586,0.14008303619999998,0.8343943812000001,0.0125128638,0.033571098000000014,0.051272222400000005,0.0817914024,0.0704993058,0.010986904799999999,0.13642073459999998,0.0561552912,0.055850099400000006,0.0177011244,0.216686178,0.014344014599999996,,0.18494623079999997,0.7352070462000001,0.0070194114,0.0048830688,0.0030519180000000003,0.0061038360000000005,0.053103373200000005
Tibet,0.00300845988,0.0005408467199999999,0.0040563504,0.013960605959999995,0.00189296352,0.00111549636,0.0004732408800000001,0.0027718394399999994,0.004225365,0.00243381024,0.14727932243999994,0.00043943796,0.0006422554799999999,0.01950428484,0.0052394526,0.0024676131600000002,0.0004732408800000001,0.005374664279999999,0.00094648176,0.0014197226399999998,0.00043943796,0.01936907316,0.012980321279999998,0.017171883359999997,0.0007098613199999999,0.00310986864,0.0013183138800000002,0.0007774671599999999,0.06037201511999999,,0.00307606572
Shaanxi,0.17771706180000002,0.0315230778,0.14939197740000001,0.5354354664000001,0.5203592118,0.0420307704,0.30243880440000004,0.1772602056,0.1219806054,0.11421405,0.46507961159999994,0.02284281,0.06395986799999999,,0.22477325039999999,0.08588896559999999,0.020558529,0.07401070440000003,0.054365887800000005,0.0584775936,0.037919064599999996,0.123351174,0.5541665706000001,0.054365887800000005,0.0347210712,0.0475130448,0.056193312599999996,0.1886816106,0.050254182000000015,0.0086802678,0.1580722452
Gansu,0.038248847999999995,0.013960829519999999,0.03423271896,0.09906451632000002,0.029834101440000007,0.01109216592,0.06636175127999999,0.07209907848,0.0267741936,0.0315552996,0.16102765008,0.0051635944799999995,0.02237557608,0.5448548397599999,0.035571428640000013,0.027921659039999998,0.00439861752,0.02352304152,0.014917050720000003,0.01606451616,0.014343318,0.04379493096,,0.01740322584,0.01606451616,0.01472580648,0.07860138264000001,0.17957834136000006,0.20157142895999997,0.006311059920000001,0.05718202776
Qinghai,0.011705148,0.00207348336,0.017457392159999998,0.03886109136,0.008160160319999998,0.0016052774399999998,0.00575224416,0.016186547519999997,0.00989921088,0.010835622720000002,0.058726399679999985,0.0010032984,0.005417811360000001,0.05993035776,0.010300530240000001,0.007290635039999998,0.0008026387199999999,0.00688931568,0.0034781011199999995,0.0043476264,0.005952903839999999,0.011370715200000001,0.3006550872,0.004548286079999999,0.0026754624,0.00220725648,0.01217335392,0.0123740136,,0.0220725648,0.0130428792
Ningxia,0.030357170279999998,0.0040996821600000006,0.01913185008,0.04109443308,0.022060194480000003,0.00468535104,0.19600385184,0.024110035560000003,0.012396657959999998,0.015227390880000004,0.023036309280000004,0.0033187903200000003,0.00800414136,0.19902980772,0.011030097240000002,0.014641722,0.00224506404,0.0072232495200000016,0.00468535104,0.007320861,0.00898025616,0.010932485760000004,0.2279228058,0.00937070208,0.008199364320000001,0.0035140132799999996,0.00839458728,,0.011518154640000002,0.00039044592,0.035042521320000006
Xinjiang,0.0376785108,0.0099963396,0.041651415,0.144177975,0.017173198799999997,0.010124497800000002,0.035756137800000004,0.0363969288,0.024990849,0.033961923,0.12175029,0.0067923846,0.017045040600000002,0.0893262654,0.029348227799999998,0.0248626908,0.0041010624,0.0233247924,0.0078176502,0.014610034799999998,0.016019775,0.039088251,0.361406124,0.0117905544,0.007048701000000002,0.0075613338,,0.0214024194,0.0356279796,0.001281582,0.0470340594
Taiwan,0.00025436267999999994,5.869908e-05,0.0013566009599999998,0.0012913797599999998,0.00015653087999999995,0.0013566009599999998,,0.0050155102800000005,0.0006783004799999999,0.010689754679999998,0.0007761322799999999,0.0006456898799999999,0.008002641239999999,0.0005478580799999999,0.0013239903599999998,0.0043372098,,0.0009065746799999998,0.00018914148,0.01791626364,0.00031958388,0.0010957161599999998,9.130968e-05,0.00031958388,0.00031958388,9.130968e-05,2.608848e-05,,,,0.00242622864
Hong Kong,0.0013737114,0.0008676072,0.0020244168000000005,0.0009399078,0.0002169018,0.0014460120000000002,,0.005856348600000001,0.0007953066000000001,0.6293767229999999,0.0030366252000000003,0.00028920240000000004,0.010483587,0.0012291102,0.0017352144,0.011206593,0.0002169018,0.0034704288,0.0009399078,0.011351194200000005,0.0020967174,0.0012291102,,0.0006507054,0.005711747400000001,0.0008676072,,7.230060000000001e-05,,,0.0099051822
Macau,0.0029311923600000003,0.00166675644,0.0037358334000000006,0.0031610898000000004,0.00281624364,0.004023205199999999,0.00051726924,0.00873610272,0.00356341032,0.46307091852,0.0024713974800000004,0.0008046410400000001,0.01402374384,0.0020116026,0.0062647052400000005,0.008966000160000001,0.00103453848,0.0067819744799999995,0.003850782120000001,0.004712897519999999,0.00155180772,0.00166675644,0.00017242308,0.0005747436,0.00356341032,0.0016092820800000002,0.00017242308,0.00017242308,,,0.00764408988
