,Hebei,Tianjin,Shandong,Henan,Liaoning,Jiangsu,Shanxi,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.017804992319999997,0.01189431864,0.01838876256,0.02532103416,0.011237577120000002,0.02656154592,0.01036192176,0.22168674864,0.03298301856,0.0059106736800000025,0.027875028960000003,0.0441476244,0.0171482508,0.02159949888,0.013572658080000004,0.0120402612,0.032764104720000006,0.007443070560000002,0.02130761376,0.01904550408,,0.012551060159999999,0.01408345704,0.00488907576,0.03765318048,0.01364562936,0.0025539948000000002,0.0025539948000000002,0.001824282,0.00014594256000000002,0.03896666352
Chongqing,0.031772979,0.013919590800000001,0.043876971,0.056586162599999996,0.0160377894,0.0798863472,0.019668987,0.16975848780000002,0.066571956,0.0087753942,0.08230714559999999,1.3187299283999998,0.0798863472,0.2121224598,0.0335885778,0.0060519960000000005,0.10590993,0.004538997,,0.045692569800000006,0.0335885778,0.0263261826,0.09350333820000001,0.0214845858,0.0390353742,0.3189401892,0.0057493962,0.007867594799999999,0.0066571956000000005,0.0081701946,0.0647563572
Sichuan,0.065363598,0.027016953839999996,0.0675423846,0.09717388235999999,0.032681799,0.11809023372,0.038346644160000005,0.27147681036,0.10283872752,0.015687263519999998,0.12157629228,,0.30677315328000004,0.09935266896,0.04488300396000001,0.0152515062,0.07364298708,0.010893933,1.3769931312,0.06449208336000001,0.05751996624,0.03355331364,0.5050427338800001,0.11416841784,0.06884965656000001,0.34294101084,0.013508476919999998,0.027452711160000004,0.03616785756,0.056212694279999996,0.1437999156
Guizhou,0.01507859712,0.005890077,0.02143988028,0.034633652759999994,0.0075392985599999985,0.059371976159999985,0.00918852012,0.23748790464,0.039581317439999986,0.004712061599999999,0.15808966667999996,0.34633652759999994,0.028507972679999993,0.03698968356,0.01931945256,0.0025916338800000003,0.2332470492,0.0028272369599999995,0.3661271863199999,0.05819396076,0.02214668952,0.034633652759999994,0.3833262111599999,0.005890077,0.17835153155999994,,0.0021204277199999995,0.00164922156,0.00094241232,0.0007068092399999999,0.033926843519999986
Yunnan,0.0240039936,0.008813966399999998,0.0260668368,0.0405067392,0.0116269344,0.048195518399999984,0.011439403199999998,0.15958905119999994,0.045757612799999986,0.0043132176000000005,0.0710743248,0.491331744,0.0320678352,0.0363810528,0.0200658384,0.006563591999999999,0.06544838879999999,0.004500748799999999,0.1027670976,0.0354433968,0.0142523712,0.025316712,,0.0091890288,0.12770874719999994,0.3898773648,0.002812968,0.0035630928,0.0026254368000000004,0.006188529599999999,0.0444448944
Tibet,0.0023262228000000005,0.0006767193600000001,0.0019667156400000004,0.0067671936000000005,0.0011631114000000002,0.0035104816800000005,0.00128999628,0.007084405800000001,0.0027491724000000004,0.00038065464,0.00247425516,0.08234828712,0.00915685884,0.00300294216,0.0016706509200000005,0.00027491724000000003,0.0027068774400000003,0.00025376976000000004,0.01418995908,0.0014803236,0.00076130928,0.0006978668400000001,0.01146193416,0.007338175560000002,0.0013111437599999999,0.0016706509200000005,0.0008247517200000001,0.0026434350000000004,0.034597277280000005,,0.004356380880000001
Shaanxi,0.10415917008,0.02415739788,0.10008064835999997,0.31655603196,0.0266672574,0.13678734384000002,0.42102893448,0.10949262156,0.06745247459999999,0.26384898204,0.07874684243999999,0.27577081476,,0.12674790575999995,0.05647183920000001,0.011608100279999999,0.049255993080000005,0.00847077588,0.0737271234,0.02603979252,0.023529933,0.02258873568,0.03356937108,0.38557716876000003,0.017882749079999996,0.0266672574,0.13553241408,0.02603979252,0.03356937108,0.00596091636,0.14400318995999994
Gansu,0.027683285759999995,0.012938927040000001,0.02542649616,0.0511538976,0.0060181056,0.04077266544,0.02121382224,0.03520591775999999,0.02542649616,0.06303965616,0.032046412319999995,0.13149560736,0.42517916064000005,0.01835522208,0.0142930008,0.00135407376,0.01323983232,0.0022567896,0.022567896,0.0127884744,0.007823537279999999,0.006920821439999999,0.010682137439999998,,0.0090271584,0.010381232159999998,0.16760424095999998,0.06424327727999997,0.1910748528,0.006319010879999999,0.04498533936000001
Qinghai,0.009614709720000001,0.0016452979199999998,0.007249593959999998,0.0228799242,0.0012853889999999998,0.01146566988,0.004987309319999999,0.0107972676,0.005141555999999999,0.005244387120000001,0.008175074039999999,0.04977026208,0.042880577039999986,0.00452456928,0.0041132448,0.0008740645199999999,0.0046274004,0.0006684022799999999,0.008277905159999998,0.0020566224,0.00195379128,0.0014910512399999994,0.00303351804,0.22453175051999996,0.00190237572,0.00272502468,0.015578914679999997,0.01958932836,,0.0239082354,0.01223690328
Ningxia,0.016651869840000003,0.0032419569600000003,0.014809848839999997,0.02269369872,0.00287355276,0.017683401600000002,0.01503089136,0.01495721052,0.012083657759999998,0.17012905956,0.00913642416,0.01635714648,0.14168825531999998,0.00744176484,0.007220722320000001,0.0014736168,0.0058944672000000005,0.0009578509199999999,0.0075154456800000016,0.00449453124,0.0048629354400000005,0.0027261910800000003,0.00353668032,0.18398105748,0.00228410604,0.00375772284,,0.00559974384,0.012083657759999998,0.00058944672,0.023798911319999998
Xinjiang,0.02460284604,0.008547816599999999,0.02140670592,0.07113269988,0.00572332068,0.025420463280000003,0.01025737992,0.025048819080000003,0.01887952536,0.01516308336,0.01828489464,0.08257934123999999,0.05619260304,0.01129798368,0.011669627880000002,0.00364211316,0.0141224796,0.0022298652,0.0252718056,0.0063179514,0.007284226319999998,0.004236743879999999,0.0070612398,0.17199693575999997,0.00341912664,0.00379077084,0.013973821919999995,,0.036123816239999995,0.001858221,0.0345629106
Taiwan,3.1949640000000006e-05,6.445979999999999e-05,0.00035593020000000003,6.445979999999999e-05,3.1949640000000006e-05,3.1949640000000006e-05,,0.00038844036,0.0014898621599999998,,0.00042095052000000005,6.445979999999999e-05,,6.445979999999999e-05,3.1949640000000006e-05,,3.1949640000000006e-05,,,0.00184635288,,,,6.445979999999999e-05,6.445979999999999e-05,3.1949640000000006e-05,,3.1949640000000006e-05,,,9.696995999999999e-05
Hong Kong,3.028752e-05,3.028752e-05,3.028752e-05,,3.028752e-05,6.3099e-05,,0.02332643832,0.00045178884,3.028752e-05,6.3099e-05,,,6.3099e-05,3.028752e-05,,9.591048e-05,,3.028752e-05,0.00045178884,0.00016153344,,3.028752e-05,,3.028752e-05,,,,,,6.3099e-05
Macau,0.0018403945199999998,0.0005500029599999999,0.00050769504,0.0007403886,0.0005500029599999999,0.00239039748,0.0002115396,0.18289713816,0.002326935600000001,0.00014807772000000004,0.00310963212,0.0011000059199999998,0.00040192524,0.00198847224,0.0002115396,0.00033846336,0.002326935600000001,0.00019038564,0.0005500029599999999,0.0015865470000000002,0.00038077128,0.00124808364,0.00040192524,6.346188e-05,0.0018403945199999998,0.00067692672,2.115396e-05,,2.115396e-05,,0.00262309104
