,Hebei,Henan,Shandong,Tianjin,Shanxi,Anhui,Jiangsu,Sichuan,Guangdong,Inner Mongolia,Liaoning,Shanghai,Hubei,Zhejiang,Shaanxi,Hainan,Heilongjiang,Hunan,Jiangxi,Jilin,Chongqing,Gansu,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.017102923199999998,0.048803795999999997,0.027900223199999998,0.0101926512,0.012524868,0.0195215184,0.0266045472,0.07661764079999997,0.16817874479999995,0.0092424888,0.0137341656,0.033342062400000004,0.034983252,0.0261726552,0.0225447624,,0.017362058399999998,0.0493220664,0.02807298,0.0118338408,0.0360197928,0.0076876776,0.0200397888,0.020298924,0.030923467200000002,0.0455214168,0.007083028799999998,0.0042325416,0.0029368656,8.63784e-05,0.033514819200000004
Chongqing,0.0112979772,0.0505952892,0.0363500136,0.0066314214,0.014490883799999996,0.0248064282,0.044700692400000006,1.1931646356,0.09406794060000001,0.0063858132,0.0044209476,0.030701025,0.16996087440000002,0.0422446104,0.0483848154,0.022104738,0.003684123,0.08768212739999999,0.027016902,0.0041753394,,0.0218591298,0.031929066,0.0790858404,0.3102031566,0.032174674199999996,0.015964533,0.0081050706,0.0063858132,0.0051577722,0.0179293986
Sichuan,0.02013072264,0.08371824336,0.051445180079999986,0.0111837348,0.02268700488,0.035148880800000004,0.06518519712,,0.15465507552000002,0.00990559368,0.0127814112,0.05240378591999999,0.07604939663999999,0.06358752072000001,0.16743648672,0.042178656960000005,0.007988381999999999,0.0575163504,0.0287581752,0.0054320997600000006,1.1164562683200001,0.08403777863999999,0.03962237472,0.5128541244,0.29205524592,0.04122005112,0.030675386879999995,0.008307917279999999,0.02588235768,0.035148880800000004,0.03610748664
Guizhou,0.0043430579999999995,0.027100681920000005,0.011986840079999998,0.0024321124800000004,0.00451678032,0.015808731120000002,0.022931346239999997,0.30644617248000006,0.1094450616,0.0012160562400000002,0.00191094552,0.01320289632,0.03874007736,0.04516780320000001,0.017198509679999998,0.009554727600000002,0.00191094552,0.1963062216,0.02935907208,0.00191094552,0.27743454504000004,0.00451678032,0.03109629528,0.40008250296,,0.15079097375999997,0.0008686116,0.00104233392,0.00052116696,0.00034744464,0.006775170480000001
Yunnan,0.0098403984,0.046214728200000006,0.027236817,0.0063259704,0.0086103486,0.0177478614,0.033562787399999995,0.5196081798,0.08487343619999999,0.005271641999999999,0.0059745276000000005,0.0293454738,0.0398887578,0.0405916434,0.0231952248,0.0086103486,0.0036901494,0.06958567439999999,0.031629852,0.003514428,0.1122859746,0.0086103486,0.028994031,,0.4482652913999999,0.113340303,0.0045687564,0.0022843782,0.0019329354000000001,0.0042173136,0.014584876200000001
Tibet,0.001409886,0.010263970079999999,0.0021618252,0.0005451559200000001,0.00105271488,0.00261298872,0.00210542976,0.08154780623999999,0.0025565932800000004,0.0006015513599999999,0.0002819772,0.0005075589599999999,0.00306415224,0.00180465408,0.00851571144,0.00024438023999999995,0.00022558176,0.0026881826399999995,0.00086473008,0.0005075589599999999,0.01124149104,0.00924885216,0.0008083346400000001,0.01045195488,0.0017670571199999996,0.0002819772,0.00171066168,0.0005451559200000001,0.02693822184,,0.00116550576
Shaanxi,0.0285953976,0.25735857840000004,0.08088412464,0.00959988348,0.27737535671999997,0.04963344012000001,0.07087573548000001,0.2114016894,0.05045045148000001,0.19322318664,0.0112339062,0.027165627720000002,0.10457745407999999,0.035744247000000014,,0.013480687440000002,0.00592333236,0.031454937360000004,0.021855053880000003,0.004697815320000001,0.041463326519999996,0.28431995328000004,0.02124229536,0.017769997080000002,0.01511471016,0.01041689484,0.019812525480000003,0.08823722687999999,0.021038042519999998,0.0028595397600000012,0.030842178839999995
Gansu,0.0054549936,0.045588160799999985,0.0193847094,0.005065351199999999,0.0090591858,0.0095462388,0.0244500606,0.08231195699999999,0.016170159599999998,0.050653512000000005,0.0026300862,0.0123711462,0.0183131928,0.012760788600000001,0.26076817620000003,0.004578298199999999,0.0005844635999999999,0.0094488282,0.0051627618,0.0007792847999999999,0.0133452522,,0.008669543399999998,0.006526510199999999,0.006039457199999999,0.0035067816,0.0474389622,0.1340369856,0.1461159,0.0028249073999999995,0.008961775200000001
Qinghai,0.0025290468000000003,0.01950978960000001,0.008671017600000002,0.0008309725200000001,0.002348400600000001,0.005202610560000001,0.007514881920000002,0.032480186760000015,0.005455515240000001,0.0032877608400000012,0.0005419386000000002,0.002601305280000001,0.006250358520000001,0.003974216400000001,0.02518208028,0.0013367818800000006,0.0003612924000000001,0.003793570200000001,0.0016619450400000002,0.00018064620000000006,0.004227121079999999,0.16514675604000004,0.0028903392000000005,0.002312271360000001,0.0014090403600000006,0.00039742164000000017,0.025109821800000008,0.006936814080000001,,0.015282668520000002,0.003215502360000001
Ningxia,0.005335683840000001,0.016862774400000006,0.008708238719999999,0.0020638022400000003,0.0069967929600000004,0.00624174336,0.010772040960000005,0.00845655552,0.005587367040000003,0.12820742208000002,0.0015100992000000005,0.004127604480000001,0.005084000640000001,0.005889386880000001,0.09392817024,0.0023154854400000003,0.0007550496000000001,0.0025168320000000005,0.0018624556800000004,0.00030201984000000005,0.004630970880000001,0.15579190080000002,0.002718178560000001,0.00236582208,0.0010067328000000005,0.0014094259200000006,0.0054363571200000006,,0.007298812800000001,0.00010067328000000002,0.004379287680000001
Xinjiang,0.00611948844,0.05789977524000001,0.02024138484,0.0031905025199999997,0.006799431600000003,0.01155903372,0.02086902468000001,0.052930959840000014,0.01234358352,0.00883926108,0.0022490427600000006,0.00925768764,0.00983302416,0.013075830000000005,0.04299332904000002,0.00611948844,0.0019875261600000005,0.00983302416,0.0037658390400000007,0.00109836972,0.01914301512,0.12819543732000002,0.005857971840000003,0.00439347888,0.0022490427600000006,0.0022490427600000006,,0.008734654440000001,0.02636087328000001,0.0006799431599999999,0.023327280720000003
Taiwan,,3.2341680000000015e-05,3.2341680000000015e-05,,,,9.717408e-05,,0.00016185743999999998,,6.468336000000003e-05,0.0002591805600000001,,0.00019434816,,,,,,3.2341680000000015e-05,,,0.00032386392000000004,,,,,,,,3.2341680000000015e-05
Hong Kong,,,3.1376160000000004e-05,,3.1376160000000004e-05,,9.587160000000002e-05,,0.0158100984,,,0.0002266056,3.1376160000000004e-05,0.00012899088,,3.1376160000000004e-05,,,3.1376160000000004e-05,,,,0.0006798167999999999,,,,,,,3.1376160000000004e-05,0.0002266056
Macau,0.00011666915999999995,0.00047963988,0.00047963988,0.00024630156,0.00018148536,0.00028519128,0.00099816948,0.0007389046799999999,0.1158913656,,2.592648e-05,0.0027093171599999995,0.0010889121599999998,0.0012574342800000002,0.00011666915999999995,0.00018148536,5.185296e-05,0.0008037208799999997,0.00037593395999999986,,0.00018148536,,0.0012574342800000002,9.074268e-05,0.00011666915999999995,0.0008944635599999998,,,,,0.00082964736
