,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Guangdong,Jilin,Jiangsu,Anhui,Sichuan,Shaanxi,Zhejiang,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Chongqing,Xinjiang,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Tibet,Beijing
Chongqing,0.035554123800000004,0.0333038628,0.0679578822,0.0256529754,0.013501566,0.010801252800000001,0.0054006264000000005,0.008550991800000001,0.27858231180000004,0.0049505742,0.09316080539999999,0.0414048024,2.387526921,0.0805593438,0.09676122300000001,0.148517226,0.0468054288,0.0468054288,0.050855898600000005,0.0396045936,0.028803340800000007,,0.0207024012,0.17011973160000002,0.0625572558,0.508558986,0.0076508874,0.11116289340000003,0.0094510962,0.004500522,0.0499557942
Sichuan,0.07578385920000001,0.06787597824000001,0.14365983744000002,0.06062708736000001,0.03097253376,0.021746672640000003,0.01252081152,0.02108768256,0.41450476032,0.013179801599999999,0.16079357952,0.059968097280000014,,0.31367927808,0.12586710528,0.14563680767999998,0.17331439104000002,0.08237376000000002,0.06392203776000001,0.04810627584,0.034926474240000005,2.5806051532799996,0.044811325440000015,0.81319375872,0.10346144256000002,0.7024834252800001,0.015815761919999997,0.06326304767999999,0.04942425599999999,0.038221424639999994,0.09423558144
Guizhou,0.009248793839999998,0.015975189359999996,0.030549046319999995,0.0058855960799999996,0.003923730720000001,0.003923730720000001,0.0016815988799999994,0.0019618653600000004,0.25672409568000004,0.0016815988799999994,0.051288765839999986,0.025223983199999998,0.5392327075199999,0.02073971952,0.09557086967999998,0.26457155712,0.00476453016,0.019618653599999997,0.040078106639999986,0.05072823288,0.02494371672,0.45235009872000004,0.0014013323999999998,0.6269561157600001,0.2059958628,,0.0014013323999999998,0.012331725120000001,0.0008407994399999997,0.00028026648,0.02606478264
Yunnan,0.030912272999999997,0.0438659874,0.067712598,0.0241410132,0.015014532600000003,0.0100096884,0.009420883199999999,0.010598493600000002,0.1645710534,0.0067712598,0.0568197018,0.0267906366,1.0262874636,0.04622120820000001,0.075072663,0.0856711566,0.017664156,0.0394499484,0.0214913898,0.026496234000000004,0.008243272800000001,0.1893008718,0.006476857200000001,,0.1313035596,0.72128637,0.0047104415999999994,0.011187298799999999,0.0070656624,0.004416039,0.048576429
Tibet,0.0008683426800000001,0.0014228265600000007,0.00346290876,0.0006800274000000003,0.00041847840000000015,0.00041847840000000015,0.00012554352000000002,0.00038709252000000016,0.003044430360000001,0.0004498642800000001,0.0012240493199999999,0.0010671199200000005,0.034796478960000016,0.005241441960000001,0.0013914406800000006,0.0014228265600000007,0.007061823000000002,0.0008997285600000002,0.0008055709200000001,0.00038709252000000016,0.00012554352000000002,0.006381795600000001,0.0005440219200000001,0.004728805920000001,0.0006067936800000001,0.0008369568000000003,0.00038709252000000016,0.00038709252000000016,0.02286984456,,0.00207146808
Shaanxi,0.08921529539999999,0.07786062144,0.19998129852,0.23311840824,0.02178243576,0.02641699656,0.01204985808,0.19743229008000002,0.0915325758,0.00834220944,0.12073030884,0.0556147296,0.23798469708,,0.06071274647999999,0.043564871519999986,0.29058696216,0.042637959360000005,0.018074787119999998,0.01344022632,0.010196033759999999,0.054919545480000005,0.029197733039999996,0.018306515159999998,0.011354673959999999,0.02456317224,0.12466968552000002,0.0359178462,0.037539942480000005,0.0023172804000000003,0.121657221
Gansu,0.01570166856,0.014141900160000003,0.02630809368,0.00967056408,0.0041593824,0.00800681112,0.0017677375200000004,0.060934952160000014,0.01705346784,0.0010398456,0.023604495120000003,0.00956657952,0.080588034,0.26557656624000003,0.013517992800000002,0.006758996400000001,,0.01279010088,0.00384742872,0.0034314904799999995,0.0031195368000000003,0.01289408544,0.07164536183999999,0.004887274319999999,0.0028075831199999997,0.003535475040000001,0.16003223784,0.003535475040000001,0.15972028416,0.00187172208,0.035666704080000014
Qinghai,0.0030432736800000003,0.00496245528,0.00858148344,0.0024675192,0.0008499232799999999,0.00134342712,0.000685422,0.004359283920000001,0.00413994888,0.00030158568,0.004359283920000001,0.00235785168,0.02050782624,0.018616061519999998,0.00296102304,0.00167242968,0.15268460471999998,0.0012885933599999998,0.0007676726400000001,0.00060317136,0.0021659335199999998,0.00279652176,0.0064703836800000004,0.0012885933599999998,0.0006580051199999999,0.00115150896,0.00633329928,0.0004112532,,0.009897493680000001,0.005976879839999999
Ningxia,0.00606321936,0.00684408852,0.008681427719999999,0.00702782244,0.00197513964,0.0032153436,0.00105647004,0.0992163168,0.0047770819200000005,0.00073493568,0.007257489840000002,0.0029856762,0.00881922816,0.10178859168,0.00362874492,0.00151580484,0.15406089192,0.0038124788399999995,0.0016536052800000002,0.0011942704800000001,0.0011942704800000001,0.0017454722399999998,0.00564981804,0.00146987136,0.00055120176,0.00105647004,,0.00050526828,0.00601728588,0.00032153436,0.013734110519999999
Xinjiang,0.0052434378,0.01117394676,0.030737393999999998,0.0039416187600000005,0.00227818332,0.0035076790799999998,0.00119333412,0.0037969721999999997,0.01688748588,0.0007955560800000001,0.01055919888,0.007087681440000001,0.042887705039999995,0.025276986360000003,0.0071961663600000015,0.00386929548,0.10678532292,0.007593944399999999,0.0039416187600000005,0.0013741423199999999,0.005930508959999999,0.01001677428,,0.004013942039999999,0.001808082,0.0024589915200000003,0.01182485628,0.000904041,0.00871495524,0.00021696984,0.01894869936
Taiwan,0.00015954083999999998,0.0005175349200000001,0.00025682183999999996,0.00022569192000000001,0.0005836859999999999,9.7281e-05,0.000291843,0.00012841091999999998,0.00940123584,,0.0049924609200000004,0.00061481592,0.0006809670000000001,0.00015954083999999998,0.0017510579999999998,0.0008755289999999999,,0.00680967,0.00492630984,0.00045138384000000003,0.00012841091999999998,0.000486405,,0.00025682183999999996,0.000389124,6.225984e-05,,0.00012841091999999998,,,0.000778248
Hong Kong,0.0008496252000000001,0.0024922339199999997,0.0016709295600000002,0.00053809596,0.00130275864,0.0007363418400000001,0.0005664168000000001,0.00011328336000000002,0.20212583508,0.00028320840000000004,0.005041109520000001,0.0008496252000000001,0.0033418591200000004,0.0009629085600000002,0.006712039080000001,0.00416316348,0.00028320840000000004,0.00685364328,0.00945916056,0.00189749628,0.0015859670400000007,0.0023506297199999996,8.496252e-05,0.00144436284,0.0025205547600000004,0.0012461169599999999,8.496252e-05,0.00031152923999999997,2.8320840000000004e-05,2.8320840000000004e-05,0.0064005098400000005
Macau,0.0010303912799999998,0.003064058279999999,0.0021692448,0.0016811647199999995,0.00184385808,0.0007592356799999999,0.0007050045599999997,0.00013557779999999998,0.18403330572,0.0005423111999999999,0.009761601600000001,0.0013015468799999995,0.00360636948,0.0015998180399999994,0.009544677120000001,0.003958871759999999,,0.011524113,0.003579253919999999,0.003579253919999999,0.0015455869199999994,0.00211501368,0.00021692448,0.0006236578799999999,0.0034165605599999994,0.00187097364,8.134667999999997e-05,0.0010846223999999998,,2.711556e-05,0.005097725279999998
