,Hebei,Henan,Shandong,Tianjin,Heilongjiang,Liaoning,Shanxi,Inner Mongolia,Jilin,Anhui,Hunan,Guangdong,Shaanxi,Sichuan,Jiangsu,Gansu,Shanghai,Zhejiang,Jiangxi,Guizhou,Hainan,Chongqing,Fujian,Xinjiang,Yunnan,Guangxi,Ningxia,Hubei,Qinghai,Beijing,Tibet
Hainan,0.05967815292000001,0.06976129860000001,0.0334150758,0.012662555039999999,0.042794746200000004,0.028959732360000007,0.035994485160000006,0.023918159520000003,0.036815206320000016,0.0105521292,0.0445534344,0.22663628604,0.03259435464,0.08347906656000001,0.0287252406,0.016766160840000002,0.025794093599999998,0.0287252406,0.023214684240000002,0.07409939616000001,,0.059091923520000006,0.006331277519999999,0.011724588,0.0077382280799999995,0.051470941320000005,0.005510556359999999,0.003282884640000001,0.0077382280799999995,0.07527185496000001,0.00035173764
Chongqing,0.021039017760000004,0.03774647303999999,0.016707455280000002,0.007734933,0.00402216516,0.009281919599999999,0.010519508880000002,0.00433156248,0.00433156248,0.025061182920000005,0.11664278964000002,0.48080343528,0.04238743284,1.2416114451600002,0.06837680772,0.015469866,0.06249825864,0.10426689684,0.03434310252,0.2979496191600001,0.012685290120000001,,0.10828906200000002,0.023204798999999998,0.13613482080000006,0.05940428544,0.00371276784,0.08694064692,0.00371276784,0.04269683016,0.00433156248
Sichuan,0.06622072704,0.10060456608,0.047755332000000004,0.0191021328,0.0095510664,0.023559297120000003,0.0350205768,0.013371492959999998,0.006367377600000001,0.047755332000000004,0.12161691216,1.14867491904,0.20311934544,,0.21776431391999998,0.0923269752,0.14772316032,0.23750318448,0.047118594240000006,0.54250057152,0.025469510400000003,1.8898376716799998,0.18401721264,0.06940441584,0.6163621516800001,0.15345380016,0.013371492959999998,0.047755332000000004,0.04393490544,0.12989450304000005,0.05221249632
Guizhou,0.0086397516,0.0200815848,0.0100407924,0.0028020816,0.0014010408,0.0028020816,0.0025685748000000004,0.0018680544,0.0018680544,0.02335068,0.191475576,0.399296628,0.014010408000000002,0.31289911200000003,0.0646813836,0.0030355884,0.0324574452,0.1550485152,0.050203962000000005,,0.0086397516,0.26853282,0.0784582848,0.0014010408,0.4478660424,0.1928766168,0.0004670136000000001,0.007005204000000001,0.0007005204,0.025685748000000005,0.00023350680000000005
Yunnan,0.01236626028,0.02194575768,0.015153023159999997,0.006444389159999999,0.007489425240000001,0.009231152040000001,0.00940532472,0.004528489679999999,0.00539935308,0.015153023159999997,0.04807165968,0.14630505119999998,0.02386165716,0.5394127899600001,0.03814381692,0.009056979359999998,0.027345110760000003,0.07210748952,0.0139338144,0.3988554372,0.00539935308,0.10607116212,0.02508086592,0.0069669072,,0.117566559,0.0029609355600000004,0.007315252559999998,0.00557352576,0.034137845279999995,0.0026125902
Tibet,0.0008320546799999999,0.0034336904400000005,0.00096096456,0.0005156395200000001,0.00048048228,0.0003515724000000001,0.00067970664,0.00041016779999999997,5.859540000000001e-05,0.0003515724000000001,0.0022266252000000004,0.006023607120000001,0.004242306960000001,0.027668747880000004,0.00226178244,0.0062111124000000005,0.0016523902800000003,0.0021328725600000004,0.0003515724000000001,0.00112503168,9.375264e-05,0.004593879360000001,0.0006093921600000001,0.00041016779999999997,0.00323446608,0.00048048228,0.00028125792,0.00022266252000000005,0.043102776240000015,0.00200396268,
Shaanxi,0.0538897212,0.11205640440000003,0.04995491616,0.02070049608,0.005474511360000001,0.01402843536,0.16919661672000005,0.08451276912000001,0.00479019744,0.03284706816,0.03490000992,0.16064269272000006,,0.14678533584,0.10658189304,0.1745000496,0.05286325032,0.05252109336,0.01248872904,0.01762108344,0.005474511360000001,0.03780834408,0.015397063200000003,0.032333832720000004,0.016594612560000003,0.0094093164,0.08553924000000003,0.0222402024,0.037295108640000005,0.13634954855999998,0.002395098720000001
Gansu,0.0235299168,0.028846773,0.0247742874,0.016968689999999998,0.0023756166,0.0055431054000000006,0.0134618274,0.0385754886,0.0014706198,0.009841840199999998,0.0081449712,0.041856102000000006,0.280549008,0.08144971200000001,0.043326721799999995,,0.025453035,0.0207018018,0.004524984,0.0058824792,0.0021493674,0.018891808200000002,0.00565623,0.10871274059999997,0.00565623,0.003959361,0.1445732388,0.0026018658,0.0975134052,0.060521661,0.0021493674
Qinghai,0.0029972948400000003,0.00458702028,0.00365968044,0.00203683572,0.00028151388,0.000827982,0.0017387622,0.00193747788,0.0005133488400000001,0.00119229408,0.0017056429199999998,0.0035272033200000005,0.01496991456,0.01318147344,0.004719497400000001,0.06827539571999999,0.00255018456,0.002682661680000001,0.00031463316000000005,0.000413991,0.0008942205600000002,0.00417302928,0.0008611012799999999,0.00634234212,0.00079486272,0.0006458259600000001,0.0052990848,0.00038087171999999996,,0.00501757092,0.008809728479999999
Ningxia,0.004797792,0.0057893356799999995,0.005981247360000001,0.0054374976000000005,0.00099154368,0.00204705792,0.00466985088,0.061635634559999986,0.0008316172800000001,0.0017591904000000002,0.00188713152,0.008220216959999999,0.06336283967999999,0.00882793728,0.005757350400000001,0.09035841599999997,0.00390220416,0.0035183808000000005,0.00073566144,0.00124742592,0.0006397056,0.0025908076800000004,0.0015352934399999998,0.00556543872,0.0015352934399999998,0.00118345536,,0.0007676467199999999,0.005181615360000001,0.0185514624,6.397056e-05
Xinjiang,0.00328857408,0.00708164532,0.006801369119999999,0.0041107176,0.0005979225599999999,0.00194324832,0.0021300991199999994,0.00207404388,0.0007660882799999997,0.0019058781600000002,0.0033633144,0.01862902476,0.015452561159999998,0.0223286706,0.00676399896,0.035894038680000004,0.0066705735599999995,0.00463389984,0.00072871812,0.0016816572,0.0019993035600000004,0.005698949399999999,0.0017377124399999997,,0.0021861543599999995,0.0011211048,0.0050449716,0.00035501652,0.00553078368,0.015975743400000002,5.605523999999999e-05
Taiwan,0.0001911924,0.00031865400000000003,0.00138933144,0.00022305779999999998,9.55962e-05,0.00077751576,0.0001274616,0.000159327,3.18654e-05,0.0015868969200000002,0.0007074118800000001,0.017914727880000002,0.0005799502799999999,0.0013574660400000002,0.00819578088,,0.0072206996400000015,0.00281690136,0.0003505194000000001,0.0001274616,0.00067554648,0.00161876232,0.0079026192,6.37308e-05,0.00031865400000000003,0.0005480848800000001,3.18654e-05,0.0001274616,3.18654e-05,0.0017462239199999999,
Hong Kong,0.0008242948800000001,0.00131441616,0.00213871104,0.0015371985600000002,0.0007129036800000001,0.00135897264,0.0002450606400000001,0.00011139120000000002,0.00046784304,0.0011807467199999998,0.003943248480000001,0.13964000832,0.00182681568,0.00485665632,0.00487893456,0.00017822592000000002,0.009913816800000004,0.00581462064,0.0011584684800000002,0.0016485897600000002,0.0013812508800000003,0.00387641376,0.01029254688,2.227824e-05,0.0014258073600000002,0.0029407276799999996,4.455648000000001e-05,0.00037873008,2.227824e-05,0.007886496960000001,
Macau,0.00093393,0.0017744669999999996,0.0015129666,0.0004856436,0.0005790365999999999,0.0007284653999999999,0.0008031798,0.0003175362,0.0005416793999999999,0.0005977151999999999,0.0022974678,0.14401200599999994,0.0006724295999999999,0.0017371098000000002,0.004557578399999999,5.603579999999999e-05,0.004949828999999999,0.0035302554,0.0025589682,0.0007658225999999999,0.0004109292,0.001214109,0.0020359674,,0.000186786,0.0013822163999999998,5.603579999999999e-05,0.0002428218,1.86786e-05,0.0036796842,
