,Hebei,Tianjin,Henan,Shandong,Jiangsu,Guangdong,Shanghai,Shanxi,Sichuan,Zhejiang,Anhui,Inner Mongolia,Hubei,Heilongjiang,Shaanxi,Hainan,Hunan,Liaoning,Chongqing,Fujian,Jilin,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0206276868,0.009345605040000001,0.0437812128,0.02416386168,0.03376205064,0.2008042164,0.0475699716,0.019112183280000004,0.05034839472,0.03005748648,0.012376612079999998,0.00606201408,0.02500580808,0.015407619119999997,0.02635292232,,0.037719198720000006,0.0077459068799999985,0.03814017192,0.016838928,0.009429799680000002,0.01953315648,0.01667053872,0.005304262320000001,0.02088027072,0.0412553736,0.0037887588,0.00345198024,0.00159969816,8.419464e-05,0.0530426232
Chongqing,0.014844406679999997,0.0066326072399999995,0.050849988839999985,0.029057136479999995,0.05653508075999999,0.17655368795999998,0.05906178828,0.013581052919999998,1.5545568016799998,0.07137948743999999,0.025898752079999997,0.004105899719999999,0.19771486344,0.0031583844,0.07169532588,0.02937297492,0.09633072419999998,0.00284254596,,0.03821645124,0.00252670752,0.02337204456,0.10864842335999997,0.014844406679999997,0.40522071852,0.04453322004,0.009790991639999998,0.0031583844,0.00347422284,0.0066326072399999995,0.028741298039999995
Sichuan,0.02618899776000001,0.009628308,0.07433053776000001,0.036587570400000005,0.06701302367999999,0.2060457912,0.06855355296,0.021182277600000004,,0.08203318416000001,0.02811465936,0.008087778720000001,0.06970894992000001,0.006547249440000002,0.21528896688,0.05237799552000001,0.05083746624,0.005391852480000002,1.6495217265600002,0.03889836432,0.004236455520000001,0.02387820384,0.4937396342400001,0.08203318416000001,0.3446934264,0.050067201600000014,0.015020160480000003,0.006932381760000001,0.02272280688,0.033891644160000005,0.051607730880000015
Guizhou,0.006795154799999999,0.0017473255199999998,0.02698647192,0.01242542592,0.03805286688,0.24326654184000002,0.0223269372,0.00368879832,0.26734080456,0.08756042328,0.013590309599999998,0.00155317824,0.030675270239999997,0.00213562008,0.017279107919999998,0.016890813359999996,0.19065262896,0.0011648836800000001,0.31180053168,0.04387728528,0.0009707364,0.029316239280000003,0.3698505684,0.00213562008,,0.17880964487999998,0.0013590309599999999,0.0009707364,0.00077658912,0.0011648836800000001,0.01281372048
Yunnan,0.0144926496,0.005928811199999999,0.0365610024,0.0212449068,0.0368903808,0.140809266,0.0431485704,0.009057906,0.4542128135999999,0.05451212519999999,0.015810163199999998,0.0031290948,0.0322790832,0.006258189599999999,0.027997164,0.0149867172,0.054347436,0.005434743599999999,0.08613245159999999,0.0256915152,0.0026350272,0.0207508392,,0.0042819192,0.3603399695999999,0.12993977880000002,0.0029644056,0.0013175136,0.0019762704,0.004775986799999999,0.026020893599999997
Tibet,0.001289925,0.00015592499999999998,0.0065063249999999994,0.00144585,0.0018711,0.00394065,0.00235305,0.0009072,0.0563031,0.0010631249999999998,0.00121905,8.504999999999998e-05,0.002622375,0.000184275,0.009227924999999998,0.00031185,0.00184275,0.000382725,0.008972774999999999,0.0006662249999999999,0.000382725,0.000354375,0.009100349999999998,0.0054715499999999995,0.0016442999999999998,0.0008363249999999999,0.0007370999999999999,0.00031185,0.01975995,,0.0015876
Shaanxi,0.05944961951999999,0.01588739832,0.34747277615999994,0.07200578915999999,0.11351802347999998,0.09814312188,0.06201210312,0.30211681643999994,0.22652355023999995,0.06431833835999999,0.05278716216,0.17219889791999998,0.1114680366,0.00948118932,,0.023062352400000003,0.03561852204,0.00794369916,0.06867456048,0.0217811106,0.004868718839999999,0.02152486224,0.0294685614,0.3290228942399999,0.02280610404,0.01973112372,0.02485609092,0.11736174888,0.03741226056,0.00871244424,0.07815574980000001
Gansu,0.010884349079999998,0.005167317239999998,0.038260136159999986,0.01407269376,0.031993389719999994,0.02264824152,0.01748092428,0.00978491988,0.08344667627999999,0.01572183756,0.008905376520000001,0.03452207688,0.015172122959999998,0.00197897256,0.41426492256,0.006816461039999999,0.007915890239999999,0.00197897256,0.015831780479999998,0.007586061479999999,0.0010994292,0.005826974759999999,0.007805947319999998,,0.005497146,0.005167317239999998,0.043097624639999985,0.10565514611999996,0.13544967744,0.0045076597199999995,0.01913006808
Qinghai,0.00390469896,0.00093492792,0.016746208920000002,0.00464714172,0.005114605680000001,0.00527959296,0.0028322816400000003,0.003739711680000001,0.02606799024,0.004097184120000001,0.002942273160000001,0.0017598643200000003,0.003739711680000001,0.0004674639600000001,0.03030266376,0.00208983888,0.0028047837600000004,0.0005499576000000001,0.004564648080000001,0.00189735372,0.0004399660800000001,0.0009624258,0.00203484312,0.10471192704,0.00167737068,0.00145738764,0.0118240884,0.00734193396,,0.015013842480000003,0.00464714172
Ningxia,0.008432971559999999,0.0017464733999999998,0.0172152378,0.00918146016,0.0119758176,0.009680452559999999,0.006536800440000001,0.008732367000000001,0.010329142679999999,0.006087707279999999,0.00414163692,0.11466845352,0.0057384126,0.00154687644,0.12384991367999999,0.00304385364,0.0042414354,0.0014470779599999998,0.005788311839999999,0.00264465972,0.0009480855599999999,0.0014470779599999998,0.00409173768,0.10458880704,0.0018961711199999998,0.0019959696,0.0057384126,,0.0084828708,0.0004989924,0.0114768252
Xinjiang,0.00914830848,0.00474356736,0.05306865983999999,0.013934229119999995,0.016178952959999996,0.016602485759999997,0.008809482239999998,0.006310638719999999,0.03705912,0.010545966720000001,0.0082588896,0.007369470719999998,0.00961419456,0.0019906041599999998,0.04658860799999999,0.006945937919999997,0.00864006912,0.002117664,0.0203295744,0.00453180096,0.0017788377599999997,0.0019058976000000001,0.006437698559999999,0.08102182463999999,0.0035153222399999995,0.0027529632000000003,,0.00605651904,0.014315408639999997,0.0008047123199999999,0.0114353856
Taiwan,6.473520000000001e-05,,0.00012947040000000002,0.00012947040000000002,9.686304e-05,0.00029154816000000005,0.0007451740799999997,3.2127840000000004e-05,0.00016159823999999998,0.00035628335999999985,0.00012947040000000002,3.2127840000000004e-05,3.2127840000000004e-05,3.2127840000000004e-05,6.473520000000001e-05,,,0.00022633344,3.2127840000000004e-05,0.0014577407999999993,6.473520000000001e-05,6.473520000000001e-05,3.2127840000000004e-05,,,3.2127840000000004e-05,6.473520000000001e-05,,,,0.00025894080000000004
Hong Kong,,2.970432e-05,2.970432e-05,,,0.03544467984,0.0005161125599999999,2.970432e-05,2.970432e-05,0.00012624336,6.312168e-05,,,,,6.312168e-05,,2.970432e-05,,0.00025619976000000003,,,,9.653904000000001e-05,2.970432e-05,,,,,,
Macau,0.00144156672,0.00060816096,0.00121632192,0.0012838953599999998,0.00644200128,0.17307810432,0.00837910656,0.0004504896,0.0012838953599999998,0.00400935744,0.00060816096,0.0002252448,0.004459847039999999,0.0001126224,0.0007658323200000001,0.00105865056,0.0043922736,0.00060816096,0.0008559302400000001,0.00344624544,0.00040544064,0.0015992380800000001,0.0005631119999999999,0.0001126224,0.00092350368,0.0033561475200000004,2.252448e-05,2.252448e-05,2.252448e-05,2.252448e-05,0.00297323136
