,Hebei,Henan,Shandong,Shanxi,Liaoning,Tianjin,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Zhejiang,Gansu,Jiangxi,Shanghai,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.04841601336,0.07753333607999999,0.04418384436,0.025731587519999998,0.02183799204,0.01828297008,0.040459535639999995,0.02149941852,0.012696507,0.04350669732,0.08058049776000001,0.1328901066,0.03741237396,0.01659010248,0.35753363711999997,0.13001223167999998,0.04198311648,0.013712227560000002,0.07719476255999999,0.03267234468000001,0.0541717632,,0.054341049960000005,0.02065298472,0.14524804008,0.04384527084,0.01049577912,0.005925036599999999,0.00220072788,0.00016928676000000002,0.07330116708
Chongqing,0.07610576292000001,0.16149271644000002,0.07796200103999999,0.045168460920000014,0.0216561114,0.013612412880000004,0.07672450896,0.016087397040000003,0.013612412880000004,0.10085560451999999,0.4411659265200001,3.0510367232400006,0.14849904960000002,0.0123749208,0.19861747884,0.23326725708,0.08971817580000001,0.057543381720000016,0.09590563620000002,0.049499683200000005,0.08909942976000003,0.07734325500000001,,0.20356744716000005,0.10704306492,0.6076086112800001,0.023512349520000003,0.011137428720000002,0.00989993664,0.00742495248,0.05506839756000001
Sichuan,0.14132139659999998,0.2796831828,0.129482955,0.0947075328,0.0473537664,0.0288562014,0.1087656822,0.033295617,0.029596104,0.1568593512,0.310759092,,0.4247040924,0.0244167858,0.30853938420000004,0.2123520462,0.13466227320000002,0.1982938968,0.13614207839999998,0.0806493834,0.1139450004,0.0947075328,2.4143021838,0.8834437043999999,0.15094013039999998,0.5652855863999999,0.0569725002,0.0199773702,0.036255227399999986,0.0399547404,0.12060412379999998
Guizhou,0.04502957184,0.1073134656,0.042925386239999995,0.01851683328,0.01304595072,0.00547088256,0.05176296576,0.00925841664,0.00505004544,0.06438807936,0.15528889728,0.7798111833600001,0.05470882560000001,0.006312556800000001,0.14687215488000002,0.5841219225600001,0.10563011712,0.0147292992,0.12078025344,0.025250227200000003,0.11068016255999999,0.053446314239999994,0.67586441472,0.6703935321600001,0.2987943552,,0.00252502272,0.0021041856,0.00168334848,,0.02777524992
Yunnan,0.06334671744,0.13377826512,0.05751215136000001,0.028756075680000007,0.019587471840000002,0.010418868,0.055428377760000015,0.01208588688,0.009585358560000002,0.06918128352000001,0.14878143504,1.2110892163200002,0.07293207600000001,0.016253434080000004,0.14961494447999998,0.25588739808,0.10502218944,0.021671245440000004,0.11335728384000003,0.02958958512,0.09877086864000002,0.016670188800000003,0.35340800256000005,,0.22754807712000005,0.8047533643200001,0.00916860384,0.00500105664,0.00375079248,0.006251320800000001,0.04876030224
Tibet,0.0032727240000000003,0.01662543792,0.0037309053600000004,0.0024872702399999997,0.00107999892,0.00075272652,0.0037636326,0.00042545412,0.0004909086000000001,0.00405817776,0.006349084560000001,0.14089076820000002,0.02215634148,0.0006545448,0.0022581795600000003,0.00471272256,0.0021272706000000003,0.018229072680000003,0.0018654526800000002,0.00150545304,0.0008181810000000001,0.0005236358400000001,0.01819634544,0.0160363476,0.0005563630799999999,0.0025854519600000004,0.0012436351199999998,0.0008181810000000001,0.04588359048000001,,0.0026181792
Shaanxi,0.21408585444000003,0.6964177078799999,0.21561868871999995,0.5451780589199999,0.04802880743999999,0.02708007228,0.16963366032000002,0.028101961800000002,0.27948678372,0.18956050596000001,0.28204150752,0.49663830672,,0.024014403719999997,0.13131280331999998,0.10014517296,0.09912328344,0.6586077956399999,0.07664171399999999,0.054160144559999984,0.08277305112000001,0.04496313888,0.12620335572,0.053649199800000005,0.037809912239999986,0.04036463604,0.0485397522,0.16758988127999996,0.03985369128,0.007153226640000001,0.11138595767999998
Gansu,0.04970657016,0.10648816308,0.046803996720000005,0.029751377759999992,0.0099775962,0.008707720319999999,0.03029561028,0.004535271,0.063493794,0.054604662839999984,0.04099884984,0.15837166332,0.48781374876,0.0034468059600000003,0.03864050892,0.02104365744,0.02866291272,,0.017234029799999998,0.020136603240000002,0.025034695919999995,0.02140647912,0.03229112952,0.012335937120000001,0.011428882920000001,0.00979618536,0.08000218043999999,0.18848586276,0.16726079448,0.00489809268,0.03737063304
Qinghai,0.02003111208,0.060165390599999986,0.02075165568,0.012249241200000002,0.0028101200399999996,0.0022336851600000002,0.0169327746,0.00208957644,0.00554818572,0.01995905772,0.014266763279999997,0.07522475183999999,0.06578563068,0.0013690328400000002,0.014771143799999997,0.00907884936,0.0115286976,0.26357484887999993,0.005043805199999999,0.004179152879999999,0.00641283804,0.0057643488,0.0140506002,0.006845164199999999,0.00381888108,0.0025219026,0.008142142679999999,0.011744860679999998,,0.022553014680000004,0.00979939296
Ningxia,0.044030142,0.06572615399999998,0.037329903,0.025843779,0.005530355999999999,0.004041413999999999,0.019356246,0.004254119999999999,0.15952949999999996,0.027120014999999997,0.017229186,0.027332720999999997,0.19909281599999995,0.00319059,0.013613184,0.009146358,0.014251302,0.286408629,0.0074447099999999985,0.008720945999999999,0.008508239999999999,0.0071256509999999985,0.0106353,0.008295534,0.004785885,0.003296943,0.009997181999999995,,0.008508239999999999,0.000425412,0.021164247
Xinjiang,0.044596238040000014,0.19414334015999998,0.06382147140000001,0.03088644048,0.00929744892,0.006460939079999999,0.0378201312,0.008667113399999999,0.02584375632,0.052002680400000015,0.03640187628,0.16246898028000006,0.11913341328,0.00520026804,0.026158924080000003,0.02552858856000001,0.02868026616,0.47795190804,0.010715703840000002,0.01434013308,0.01985556888,0.015758388,0.04554174132000001,0.01449771696,0.005988187440000001,0.008824697280000002,,0.01859489784,0.034510869720000004,0.00015758388000000002,0.028837850039999998
Taiwan,0.00028817856000000003,0.0001907064,0.00051702624,0.0001271376,0.00041955408,0.0006144983999999999,0.0008730115199999999,0.0001907064,9.323424000000001e-05,0.004081116960000001,0.000741636,0.0012289967999999998,0.0006780672,0.00106795584,0.00897167664,0.00054669168,0.00203843952,0.00028817856000000003,0.0009069148800000002,0.005085503999999999,0.006543348479999999,0.0004534574400000001,0.0006780672,0.00025851312,0.00064416384,0.00041955408,,6.35688e-05,,,0.0013900377599999998
Hong Kong,0.0015510398400000005,0.00210498264,0.0027697140000000004,0.0011078856,0.0016064341199999999,0.00099709704,0.00171722268,0.00049854852,0.00033236568,0.006093370800000001,0.0036006282000000008,0.004099176720000001,0.00132946272,0.00049854852,0.4376148120000001,0.005428639440000001,0.00675810216,0.00022157712000000005,0.0023819540399999998,0.01279607868,0.0240965118,0.0027697140000000004,0.0029912911200000005,0.0014402512800000002,0.0032682625199999997,0.0014956455600000002,0.00022157712000000005,5.539428000000001e-05,,,0.009140056200000002
Macau,0.002577096,0.00195859296,0.00216476064,0.00252555408,0.00149471568,0.0015462576,0.0024224702399999994,0.0008246707199999999,0.0002577096,0.00819516528,0.00365947632,0.0035048505600000003,0.00190705104,0.0006700449599999999,0.4133146564799999,0.00499956624,0.00938062944,0.0002577096,0.005927320799999999,0.01072071936,0.008710584479999998,0.00226784448,0.001288548,0.00056696112,0.004587230879999999,0.00139163184,0.00020616768,5.154192e-05,0.00010308384,,0.0056696112
