,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Heilongjiang,Shanghai,Anhui,Shaanxi,Hubei,Zhejiang,Hainan,Sichuan,Jilin,Hunan,Yunnan,Fujian,Gansu,Jiangxi,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.02503806552,0.007843249439999998,0.028808858519999994,0.03861292032,0.012971527919999998,0.13921767756,0.047511991799999986,0.005731605359999999,0.012066537599999998,0.0070890908399999985,0.03876375203999999,0.016440657480000002,0.031222166039999992,0.030468007439999993,0.056109399840000004,0.01372568652,0.34796877804,0.00497744676,0.05233860684,,0.02624471928,0.0067874274,0.017496479519999997,0.07375671108,0.10528054055999997,0.30965752115999995,0.003921624719999999,0.00256413924,0.00196081236,0.00407245644,0.036501276239999984
Tibet,0.0023901447600000003,0.00038498976,0.003561155280000001,0.008261238600000002,0.00105872184,0.00333657792,0.0036574027200000007,0.00041707224,0.0007699795199999999,0.00038498976,0.0013153816800000001,0.00134746416,0.00919163052,0.00206931996,0.0011549692800000002,0.00038498976,0.056946402,0.00019249488,0.0025505571600000004,0.00903121812,0.0006416496000000001,0.008902888199999999,0.0004491547200000001,0.0095445378,0.00025665984,0.00105872184,0.00137954664,0.00025665984,0.02682095328,,0.0024543097199999997
Shaanxi,0.07714472076000001,0.014006102040000001,0.07825631615999999,0.23432431031999995,0.2823452316,0.08181342143999999,0.08759371751999999,0.19030513248,0.014673059280000001,0.01378378296,0.0366826482,0.04090671072,,0.09404097083999999,0.04824324036,0.0266782896,0.19052745156,0.008003486879999999,0.034459457400000004,0.031346990279999994,0.02200958892,0.2916826329599999,0.017785526399999998,0.04424149692,0.01622929284,0.02023103628,0.022898865240000003,0.10048822416,0.02623365144,0.00711421056,0.06536180952000001
Gansu,0.01756333368,0.005482196640000001,0.017867900160000002,0.037867765680000005,0.011776570559999998,0.024466840559999998,0.029847515039999998,0.04101495264,0.0030456648000000003,0.0020304432000000003,0.01411158024,0.010050693840000001,0.31685066136,0.016751156399999998,0.016649634240000002,0.010050693840000001,0.06741071424,0.0015228324,0.00842633928,0.007918728480000001,0.0096446052,,0.004162408560000001,0.01340092512,0.004263930720000001,0.0062943739200000005,0.04426366176,0.11908549367999999,0.1253798676,0.00385784208,0.02263944168
Qinghai,0.0048888684,0.0009710765999999998,0.006362226,0.016742700000000003,0.0037503648,0.008069981399999999,0.008103466799999999,0.0035494524,0.0009375912,0.0004018248,0.0028462590000000003,0.003515967,0.029031841800000003,0.006395711399999999,0.0054246348000000005,0.0022435218,0.0268552908,0.0009710765999999998,0.003515967,0.0030471714,0.0019421532,0.14552754839999998,0.000837135,0.0042191604,0.0011719889999999998,0.001339416,0.013360674599999999,0.007366788000000001,,0.0148340322,0.0060943428
Ningxia,0.012817997279999998,0.00187580448,0.010837981440000002,0.01766382552,0.01000429056,0.01026481896,0.0122448348,0.12458468087999999,0.00166738176,0.0010942192800000002,0.004897933919999999,0.004376877120000001,0.10884876552000002,0.00458529984,0.00828480312,0.00458529984,0.00823269744,0.0014589590400000002,0.0035952919200000003,0.00302212944,0.00255317832,0.12838839552,0.00140685336,0.005210568,0.0024489669599999995,0.00140685336,0.00630478728,,0.006825844079999999,0.00041684544,0.01026481896
Xinjiang,0.014921897759999999,0.0038758176,0.02126854908,0.05334093972,0.007848530640000002,0.0167144634,0.0191368494,0.00973799172,0.00474787656,0.004311847079999999,0.00673423308,0.00949575312,0.050627867400000005,0.01012557348,0.013177779840000002,0.008962828200000002,0.034979253839999995,0.0016472224800000003,0.009350409959999998,0.00620130816,0.00528080148,0.10159486883999999,0.00237393828,0.016326881640000002,0.00300375864,0.0026646246,,0.008090769240000002,0.02141389224,0.00077516352,0.014970345479999998
Taiwan,,3.213756000000001e-05,0.00022673196000000005,6.456996000000001e-05,3.213756000000001e-05,0.00025916436,6.456996000000001e-05,3.213756000000001e-05,,3.213756000000001e-05,0.0004858963200000001,3.213756000000001e-05,,6.456996000000001e-05,6.456996000000001e-05,,3.213756000000001e-05,,3.213756000000001e-05,6.456996000000001e-05,0.00110152224,3.213756000000001e-05,3.213756000000001e-05,,3.213756000000001e-05,,,,,,
Hong Kong,6.340356e-05,,3.0741120000000004e-05,3.0741120000000004e-05,,0.017818321680000002,3.0741120000000004e-05,,,,0.00045343152,,3.0741120000000004e-05,3.0741120000000004e-05,9.6066e-05,3.0741120000000004e-05,,3.0741120000000004e-05,,,9.6066e-05,,3.0741120000000004e-05,,0.00022671576,3.0741120000000004e-05,,,,,3.0741120000000004e-05
Macau,0.0021679488,0.00096920064,0.0020404224,0.00109672704,0.0007906636799999999,0.20988294912,0.00443791872,0.0002550528,0.00135177984,0.00033156864,0.006835415039999999,0.00043358976,0.0004846003199999999,0.0020404224,0.00443791872,0.0015303168,0.001275264,0.00068864256,0.00265254912,0.0006631372799999999,0.00244850688,,0.0011477376,0.0007651584,0.00265254912,0.0008671795199999999,2.550528e-05,,,,0.0025250227199999998
