,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Liaoning,Jiangsu,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Xinjiang,Guangxi,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.017344212480000003,0.0071382643200000005,0.0138635712,0.02554436736,0.012211741440000002,0.10023067008,0.01256570496,0.02707820928,0.032151686400000004,0.0053094528,0.024423482880000003,0.034983394560000006,0.01988095104,0.01409954688,0.02058887808,0.01291966848,0.034688424960000006,0.008082167040000001,0.01840610304,0.02312561664,0.011975765759999998,0.015751376640000002,,0.004306556160000001,0.00247774464,0.02436448896,0.0185830848,0.0020647872,0.00212378112,0.00011798784,0.042298640639999996
Chongqing,0.0353126952,0.012245531399999999,0.038445272999999995,0.0561016206,0.022782384,0.15691366980000002,0.0165172284,0.08030790360000001,0.0680623722,0.0111064122,0.078314445,1.2254074794,0.0805926834,0.030471438600000005,0.200769759,0.006549935400000001,0.0956860128,0.0037021374,0.048412566,,0.0264845214,0.08571871980000001,0.024775842599999997,0.025060622400000003,0.0139542102,0.0367365942,0.27879942420000003,0.006549935400000001,0.0059803758,0.0093977334,0.0623667762
Sichuan,0.05889353184000001,0.02553425856,0.05642247456000001,0.09348833376,0.04200797376,0.2697570864,0.029240844480000003,0.12808313568000002,0.11243310624,0.018532929600000005,0.13096603584000002,,0.25575442848,0.044067188160000006,0.08731069056,0.013590815039999999,0.07413171840000002,0.00988422912,0.07124881824,1.2507668265600005,0.0288290016,0.47856142656000006,0.041184288000000006,0.12849497856000006,0.04365534528,0.0638356464,0.29940977376,0.013590815039999999,0.043243502400000015,0.06877776096,0.12849497856000006
Guizhou,0.01512741096,0.00701561088,0.01841597856,0.030035584080000004,0.012277319040000002,0.24466942944000003,0.006138659520000001,0.0570018384,0.0427513788,0.00482323248,0.15522039072000002,0.29969812727999995,0.02740473,0.01929292992,0.03354338952,0.00372704328,0.20937213719999997,0.00241161624,0.06511363848,0.29575184616,0.033324151680000004,0.35801539271999994,0.02126607048,0.008111800079999999,0.00350780544,0.17275941792,,0.0015346648800000002,0.00175390272,0.00131542704,0.037051194960000006
Yunnan,0.02095749936,0.01109514672,0.02148583968,0.033461553599999985,0.010566806399999998,0.16079157072,0.011447373600000001,0.04878342287999999,0.05582796048,0.006340083839999999,0.0730870776,0.4556054692799999,0.03680770895999999,0.017611343999999998,0.03099596544,0.00669231072,0.059350229279999986,0.00334615536,0.035046574559999995,0.07907493455999999,0.02130972624,,0.016202436480000002,0.010038466079999996,0.005107289759999999,0.11852434512,0.34764793055999993,0.0031700419199999995,0.00193724784,0.011799600479999998,0.04402836
Tibet,0.00225743112,0.0012139016400000001,0.00323707104,0.0076028576399999985,0.0012777912,0.00641025252,0.0008944538399999998,0.00579265344,0.0038546701200000005,0.00044722692,0.0027046580400000002,0.07130074896000001,0.01094641128,0.00176761116,0.00225743112,0.0008731573199999999,0.00336485016,0.00034074432,0.0012777912,0.014439040559999998,0.00072408168,0.01318254588,0.0003194478,0.00643154904,0.0030666988800000005,0.00125649468,0.00151205292,0.0003194478,0.03754576476,,0.006005618639999999
Shaanxi,0.09885065040000003,0.0246384504,0.08282081520000001,0.2837874528000001,0.43339924799999996,0.1095372072,0.0290911824,0.12586389120000002,0.07539959519999999,0.2597427,0.0789617808,0.22946412240000005,,0.048386354400000005,0.1033033824,0.0115771032,0.047495808000000014,0.008905464,0.032059670400000004,0.056401272,0.023747904000000004,0.035621856,0.019295172000000003,0.3556248624,0.0421525296,0.0210762648,0.027903787200000002,0.1318008672,0.0335439144,0.005936976000000001,0.12764498400000002
Gansu,0.022681321919999997,0.01382628528,0.02050640064,0.0473822136,0.01646726112,0.043498425599999994,0.007922927520000001,0.04489658928,0.03122565552,0.07565619024,0.0341773344,0.12334910687999999,0.40375860048,0.01336023072,0.017399370240000003,0.00248562432,0.016001206559999998,0.00248562432,0.0178654248,0.024545540160000004,0.00901038816,0.012272770080000002,0.005281951680000001,,0.07472408112000001,0.007456872959999999,0.010097848800000002,0.17010991439999998,0.22557040704,0.004815897120000001,0.0520427592
Qinghai,0.006276560400000001,0.00259362,0.0069509016,0.017636616,0.0039423024,0.0115156728,0.0019711512,0.013642441200000001,0.0076771152,0.0042016644,0.0106857144,0.0428466024,0.0327833568,0.005135367599999999,0.006017198399999999,0.0008818308000000001,0.006276560400000001,0.0005705964,0.0045647712,0.007417753199999998,0.0021267683999999995,0.0035791956,0.0026454924,0.2341001412,0.0229276008,0.002074896,0.0035273232000000002,0.014420527199999996,,0.025884327599999996,0.0130718448
Ningxia,0.012454265160000002,0.00408105864,0.009147200400000005,0.018505490040000003,0.010835914320000004,0.01421334216,0.0038699694000000006,0.01625387148,0.015972419160000004,0.16542360108000004,0.012594991320000002,0.01808331156,0.13516747668000004,0.005699409480000002,0.00816211728,0.00204052932,0.007810301880000001,0.00112580928,0.00429214788,0.007458486480000002,0.003236701680000001,0.004573600200000002,0.0019701662400000005,0.17245990908000006,0.009639741960000002,0.0029552493600000004,0.0030256124400000004,,0.010132283520000002,0.00035181540000000014,0.020897834760000004
Xinjiang,0.020361974400000003,0.008983224,0.02012242176,0.05054560704,0.00790523712,0.02820732336,0.00874367136,0.023595935040000002,0.023416270559999997,0.01185785568,0.01922409936,0.04797041616,0.053659791360000014,0.01030076352,0.01161830304,0.00347351328,0.010121099040000001,0.0031740724800000003,0.00766568448,0.015930250559999998,0.00245541456,0.0056893752,0.00533004624,0.1051037208,,0.00437183568,0.0031740724800000003,0.01095953328,0.033237928800000004,0.00257519088,0.038088869760000005
Taiwan,3.18816e-05,6.44274e-05,0.000129519,0.00016140060000000006,,0.0002264922,9.69732e-05,0.00016140060000000006,0.002397097800000001,3.18816e-05,0.000388557,9.69732e-05,3.18816e-05,3.18816e-05,3.18816e-05,6.44274e-05,9.69732e-05,3.18816e-05,0.001716957,6.44274e-05,,6.44274e-05,,,3.18816e-05,3.18816e-05,,,,3.18816e-05,0.000259038
Hong Kong,,,3.1026240000000014e-05,,,0.020444076000000002,6.426863999999999e-05,,0.00045209664,,3.1026240000000014e-05,6.426863999999999e-05,3.1026240000000014e-05,,3.1026240000000014e-05,3.1026240000000014e-05,6.426863999999999e-05,,0.00032355936000000004,,,,3.1026240000000014e-05,9.529488e-05,6.426863999999999e-05,9.529488e-05,,,,,9.529488e-05
Macau,0.00092623176,0.00031686876000000004,0.00034124328000000015,0.0004631158800000001,0.0005362394400000001,0.22015066464000002,0.00075561012,0.00143809668,0.002608073640000001,0.00021937068,0.0021937068000000004,0.0008531082000000001,0.000609363,0.00034124328000000015,0.0018037144800000003,7.312356e-05,0.0015355947600000002,7.312356e-05,0.0015843438000000005,0.0003656178000000001,0.0008531082000000001,0.0004631158800000001,0.00024374520000000006,0.00024374520000000006,,0.001828089,0.0005362394400000001,4.874904000000001e-05,4.874904000000001e-05,,0.0017062164000000001
