,Hebei,Shandong,Henan,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Hubei,Heilongjiang,Jilin,Zhejiang,Hunan,Shanghai,Sichuan,Guangdong,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Guizhou,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Guizhou,0.026635878,0.0346266414,0.08576752716,0.00852348096,0.013850656559999995,0.00852348096,0.006392610719999999,0.07244958816000001,0.04368283991999999,0.05060816819999999,0.17526407723999998,0.00479445804,0.0031963053599999994,0.15342265728,0.8454227677199998,0.042084687239999995,1.1085852423599998,0.26262975708,0.1305158022,0.0159815268,0.08203850423999999,1.0574443566,0.65044814076,0.02610316044,0.3681078339599999,,0.0031963053599999994,0.0031963053599999994,0.0015981526799999995,0.0031963053599999994,0.031430336039999986
Yunnan,0.030716223840000008,0.03538197936,0.05871075696000001,0.012830827679999999,0.01866302208,0.01088676288,0.00738744624,0.061821260640000014,0.033826727519999995,0.04976805888,0.08009546976,0.00622100736,0.00349931664,0.08981579376,0.18585259487999997,0.04976805888,1.1197813248,0.17224414127999998,0.06570939024,0.0136084536,0.051323310719999994,0.43119357263999997,,0.01710777024,0.22317863904,0.981752724,0.005832194399999999,0.0038881296,0.00311050368,0.0136084536,0.04393586448
Tibet,0.0047582964000000005,0.0049246704,0.00998244,0.0014308164,0.0030612816,0.00166374,0.0011978928,0.0054903420000000005,0.0036269532,0.0192661092,0.0041926248,0.000665496,0.0006987708,0.0035271288,0.0041260752,0.0027285336,0.1268768124,0.0069877080000000005,0.0018966636,0.013476294,0.0020630376,0.023891306400000003,0.0147407364,0.0002329236,0.0017302896,0.0027618084000000003,0.0005989464,0.053705527200000006,0.0047915712,,0.0072206316
Shaanxi,0.29015963208,0.257655411,1.2977904855600002,0.03329700696000001,1.08135994032,0.037260936360000003,0.43682501988000005,0.25924098276,0.22118726051999998,,0.43761780576000003,0.01268457408,0.011891788200000001,0.099098235,0.12763852668,0.07610744448,0.7832724494400001,0.11178280908,0.06817958568,1.2771780526799998,0.0436032234,0.23307904872,0.04518879516,0.02299079052,0.02695471992,0.04677436692,0.30205142028000004,0.08403530328,0.0356753646,0.00634228704,0.14745817368000005
Gansu,0.054902043000000005,0.055198810800000005,0.1329519744,0.0151351578,0.055198810800000005,0.0100901052,0.1240489404,0.06558568379999999,0.0278961732,0.9404571582,0.0418442598,0.003561213599999999,0.003561213599999999,0.033534761399999995,0.0270058698,0.0406571886,0.2979548712,0.039470117400000004,0.0130577832,,0.014541622199999996,0.05935356,0.008903033999999999,0.005341820400000001,0.008903033999999999,0.014244854399999996,0.34425064799999994,0.3777854094,0.0819079128,0.005638588199999999,0.0605406312
Qinghai,0.017453543040000002,0.01987764624,0.04920929496,0.00387856512,0.016605106919999998,0.00399977028,0.01066605408,0.022665364920000004,0.01054484892,0.11647815875999998,0.01260533664,0.00096964128,0.00096964128,0.010423643759999998,0.01006002828,0.012847746960000002,0.13175000892000002,0.013332567600000005,0.0047270012400000005,0.6079650825599999,0.00387856512,0.01672631208,0.00509061672,0.00109084644,0.0018180774,0.0037573599600000005,0.03054370032,,0.022665364920000004,0.03066490548,0.016847517240000002
Ningxia,0.04015540332,0.028449584639999997,0.041637152520000005,0.00622334664,0.045934225200000005,0.00429707268,0.29901698856000003,0.02207806308,0.0103722444,0.35058186071999997,0.01511384184,0.0035561980799999997,0.00192627396,0.013335742800000005,0.01052041932,0.013039392960000002,0.025930611000000003,0.013187567879999999,0.00311167332,0.44141308668000007,0.00429707268,0.0125948682,0.00533429712,0.00429707268,0.00133357428,0.003704373,,0.022374412920000003,0.0081496206,0.0007408746000000001,0.026967835440000004
Xinjiang,0.02621995272,0.0284840712,0.06032780208,0.01190488104,0.012781314000000002,0.007449680160000001,0.014315071680000001,0.0281188908,0.0116857728,0.06777748223999999,0.012562205759999999,0.0040900204800000005,0.004747345200000001,0.01519150464,0.016067937600000002,0.02096135496,0.05981654952000001,0.02030403024,0.0040900204800000005,0.17725856616000002,0.006573247200000001,0.021837787920000004,0.00423609264,0.0040169844000000005,0.0031405514399999996,0.0027753710400000003,0.01073630376,0.03235498344,,0.00211804632,0.03732143688000001
Taiwan,9.716112e-05,6.477408e-05,,,3.238704e-05,,,6.477408e-05,,3.238704e-05,,3.238704e-05,,0.00012954816,,0.0014255060399999998,,0.00019432224,3.238704e-05,,0.002202795,,,,3.238704e-05,3.238704e-05,,,,,9.716112e-05
Hong Kong,3.1230359999999996e-05,,,,,,3.1230359999999996e-05,3.1230359999999996e-05,3.1230359999999996e-05,3.1230359999999996e-05,3.1230359999999996e-05,3.1230359999999996e-05,,9.552816e-05,3.1230359999999996e-05,0.00032332608000000003,,0.016847860679999997,3.1230359999999996e-05,6.429779999999999e-05,6.429779999999999e-05,6.429779999999999e-05,,,3.1230359999999996e-05,3.1230359999999996e-05,,,,,0.00025902828
Macau,0.00031824576000000004,0.00047736864000000003,0.00023868432000000002,0.00015912288000000002,,0.00043758792,,0.000994518,0.0001989036,0.00015912288000000002,0.0010342987199999998,3.978072000000001e-05,,0.0013923252,0.0006762722400000001,0.001989036,0.0003978072,0.3826905264000001,0.0003978072,,0.0013525444800000005,0.00015912288000000002,0.00015912288000000002,0.00031824576000000004,0.00186969384,0.00027846504000000004,,,,,0.0013923252
