,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Inner Mongolia,Sichuan,Anhui,Heilongjiang,Guangdong,Hubei,Liaoning,Shaanxi,Shanghai,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.029359260000000005,0.081367092,0.04473792,0.010625256,0.030477708000000006,0.06431076000000001,0.010904868000000002,,0.024605856,0.010066031999999999,0.16497108000000002,0.060675804000000014,0.007829136000000002,0.15909922800000004,0.047254428,0.063751536,0.044458307999999995,0.007549524000000002,0.04333986,0.025165080000000003,0.07968942000000001,0.93530214,0.4182995520000001,0.033273828,0.22536727200000006,0.039425292,0.026003916000000002,0.011464092,0.027401976,0.031036932000000007,0.033833052
Guizhou,0.0073196298,0.029726659800000006,0.0147886398,0.0032863644000000005,0.006722109,0.0295772796,0.0028382238,0.2279541852,0.0132948378,0.0032863644000000005,0.162077517,0.029726659800000006,0.0020913228000000003,0.015684921,0.016282441800000002,0.06856551179999999,0.16431822,0.0025394633999999998,0.0153861606,0.023452691400000003,0.003734505,0.22825294559999998,0.23333187240000006,0.030622941,,0.1417618098,0.0011950416000000002,0.0011950416000000002,0.0011950416000000002,0.00029876040000000005,0.0109047546
Yunnan,0.016462903320000003,0.03746282724000001,0.02449991124,0.006999974640000003,0.011796253560000004,0.03085174008,0.00531479556,0.3778690014,0.01270365768,0.005703683040000001,0.10007371152,0.026185090320000003,0.00401850396,0.02449991124,0.02838878604,0.041481331200000006,0.04783316004000001,0.003759245640000001,0.011407366080000002,0.020611036440000004,0.007518491280000002,0.07337010456000002,,0.021648069720000003,0.22477696344000006,0.09735149916000002,0.00401850396,0.0024629540400000005,0.0025925832000000004,0.00414813312,0.0181480824
Tibet,0.0016504300800000006,0.008379106560000002,0.002491514640000001,0.0003808684800000001,0.0011267359200000002,0.0019043424000000004,0.0003808684800000001,0.06358916664000001,0.0019043424000000004,0.0004760856000000001,0.0019043424000000004,0.0027454269600000005,0.0002539123200000001,0.008680627440000001,0.0008410845600000003,0.0012219530400000005,0.0021265156800000006,0.0004443465600000002,0.0005395636800000002,0.0004760856000000001,0.006919110720000002,0.010426274640000005,0.009489972960000002,0.0010632578400000003,0.0013806482400000005,0.0005713027200000001,0.0011902140000000002,0.0002221732800000001,0.02432797416,,0.0013489092000000006
Shaanxi,0.05990736024000001,0.27341178695999996,0.08715845268,0.015314663520000002,0.2972846448,0.08062719911999999,0.18895592196,0.1824246684,0.05878128204,0.013287722759999999,0.06981684839999999,0.09909488160000003,0.012612075840000002,,0.030629327040000005,0.04571877492,0.03806144316,0.00923384124,0.01869289812,0.022071132719999997,0.30111331068,0.046169206199999986,0.031079758319999998,0.0213954858,0.02162070144,0.015765094799999997,0.03580928676,0.10112182236,0.030854542680000006,0.00585560664,0.035133639839999994
Gansu,0.02117187072,0.06540595776000001,0.028229160960000003,0.0066792211199999995,0.023818354559999998,0.043351925759999986,0.05456797631999999,0.08884624319999998,0.016761064319999998,0.006175128959999999,0.02545665408,0.024196423679999992,0.0066792211199999995,0.3207286368,0.017265156480000002,0.0207938016,0.017769248639999995,0.005166944639999998,0.00957775104,0.0066792211199999995,,0.0226841472,0.012350257919999998,0.010837981439999998,0.015878903039999996,0.00919968192,0.059104805760000004,0.14177591999999994,0.15299197055999994,0.0074353593599999985,0.0170131104
Qinghai,0.005163238079999999,0.02534680512,0.010543115520000002,0.0012637296,0.004080041279999999,0.00660750048,0.00328569696,0.02946295296,0.00447721344,0.000902664,0.00624643488,0.006102008639999999,0.0007221312,0.02884914144,0.00278020512,0.004802172479999999,0.00454942656,0.0008665574399999999,0.0034301232000000003,0.00184143456,0.1530918144,0.0049465987200000006,0.00259967232,0.0026357788800000005,0.0014803689599999998,0.00133594272,0.015417501119999996,0.0076184841599999985,,0.0164284848,0.00364676256
Ningxia,0.009741150720000001,0.022120529759999997,0.01177055712,0.0014205844800000002,0.01136467584,0.010349972640000002,0.11704601412,0.008777182679999999,0.0062404246799999995,0.0015727899599999999,0.007965420120000002,0.006747776280000001,0.0016742602800000003,0.09517916016,0.00466763472,0.0053271918000000005,0.0048198402,0.0014713196399999998,0.00410954796,0.0016742602800000003,0.13404229272,0.00527645664,0.00350072604,0.0032977854000000003,0.00213087672,0.00208014156,0.00750880368,,0.008168360759999998,0.00020294064,0.006291159839999999
Xinjiang,0.008872085520000001,0.05716318392000001,0.020439488159999998,0.006008311080000001,0.009770524559999999,0.01897952472,0.00960206724,0.05104256796,0.00999513432,0.004323737879999999,0.01510500636,0.01083742092,0.0035937561600000007,0.054748629000000014,0.007187512320000001,0.011904317279999998,0.01033204896,0.00241455492,0.006008311080000001,0.00466065252,0.1401003378,0.019204134480000003,0.006120615960000001,0.00409912812,0.00426758544,0.00123535368,,0.00999513432,0.038127506760000006,0.0008422866,0.0134765856
Taiwan,,3.218292e-05,9.704772000000003e-05,6.461532e-05,,3.218292e-05,3.218292e-05,9.704772000000003e-05,,,9.704772000000003e-05,3.218292e-05,,,0.00071276436,9.704772000000003e-05,3.218292e-05,,,,,,3.218292e-05,0.0010365894,,,,,,,3.218292e-05
Hong Kong,9.622799999999999e-05,3.2076e-05,6.415199999999999e-05,3.2076e-05,,,,3.2076e-05,,,0.015551513999999997,,,,0.000907038,0.00012830399999999998,,,6.415199999999999e-05,,6.415199999999999e-05,,,0.0005167799999999999,,3.2076e-05,,,,,6.415199999999999e-05
Macau,0.0003730082400000001,0.00025432380000000004,0.00071210664,0.00040691808,0.00022041396000000002,0.0018650412000000003,0.00025432380000000004,0.00035605332,0.00022041396000000002,0.00018650412,0.15206867748000005,0.0011190247199999999,0.00015259428,0.00032214348000000003,0.0031705700400000004,0.00125466408,0.00125466408,0.00018650412,8.477460000000001e-05,0.0004747377600000001,1.695492e-05,0.00032214348000000003,0.00032214348000000003,0.00106815996,0.0003730082400000001,0.0011190247199999999,,5.086476e-05,,,0.00106815996
