,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Guangdong,Heilongjiang,Sichuan,Hubei,Zhejiang,Jilin,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Beijing,Tibet
Hainan,0.01138284576,0.00273034476,0.006306711839999998,0.02072754684,0.00861404544,0.007575745319999999,0.0055760561999999994,0.006806634119999999,0.003884011559999999,0.01053682344,0.12751863695999996,0.01926623556,0.02011225788,0.0026918891999999995,0.01045991232,0.0074988341999999986,0.014882301719999998,0.0036148226399999994,0.009652345559999996,0.006652811879999999,0.008114123159999998,,0.0046146672,0.013690179359999995,0.01991998008,0.00530686728,0.011459756879999998,0.0008075667599999997,0.00142285572,0.011536667999999998,7.691111999999999e-05
Chongqing,0.0241867296,0.006871229999999999,0.0327070548,0.047548911599999986,0.016490952,0.0046724364000000004,0.004122738,0.0599171256,0.0203388408,0.06651350639999999,0.3223981116,0.0016490951999999994,1.0144683972,0.08135536319999999,0.184148964,0.0016490951999999994,0.1107642276,0.040402832399999984,0.0332567532,0.11433726719999998,0.0415022292,0.015116706,0.10059480720000001,,0.05634408599999999,0.0203388408,0.29546289,0.0016490951999999994,0.005222134799999999,0.013192761599999995,0.006321531599999999
Sichuan,0.046294007760000006,0.01543133592,0.09913464287999998,0.11082504888,0.054711100079999984,0.01496371968,0.011690406,0.14449341815999994,0.03086267184,0.32920183296,0.5644128016800001,0.0023380812,,0.02151034704,0.25438323456,0.0046761624,0.06032249496,0.19125504215999997,0.06827197103999999,0.13701155832,0.02852459064,0.032733136799999986,0.54430530336,1.21019082912,0.10006987536,0.06032249496,0.37783392192000004,0.01075517352,0.035071218,0.033668369280000006,0.0724805172
Guizhou,0.0112371948,0.0018728657999999999,0.0224743896,0.024347255400000004,0.0056185974000000005,0.0018728657999999999,0.0011237194799999998,0.10150932636,0.020601523800000004,0.018728658,0.7525174784399999,0.00037457315999999996,0.3108957228,0.009738902159999998,0.73940741784,0.0007491463199999999,0.33786499032,0.006367743720000001,0.031838718599999996,0.1929051774,0.11836511856,0.0131100606,0.4573538283600001,0.27119096784,0.27868243104,0.0011237194799999998,,0.00224743896,0.00037457315999999996,0.00412030476,0.0007491463199999999
Yunnan,0.013392345600000004,0.0025110648,0.0238551156,0.02343660480000001,0.007742449800000001,0.0043943634,0.0014647878000000007,0.0703098144,0.014647878000000001,0.0200885184,0.34087704659999996,0.0014647878000000007,0.463500711,0.0046036188000000006,0.1990018854,0.0016740432000000006,0.060265555200000015,0.009416493,0.0217625616,0.054197148600000015,0.022390327800000002,0.0064869174,,0.05817300120000001,0.1856095398,0.0035573418000000006,0.4591063476000001,0.0023018094000000003,0.0016740432000000006,0.008160960600000001,0.003766597200000001
Tibet,0.00019047312,2.898504e-05,0.00025672463999999994,0.0009689284799999996,0.00012836231999999994,,2.898504e-05,0.00012836231999999994,0.00025672463999999994,0.0006459523199999999,0.0004844642399999998,2.898504e-05,0.0189852012,2.898504e-05,2.898504e-05,,0.00032297615999999995,0.0017473838399999994,6.211079999999999e-05,6.211079999999999e-05,0.00028985039999999984,2.898504e-05,0.0023643511199999997,0.0011966680799999998,6.211079999999999e-05,0.00038508696,0.00025672463999999994,2.898504e-05,0.012310360559999995,2.898504e-05,
Shaanxi,0.06408675936000001,0.011502751680000005,0.07476788592000001,0.16617368052,0.35720152092,0.008421657479999999,0.22409825148,0.10824910955999999,0.0328650048,,0.09571932648,0.0034919067600000003,0.1632979926,0.027319035240000004,0.07825979268000001,0.00267028164,0.021567659399999998,0.29085529248,0.0297839106,0.02444334732,0.0143784396,0.005135157,0.016227096120000003,0.034097442480000004,0.01068112656,0.0297839106,0.018897377759999997,0.08195710572,0.02300550336000001,0.02855147292,0.0030810942
Gansu,0.022345690319999997,0.008524945439999999,0.020279036880000004,0.02957897736,0.01304574984,0.0033583118400000002,0.05476631616,0.0594162864,0.00826661376,0.36243934704,0.031903962480000006,0.00103332672,0.0619996032,0.0030999801600000002,0.03138729912,0.0009041608800000002,0.0058124628,,0.01834154928,0.01123742808,0.01007493552,0.0016791559200000001,0.005424965279999999,0.010204101359999999,0.00245415096,0.1698530796,0.0028416484800000003,0.14892821352,0.17088640632,0.0154999008,0.00426247272
Qinghai,0.00234302544,0.00041839739999999996,0.00396082872,0.006638572079999999,0.003486645,0.00033471792,0.00326349972,0.0041002945200000005,0.00214777332,0.01921838724,0.0044629056,0.00036261108,0.01355607576,0.00030682476000000003,0.0029287818000000004,0.00022314528000000005,0.00136676484,0.16395599447999998,0.0019246280399999997,0.00086468796,0.0014783374800000002,0.0006136495200000001,0.0006973289999999999,0.0013109785199999998,0.00025103843999999995,0.012189310920000002,0.00025103843999999995,0.00705696948,,0.0011157264,0.01765637028
Ningxia,0.00607121568,0.00145367136,0.0067125412800000004,0.006541521120000001,0.0066270312,0.0008978558399999998,0.10936739232,0.00572917536,0.0017529566399999998,0.08756232191999999,0.0049168296,8.551007999999999e-05,0.0035486683200000005,0.0008978558399999998,0.00581468544,0.0002992852800000001,0.0011116310400000001,0.1502839656,0.00209499696,0.00209499696,0.00205224192,0.00051306048,0.00145367136,0.00115438608,0.001068876,0.00611397072,0.00076959072,,0.00658427616,0.0031638729600000004,0.0002137752
Xinjiang,0.0040993290000000005,0.0014857829999999999,0.0067665780000000005,0.011617748999999998,0.002130219,0.001002456,0.010364679,0.005137587,0.001843803,0.013139334,0.014535612,0.000411723,0.012244284,0.0008055450000000001,0.0035802,0.000340119,0.002255526,0.058339359000000014,0.0035802,0.001861704,0.0008413469999999999,0.000608634,0.000966654,0.005012279999999999,0.00089505,,0.0008592480000000001,0.003562299,0.0064443600000000005,0.0033295860000000003,0.000608634
Taiwan,6.407424000000001e-05,,0.00012914964,3.2037120000000014e-05,,3.2037120000000014e-05,,0.00194325156,9.711252e-05,6.407424000000001e-05,0.0022676274,3.2037120000000014e-05,6.407424000000001e-05,3.2037120000000014e-05,0.00093908808,,0.00025829928,,0.0013275381599999999,0.0017169894,,3.2037120000000014e-05,6.407424000000001e-05,0.00012914964,0.00025829928,,3.2037120000000014e-05,,,0.00032337468000000007,
Hong Kong,0.00012675204,3.059532e-05,9.615671999999999e-05,3.059532e-05,,,,0.00038462687999999995,3.059532e-05,3.059532e-05,0.033335786519999994,,0.00038462687999999995,6.119064e-05,0.00012675204,3.059532e-05,0.00019231343999999998,,0.0007736245200000001,0.0006119064,9.615671999999999e-05,0.00045018828000000004,9.615671999999999e-05,3.059532e-05,0.00032343624,,6.119064e-05,,,0.0005507157599999999,
Macau,0.0006776978399999999,2.8635119999999994e-05,0.00035316648,5.727023999999999e-05,0.00035316648,,5.727023999999999e-05,0.000477252,0.0003818016,,0.08235460512000001,2.8635119999999994e-05,0.0006776978399999999,2.8635119999999994e-05,0.0008017833599999999,,0.0008017833599999999,9.54504e-05,0.0009067788,0.0003818016,0.0006108825599999999,9.54504e-05,0.00015272063999999998,0.00015272063999999998,0.0006108825599999999,,2.8635119999999994e-05,9.54504e-05,,0.0002863512,
