,Hebei,Shandong,Henan,Tianjin,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Hunan,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Yunnan,0.017326599839999998,0.02419996176,0.03393722448,0.006014191679999999,0.12887553599999998,0.040094611199999984,0.008162117279999999,0.0093076776,0.00458224128,0.053698139999999984,0.38175797664,0.02104967088,0.03050054352,0.02663427744,0.014749089119999998,0.015608259359999996,0.005584606559999999,0.027636642719999997,0.045822412800000004,0.004439046239999999,0.06916320431999999,,0.017326599839999998,0.10295723376,0.00544141152,0.28195103375999997,0.00114556032,0.00300709584,0.00100236528,0.004868631359999999,0.042099341759999985
Tibet,0.0010945303199999998,0.00181018476,0.00482715936,0.00018242172,0.00290471508,0.00193647672,0.0006454922399999999,0.0004209732,0.00025258392000000003,0.0013190493599999995,0.06285129876000001,0.00472893228,0.00032274612,0.0010664654400000001,0.0004209732,0.0009261410400000001,0.00022451904,0.0006454922399999999,0.0017680874399999995,0.00012629196000000001,0.00909302112,0.00693202536,0.0007717842,0.00134711424,0.004883289119999999,0.0008980761599999998,0.00018242172,0.0010243681199999998,0.02419192656,,0.00232938504
Shaanxi,0.06935563439999999,0.07080919559999999,0.20952046440000002,0.007267805999999998,0.08866723319999999,0.0847218528,0.2664170028,0.0188962956,0.17816507280000002,0.053989416,0.17401204080000002,,0.0274100112,0.0770387436,0.0274100112,0.0334319076,0.0076831092000000005,0.0220110696,0.0278253144,0.006644851199999999,0.045475700399999985,0.0286559208,0.0139126572,0.0143279604,0.25977215159999995,0.0182733408,0.0928202652,0.0191039472,0.0242952372,0.004360683599999999,0.1013339808
Gansu,0.015058113839999996,0.019164872159999995,0.034320765959999985,0.0035200785599999993,0.02503166976,0.03050734752,0.013395854519999998,0.00420453828,0.041556483,0.0205337916,0.083112966,0.27896622588000003,0.01183137516,0.013200294599999999,0.009191316239999995,0.009191316239999995,0.0015644793599999998,0.009582436079999998,0.00899575632,0.0015644793599999998,0.01799151264,0.0092890962,0.004693438079999999,0.005866797599999999,,0.0055734577199999975,0.10824241572000001,0.04194760284,0.11792263175999998,0.00303117876,0.02708504892
Qinghai,0.005233896,0.005010498,0.011074158000000002,0.0006382800000000001,0.00877635,0.0065742840000000006,0.002616948,0.001819098,0.002489292000000001,0.0054253800000000005,0.029456622000000005,0.024095070000000003,0.0037977659999999997,0.003989250000000001,0.0024573780000000005,0.0026488620000000005,0.0005744519999999999,0.0023616360000000003,0.0032871420000000003,0.00022339800000000009,0.006733854,0.003063744,0.000765936,0.0013403879999999999,0.13474090800000002,0.0020105820000000003,0.008521038,0.014265558,,0.015765516000000004,0.008999748
Ningxia,0.011136932999999998,0.01133492292,0.015146228880000001,0.0008909546399999998,0.0096520086,0.012077385119999996,0.009305526239999995,0.00212839164,0.11869495704000002,0.0074741194799999985,0.013116832199999998,0.09285727248,0.005048742960000001,0.00509824044,0.0058902001199999995,0.004850753039999999,0.0015344218799999993,0.00262336644,0.004702260599999999,0.0009899496000000002,0.0074741194799999985,0.0027223614,0.00217788912,0.0023758790399999994,0.11196329976,0.0017819092799999997,,0.005692210199999999,0.0069791446799999995,0.00034648236000000003,0.01821507264
Xinjiang,0.013240561319999998,0.014901398280000002,0.041936133239999986,0.00133789644,0.014163248519999998,0.01697744448,0.0075199006799999985,0.0035523457200000003,0.008073513000000001,0.011349052560000001,0.06624894096,0.03824538443999999,0.00475183908,0.0108415746,0.006412676039999999,0.005213182679999999,0.0014762995199999998,0.00687401964,0.00687401964,0.0018453744,0.01919189376,0.0050747796,0.00193764312,0.00193764312,0.09835845552000001,0.0021683149199999995,0.008027378639999999,,0.01956096864,0.0012917620800000002,0.02131407432
Taiwan,6.459264000000001e-05,0.00025894728,3.229632000000001e-05,,9.717732e-05,0.00022665096,,9.717732e-05,3.229632000000001e-05,0.00022665096,0.00012947364,3.229632000000001e-05,0.00051818292,,,3.229632000000001e-05,,0.0006802412400000001,3.229632000000001e-05,,,,3.229632000000001e-05,3.229632000000001e-05,,3.229632000000001e-05,,,,,3.229632000000001e-05
Hong Kong,3.098088000000001e-05,3.098088000000001e-05,,,0.02054032344,,,3.098088000000001e-05,,6.417468e-05,,,0.0004514356800000001,,0.00012834936,,3.098088000000001e-05,0.00022571784000000004,3.098088000000001e-05,,,3.098088000000001e-05,,3.098088000000001e-05,,,6.417468e-05,3.098088000000001e-05,,,0.00022571784000000004
Macau,0.0012555972,0.0009272102399999998,0.0008692596,0.00030907008,0.16685920943999996,0.00249187752,0.0005988232799999999,0.0010624284,0.00015453504,0.00206690616,0.0012555972,0.00021248568,0.0031679683199999998,0.0013908153599999998,0.0006760907999999997,0.00030907008,0.0005022388799999999,0.00131354784,0.0011203790399999995,0.00021248568,0.00054087264,0.00021248568,0.0008306258399999999,0.0018351036,,0.0002897532,0.00011590127999999998,,,,0.00210553992
