,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Guangdong,Shanghai,Shaanxi,Zhejiang,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Hainan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.015857110799999997,0.008549051039999998,0.012961464479999995,0.030128510519999995,0.0134440722,0.011031033599999998,0.029301183,0.006894396,0.14043884652,0.036264522960000004,0.02040741216,0.0289564632,0.04143531996,0.02350989036,0.01565027892,0.01178941716,0.0444688542,0.006825452039999999,0.017304933959999998,0.02475088164,0.013995623879999995,0.0168912702,0.004826077199999999,,0.04219370352,0.02288939472,0.00199937484,0.0035850859199999994,0.0013099352399999998,0.00020683188,0.039849608880000005
Chongqing,0.03462101028,0.015767984880000002,0.038048833080000004,0.05450238252,0.02022415452,0.01679633172,0.08089661807999997,0.009597903840000001,0.16213601843999995,0.059986899,0.08603835227999998,0.07815435983999998,1.6518678073199995,0.23789090231999996,0.033935445719999985,0.0071984278799999985,0.13745569427999996,0.005484516479999999,0.04593282552,,0.02639423556,0.08672391683999997,0.01988137224,0.024337541879999997,0.040448309039999984,0.3444961914,0.015767984880000002,0.006512863319999999,0.008226774719999998,0.0071984278799999985,0.06718532688
Sichuan,0.05635590876000001,0.02382526224,0.059104977480000015,0.08934473340000001,0.04077785268000001,0.032988824640000004,0.12783169548000006,0.018327124800000004,0.26436877524,0.11271181752000002,0.3207246840000001,0.12691533924,,0.09667558332,0.04169420892000001,0.012828987360000006,0.08109752724000002,0.01053809676,0.06597764928000001,1.6311141072000004,0.03527971524000001,0.4957487258400001,0.11316999564000005,0.03527971524000001,0.061854046200000026,0.3289718901600001,0.04077785268000001,0.01191263112,0.03527971524000001,0.05681408688000001,0.14524246404000002
Guizhou,0.01804175856,0.0083087046,0.01638001764,0.03252264372,0.00973305396,0.0071217468,0.05649919127999999,0.0049852227600000005,0.2089045728,0.04344265548,0.025163505359999998,0.12629230992,0.35513777376000005,0.037507866480000006,0.020178282600000003,0.0023739156,0.27323768556,0.003323481840000001,0.047478312,0.37199257452,0.030860902800000006,0.40261608575999996,0.006884355240000001,0.018279150119999997,0.19822195260000003,,0.0047478312,0.0023739156,0.0023739156,0.00142434936,0.03370960152
Yunnan,0.02245722732,0.01224939672,0.024869987280000002,0.03823296552,0.01187820288,0.00946544292,0.05252392836,0.005753504519999999,0.14866313292000002,0.053637509879999996,0.0352634148,0.0723827988,0.48997586880000005,0.033221848680000006,0.01818849816,0.005196713760000001,0.058277432880000014,0.00408313224,0.03099468564,0.09242726616,0.02171483964,,0.007795070639999999,0.01596133512,0.13066023168,0.3838144305599999,0.0055679076,0.00352634148,0.00296955072,0.00853745832,0.05215273452
Tibet,0.0019887768,0.0011001744000000001,0.0022215060000000003,0.006135587999999999,0.0014386896,0.0008886023999999998,0.0029408507999999995,0.00027504360000000003,0.005881701599999999,0.0022849776000000003,0.0125250624,0.0028139076000000002,0.0775834524,0.0022003488000000002,0.0022638204000000003,0.0011213316000000001,0.0027081216,0.0003385152,0.0014810039999999993,0.0154870704,0.0009309167999999999,0.013815651599999998,0.00581823,0.000317358,0.0014175324,0.0018618335999999998,0.0034274664,0.0005077727999999999,0.0349516944,,0.0044853264000000006
Shaanxi,0.10622496168000002,0.02772538308,0.09921010572,0.34506410508,0.4786804090800001,0.029061546119999997,0.125265285,0.29128354272,0.12159083664000002,0.07014855960000001,,0.07382300796,0.30598133616,0.13528650779999998,0.05077419552,0.01235950812,0.04810186944,0.00801697824,0.03139983144,0.09019100520000002,0.02071052712,0.035074279800000004,0.38982556692,0.02071052712,0.02405093472,0.028393464600000005,0.041421054240000005,0.14096520072000002,0.031065790680000007,0.00534465216,0.14597581212000002
Gansu,0.0235783224,0.013171338720000005,0.0219522312,0.047644472160000007,0.021627012960000004,0.0061791465599999994,0.036587052,0.06455582064,0.044229680640000005,0.02699311392,0.5044134902399999,0.02975746896,0.13691687904000002,0.018862657919999998,0.011870465759999999,0.00260174592,0.01577308464,0.0027643550400000003,0.011707856640000002,0.02699311392,0.006504364800000001,0.01105742016,,0.00682958304,0.00845567424,0.00910611072,0.07545063167999999,0.1739917584,0.21480664751999998,0.00439044624,0.044554898880000006
Qinghai,0.0066780288,0.002068416,0.010046592000000002,0.019206720000000004,0.004255027200000001,0.0019502208,0.0137106432,0.003841344000000001,0.009160128,0.0070326144000000005,0.0473962752,0.0083918592,0.04970108160000001,0.005614271999999999,0.003841344000000001,0.0007682688000000001,0.007091712000000002,0.0008864640000000002,0.0024230016,0.00886464,0.0027775872,0.00443232,0.29265131520000004,0.0014774400000000002,0.0015956352000000005,0.0031912704000000005,0.0216297216,0.0140061312,,0.0228707712,0.012351398400000001
Ningxia,0.017585667,0.00367345044,0.0113329854,0.01907067888,0.016178813639999998,0.0031263408000000003,0.01664776476,0.17147979287999998,0.016491447719999996,0.01039508316,0.15694230816,0.013286948400000002,0.0148501188,0.007737693479999998,0.00562741344,0.00242291412,0.007581376440000001,0.00148501188,0.006877949759999999,0.00945718092,0.00250107264,0.0042205600800000005,0.20454084684000004,0.00500214528,0.00257923116,0.003907926,0.0082066446,,0.012114570600000001,0.0007815852000000001,0.023994665640000003
Xinjiang,0.0195756912,0.0087212214,0.023089276800000003,0.049943109600000014,0.0077800824,0.0071526564,0.0222108804,0.015434679599999999,0.0275440014,0.020328602400000003,0.05678205300000001,0.015058224000000004,0.055401715800000015,0.011607381000000002,0.008658478800000001,0.0020705057999999997,0.0137406294,0.003513585600000001,0.005772319200000001,0.0201403746,0.0035763282,0.0063370026,0.1156973544,0.004956665400000001,0.003513585600000001,0.0030116448,,0.0102270438,0.035324083799999996,0.0027606744000000004,0.046429524000000014
Taiwan,0.00012920795999999998,,0.00019415376,0.00012920795999999998,3.2131079999999986e-05,9.707687999999997e-05,0.00012920795999999998,9.707687999999997e-05,0.00025909956000000003,0.0012305519999999998,6.426215999999999e-05,0.00012920795999999998,6.426215999999999e-05,0.00022628484,3.2131079999999986e-05,9.707687999999997e-05,6.426215999999999e-05,6.426215999999999e-05,0.00226763388,3.2131079999999986e-05,6.426215999999999e-05,3.2131079999999986e-05,,6.426215999999999e-05,6.426215999999999e-05,9.707687999999997e-05,3.2131079999999986e-05,,,,0.00045325332
Hong Kong,3.19788e-05,3.19788e-05,6.39576e-05,3.19788e-05,,,3.19788e-05,,0.0197628984,0.00032191992,,3.19788e-05,6.39576e-05,,,,0.0001279152,,0.00022598352000000003,,0.0001279152,3.19788e-05,3.19788e-05,,0.0001279152,,,,,,0.000159894
Macau,0.00108659232,0.00046987776,0.00079291872,0.0008810208,0.0007341839999999999,0.0006754492799999999,0.00358281792,0.00026430624,0.26277913728,0.00252559296,0.00049924512,0.00226128672,0.00111595968,0.0020557152,0.00052861248,0.00035240831999999993,0.0023787561600000003,0.00017620415999999994,0.0019088784,0.00023493888,0.0012040617599999998,0.0006460819200000001,8.810207999999997e-05,0.0006460819200000001,0.00208508256,0.00055797984,2.936736e-05,0.00011746944,2.936736e-05,,0.0023787561600000003
