,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Gansu,Yunnan,Hainan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.03260424312,0.01409913216,0.03789141768,0.05639652864,0.07813269072000001,0.024379749359999998,0.01498032792,0.22235506344000006,0.07137685656000001,0.01439286408,0.10104378048,1.11089412144,0.07754522688,0.20531861208,0.030548119680000003,0.00704956608,0.10280617200000003,0.004993442640000001,0.05228428176,,0.02555467704,0.03260424312,0.11249932536,0.024967213199999998,0.31781793744000003,0.04611591144000001,0.018505110959999998,0.008224493760000002,0.009986885280000002,0.011161812959999998,0.06579595008000001
Sichuan,0.06600752856,0.02757848796,0.08002282572000001,0.09629865468,0.13382348255999998,0.05515697591999999,0.031647445199999985,0.36711036432,0.11664344088,0.03074323248,0.1537161624,,0.26990749692,0.09991550556,0.04385431692,0.016727935319999998,0.079118613,0.011302659,0.08409178296,1.19310868404,0.04204589148,0.1491950988,0.5154012504,0.040689572400000006,0.34902610991999994,0.0836396766,0.051088018679999986,0.018536360759999995,0.056513295,0.08635231475999999,0.16366250232
Guizhou,0.017039030400000002,0.00705902688,0.02215073952,0.03018342528,0.07521514848,0.01168390656,0.01022341824,0.34053719328000004,0.04941318816,0.006085368000000001,0.20787617088,0.29185424928000003,0.024341472000000003,0.039433184640000014,0.01922976288,0.0034078060800000003,0.22710593376,0.00292097664,0.07399807488,0.30353815584000005,0.03602537856,0.01046683296,0.36171427392,0.02336781312,,0.1849951872,0.00389463552,0.00292097664,0.0017039030400000002,0.00194731776,0.03967659936
Yunnan,0.02230436736,0.0117868608,0.02593109376,0.030464501759999995,0.05149951487999999,0.012330869759999998,0.008885479679999999,0.1831496832,0.06038499456,0.007978798079999998,0.08377737983999999,0.4366578585599999,0.033184546559999986,0.03010182912,0.01758962304,0.006346771199999999,0.05730227712,0.00308271744,0.034816573439999984,0.08414005247999998,0.02248570368,0.010698842879999998,,0.015232250879999997,0.35886457727999993,0.12367137023999998,0.003989399039999999,0.00380806272,0.003989399039999999,0.0108801792,0.05440089599999999
Tibet,0.00322731216,0.0010523844,0.0033208574399999995,0.00551917152,0.00668848752,0.00154349712,0.0009354528,0.01138913784,0.007015896,0.00037418112,0.0036248796000000003,0.07432172496,0.010898025120000002,0.00299344896,0.00194106456,0.00072497592,0.0029466763199999997,0.00053788536,0.0021047688,0.01143591048,0.00144995184,0.005893352639999999,0.015645448080000002,0.0004677264,0.0011927023200000002,0.00137979288,0.00437324184,0.0005612716799999999,0.04312437408,,0.006852191760000001
Shaanxi,0.10666962252,0.03057197904,0.10633731840000002,0.29541836268000005,0.14853994164,0.4476136496400001,0.029907370800000006,0.15119837460000002,0.08872520004000001,0.2708278578000001,0.09736510716000002,0.24324661584000004,,0.10700192664,0.05383326744000002,0.01262755656,0.047851793280000006,0.013292164800000002,0.035888844960000006,0.07310690640000002,0.029242762560000007,0.38746660392,0.033895020240000004,0.02159976780000001,0.03555654084000001,0.022596680160000004,0.05383326744000002,0.14122925100000006,0.04552566444000001,0.007975298879999999,0.17811500832000002
Gansu,0.02676778488000001,0.017958134160000003,0.03117261024,0.048791911680000015,0.05709331332000001,0.021346461360000003,0.0093178998,0.048283662600000006,0.044556502680000006,0.10385222868000002,0.041507008200000015,0.12248802828000002,0.4233714836400001,0.01999113048,0.01592513784,0.0044048253600000005,0.016094554200000003,0.003727159920000001,0.01711105236,0.022362959520000003,0.00982614888,,0.01202856156,0.006098988960000001,0.00999556524,0.0101649816,0.08809650720000002,0.17246585447999999,0.21193986636,0.007454319840000002,0.06675004584000001
Qinghai,0.00666125856,0.0025116220800000004,0.00889987824,0.019328569920000004,0.016107141600000003,0.004914043200000001,0.0024570216000000004,0.011247698880000002,0.008463074400000001,0.006825060000000001,0.010155689280000005,0.049795637760000004,0.038438737920000014,0.0054054475199999995,0.005077844640000002,0.0008736076800000003,0.00786246912,0.0007644067200000003,0.00267542352,0.008463074400000001,0.0028392249600000005,0.22915821456,0.004204236960000001,0.0019110168,0.0052962465600000005,0.003985835040000001,0.02413341216,0.014359926240000003,,0.025935228000000005,0.016434744480000003
Ningxia,0.017059727519999998,0.00551044296,0.014870647439999997,0.02083400352,0.01713521304,0.014644190880000003,0.0031703918399999995,0.016531328879999998,0.014568705359999996,0.1743715512,0.0117002556,0.016002930239999998,0.14296957488,0.00581238504,0.0061898126399999994,0.0031703918399999995,0.008756320319999998,0.0015097104000000002,0.0037742759999999996,0.008001465119999999,0.00475558776,0.17346572495999998,0.00520850088,0.005359471919999999,0.005736899520000001,0.00324587736,0.008001465119999999,,0.01215316872,0.00060388416,0.02845804104
Xinjiang,0.01953299124,0.00924926688,0.02026319652,0.04947140772,0.02001979476,0.0082148094,0.00955351908,0.02360997072,0.023975073359999998,0.01162243404,0.01557771264,0.04874120244,0.055556451720000004,0.01052712612,0.00924926688,0.0024340176,0.013447947239999996,0.00255571848,0.00626759532,0.01928958948,0.00322507332,0.11159970696,0.00553739004,0.00541568916,0.0034076246399999998,0.00389442816,,0.02032404696,0.033589442879999994,0.00225146628,0.039309384239999995
Taiwan,0.00016141679999999998,,9.685008e-05,6.456672e-05,0.00022659263999999998,6.456672e-05,3.228336e-05,0.0003563352,0.0018791352,6.456672e-05,0.00016141679999999998,0.00022659263999999998,3.228336e-05,0.00012913344,3.228336e-05,9.685008e-05,,3.228336e-05,0.0015550833600000002,3.228336e-05,6.456672e-05,3.228336e-05,3.228336e-05,3.228336e-05,6.456672e-05,3.228336e-05,3.228336e-05,3.228336e-05,,,0.0003563352
Hong Kong,3.0812399999999997e-05,,6.367896e-05,3.0812399999999997e-05,3.0812399999999997e-05,,0.00012941208,0.0190831464,0.00028963656,3.0812399999999997e-05,3.0812399999999997e-05,3.0812399999999997e-05,3.0812399999999997e-05,9.654552e-05,,3.0812399999999997e-05,3.0812399999999997e-05,,0.00019309104,,3.0812399999999997e-05,,3.0812399999999997e-05,3.0812399999999997e-05,,0.00012941208,,,,,3.0812399999999997e-05
Macau,0.00041720184,0.00032238324000000005,0.00034134696000000003,0.00051202044,0.00157398876,0.00020860092,0.00020860092,0.17511099048,0.0008723311199999999,9.48186e-05,0.00111885948,0.00043616555999999995,0.00011378232,0.00098611344,0.00020860092,1.896372e-05,0.00092922228,1.896372e-05,0.001422279,0.00011378232,0.0006637301999999999,0.00015170976,0.00011378232,0.00034134696000000003,0.00015170976,0.00157398876,,,0.00015170976,,0.00098611344
