,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Hunan,Jilin,Sichuan,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0282680442,0.011291643,0.029514018600000008,0.034186422599999995,0.16057495080000006,0.0170542746,0.030292752600000007,0.0207921978,0.0084882006,0.0279565506,0.027255690000000003,0.021259438199999998,0.0227390328,,0.021103691400000003,0.014951692800000001,0.0344979162,0.0154968066,0.042441003000000005,0.018689616000000003,0.017599388400000002,0.0274893102,0.0143287056,0.040104801,0.004438783799999999,0.01557468,0.0049838976,0.0050617710000000005,0.0021804552000000005,0.00023362020000000002,0.0578599362
Chongqing,0.0223296588,0.0087649128,0.036729158399999996,0.0379812888,0.1421168004,0.0141908112,0.0575979984,0.0100170432,0.0047998332,0.0381899772,0.06302389679999999,0.0521721,0.006260651999999999,0.0431984988,0.15046433639999998,0.025877361600000003,0.07137143280000001,0.0039650796,0.7804946159999999,0.0379812888,0.09015338880000001,,0.0189906444,0.037563912000000005,0.0139821228,0.23999166,0.009390978,0.0037563912,0.0037563912,0.0079301592,0.050293904400000006
Sichuan,0.043801274880000005,0.0118381824,0.04972036608,0.07872391296000003,0.21811851072,0.028115683199999998,0.07250886720000001,0.01834918272,0.009470545920000002,0.044393184,0.08345918592,0.15064087104,0.0118381824,0.05593541184,0.0577111392,0.029299501439999997,0.04498509312,0.00680695488,,0.050016320639999994,0.42795029376,0.8973342259200001,0.02426827392,0.05741518464000001,0.07606032191999999,0.24357060288,0.015981546240000002,0.0073988640000000015,0.029891410560000005,0.03699432,0.07132504896000001
Guizhou,0.011051260919999998,0.00333291996,0.0157875156,0.026137109159999998,0.21278062692,0.00491167152,0.04245087528,0.00385917048,0.00210500208,0.02210252184,0.10156635036,0.02140085448,0.00245583576,0.027715860719999996,0.03122419752,0.01420876404,0.17839892627999998,0.00192958524,0.21716604792,0.04455587735999999,0.31259280888,0.24786399492,0.02403210708,0.14910431400000002,0.0031575031199999994,,0.0015787515599999995,0.0017541684,0.00122791788,0.0007016673599999999,0.023856690240000002
Yunnan,0.01960524972,0.00623112588,0.02477252484,0.03328333092,0.14635546884000006,0.012158294400000002,0.04194611568,0.012310273080000005,0.006687061920000001,0.031611565439999996,0.05866377048,0.0288759492,0.00714299796,0.01534984668,0.03069969336,0.015957761400000003,0.05425638876,0.00471133908,0.36125332236,0.031915522800000005,,0.08039672172000001,0.021732951240000003,0.10456133184,0.006687061920000001,0.30638901888000003,0.00440738172,0.0021277015200000006,0.00136780812,0.00486331776,0.041034243600000006
Tibet,0.0020266880400000003,0.00025137216000000004,0.0017124728400000002,0.0056558736000000024,0.0029064906000000005,0.00095835636,0.0028750690799999997,0.0007698272400000001,0.00025137216000000004,0.0005498766,0.0019010019600000003,0.00890800092,0.00037705824,0.0007069842000000003,0.0028750690799999997,0.0013197038399999999,0.0016496298000000002,0.00040847976,0.06125625324000001,0.0006755626800000001,0.008483810400000001,0.01156311936,0.0004713228,0.0008640918000000003,0.006802759079999999,0.0013197038399999999,0.0020266880400000003,0.00034563672000000013,0.02422599192,,0.0027179614800000003
Shaanxi,0.08114445540000001,0.017640099,0.08043885144,0.23849413848,0.08984690424000001,0.29329604604000004,0.08984690424000001,0.02163852144,0.20979957744000002,0.03433939272,0.058329927360000006,,0.01270087128,0.0317521782,0.09125811216,0.03904341912,0.036926607240000006,0.00893765016,0.16628733324,0.02798895708,0.036691405919999996,0.052685095680000016,0.017404897680000003,0.019051306920000004,0.29470725396,0.019051306920000004,0.02163852144,0.11195582832,0.02328493068,0.00540963036,0.11618945208000002
Gansu,0.01923718248,0.00574904304,0.02144835288,0.04101721092,0.02852409816,0.01426204908,0.03250420488,0.0050856919200000005,0.04455508356000001,0.013156463879999998,0.022775055120000002,0.3360979008,0.00210061188,0.010171383840000001,0.01536763428,0.011055852,0.00983970828,0.0022111704000000003,0.07705928844,0.00873412308,0.00873412308,0.016141543919999998,0.005417367479999999,0.006522952679999999,,0.00574904304,0.052515297,0.12249884015999997,0.13200687288,0.00475401636,0.028302981119999997
Qinghai,0.00612523296,0.0006562749599999999,0.0064898301600000005,0.01429221024,0.00958890636,0.00320845536,0.0087503328,0.0010573318799999998,0.0029167776,0.0029532373200000005,0.0060158538,0.030699084239999997,0.0006562749599999999,0.003536592840000001,0.00532311912,0.00331783452,0.00386473032,0.00025521804000000004,0.03018864816,0.00357305256,0.00452100528,0.007036725959999999,0.00076565412,0.0008750332800000001,0.15404231699999998,0.00142192908,0.01341717696,0.00962536608,,0.01797464196,0.0107556174
Ningxia,0.012852231120000002,0.002974533840000001,0.011449149120000002,0.018464559119999998,0.01139302584,0.01139302584,0.01363795704,0.0028622872800000004,0.12700698264000002,0.0047143555200000005,0.008193998880000001,0.11151695736000004,0.0020765613600000005,0.006510300480000001,0.0063980539200000006,0.0059490676800000005,0.0038163830400000007,0.0008979724800000002,0.013076724240000002,0.002974533840000001,0.005051095200000001,0.00538783488,0.00129083544,0.0022449312000000004,0.13379789951999999,0.0017959449600000003,0.00611743752,,0.0081378756,0.0003928629600000001,0.017903326320000003
Xinjiang,0.016218620280000002,0.0020976764399999997,0.019288390680000003,0.05755819500000001,0.016781411519999997,0.008186054400000002,0.019032576480000004,0.0051162840000000005,0.010641870720000002,0.004400004240000001,0.01186977888,0.0483488838,0.003223258920000001,0.010027916640000002,0.009516288240000002,0.007572100320000001,0.009669776760000002,0.0016372108800000007,0.044665159320000015,0.007469774640000002,0.0072651232800000016,0.0181628082,0.0030697704000000004,0.0037860501600000007,0.10340009964000002,0.003223258920000001,,0.008441868600000003,0.022767463800000002,0.0007674426000000001,0.02665583964
Taiwan,,,,,0.00019430928,,0.000129438,3.228336e-05,,0.0009395676,0.000129438,,,,,,,3.228336e-05,3.228336e-05,0.00132818616,,3.228336e-05,,3.228336e-05,,,,,,,3.228336e-05
Hong Kong,3.164832e-05,,6.329664e-05,6.329664e-05,0.026760093119999998,,,,,0.00096958944,,,,6.329664e-05,,3.164832e-05,,,6.329664e-05,0.00025894080000000004,,3.164832e-05,,,,3.164832e-05,,3.164832e-05,,,6.329664e-05
Macau,0.0011917400399999998,0.00077358564,0.00089903196,0.00056450844,0.18402975144,0.00056450844,0.0020907720000000003,0.00077358564,8.363087999999999e-05,0.00294798852,0.0025089264,0.00025089263999999995,0.0005017852799999999,0.0008363088000000001,0.00091993968,0.00037633896,0.0014844481200000001,0.00027180036,0.00048087755999999993,0.00137990952,0.00027180036,0.00020907720000000002,0.00056450844,0.0017144330399999994,6.272315999999999e-05,0.0007108624800000001,2.0907719999999998e-05,6.272315999999999e-05,,,0.0021325874399999996
