,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hubei,Hainan,Heilongjiang,Jilin,Hunan,Fujian,Sichuan,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.035730979200000006,0.030358540800000007,0.012365136,0.037095407999999996,0.1787401728,0.0197842176,0.0341959968,0.02558304,0.0092951712,0.035730979200000006,0.028567728000000008,0.0256683168,0.0128767968,0.026435807999999998,,0.024815548800000004,0.011938752,0.035389872,0.016714252800000003,0.0341959968,0.0178228512,0.026862192000000003,0.015520377600000003,0.042212016000000005,0.006907420800000002,0.017140636799999998,0.006139929600000001,0.0028141344000000004,0.002387750400000001,8.527680000000003e-05,0.0773460576
Chongqing,0.02315136816,0.026743821839999998,0.00818281116,0.04111363656000001,0.13232204388,0.016166041560000004,0.053487643679999995,0.00977945724,0.00578784204,0.0379203444,0.05668093584,0.052290159120000006,0.0209559798,0.14110359732,0.03572495604,0.00618700356,0.0037920344399999997,0.07045200827999999,0.034926633000000006,0.7356546813600001,0.09160756884,,0.017962268400000002,0.033529567680000004,0.012573587879999999,0.25566295356,0.008781553440000001,0.0039916152000000005,0.00339287292,0.010178618759999999,0.042111540360000005
Sichuan,0.03344850288,0.03733786368,0.0077787216,0.061451900640000015,0.18305924832,0.02618836272,0.05522892336,0.011668082400000002,0.008038012320000001,0.038634317280000004,0.06689700576,0.15401868768,0.0207432576,0.049783818239999986,0.04719091103999999,0.00700084944,0.00414865152,0.03837502656,0.03733786368,,0.43353408384,0.7677598219199999,0.019446804,0.03811573584,0.06611913359999999,0.23906604384,0.01063091952,0.00674155872,0.023595455519999996,0.032411340000000004,0.0622297728
Guizhou,0.0126932832,0.01729459836,0.00364931892,0.02554523244,0.19404856692000003,0.0047599812,0.035699859,0.0047599812,0.00206265852,0.01808792856,0.08599699368,0.015707937959999998,0.013327947359999998,0.02633856264,0.01967458896,0.0023799906,0.00174532644,0.14835274739999998,0.03776251752,0.19039924800000002,0.3228853914,0.20166453684,0.0222132456,0.14137144163999998,0.00380798496,,0.00174532644,0.0014279943599999998,0.00111066228,0.0007933302,0.02633856264
Yunnan,0.0229101696,0.027130464000000003,0.0058782672000000005,0.035269603199999985,0.13972188959999998,0.010550735999999998,0.0440116416,0.0104000112,0.0049739184,0.034666704,0.055014552,0.029391336,0.015826104,0.0319536576,0.0167304528,0.008440588800000001,0.0055768176,0.0498899088,0.03014496,0.34214529599999993,,0.06963485759999999,0.0197449488,0.1012870656,0.0061797167999999994,0.3267713664,0.00376812,0.0033159456,0.002260872,0.0049739184,0.0461217888
Tibet,0.00193417632,0.00193417632,0.0004767336,0.005625456479999999,0.00296936928,0.0008036366400000001,0.0024926356800000003,0.0008989833600000002,0.00019069344000000008,0.00057208032,0.0011305396800000002,0.007028415360000001,0.00106243488,0.0024926356800000003,0.0005175964800000001,0.0005448384000000001,0.00038138688000000017,0.0015119265600000002,0.0017162409600000002,0.04900821408,0.00874465632,0.008935349759999999,0.00040862880000000013,0.0007082899200000001,0.00520320672,0.0012531283199999999,0.0011986444800000005,0.00031328207999999996,0.023155632,,0.0027786758400000005
Shaanxi,0.07651311840000001,0.07489989000000001,0.0142885944,0.2406014928,0.0963327816,0.2993690988000001,0.08826663960000002,0.0202805856,0.1905914124,0.041713477200000015,0.0631463688,,0.0389479428,0.08780571720000001,0.028807650000000008,0.0087575256,0.008066142,0.0315731844,0.0324950292,0.13643303040000002,0.036412869600000015,0.048857774400000005,0.01728459,0.0198196632,0.2917638792,0.021893813999999998,0.027655344,0.1043989236,0.030420878399999997,0.0048396852,0.1184570568
Gansu,0.0174883698,0.01939619196,0.006465397319999999,0.03688456175999999,0.02776941144,0.01441465632,0.03147906564,0.0042396048,0.04250203812,0.01346074524,0.0196081722,0.32157402408,0.008479209599999999,0.014732626679999998,0.009221140439999996,0.00233178264,0.00180183204,0.00826722936,0.00985708116,0.061474269599999985,0.0095391108,0.012824804519999998,0.004875545519999999,0.00699534792,,0.005617476359999999,0.04811951448,0.12464438111999998,0.13693923504,0.00455757516,0.032750947079999995
Qinghai,0.005297393520000001,0.0057360312,0.00070856856,0.01521735336,0.0072543923999999985,0.0043863768,0.00752432328,0.00094475808,0.00310420512,0.0026993088,0.004892497199999999,0.03090708576,0.00290175696,0.00482501448,0.0028680156,0.00040489632,0.00026993088,0.00347536008,0.0022944124800000003,0.02399010696,0.0037115496000000004,0.00482501448,0.00094475808,0.00192325752,0.14667369192,0.0010122408,0.01461000888,0.0076255473599999984,,0.017714214,0.00819915048
Ningxia,0.0124056684,0.0109592676,0.0028928015999999997,0.015854778,0.011070529200000002,0.0118493604,0.013351392,0.0025590167999999997,0.1299535488,0.004895510400000001,0.0078995736,0.1078681212,0.0065088036,0.006397541999999999,0.005841234000000001,0.0018358164000000002,0.0016132932,0.0032265864,0.0033934788,0.0084558816,0.0035603711999999997,0.004561725599999999,0.0024477552000000003,0.0027815400000000003,0.1377418608,0.0027259092,0.0051180335999999995,,0.0092347128,0.0005006772,0.0179131176
Xinjiang,0.017091978480000002,0.022574311200000002,0.0032786499599999994,0.059499434520000005,0.01789820388,0.009997194959999999,0.01607075964,0.005052345839999999,0.016554494880000003,0.006664796639999999,0.012577116239999995,0.051867167400000004,0.008975976120000001,0.008868479399999999,0.00892222776,0.0021499344,0.00225743112,0.008653485959999999,0.007578518759999998,0.04278369456,0.006181061399999999,0.01461955392,0.0033861466799999995,0.00274116636,0.11523648384,0.0032249016,,0.008653485959999999,0.0247242456,0.00096747048,0.02757290868
Taiwan,3.2205599999999995e-05,,,6.4638e-05,0.00016193519999999995,,,,3.2205599999999995e-05,0.00032387039999999995,0.0001295028,,,,,,,3.2205599999999995e-05,0.000971838,0.00016193519999999995,3.2205599999999995e-05,,3.2205599999999995e-05,,,,3.2205599999999995e-05,,,,3.2205599999999995e-05
Hong Kong,3.0229200000000005e-05,6.348131999999999e-05,,3.0229200000000005e-05,0.028282439520000008,,,,,0.0008071196400000001,,,3.0229200000000005e-05,3.0229200000000005e-05,9.673344e-05,,3.0229200000000005e-05,,6.348131999999999e-05,,,,3.0229200000000005e-05,0.00012696263999999999,,,,,,,0.00019346688000000006
Macau,0.00096126912,0.00116153352,0.0008411104800000001,0.00122161284,0.16950378816000006,0.00102134844,0.00384507648,0.0008010576000000001,0.00016021152,0.00242319924,0.00232306704,0.00038050236,0.00066087252,0.00194256468,0.0007610047200000001,0.00038050236,0.00038050236,0.0023831463600000003,0.0018424324800000002,0.0011014542000000005,0.00048063456,0.00066087252,0.00054071388,0.0015820887600000002,2.002644e-05,0.00034044947999999997,2.002644e-05,2.002644e-05,6.007932e-05,,0.002002644
