,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.019156989240000002,0.008285895,0.012992283359999995,0.024725110679999995,0.02923263756,0.008882479439999999,0.008749905119999998,0.16538646419999994,0.03493333332,0.005104111319999999,0.027906894359999997,0.034867046160000005,0.021543327,0.01968728652,0.012461986079999996,0.01232941176,0.031022390879999986,0.004640101199999999,0.017168374440000002,0.0212118912,0.01053965844,0.015246046799999996,,0.00391094244,0.02267020872,0.0036457938,0.033276154319999994,0.00205490196,0.0013257431999999995,0.00026514864,0.04819076532
Chongqing,0.03034990296,0.012970043999999998,0.02879349768,0.048248563680000016,0.07081644024,0.020492669520000003,0.012710643119999998,0.17768960279999998,0.06095920680000001,0.01089483696,0.08767749743999999,1.00751301792,0.07366984992,0.1841746248,0.032165709120000004,0.006485021999999999,0.09416251944,0.0033722114399999995,0.045395154000000014,,0.025161885359999997,0.09494072208,0.02438368272,0.02957170032,0.26873931168000004,0.016082854560000002,0.040466537280000006,0.006485021999999999,0.006485021999999999,0.00881962992,0.06018100416
Sichuan,0.05565585167999999,0.02257370208,0.0622722816,0.08367837839999999,0.12143094912,0.04514740416,0.028411728480000002,0.29306892528,0.09846804527999999,0.02257370208,0.13622061600000002,,0.23429945952,0.08679199248,0.037752570719999996,0.014789666880000002,0.07550514143999999,0.00817323696,0.07122392208,1.0267142428799998,0.03386055312,0.47443694544,0.03969857952,0.12220935264000002,0.31486422384,0.047093412960000004,0.06499669392000001,0.01401126336,0.04008778128,0.07355913264,0.13544221248
Guizhou,0.018578704319999997,0.00696701412,0.017523096119999998,0.03103488108,0.05826957264,0.0078115006800000015,0.0063336492,0.26727999624000004,0.04771349064,0.0038001895200000003,0.15686337852,0.27783607824,0.0274458132,0.04137984144,0.0190009476,0.003589067880000001,0.19444303044000005,0.0021112164,0.06228088380000001,0.26305756344000003,0.036312922080000004,0.33103873152,0.0179453394,0.008655987240000001,,0.0038001895200000003,0.15475216212,0.00274458132,0.0019000947600000002,0.0023223380399999996,0.033990584039999994
Yunnan,0.0186647976,0.009084636000000002,0.021968301600000004,0.030061886400000005,0.046249056,0.0109015632,0.007598059200000001,0.14700592800000006,0.0591327216,0.006772183199999999,0.0771368184,0.4279689432,0.0315484632,0.0292360104,0.0171782208,0.005781132,0.05351676480000001,0.0031383288000000004,0.0284101344,0.07697164320000001,0.0186647976,,0.0158568192,0.0087542856,0.3255603192,0.005285606400000001,0.1071987048,0.0042945552,0.002312452800000001,0.0102408624,0.0426152016
Tibet,0.002332638,0.000509652,0.003979206,0.005370948,0.0041360220000000005,0.000901692,0.001646568,0.006155028000000001,0.0037439820000000003,0.000254826,0.002332638,0.066509586,0.010251846000000002,0.002038608,0.001705374,0.000450846,0.002489454,0.000450846,0.0015093539999999999,0.011820006000000001,0.000705672,0.013074534,0.0007448760000000001,0.00656667,0.00186219,0.003449952,0.0009997019999999999,0.0002744280000000001,0.034499520000000006,,0.005018112
Shaanxi,0.09147271679999999,0.0257267016,0.08089618392,0.25669531151999997,0.1229164632,0.38104103592,0.02601255384,0.11977208856000003,0.07031965104,0.24611877864,0.08146788840000001,0.21467503224,,0.1029068064,0.04602221063999999,0.01200579408,0.04373539272,0.00886141944,0.030872041920000006,0.058313856960000014,0.02486914488,0.0343022688,0.01972380456,0.3373056432,0.029156928480000007,0.0471656196,0.022868179199999998,0.135779814,0.034873973280000005,0.0077180104800000015,0.14092515432
Gansu,0.026074629,0.01475079012,0.022796675640000003,0.04350738096,0.04902030252,0.017283754079999998,0.007896887640000001,0.04350738096,0.03486550392,0.07986286367999999,0.03680247636,0.11070542484000001,0.368769753,0.019369724400000003,0.013111813440000002,0.00402294276,0.014601792240000001,0.00238396608,0.01534678164,0.02130669684,0.00804588552,0.009982857959999999,0.0071518982399999985,,0.00983386008,0.08060785307999999,0.00983386008,0.16076871252,0.1981671804,0.007002900359999999,0.05051028132
Qinghai,0.00671189328,0.0021420936,0.006949903679999999,0.017945984159999998,0.012328938719999998,0.0042841872,0.0019040832,0.009996436800000001,0.0073307203199999985,0.00528383088,0.00937760976,0.04412712816,0.033083445600000004,0.005712249599999999,0.00342734976,0.0013328582399999998,0.004760208,0.0005712249599999999,0.00318933936,0.00671189328,0.00233250192,0.00361775808,0.00104724576,0.20202322752000001,0.0038081664,0.0259431336,0.00209449152,0.013852205280000002,,0.02161134432,0.0116625096
Ningxia,0.014528986200000003,0.00486552096,0.011555612280000002,0.018786317040000004,0.013650489360000002,0.014528986200000003,0.00317610396,0.015475059720000003,0.009663465240000002,0.15941338812000005,0.01270441584,0.012501685800000004,0.11988103032,0.0073658581200000016,0.005135827680000001,0.00317610396,0.0062846312400000005,0.0013515336000000002,0.003446410680000001,0.008514661680000002,0.0027030672000000005,0.0053385577200000004,0.005068251000000001,0.15948096480000004,0.004257330840000001,0.009258005160000004,0.004324907520000001,,0.011555612280000002,0.00060819012,0.02594944512
Xinjiang,0.017965359360000002,0.01168899984,0.01635308352,0.045431629919999994,0.01905940368,0.009673655040000001,0.007543147680000002,0.023896231200000003,0.022514280480000003,0.01272546288,0.017274384,0.049807807200000005,0.051823152000000004,0.01117076832,0.00915542352,0.00362762064,0.00996156144,0.0023032512,0.010249467840000002,0.015892433280000003,0.0025911576000000004,0.004836827520000001,0.006333940800000001,0.09834882624,0.003973108320000001,,0.00385794576,0.011516256,0.030978728639999994,0.00166985712,0.04255256592
Taiwan,0.0004208889599999999,,0.00045291312000000005,0.00032367276000000005,0.0005181051599999999,0.00025848072,0.0004849372800000001,0.0006153213600000001,0.0018459640800000004,0.00035569692000000003,0.0004208889599999999,0.00029050488000000003,0.00012924036,0.00016126452000000006,0.00019328868000000003,0.00029050488000000003,9.607247999999999e-05,0.00022645656000000003,0.00217078056,9.607247999999999e-05,3.2024160000000015e-05,0.00035569692000000003,3.2024160000000015e-05,0.00035569692000000003,0.00012924036,3.2024160000000015e-05,0.00029050488000000003,,,,0.00019328868000000003
Hong Kong,,,6.407423999999999e-05,,6.407423999999999e-05,6.407423999999999e-05,6.407423999999999e-05,0.02452441536,0.0005820076799999999,3.2037119999999986e-05,0.00012814847999999995,9.611136e-05,3.2037119999999986e-05,3.2037119999999986e-05,,6.407423999999999e-05,,,0.0001601856,,3.2037119999999986e-05,6.407423999999999e-05,,6.407423999999999e-05,,3.2037119999999986e-05,,,,,0.00025896672
Macau,0.0006022123200000001,0.00041820300000000013,0.00025092180000000003,0.00041820300000000013,0.0015389870400000002,0.0004516592400000001,0.0002843780400000001,0.14983377084000002,0.0021913837200000005,8.364060000000001e-05,0.00145534644,0.0006356685600000001,0.00015055308000000005,0.0006022123200000001,0.00035129052,5.018436e-05,0.0013884339600000002,0.00018400932000000006,0.0018735494400000008,0.0004516592400000001,0.0005687560800000001,0.00035129052,0.00015055308000000005,1.672812e-05,8.364060000000001e-05,1.672812e-05,0.00090331848,1.672812e-05,0.00011709684000000005,1.672812e-05,0.0013884339600000002
