,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Shanghai,Zhejiang,Gansu,Jiangxi,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0484676622,0.08247717432,0.038609832600000005,0.025630356960000003,0.02201581944,0.02415168252,0.04156718148,0.02415168252,0.01182939552,0.04485312468,0.07886263680000001,0.13833820872000002,0.0353238894,0.01790839044,0.32974440012,0.12190849272,0.03335232348,0.04452453036,0.01133650404,0.07360512768000002,0.04863195936,0.060297057720000005,,0.02349449388,0.12059411544000001,0.04386734172,0.01018642392,0.0032859432000000004,0.002300160240000001,0.00016429716000000005,0.07393372200000001
Chongqing,0.06113451024,0.13333647492,0.07483707288000001,0.04110768792000001,0.015810649200000002,0.0210808656,0.06693174828000001,0.013175541000000002,0.01212149772,0.09433687356,0.3873609054,2.5044068332800005,0.12806625852000006,0.0105404328,0.17286309792,0.19341694188,0.05112109908000001,0.08326941912000002,0.04954003416,0.07958026764000001,0.07220196468000001,,0.05849940204000001,0.16917394644,0.07272898632000001,0.5697103928400001,0.0237159738,0.01212149772,0.013702562639999999,0.007378302960000001,0.06429664008000001
Sichuan,0.13548260880000002,0.2579643612,0.1190604744,0.0807421608,0.0287387352,0.044476614000000005,0.0971642952,0.0287387352,0.023264690400000003,0.1389038868,0.24906903840000005,,0.38181462479999995,0.023948946000000002,0.2955984192,0.17790645600000002,0.08895322800000001,0.1320613308,0.17106390000000002,0.1204289856,0.0978485508,2.2936247712,0.0807421608,0.8142641640000001,0.1217974968,0.523455534,0.0629515152,0.0184749012,0.0390025692,0.0390025692,0.1382196312
Guizhou,0.04123696392,0.11683806444,0.04527980352,0.017384210280000003,0.0064685433600000005,0.01091566692,0.05376976668,0.008489963159999999,0.00525569148,0.05902545816,0.15079791707999998,0.72528542424,0.05498261856000001,0.0064685433600000005,0.14513794164000002,0.55467759312,0.02466132156,0.10107099,0.01131995088,0.11805091632,0.10430526168,0.64564148412,0.036385556400000005,0.67272850944,0.27531737675999995,,0.0040428396000000005,0.0020214198000000003,0.0012128518799999998,0.00040428396000000003,0.034768420560000006
Yunnan,0.060029190719999986,0.13019844743999998,0.056378766959999986,0.028797787439999993,0.012573681839999998,0.01987452936,0.061245998639999986,0.011762476559999995,0.008517655439999999,0.07057485935999999,0.15047857943999998,1.1170296705599998,0.06043479336,0.011762476559999995,0.14398893719999994,0.28513865592,0.033665019119999987,0.09693903096,0.020280132,0.11762476559999994,0.09896704415999998,0.31839807239999995,0.015818502959999998,,0.2251094652,0.80796045888,0.008112052799999998,0.0048672316799999995,0.00365042376,0.006489642239999999,0.05962358807999999
Tibet,0.00382522176,0.014454599039999997,0.00467150976,0.0033174489600000003,0.0005077728,0.00125250624,0.00423144,0.00125250624,0.0005754758400000001,0.00368981568,0.0072442252800000015,0.14566309055999999,0.019396920959999998,0.00054162432,0.00206494272,0.0051454310400000005,0.00132020928,0.00260656704,0.0159102144,0.00155716992,0.0014894668800000002,0.01976928768,0.0004739212800000001,0.015537847680000001,0.0006431788800000001,0.0025050124800000003,0.00128635776,0.0007108819199999999,0.05189438016,,0.00450225216
Shaanxi,0.18575297784,0.6222043511999998,0.17576137511999998,0.5004884635199999,0.025433170560000003,0.03905808336,0.14714905824000002,0.02361651552,0.25932750695999995,0.16304478983999998,0.2452484304,0.46052205264,,0.01998320544,0.09537438960000001,0.08719944191999998,0.048141358559999986,0.07947865800000001,0.5804212852799999,0.06857872776,0.07266620160000001,0.11581175879999997,0.036787264560000005,0.04587053976,0.03269979072,0.03814975584,0.036787264560000005,0.15305318712000002,0.03360811824,0.0045416376000000005,0.13352414544000002
Gansu,0.04101501744,0.12975311592,0.04446487872,0.03124041048,0.00939128904,0.010732901760000002,0.031623728399999995,0.00440815608,0.07206376896000001,0.06439741055999999,0.04369824288,0.16885154376000006,0.52821209376,0.0034498612799999996,0.034306953839999994,0.02280741624,0.018015942240000003,0.031048751520000008,,0.016291011600000002,0.02338239312,0.034498612799999995,0.019549213920000003,0.013032809280000002,0.01111621968,0.00977460696,0.07877183256,0.19127564208,0.17824283280000006,0.00632474568,0.04158999432
Qinghai,0.016228719360000005,0.06194444220000001,0.02043079848,0.010287848879999999,0.001811241,0.00246328776,0.013910330880000002,0.0016663417200000002,0.00623066904,0.0206481474,0.014489928,0.07382618316,0.07252208964,0.0010142949600000003,0.011736841680000002,0.010650097079999999,0.0034051330799999995,0.010505197800000001,0.26726672196,0.007534762559999999,0.008693956800000001,0.012026640239999999,0.00637556832,0.005578622280000001,0.00246328776,0.00239083812,0.009708251760000002,0.01130214384,,0.0239083812,0.012099089879999999
Ningxia,0.032687848080000005,0.0531048636,0.02608840872,0.02660398992,0.004433998319999999,0.006805671839999999,0.01474562232,0.0041246496,0.1706573772,0.02072636424,0.014951854799999997,0.028356966,0.2067480612,0.004846463279999999,0.0108272052,0.00958981032,0.01051785648,0.017220412079999997,0.2670710616,0.00525892824,0.008352415440000002,0.011033437679999999,0.004743347039999999,0.008971112879999998,0.006290090639999999,0.004433998319999999,0.01144590264,,0.011858367600000001,0.0005155811999999999,0.02619152496
Xinjiang,0.04399198776,0.18984461832000002,0.05491617264,0.02480085216,0.0073812059999999995,0.01003844016,0.03439641996,0.009300319559999999,0.02494847628,0.0487159596,0.03439641996,0.15662919132,0.10820847995999999,0.005462092439999999,0.025981845120000003,0.03085344108,0.01505766024,0.028934327519999997,0.37511288892,0.010924184879999998,0.01948638384,0.044877732479999995,0.02022450444,0.01491003612,0.0075288301200000015,0.00915269544,,0.02007688032,0.06362599572000001,0.00029524824000000003,0.033510675239999996
Taiwan,0.0006446563200000001,0.0010663488000000002,0.0017449344000000006,0.00012602303999999999,0.00022296384,0.0003877632,0.0005816448,0.00012602303999999999,0.0001938816,0.00485673408,0.0010033372800000002,0.0012941596800000001,0.0003877632,2.908224e-05,0.01016908992,0.00103241952,0.005438378880000001,0.003591656640000001,0.0001938816,0.00051378624,0.007289948159999999,0.00054771552,0.00012602303999999999,0.0001938816,0.00071251488,0.00015995232,,0.00041684544,6.301151999999999e-05,,0.0012311481599999998
Hong Kong,0.003238632720000001,0.004391366400000001,0.004885395120000001,0.0014820861600000005,0.0015918703200000002,0.0020310069600000006,0.0021956832000000004,0.0007684891200000003,0.0005489208000000001,0.007300646640000002,0.003293524800000001,0.008508272400000001,0.0021956832000000004,0.0012625178400000002,0.4016453493600001,0.0062028050399999994,0.013283883360000002,0.012460502160000005,0.00043913664000000017,0.003293524800000001,0.02041985376000001,0.00762999912,0.0031288485600000004,0.0015369782400000006,0.0066968337600000006,0.00263481984,0.00010978416000000004,,,5.489208000000002e-05,0.011801797200000002
Macau,0.00248322672,0.00362933136,0.004393401119999999,0.00248322672,0.00176691132,0.00248322672,0.00281750724,0.0009550872,0.0006685610400000001,0.00792722376,0.0042978923999999995,0.00329505084,0.00181466568,0.001193859,0.36503432784,0.006303575519999999,0.013132449,0.01055371356,0.00019101744,0.004775436,0.00725866272,0.0015281395199999998,0.0027697528799999994,0.00128936772,0.004441155479999999,0.00090733284,0.0004775436,4.775436e-05,9.550872e-05,,0.0081182412
