,Hebei,Shandong,Henan,Tianjin,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hainan,Shanghai,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.033571039680000005,0.042704337239999994,0.05578716888,0.006171146999999999,0.15106967855999998,0.019500824519999998,0.06319254528,0.01431706104,0.01258913988,0.07133845932,1.0019474269200002,0.05973670296,0.04122326196000001,0.03060888912,0.15773451732000002,0.024684587999999997,0.008886451679999999,0.0752879934,0.006664838760000001,0.03974218668,0.10046627316,,0.02394405036,0.01876028688,0.039989032560000005,0.2863412208,0.011354910479999999,0.005924301119999999,0.0044432258399999995,0.006171146999999999,0.049616021879999986
Sichuan,0.0486496692,0.05938614792000001,0.0788460156,0.01140750864,0.25029416016,0.02986083144,0.09360867383999999,0.02415707712,0.016104718079999997,0.10702927224,,0.18721734767999998,0.06307681248,0.04965621408,0.07918153055999999,0.030531861360000002,0.0134205984,0.05905063296,0.009394418880000002,0.0553599684,0.44455732200000003,0.95722418088,0.02885428656,0.08153013528,0.06072820776000001,0.29793728448,0.02281501728,0.0100654488,0.02918980152,0.04193937,0.10904236199999999
Guizhou,0.01254960216,0.01908953568,0.02492244936,0.0028280793599999997,0.19814231016,0.00547940376,0.04189092552,0.00424211904,0.0026513244,0.10658324088,0.26230436064,0.02015006544,0.0203268204,0.017675496000000002,0.02934132336,0.01537768152,0.00318158928,0.17481065544,0.00247456944,0.04648655448,0.31161899448,0.23914946088000003,0.02174086008,0.00388860912,0.14635310688,,0.00194430456,0.00106052976,0.0014140396799999998,0.0008837748,0.025275959280000003
Yunnan,0.0219546936,0.02854110168,0.03795025608,0.00486139644,0.15164420507999998,0.012075081480000001,0.046418495039999993,0.01238871996,0.004547757959999999,0.05676856488,0.38718670356,0.02540471688,0.016152381719999998,0.034970690519999986,0.031991124960000006,0.014584189319999998,0.007684142759999998,0.05598446867999999,0.00407730024,0.033245678880000004,,0.07464595823999999,0.02022968196,0.0064295888399999975,0.10005067512,0.31771578024,0.00345002328,0.00282274632,0.00250910784,0.00439093872,0.0446934834
Tibet,0.0025537356,0.0021552804,0.0057594888,0.0003078972,0.0042924491999999995,0.0012134772,0.0023001732,0.000996138,0.0003803436,0.002445066,0.07344253799999999,0.0110661876,0.0007969104000000001,0.0005795712,0.0027529632000000003,0.000996138,0.00045279,0.0020284992,0.0002173392,0.0009599147999999999,0.0097440408,0.010885071599999999,0.0009236916,0.008421894000000001,0.0010685844,0.0012134772,0.00181116,0.00045279,0.027529632000000002,,0.0030970836
Shaanxi,0.07895692080000001,0.08628046127999998,0.24442316352,0.009612146879999998,0.09886779648,0.280354284,0.09291741984,0.02197062144,0.16386421824,0.06225009408000001,0.20162622384,,0.027463276800000002,0.02952302256,0.09085767408,0.04188149712,0.009383286239999998,0.032040489599999986,0.0091544256,0.027463276800000002,0.033184792799999994,0.04600098863999999,0.01785112992,0.27692137440000003,0.01922429376,0.0217417608,0.02883644064,0.09383286239999998,0.02814985872,0.005721515999999999,0.10504703376
Gansu,0.019232413200000003,0.0209231748,0.041000968799999996,0.0050722848,0.0282145842,0.013209075,0.0328641786,0.0056006478000000005,0.0426917304,0.0240933528,0.08918767439999999,0.2897542692,0.0092991888,0.0107786052,0.0183870324,0.0106729326,0.0024304698,0.0076084272,0.0039098862000000005,0.008242462800000001,0.008348135400000001,0.015639544800000002,0.0056006478000000005,,0.0054949752,0.0045439218000000005,0.047869687800000005,0.1166625504,0.1307170062,0.0044382492,0.032758506
Qinghai,0.005414218199999999,0.007160740200000001,0.01578855888,0.0016417306799999998,0.0076846968000000015,0.00398207016,0.00744018372,0.00125749584,0.00300401784,0.0075100446,0.03175176996,0.028852543439999996,0.0027595047600000003,0.00216568728,0.00468067896,0.0023054090400000003,0.00066367836,0.003248530920000001,0.00020958264,0.00265471344,0.0040170006,0.006427200960000001,0.0015718698000000005,0.14223675168,0.0017814524400000004,0.0008732610000000001,0.016522098120000002,0.01044420156,,0.014915297880000001,0.0097805232
Ningxia,0.01224555732,0.01087910028,0.01676537676,0.0016817932800000002,0.011089324440000001,0.01114188048,0.0134017902,0.0025752459600000004,0.1203533316,0.00909219492,0.014347798920000003,0.10653109308,0.004782599639999999,0.0028905822000000005,0.00641183688,0.004730043600000001,0.0019445734800000005,0.0036789228,0.0015766812000000002,0.00252268992,0.0029431382400000004,0.006464392920000001,0.0017869053600000004,0.11924965476000003,0.0026278020000000003,0.0025752459600000004,0.00546582816,,0.00856663452,0.0004204483200000001,0.01581936804
Xinjiang,0.014757215039999997,0.016607954879999998,0.05298960384,0.00102277728,0.015633881279999998,0.008182218239999999,0.01573128864,0.00516259008,0.00837703296,0.012711660479999998,0.06501941280000001,0.04558664447999999,0.008182218239999999,0.0028735171199999994,0.008230921919999998,0.005795737919999999,0.00253259136,0.00886406976,0.0018020361600000001,0.00638018208,0.0038475907200000003,0.01806906528,0.00258129504,0.09297532511999998,0.00233777664,0.00355536864,,0.01013036544,0.02211147072,0.0011201846399999998,0.022988136959999995
Taiwan,,,3.2215320000000004e-05,,0.00012945420000000005,,6.462828e-05,,,,9.704124e-05,3.2215320000000004e-05,,0.00051821208,3.2215320000000004e-05,,3.2215320000000004e-05,,,0.0006802768799999999,3.2215320000000004e-05,,,,,3.2215320000000004e-05,,,,,0.00012945420000000005
Hong Kong,3.028428e-05,,,3.028428e-05,0.02219371812,,,3.028428e-05,,3.028428e-05,3.028428e-05,,,0.00032380884,,,,6.289812e-05,,0.000291195,,,,,,,3.028428e-05,,,,3.028428e-05
Macau,0.00121658112,0.0016727990399999998,0.0009884721599999998,0.00043720883999999986,0.15998041727999998,0.00053225424,0.00287037108,0.0009694630800000001,0.00015207264,0.00235712592,0.0009314449199999998,0.00064630872,0.0008934267599999998,0.0030604618799999995,0.00157775364,0.000475227,0.00019009080000000002,0.00195793524,0.00015207264,0.0020339715600000002,0.000475227,0.00024711803999999995,0.00060829056,0.00024711803999999995,0.00176784444,0.0007413541199999999,,,,,0.00235712592
