,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hainan,0.02343810816,0.012644242560000001,0.019428958080000003,0.026984664000000002,0.012567143519999999,0.0323815968,0.017270184960000004,0.17886977280000002,0.0080953992,0.03615944976,0.02821824864,0.022435820640000003,0.051964752960000006,0.022127424480000005,0.012490044480000006,0.0165762936,0.03577395456,0.007247309759999999,,0.017655680160000003,0.028449545760000007,0.016344996480000002,0.0161907984,0.0058595270400000005,0.04186477872,0.01673049168,0.003006862560000001,0.003006862560000001,0.003006862560000001,0.00023129712000000003,0.05173345584
Chongqing,0.0321817536,0.018102236400000003,0.043579458000000015,0.053971482599999995,0.018772689600000003,0.08112483720000001,0.0157556502,0.16292012760000002,0.0070397585999999995,0.06704532,0.08782936920000001,0.0817952904,1.6285308228000002,0.23834611260000002,0.0305056206,0.006369305400000001,0.11096000460000001,0.008380665,0.0358692462,0.0408976452,,0.0254772216,0.09151686180000003,0.018102236400000003,0.0388862856,0.31410732420000004,0.0043579458000000005,0.008715891600000001,0.0043579458000000005,0.0073749852000000015,0.0640282806
Sichuan,0.053099971199999985,0.02345248728,0.06902996255999999,0.08628745319999999,0.03584248056,0.11239493903999996,0.029647483919999995,0.25930485936000003,0.013717492559999996,0.09513744839999998,0.12257243351999997,0.2880673437599999,,0.0929249496,0.038939978880000004,0.012832493039999995,0.07301246039999999,0.01017749448,0.057082469039999986,0.0575249688,1.6222041201599997,0.03008998368,0.5190522184799999,0.09115495056,0.05442747047999999,0.3274498224,0.010619994239999998,0.02256748776,0.03008998368,0.046462474799999987,0.13142242871999998
Guizhou,0.014142525479999998,0.005100582960000001,0.02063417652,0.029676119039999997,0.006259806360000001,0.05031029556,0.005796117,0.23624972892,0.00208660212,0.034776701999999986,0.12797826335999998,0.024807380759999997,0.3579681859199999,0.03848621688,0.01924310844,0.0025502914800000004,0.2422776906,0.00208660212,0.01808388504,0.051237674279999985,0.36005478804,0.02874874032,0.4071192580799999,0.006723495719999999,0.18362098656,,0.0013910680799999998,0.0018547574399999998,0.0011592234,0.0013910680799999998,0.03199456584
Yunnan,0.0208377198,0.0070073748,0.0228661704,0.036143301600000004,0.008851420799999999,0.045732340799999986,0.011064276000000001,0.15416224559999994,0.004794519599999999,0.05532138,0.0706269618,0.0250790256,0.5030557487999999,0.033930446399999994,0.0182560554,0.006638565599999999,0.061775541,0.004794519599999999,0.0171496278,0.0306111636,0.096812415,0.0206533152,,0.0070073748,0.12281346359999999,0.3922285842,0.0031348782,0.0023972597999999995,0.0029504735999999997,0.0068229702,0.0477607914
Tibet,0.0024285549599999995,0.00053542944,0.00137681856,0.0067884804,0.0013576960799999995,0.00187400304,0.0008031441599999997,0.0051057021599999995,0.00051630696,0.0014533084799999998,0.0014533084799999998,0.007840216799999997,0.07891847495999997,0.00187400304,0.00137681856,0.0005736744000000001,0.0020078604,0.00015297983999999998,0.0012238387199999998,0.00151067592,0.0120471624,0.0008987565599999998,0.014150635200000001,0.006080948639999999,0.0011855937599999998,0.00147243096,0.0005736744000000001,0.00187400304,0.030576845519999996,,0.0029066169599999995
Shaanxi,0.09617978880000001,0.021640452480000003,0.09978653088,0.3216011688,0.43160680224,0.11661799392000001,0.021640452480000003,0.10309271112,0.26389329552,0.06041292983999999,0.06762641400000001,,0.2870365572,0.12262923072,0.045084276,0.00961797888,0.040575848399999996,0.006912922320000001,0.028252812959999995,0.026449441919999997,0.08025001127999999,0.02073876696,0.029154498480000002,0.3486517344,0.015629215680000003,0.02284269984,0.13014327671999998,0.021640452480000003,0.0285533748,0.0045084276,0.127738782
Gansu,0.0194969754,0.0108479412,0.02198907,0.0435383586,0.016565099399999998,0.0372348252,0.005863752,0.0367950438,0.0590773014,0.0224288514,0.023015226600000004,0.4682205972,0.13237420139999995,0.017591256,0.0108479412,0.0026386884000000003,0.0133400358,0.0026386884000000003,0.009382003199999999,0.010994535,0.0243345708,0.0064501272,0.0092354094,,0.0046910015999999995,0.005570564399999999,0.1668237444,0.046030453200000016,0.1918912842,0.0038114388,0.0398735136
Qinghai,0.006775721280000001,0.0025408954800000003,0.005928756120000001,0.01858341204,0.0049821480000000005,0.009515902679999999,0.00164410884,0.009017687880000002,0.00358714656,0.0048825050399999995,0.005181433920000001,0.041451471360000006,0.0455866542,0.00642697092,0.0037864324799999995,0.0006476792400000001,0.0033878606400000004,0.00044839332,0.0021921451200000003,0.0031387532399999997,0.006676078320000001,0.00234160956,0.003886075440000001,0.23291541899999998,0.0019928592,0.0009964296,0.01414930032,0.027152706600000003,,0.017487339480000003,0.010113760440000001
Ningxia,0.014458824,0.005060588399999999,0.012217706279999995,0.01742288292,0.01214541216,0.01402505928,0.0024580000800000002,0.013808176919999998,0.15781806395999998,0.00788005908,0.01055494152,0.1547094168,0.017639765279999997,0.00701252964,0.004626823679999999,0.00310864716,0.005711235479999999,0.0012290000400000001,0.00520517664,0.00347011776,0.0061450002,0.0028194706800000005,0.0033978236399999986,0.19367594748,0.0024580000800000002,0.00375929424,,0.005783529599999999,0.01091641212,0.00043376472,0.02176053012
Xinjiang,0.012358562040000002,0.0058487022,0.015816925080000002,0.04816279116,0.00549269424,0.018919280160000003,0.004424670360000001,0.01688494896,0.00971393148,0.011290538159999999,0.01505405088,0.0422123724,0.062250534720000014,0.009408781800000002,0.0073744506000000005,0.00218690604,0.00951049836,0.0018308980800000002,0.00640814328,0.004577245200000001,0.01810554768,0.0026954888399999995,0.0058487022,0.10848071124000001,0.0018308980800000002,0.002542914,0.00951049836,,0.02715832152,0.00132231528,0.020394170280000002
Taiwan,0.00025875288,3.216672e-05,0.00029139263999999995,3.216672e-05,6.433344e-05,0.00025875288,0.00012913992,0.00025875288,,0.0009716241599999998,0.00035619912000000003,,3.216672e-05,3.216672e-05,6.433344e-05,6.433344e-05,9.697319999999997e-05,,,0.0011338768799999998,,,6.433344e-05,,3.216672e-05,3.216672e-05,,3.216672e-05,,3.216672e-05,0.00025875288
Hong Kong,3.21408e-05,,0.00012856319999999998,,,,3.21408e-05,0.0185633208,,0.00045198,3.21408e-05,3.21408e-05,,9.642239999999998e-05,3.21408e-05,,,,9.642239999999998e-05,0.000291276,,3.21408e-05,3.21408e-05,3.21408e-05,6.428159999999999e-05,,,,,,
Macau,0.0012889724399999998,0.00036827784,0.0004998056399999999,0.0004735000799999999,0.0007102501199999999,0.0023148892800000003,0.0004471945199999999,0.2390649292799999,0.00015783335999999996,0.00294622272,0.0020255281199999995,0.0004735000799999999,0.0007628612399999997,0.0016835558399999995,0.00021044448,0.00015783335999999996,0.0014205002399999998,7.891667999999998e-05,0.00031566671999999987,0.0012100557599999998,0.0004735000799999999,0.0008417779199999997,0.00028936116000000003,2.6305559999999995e-05,0.0017887780799999997,0.00034197227999999987,5.261111999999999e-05,2.6305559999999995e-05,7.891667999999998e-05,,0.00213075036
