,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.021994351199999998,0.026109423359999998,0.006243557759999999,0.03249488016,0.13636497743999995,0.040583125439999986,0.010358629920000001,0.011635721279999995,0.005250264479999999,0.031075889759999992,0.05051605823999999,0.027102716639999996,0.016460288639999997,0.0065273558399999996,0.013906105919999995,0.029515000319999995,0.004398870239999999,0.047110481279999984,0.027102716639999996,,0.33161805648000003,0.06867913535999999,0.0191563704,0.007662548159999998,0.09535615487999996,0.28734555599999995,0.00368937504,0.00255418272,0.00227038464,0.00397317312,0.04938086591999999
Tibet,0.0016086697200000007,0.0020724303600000004,0.00021738780000000004,0.005724545400000001,0.0029129965200000003,0.0018985201200000003,0.0007391185200000003,0.0006376708800000003,0.00015941772000000005,0.0011014315200000002,0.0016521472800000007,0.008086826160000003,0.00015941772000000005,0.0006086858400000001,0.0014202669600000002,0.0025216984800000004,0.00031883544000000015,0.0024927134400000005,0.00102896892,0.007637558040000002,0.054288979920000015,0.009057825000000002,0.0005072382000000001,0.0065071414800000026,0.0006086858400000001,0.0012173716800000002,0.0014202669600000002,0.0003768055200000001,0.02394164304,,0.00378254772
Shaanxi,0.07098621948,0.07359121836,0.015847076519999996,0.2159978238,0.09551662560000003,0.08270871444000001,0.26201947068000003,0.021057074280000004,0.18473783724,0.04211414856000001,0.05730997536,,0.02974040388,0.01063707876,0.034733318400000004,0.08553079656,0.010419995520000001,0.03104290332,0.02670123852,0.034082068680000015,0.13220369316,0.041679982080000004,0.01801790892,0.28351071144,0.018452075400000004,0.021057074280000004,0.025181655840000004,0.09681912504,0.030174570360000003,0.0052099977600000005,0.10940995295999999
Gansu,0.01682650584,0.01884165624,0.005037876,0.03657497976,0.02649922776,0.03113407368,0.012997720079999999,0.0036272707200000003,0.0387916452,0.01168787232,0.015718173119999998,0.30418695288,0.00947120688,0.0020151504,0.0110833272,0.011788629839999998,0.0018136353600000002,0.00896741928,0.011284842240000002,0.01027726704,0.05773405896000001,0.0136022652,0.00382878576,,0.00644848128,0.00584393616,0.04312421856,0.11919614615999999,0.13219386624,0.00463484592,0.030731043599999997
Qinghai,0.0047100204,0.0050774688,0.0012359628,0.0149985756,0.0084513132,0.0069481152000000004,0.003006396000000001,0.0012025584,0.0032736312,0.0026389476,0.0049104468,0.0306318348,0.0028393740000000004,0.0004676616000000001,0.0030398003999999998,0.0047434248,0.0007014924000000001,0.0031066092000000003,0.0031400135999999994,0.0029395871999999997,0.022982227200000004,0.0025721388,0.0012693672,0.1413340164,0.0012693672,0.0016368156,0.0160007076,0.0084513132,,0.01920753,0.010789621200000002
Ningxia,0.01401265656,0.01095726528,0.0030553912800000004,0.01627786044,0.01253764008,0.0121162068,0.009745644600000002,0.00215984556,0.12469157172000002,0.0057420284400000006,0.00874474056,0.09987968736,0.004688445239999999,0.0011589415200000002,0.005267916,0.00505719936,0.00100090404,0.004583086920000001,0.004108974479999999,0.00416165364,0.00626882004,0.0054259534800000005,0.0010535832,0.12606122988,0.00273931632,0.00215984556,0.0073750824,,0.007111686600000002,0.00047411244,0.017436801959999998
Xinjiang,0.018564305760000004,0.025398418320000005,0.00163202688,0.052122858480000006,0.01978832592,0.018513304919999998,0.00979216128,0.006375105000000001,0.01162819152,0.00708911676,0.01305621504,0.053805886200000014,0.0084151386,0.0027540453600000004,0.008874146159999999,0.009486156240000002,0.0020400336000000003,0.00749712348,0.00821113524,0.006885113400000001,0.03559858632,0.01820729988,0.00265204368,0.09572857668,0.0032640537600000003,0.00418206888,,0.007803128520000002,0.02279737548,0.00056100924,0.026469435960000003
Taiwan,,3.22056e-05,,0.00012951252,0.00016194816,6.464124000000001e-05,,3.22056e-05,,0.0005507157599999999,6.464124000000001e-05,,,,,3.22056e-05,,,0.0008746120800000003,,,,3.22056e-05,,,3.22056e-05,,,,,3.22056e-05
Hong Kong,6.472224e-05,6.472224e-05,,,0.0271833408,,,3.236112e-05,,0.0006472224000000001,3.236112e-05,,6.472224e-05,3.236112e-05,3.236112e-05,,,,0.0004854168,3.236112e-05,3.236112e-05,,,,9.708335999999999e-05,,3.236112e-05,3.236112e-05,,,0.00029125008
Macau,0.0011472516000000006,0.0015435748800000002,0.0003128868000000001,0.0010846742400000002,0.18120317544000006,0.0030037132800000005,0.00035460504000000014,0.0011263924800000002,6.257735999999999e-05,0.002607390000000001,0.0022527849600000004,0.00041718240000000013,0.0004380415200000001,0.00014601384000000004,0.0008343648000000001,0.0014392792800000005,0.00035460504000000014,0.0021693484800000004,0.0017730252000000004,0.0004797597600000001,0.0005423371200000001,0.00018773208000000006,0.0007926465600000001,,0.0017313069600000002,0.0005006188799999999,,6.257735999999999e-05,,,0.0015227157600000002
