,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Zhejiang,Heilongjiang,Shanghai,Gansu,Guizhou,Fujian,Yunnan,Jiangxi,Hubei,Chongqing,Guangxi,Hainan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.00408514104,0.0009500328,0.00589020336,0.008360288640000001,0.0016150557600000002,0.0014250492,0.023940826560000003,0.00494017056,0.0008550295200000001,0.005605193520000001,0.10459861128000003,0.014345495280000004,0.2660091840000001,0.0010450360800000002,0.060802099200000015,0.00057001968,0.01225542312,0.0021850754400000003,0.29223008928000005,0.01871564616,,0.008740301760000001,0.003515121360000001,0.01871564616,0.07391255184000002,0.0018050623200000003,0.0006650229600000003,0.0004750164000000001,0.00057001968,0.0014250492,0.008265285360000001
Tibet,0.00019333080000000002,3.22218e-05,0.0002255526,0.0002577744,9.666540000000001e-05,9.666540000000001e-05,3.22218e-05,0.00019333080000000002,3.22218e-05,6.44436e-05,0.0002255526,9.666540000000001e-05,0.0082942704,,3.22218e-05,3.22218e-05,6.44436e-05,0.0017816759999999996,6.44436e-05,6.44436e-05,0.0011978928,,6.44436e-05,0.0006463313999999999,3.22218e-05,,3.22218e-05,,0.004988692800000001,,9.666540000000001e-05
Shaanxi,0.01922550228,0.005032854,0.02244652884,0.05475745152000001,0.00291905532,0.15440796072,0.01167622128,0.0171117036,0.09793933884,,0.07790857992000001,0.10045576583999999,0.05576402232,0.0013085420399999998,0.07307704007999999,0.0010065708,0.028083325319999998,0.09924788088,0.01187753544,0.01348804872,0.009361108440000002,0.00734796684,0.01801761732,0.011776878359999998,0.00463022568,0.00110722788,0.0030197124,0.04670488512,0.0095624226,0.0007045995600000001,0.04489305768
Gansu,0.007562895479999998,0.007617304799999999,0.010120133520000001,0.015506656200000002,0.0013058236799999995,0.005332113359999999,0.004352745599999999,0.00402628968,0.023123961000000002,0.10136456316,0.023123961000000002,0.050056574399999984,0.032645591999999994,0.00097936776,0.028891348919999994,0.00010881864,0.02426655672,,0.00304692192,0.0048968388,0.0031557405599999997,0.0024484194,0.00277487532,0.00614825316,0.0012514143599999998,0.00092495844,0.01131713856,0.08226689184,0.05957820539999999,0.0024484194,0.022579867799999997
Qinghai,0.00063967968,0.00015559776000000002,0.00087307632,0.0020659924800000003,0.00012102048,0.0006137467199999999,0.00041492736,0.00025068528,0.00119291616,0.0028439812800000004,0.00255871872,0.00174615264,0.004339448639999999,2.593296e-05,0.00093358656,0.00015559776000000002,0.00109782864,0.05089775616,0.00015559776000000002,0.0005445921599999999,0.00028526256000000003,0.00038035008,0.00019017504,0.00041492736,2.593296e-05,0.00012102048,0.00148682304,0.00200548224,,0.007676156159999999,0.0020659924800000003
Ningxia,0.0015701202000000002,0.0011820005999999999,0.001323135,0.0035636436,0.00038811960000000007,0.0021875832,0.00035283600000000004,0.0017818218,0.0459392472,0.033078375000000014,0.0021699414000000005,0.0032637330000000013,0.0017465382,0.00035283600000000004,0.0033695838,0.00012349260000000004,0.0014466276,0.0588001194,0.00035283600000000004,0.0005468958,0.0011643588000000002,0.0003175524,0.00038811960000000007,0.00038811960000000007,0.00035283600000000004,5.29254e-05,0.0005821794000000001,,0.0040752558,0.0002117016,0.0051690474000000005
Xinjiang,0.0013557650400000002,0.0006109311599999999,0.003916654559999999,0.0031383449999999994,0.0007113582000000001,0.00057745548,0.000418446,0.0005439797999999999,0.00365721804,0.0028454328000000004,0.012369263759999995,0.0027198990000000004,0.008452609199999999,0.00015900947999999995,0.00148966776,5.8582440000000006e-05,0.00333083016,0.01846183752,0.00038497032,0.0019081137599999997,0.0005439797999999999,0.0006109311599999999,0.00045192168,0.00239351112,0.0008368919999999999,0.0011298042,,0.0008368919999999999,0.0028454328000000004,5.8582440000000006e-05,0.006736980599999999
Taiwan,6.389279999999999e-05,0.00016132931999999998,6.389279999999999e-05,,6.389279999999999e-05,,6.389279999999999e-05,0.00019327572,,,0.00427602564,0.0034981308,0.00048558528,9.58392e-05,0.0012299364,,0.0028496188800000003,,,0.00139286304,9.58392e-05,3.1946399999999996e-05,,6.389279999999999e-05,0.00022522212000000003,,,,,,0.00032265864
Hong Kong,6.225660000000001e-05,2.9053080000000014e-05,0.0002905308,9.546011999999999e-05,2.9053080000000014e-05,2.9053080000000014e-05,0.00016186716000000004,2.9053080000000014e-05,,,0.03485954556,0.00016186716000000004,6.225660000000001e-05,2.9053080000000014e-05,0.00038599092000000013,,0.00090479592,,2.9053080000000014e-05,0.0007429287599999999,9.546011999999999e-05,9.546011999999999e-05,,6.225660000000001e-05,0.00032373432000000013,0.00012866364000000002,2.9053080000000014e-05,,,,0.0006765217200000001
Macau,,,,2.97432e-05,,,9.517824e-05,,,,0.05796354816,,,,,2.97432e-05,5.94864e-05,,5.94864e-05,9.517824e-05,,,,2.97432e-05,2.97432e-05,,,,,,0.00016061328
